,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,1,0.01674729771912098,12,Sub,Burnley,Brighton,1,2,2020-07-26,12022,2019,411255,0.08232361823320389,0,1,0,0.01674729771912098,0.09907091408967972,0,0,,,,0,2,0,,,11.4,,,516,,,372,,0,0,1.1,,0.0,,2020-07-26T15:00:00Z,,,,16,,,5,0,,0,0,,0,47,0,32891,,,,2,1,1.0,1,-1049,493,1542,47,False,,0
1,0,0,0,62,AML,Brighton,Newcastle United,0,0,2020-07-20,12005,2019,410342,0,0,0,0,0,0,0,0,,,,0,3,0,,,8.2,,,516,,,363,,0,0,1.9,,8.8,,2020-07-20T17:00:00Z,,,,57,,,13,0,,0,0,,0,46,0,34389,,,,0,0,2.0,1,-41,957,998,47,True,,0
2,0,0,0,28,Sub,Southampton,Brighton,1,1,2020-07-16,12002,2019,409479,0,0,0,0,0,0.08912641555070877,0.08912641555070877,0,,,,0,3,0,,,1.1,,,516,,,359,,1,0,1.0,,4.8,,2020-07-16T19:15:00Z,,,,31,,,16,0,,0,0,,0,45,0,34150,,,,1,1,4.0,1,-475,752,1227,47,False,,0
3,0,0,0,90,MR,Brighton,Manchester City,0,5,2020-07-11,11985,2019,407595,0,0,0,0,0,0,0,0,,,,0,11,0,,,2.5,,,516,,,343,,5,0,0.8,,5.8,,2020-07-11T19:00:00Z,,,,90,,,11,0,,0,0,,0,44,0,34671,,,,5,0,0.0,2,-829,800,1629,47,True,,0
4,0,0,0,15,Sub,Brighton,Liverpool,1,3,2020-07-08,11976,2019,406788,0.1365634948015213,0,1,0,0,0.3336651623249054,0.3336651623249054,0,,,,0,5,0,,,15.0,,,516,,,334,,1,0,2.1,,5.6,,2020-07-08T19:15:00Z,,,,19,,,10,0,,0,0,,0,43,0,35559,,,,3,1,0.0,1,362,1706,1344,47,True,,0
5,0,0,0,74,AMC,Norwich,Brighton,0,1,2020-07-04,11969,2019,405081,0.699432909488678,1,3,0,0,0.5990241169929504,0,1,,,,0,25,1,,,44.3,,,516,,,327,,0,0,8.1,,34.8,,2020-07-04T11:30:00Z,,,,71,,,14,0,,0,0,,0,42,0,35093,,,,1,0,2.0,6,-1160,930,2090,47,False,,0
6,0,0,0,7,Sub,Brighton,Manchester United,0,3,2020-06-30,11956,2019,404140,0,0,0,0,0,0,0,0,,,,0,2,0,,,0.3,,,516,,,314,,0,0,0.0,,0.0,,2020-06-30T19:15:00Z,,,,9,,,12,0,,0,0,,0,41,0,36188,,,,3,0,0.0,1,-784,621,1405,48,True,,0
7,0,1,0.02290208637714386,90,AMC,Leicester,Brighton,0,0,2020-06-23,11945,2019,402050,0.03374197706580162,0,1,0,0.02290208637714386,0.02290208637714386,0,0,,,,0,15,1,,,16.8,,,516,,,303,,0,0,4.0,,15.0,,2020-06-23T17:00:00Z,,,,90,,,9,0,,0,0,,0,40,0,36931,,,,0,0,8.0,3,-1644,479,2123,48,False,,0
8,0,1,0.04772740602493286,51,AML,Brighton,Arsenal,2,1,2020-06-20,11941,2019,401275,0,0,0,0,0.04772740602493286,0,0,0,,,,0,4,0,,,5.0,,,516,,,293,,0,0,3.1,,7.0,,2020-06-20T14:00:00Z,,,,45,,,1,0,,0,0,,0,39,0,38018,,,,1,2,19.0,0,-10764,3284,14048,48,True,,1
9,0,0,0,90,MC,Wolverhampton Wanderers,Brighton,0,0,2020-03-07,11931,2019,387743,0.02348829060792923,0,1,0,0,0.1660403311252594,0.14255203306674957,0,,,,0,17,1,,,17.8,,,516,,,290,,0,0,4.1,,19.6,,2020-03-07T15:00:00Z,,,,88,,,20,0,,0,0,,0,29,0,50866,,,,0,0,4.0,3,-6437,1218,7655,48,False,,0
10,0,4,0.10321343690156937,90,AMR,Brighton,Crystal Palace,0,1,2020-02-29,11915,2019,387435,0.33233851194381714,0,3,0,0.10321343690156937,0.5668361783027649,0.4439859688282013,0,,,,0,11,0,,,51.3,,,516,,,273,,1,0,8.6,,17.8,,2020-02-29T12:30:00Z,,,,90,,,7,0,,0,0,,0,28,0,57676,,,,1,0,17.0,2,-1348,3177,4525,48,True,,0
11,0,0,0,90,MC,Sheffield United,Brighton,1,1,2020-02-22,11909,2019,387172,0.11787085235118866,0,3,0,0,0.06447220593690872,0,0,,,,0,8,0,,,41.9,,,516,,,268,,1,0,5.5,,13.0,,2020-02-22T15:00:00Z,,,,90,,,15,0,,0,0,,0,27,0,59107,,,,1,1,0.0,2,-1276,5867,7143,48,False,,0
12,0,2,0.4039120078086853,90,DMC,Brighton,Watford,1,1,2020-02-08,11895,2019,386883,0.02250157855451107,0,1,0,0.4039120078086853,0.45067939162254333,0.046767398715019226,0,,,,0,9,0,,,20.6,,,516,,,253,,1,0,5.0,,11.4,,2020-02-08T17:30:00Z,,,,90,,,18,0,,0,0,,0,26,0,60484,,,,1,1,18.0,2,4263,8755,4492,48,True,,0
