,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,90,GK,Arsenal,Liverpool,3,2,2022-10-09,18292,2022,555077,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,90,GK,Arsenal,Tottenham,3,1,2022-10-01,18282,2022,551989,0,0,0,0,0,0.3045728802680969,0.3045728802680969,0.0,,,,0.0,12.0,0.0,,,0.0,,,15.0,,,81.0,,1.0,0.0,1.9,,19.2,,2022-10-01T11:30:00Z,,,,90.0,,,18.0,0.0,,0.0,0.0,,0.0,9.0,2.0,1109375.0,,,,1.0,3.0,0.0,2.0,-32360.0,39331.0,71691.0,49.0,True,,0.0
2,0,0,0,90,GK,Brentford,Arsenal,0,3,2022-09-18,18280,2022,551052,0,0,0,0,0,0.6195583939552307,0.6195583939552307,0.0,,,,0.0,24.0,1.0,,,0.0,,,15.0,,,72.0,,0.0,0.0,1.8,,17.8,,2022-09-18T11:00:00Z,,,,90.0,,,4.0,0.0,,0.0,0.0,,0.0,8.0,2.0,1117890.0,,,,3.0,0.0,0.0,6.0,-33636.0,26476.0,60112.0,49.0,False,,0.0
3,0,0,0,90,GK,Manchester United,Arsenal,3,1,2022-09-04,18261,2022,548104,0,0,0,0,0,0.01729261875152588,0.01729261875152588,0.0,,,,0.0,14.0,0.0,,,0.0,,,15.0,,,56.0,,3.0,0.0,2.5,,25.2,,2022-09-04T15:30:00Z,,,,90.0,,,14.0,0.0,,0.0,0.0,,0.0,6.0,3.0,1164227.0,,,,1.0,3.0,0.0,2.0,-250290.0,17642.0,267932.0,50.0,False,,0.0
4,0,0,0,90,GK,Arsenal,Aston Villa,2,1,2022-08-31,18247,2022,546253,0,0,0,0,0,0,0,0.0,,,,0.0,13.0,0.0,,,0.0,,,15.0,,,41.0,,1.0,0.0,1.7,,17.4,,2022-08-31T18:30:00Z,,,,90.0,,,2.0,0.0,,0.0,0.0,,0.0,5.0,2.0,1407588.0,,,,1.0,2.0,0.0,2.0,-53340.0,48276.0,101616.0,50.0,True,,0.0
5,0,0,0,90,GK,Arsenal,Fulham,2,1,2022-08-27,18238,2022,544643,0,0,0,0,0,0.45655760169029236,0.45655760169029236,0.0,,,,0.0,12.0,0.0,,,0.0,,,15.0,,,31.0,,1.0,0.0,1.9,,18.8,,2022-08-27T16:30:00Z,,,,90.0,,,9.0,0.0,,0.0,0.0,,0.0,4.0,2.0,1422476.0,,,,1.0,2.0,0.0,2.0,-12169.0,88190.0,100359.0,50.0,True,,0.0
6,0,0,0,90,GK,Bournemouth,Arsenal,0,3,2022-08-20,18227,2022,542562,0,0,0,0,0,0.2561597228050232,0.2561597228050232,0.0,,,,0.0,20.0,1.0,,,0.0,,,15.0,,,21.0,,0.0,0.0,0.8,,7.6,,2022-08-20T16:30:00Z,,,,90.0,,,3.0,0.0,,0.0,0.0,,0.0,3.0,1.0,1366505.0,,,,3.0,0.0,0.0,6.0,-61359.0,88334.0,149693.0,50.0,False,,0.0
7,0,0,0,90,GK,Arsenal,Leicester,4,2,2022-08-13,18217,2022,540644,0,0,0,0,0,0,0,0.0,,,,0.0,10.0,0.0,,,0.0,,,15.0,,,11.0,,2.0,0.0,1.2,,11.6,,2022-08-13T14:00:00Z,,,,90.0,,,10.0,0.0,,0.0,0.0,,0.0,2.0,1.0,1369348.0,,,,2.0,4.0,0.0,1.0,31287.0,93632.0,62345.0,50.0,True,,0.0
8,0,0,0,90,GK,Crystal Palace,Arsenal,0,2,2022-08-05,18202,2022,539137,0,0,0,0,0,0.05762733146548271,0.05762733146548271,0.0,,,,0.0,25.0,1.0,,,0.0,,,15.0,,,1.0,,0.0,0.0,1.9,,19.0,,2022-08-05T19:00:00Z,,,,90.0,,,7.0,0.0,,0.0,0.0,,0.0,1.0,2.0,1128297.0,,,,2.0,0.0,0.0,6.0,0.0,0.0,0.0,50.0,False,,0.0
9,0,0,0,90,GK,Arsenal,Everton,5,1,2022-05-22,16746,2021,537826,0,0,0,0,0,0.3386445641517639,0.3386445641517639,0.0,,,,0.0,9.0,0.0,,,0.0,,,559.0,,,371.0,,1.0,0.0,0.0,,0.0,,2022-05-22T15:00:00Z,,,,90.0,,,8.0,0.0,,0.0,0.0,,0.0,38.0,1.0,1547104.0,,,,1.0,5.0,0.0,2.0,-18849.0,19053.0,37902.0,51.0,True,,0.0
10,0,0,0,90,GK,Newcastle United,Arsenal,2,0,2022-05-16,16741,2021,536731,0,0,0,0,0,0,0,0.0,,,,0.0,16.0,0.0,,,0.0,,,559.0,,,365.0,,2.0,0.0,3.0,,30.2,,2022-05-16T19:00:00Z,,,,90.0,,,14.0,0.0,,0.0,0.0,,0.0,37.0,3.0,1490905.0,,,,0.0,2.0,0.0,2.0,-51351.0,8030.0,59381.0,51.0,False,,0.0
11,0,0,0,90,GK,Tottenham,Arsenal,3,0,2022-05-12,16593,2021,535022,0,0,0,0,0,0.1469852775335312,0.1469852775335312,0.0,,,,0.0,14.0,0.0,,,0.0,,,559.0,,,218.0,,3.0,0.0,2.3,,23.2,,2022-05-12T18:45:00Z,,,,90.0,,,17.0,0.0,,0.0,0.0,,0.0,36.0,3.0,1607968.0,,,,0.0,3.0,0.0,2.0,-16232.0,31183.0,47415.0,51.0,False,,0.0
12,0,0,0,90,GK,Arsenal,Leeds,2,1,2022-05-08,16735,2021,533452,0,0,0,0,0,0,0,0.0,,,,0.0,9.0,0.0,,,0.0,,,559.0,,,351.0,,1.0,0.0,1.1,,11.2,,2022-05-08T13:00:00Z,,,,90.0,,,10.0,0.0,,0.0,0.0,,0.0,36.0,1.0,1607968.0,,,,1.0,2.0,0.0,2.0,-16232.0,31183.0,47415.0,51.0,True,,0.0
13,0,0,0,90,GK,West Ham,Arsenal,1,2,2022-05-01,16717,2021,531334,0,0,0,0,0,0.018822837620973587,0.018822837620973587,0.0,,,,0.0,12.0,0.0,,,0.0,,,559.0,,,349.0,,1.0,0.0,1.4,,13.8,,2022-05-01T15:30:00Z,,,,90.0,,,19.0,0.0,,0.0,0.0,,0.0,35.0,2.0,1648051.0,,,,2.0,1.0,0.0,2.0,-31072.0,16273.0,47345.0,51.0,False,,0.0
14,0,0,0,90,GK,Arsenal,Manchester United,3,1,2022-04-23,16715,2021,528369,0,0,0,0,0,0,0,0.0,,,,0.0,17.0,0.0,,,0.0,,,559.0,,,331.0,,1.0,0.0,2.4,,24.2,,2022-04-23T11:30:00Z,,,,90.0,,,13.0,0.0,,0.0,0.0,,0.0,34.0,4.0,1668989.0,,,,1.0,3.0,0.0,3.0,-70200.0,11288.0,81488.0,51.0,True,,0.0
