,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,1,0.011046377941966057,73,MC,Bologna,Sampdoria,1,1,2022-10-08,18662,2022,554421,0,0,0,0,0.011046377941966057,0.011046377941966057,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,1,0.01932695508003235,90,MC,Sampdoria,Monza,0,3,2022-10-02,18660,2022,553077,0,0,0,0,0.01932695508003235,0.01932695508003235,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,6,0.1864079236984253,90,MC,Spezia,Sampdoria,2,1,2022-09-17,18649,2022,550817,0.10002771019935608,0,2,1,0.1864079236984253,0.2554389238357544,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,0,0,90,MC,Sampdoria,AC Milan,1,2,2022-09-10,18640,2022,549313,0.04304675757884979,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,0,0,83,AMC,Verona,Sampdoria,2,1,2022-09-04,18627,2022,548174,0,0,0,0,0,0.10254669934511185,0.10254669934511185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,0,0,90,ML,Sampdoria,Lazio,1,1,2022-08-31,18616,2022,546043,0.17346887290477753,0,3,0,0,0.46984586119651794,0.4116884171962738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,2,0.26173973083496094,82,MC,Salernitana,Sampdoria,4,0,2022-08-28,18608,2022,545502,0.20283883810043335,0,3,0,0.26173973083496094,0.6590201258659363,0.3186447322368622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,4,0.16851326823234558,90,MC,Sampdoria,Juventus,0,0,2022-08-22,18601,2022,543853,0.48491528630256653,0,1,0,0.16851326823234558,0.5654156804084778,0.5654156804084778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,7,0.3719739019870758,90,MC,Sampdoria,Atalanta,0,2,2022-08-13,18583,2022,540864,0.09755789488554001,0,1,0,0.3719739019870758,0.29324349761009216,0.04171418398618698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,1,0.029955163598060608,90,ML,Inter,Sampdoria,3,0,2022-05-22,17129,2021,538025,0.12631723284721375,0,2,0,0.029955163598060608,0.5603662133216858,0.48877227306365967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1,1,0.07348345965147018,90,ML,Sampdoria,Fiorentina,4,1,2022-05-16,17124,2021,536663,0.48293831944465637,1,2,1,0.07348345965147018,1.0084680318832397,0.4520462155342102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0,2,0.11569452285766602,70,ML,Lazio,Sampdoria,2,0,2022-05-07,17110,2021,533085,0,0,0,0,0.11569452285766602,0.11569452285766602,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1,4,0.7975146174430847,90,ML,Sampdoria,Genoa,1,0,2022-04-30,17103,2021,530654,0.1029844731092453,0,1,1,0.7975146174430847,1.357381820678711,0.6004440784454346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0,1,0.012881000526249409,90,ML,Verona,Sampdoria,1,1,2022-04-23,17089,2021,528985,0,0,0,0,0.012881000526249409,0.012881000526249409,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,0,0,26,Sub,Sampdoria,Salernitana,1,2,2022-04-16,17083,2021,526165,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0,1,0.007022308185696602,90,FW,Bologna,Sampdoria,2,0,2022-04-11,17066,2021,525841,0.0313955582678318,0,1,0,0.007022308185696602,0.17234867811203003,0.16532637178897858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0,4,0.2109062820672989,90,FW,Sampdoria,Roma,0,1,2022-04-03,17063,2021,523677,0,0,0,0,0.2109062820672989,0.1735469549894333,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0,0,0,90,FW,Venezia,Sampdoria,0,2,2022-03-20,17055,2021,521618,0.6678742170333862,1,3,0,0,0.6678742170333862,0.3772316873073578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1,2,0.06860587745904922,28,Sub,Sampdoria,Juventus,1,3,2022-03-12,17042,2021,519487,0.04103854298591614,0,2,1,0.06860587745904922,0.08295220881700516,0.04191366583108902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0,0,0,19,Sub,Udinese,Sampdoria,2,1,2022-03-05,17034,2021,517338,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0,0,0,44,Sub,Atalanta,Sampdoria,4,0,2022-02-28,17016,2021,517032,0,0,0,0,0,0.04151831194758415,0.04151831194758415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0,1,0.05512499436736107,69,AMC,Sampdoria,Empoli,2,0,2022-02-19,17013,2021,514002,0.11380761116743088,0,1,0,0.05512499436736107,0.3528616428375244,0.18392904102802277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0,0,0,1,Sub,AC Milan,Sampdoria,1,0,2022-02-13,17001,2021,513031,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0,3,0.2057805061340332,90,AMC,Eintracht Frankfurt,Paderborn,3,2,2020-06-27,12704,2019,403114,0,0,0,0,0.2057805061340332,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0,3,0.2151835858821869,87,AMC,Paderborn,Borussia M.Gladbach,1,3,2020-06-20,12699,2019,401212,0,0,0,0,0.2151835858821869,0.02238512597978115,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1,3,0.5780943632125854,25,Sub,Paderborn,Werder Bremen,1,5,2020-06-13,12681,2019,399717,0,0,0,1,0.5780943632125854,0.0728919729590416,0.06764086335897446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0,1,0.030802052468061447,13,Sub,RasenBallsport Leipzig,Paderborn,1,1,2020-06-06,12665,2019,399209,0,0,0,0,0.030802052468061447,0.2023581564426422,0.17155610024929047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0,0,0,7,Sub,Paderborn,Borussia Dortmund,1,6,2020-05-31,12663,2019,399071,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0,0,0,11,Sub,Augsburg,Paderborn,0,0,2020-05-27,12650,2019,398809,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0,0,0,9,Sub,Paderborn,Hoffenheim,1,1,2020-05-23,12637,2019,398341,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0,0,0,17,Sub,Fortuna Duesseldorf,Paderborn,0,0,2020-05-16,12633,2019,398166,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0,4,0.1325727105140686,42,Sub,Paderborn,FC Cologne,1,2,2020-03-06,12627,2019,396531,0,0,0,0,0.1325727105140686,0.16711264848709106,0.09464918076992035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0,2,0.048679932951927185,33,Sub,Mainz 05,Paderborn,2,0,2020-02-29,12615,2019,395716,0.010898925364017487,0,1,0,0.048679932951927185,0.05957885831594467,0.010898925364017487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0,0,0,10,MC,Schalke 04,Paderborn,1,1,2020-02-08,12591,2019,392631,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0,2,0.04997562989592552,90,MC,Paderborn,Wolfsburg,2,4,2020-02-02,12582,2019,391811,0.033334314823150635,1,1,0,0.04997562989592552,0.08330994844436646,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1,4,0.9717484712600708,89,MC,Freiburg,Paderborn,0,2,2020-01-25,12572,2019,390132,0.041489534080028534,0,2,0,0.21397176384925842,0.20339301228523254,0.06461239606142044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,0,1,0.016767781227827072,29,Sub,Paderborn,Bayer Leverkusen,1,4,2020-01-19,12564,2019,389708,0,0,0,0,0.016767781227827072,0.016767781227827072,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1,4,0.12659841775894165,90,MC,Paderborn,Eintracht Frankfurt,2,1,2019-12-22,12555,2019,372290,0.09603730589151382,0,1,1,0.12659841775894165,0.25314998626708984,0.17475365102291107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,0,1,0.046271923929452896,5,Sub,Paderborn,RasenBallsport Leipzig,2,3,2019-11-30,12517,2019,366107,0,0,0,0,0.046271923929452896,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,0,0,0,50,Sub,Borussia Dortmund,Paderborn,3,3,2019-11-22,12502,2019,364293,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,0,3,0.13997621834278107,90,MC,Paderborn,Augsburg,0,1,2019-11-09,12499,2019,362975,0.03848528489470482,0,1,0,0.13997621834278107,0.03848528489470482,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
