,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,90,MC,Liverpool,Middlesbrough,3,0,2017-05-21,3515,2016,125295,0,0,0,0,0,0.3118875324726105,0.3118875324726105,0.0,15.0,0.0,0.0,0.0,5.0,0.0,5.0,12.0,5.4,0.0,0.0,283.0,0.0,0.0,376.0,3.0,3.0,0.0,1.0,23288.0,4.2,0.0,2017-05-21T14:00:00Z,21 May 15:00,0.0,0.0,90.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,38.0,0.0,34420.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,-1330.0,139.0,1469.0,43.0,False,0.0,0.0
1,0,0,0,90,MC,Middlesbrough,Southampton,1,2,2017-05-13,3504,2016,135319,0.0417206846177578,0,1,0,0,0.4360288977622986,0.3943082094192505,0.0,52.0,0.0,0.0,0.0,10.0,0.0,5.0,45.0,14.6,0.0,0.0,283.0,0.0,0.0,365.0,3.0,2.0,0.0,2.9,22413.0,12.4,1.0,2017-05-13T14:00:00Z,13 May 15:00,0.0,0.0,90.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,9.0,0.0,37.0,0.0,35737.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,-1593.0,170.0,1763.0,43.0,True,0.0,1.0
2,0,0,0,90,MC,Chelsea,Middlesbrough,3,0,2017-05-08,3493,2016,134862,0,0,0,0,0,0.009306610561907291,0.009306610561907291,0.0,69.0,0.0,0.0,0.0,19.0,0.0,6.0,64.0,5.3,0.0,0.0,283.0,0.0,0.0,354.0,3.0,3.0,0.0,1.9,21571.0,13.8,0.0,2017-05-08T19:00:00Z,08 May 20:00,0.0,0.0,90.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,36.0,0.0,37326.0,0.0,3.0,0.0,0.0,3.0,0.0,2.0,-1171.0,475.0,1646.0,43.0,False,0.0,0.0
3,0,1,0.034289080649614334,90,MC,Middlesbrough,Manchester City,2,2,2017-04-30,3483,2016,134435,0,0,0,0,0.034289080649614334,0.07416731119155884,0.0398782342672348,0.0,21.0,0.0,0.0,0.0,8.0,0.0,5.0,19.0,1.0,1.0,0.0,283.0,0.0,0.0,344.0,2.0,2.0,0.0,2.0,20876.0,12.0,0.0,2017-04-30T13:05:00Z,30 Apr 14:05,0.0,0.0,90.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,7.0,0.0,35.0,0.0,38484.0,1.0,0.0,0.0,2.0,2.0,7.0,2.0,-1058.0,428.0,1486.0,43.0,True,0.0,0.0
4,0,0,0,90,MC,Middlesbrough,Sunderland,1,0,2017-04-26,3413,2016,132845,0.36692747473716736,1,1,0,0,0.39015424251556396,0.023226778954267502,1.0,47.0,1.0,0.0,0.0,24.0,1.0,6.0,39.0,17.5,1.0,0.0,283.0,0.0,0.0,278.0,1.0,0.0,0.0,4.8,20199.0,30.6,1.0,2017-04-26T18:45:00Z,26 Apr 19:45,0.0,0.0,90.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,3.0,0.0,34.0,0.0,39517.0,2.0,1.0,0.0,0.0,1.0,0.0,5.0,572.0,1999.0,1427.0,43.0,True,0.0,1.0
5,0,0,0,90,MC,Bournemouth,Middlesbrough,4,0,2017-04-22,3471,2016,135167,0.011209489777684212,0,1,0,0,0.07109037041664124,0.05988088250160217,0.0,24.0,0.0,0.0,0.0,7.0,0.0,3.0,20.0,14.0,0.0,0.0,283.0,1.0,0.0,332.0,0.0,4.0,0.0,1.8,20200.0,3.6,1.0,2017-04-22T14:00:00Z,22 Apr 15:00,0.0,0.0,90.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,34.0,0.0,39517.0,3.0,2.0,0.0,0.0,4.0,0.0,2.0,572.0,1999.0,1427.0,43.0,False,0.0,0.0
6,0,0,0,90,MC,Middlesbrough,Arsenal,1,2,2017-04-17,3461,2016,134710,0.059925612062215805,0,2,0,0,0.007787654176354408,0.007787654176354408,0.0,34.0,0.0,0.0,0.0,16.0,0.0,2.0,29.0,26.1,1.0,0.0,283.0,0.0,0.0,324.0,4.0,2.0,0.0,4.5,19473.0,15.0,2.0,2017-04-17T19:00:00Z,17 Apr 20:00,0.0,0.0,90.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,33.0,0.0,38914.0,4.0,3.0,0.0,2.0,1.0,4.0,2.0,-165.0,1240.0,1405.0,43.0,True,0.0,0.0
7,0,1,0.11161576956510544,90,MC,Middlesbrough,Burnley,0,0,2017-04-08,3456,2016,133470,0.12336814403533936,0,1,0,0.11161576956510544,0.14830629527568817,0.036690518260002136,0.0,37.0,0.0,0.0,0.0,12.0,1.0,1.0,34.0,21.8,0.0,0.0,283.0,0.0,0.0,315.0,1.0,0.0,0.0,5.3,18811.0,14.0,1.0,2017-04-08T14:00:00Z,08 Apr 15:00,0.0,0.0,90.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,8.0,0.0,32.0,0.0,39047.0,4.0,0.0,0.0,0.0,0.0,17.0,3.0,-352.0,706.0,1058.0,43.0,True,0.0,0.0
8,0,1,0.02231803722679615,90,MC,Hull,Middlesbrough,4,2,2017-04-05,3442,2016,133539,0,0,0,0,0.02231803722679615,0.03723739832639694,0.014919360168278217,0.0,56.0,0.0,0.0,0.0,11.0,0.0,5.0,48.0,6.8,1.0,0.0,283.0,0.0,0.0,303.0,1.0,4.0,0.0,2.6,18150.0,9.6,0.0,2017-04-05T18:45:00Z,05 Apr 19:45,0.0,0.0,90.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,10.0,0.0,31.0,0.0,39383.0,1.0,0.0,0.0,2.0,4.0,10.0,1.0,-430.0,454.0,884.0,43.0,False,0.0,1.0
9,0,1,0.015315378084778786,90,DMC,Swansea,Middlesbrough,0,0,2017-04-02,3438,2016,133101,0.11844833195209503,0,1,0,0.015315378084778786,0.4903910756111145,0.35662737488746643,0.0,29.0,0.0,0.0,0.0,5.0,1.0,1.0,27.0,11.3,0.0,0.0,283.0,0.0,0.0,299.0,4.0,0.0,0.0,1.9,17493.0,4.8,1.0,2017-04-02T12:30:00Z,02 Apr 13:30,0.0,0.0,90.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,3.0,0.0,30.0,0.0,39800.0,0.0,1.0,1.0,0.0,0.0,3.0,3.0,-1291.0,490.0,1781.0,43.0,False,0.0,0.0
10,0,0,0,90,MC,Middlesbrough,Manchester United,1,3,2017-03-19,3425,2016,133497,0,0,0,0,0,0.3452472686767578,0.3452472686767578,0.0,69.0,0.0,0.0,0.0,18.0,0.0,2.0,64.0,5.8,2.0,0.0,283.0,0.0,0.0,285.0,0.0,3.0,0.0,2.3,16839.0,17.2,0.0,2017-03-19T12:00:00Z,19 Mar 12:00,0.0,0.0,90.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,10.0,0.0,29.0,0.0,41061.0,1.0,2.0,0.0,3.0,1.0,0.0,1.0,-1835.0,394.0,2229.0,43.0,True,0.0,1.0
11,0,0,0,90,MC,Stoke,Middlesbrough,2,0,2017-03-04,3403,2016,133020,0.04742607846856117,0,1,0,0,0.07712852954864502,0.07712852954864502,0.0,62.0,0.0,0.0,0.0,20.0,0.0,3.0,57.0,14.3,0.0,0.0,283.0,0.0,0.0,264.0,1.0,2.0,0.0,2.9,15894.0,14.8,1.0,2017-03-04T15:00:00Z,04 Mar 15:00,0.0,0.0,90.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,12.0,0.0,27.0,0.0,46166.0,1.0,2.0,0.0,0.0,2.0,0.0,2.0,-911.0,1849.0,2760.0,43.0,False,0.0,0.0
12,0,0,0,90,MC,Middlesbrough,Everton,0,0,2017-02-11,3382,2016,130936,0,0,0,0,0,0.021109968423843384,0.021109968423843384,0.0,38.0,0.0,0.0,0.0,10.0,1.0,2.0,33.0,3.4,0.0,0.0,283.0,0.0,0.0,246.0,2.0,0.0,0.0,0.8,14692.0,4.8,1.0,2017-02-11T15:00:00Z,11 Feb 15:00,0.0,0.0,90.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,8.0,0.0,25.0,0.0,46221.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,3928.0,6395.0,2467.0,43.0,True,0.0,1.0
13,0,0,0,90,MC,Tottenham,Middlesbrough,1,0,2017-02-04,3377,2016,130071,0,0,0,0,0,0.11587648838758469,0.11587648838758469,0.0,28.0,0.0,0.0,0.0,11.0,0.0,4.0,22.0,1.1,1.0,0.0,283.0,0.0,0.0,238.0,1.0,1.0,0.0,1.3,14043.0,11.8,0.0,2017-02-04T17:30:00Z,04 Feb 17:30,0.0,0.0,90.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,3.0,0.0,24.0,0.0,42074.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,-464.0,1623.0,2087.0,43.0,False,0.0,0.0
14,0,1,0.012573604471981525,90,MC,Middlesbrough,West Bromwich Albion,1,1,2017-01-31,3363,2016,132212,0.16266638040542603,0,4,0,0.012573604471981525,0.12596525251865387,0.0787479504942894,0.0,58.0,0.0,0.0,0.0,21.0,0.0,3.0,54.0,52.3,0.0,0.0,283.0,0.0,0.0,224.0,0.0,1.0,0.0,7.8,13400.0,25.0,4.0,2017-01-31T19:45:00Z,31 Jan 19:45,0.0,0.0,90.0,0.0,1.0,19.0,0.0,0.0,0.0,0.0,8.0,0.0,23.0,0.0,42506.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,94.0,2977.0,2883.0,43.0,True,0.0,0.0
15,0,0,0,90,MC,Middlesbrough,West Ham,1,3,2017-01-21,3351,2016,131798,0,0,0,0,0,0.4583246409893036,0.4583246409893036,0.0,74.0,0.0,0.0,0.0,19.0,0.0,2.0,62.0,13.6,0.0,0.0,283.0,0.0,0.0,217.0,0.0,3.0,0.0,2.9,12766.0,13.6,1.0,2017-01-21T15:00:00Z,21 Jan 15:00,0.0,0.0,90.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,15.0,0.0,22.0,0.0,42271.0,2.0,2.0,0.0,3.0,1.0,2.0,2.0,-825.0,3471.0,4296.0,43.0,True,0.0,0.0
16,0,0,0,90,MC,Middlesbrough,Leicester,0,0,2017-01-02,3330,2016,129538,0.03581635281443596,0,1,0,0,0.10503798723220825,0.06922163814306259,0.0,59.0,0.0,0.0,0.0,12.0,1.0,5.0,51.0,14.5,0.0,0.0,283.0,0.0,0.0,195.0,3.0,0.0,0.0,3.2,11511.0,17.0,1.0,2017-01-02T12:30:00Z,02 Jan 12:30,0.0,0.0,90.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,20.0,0.0,33684.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,3324.0,6163.0,2839.0,43.0,True,0.0,1.0
17,0,0,0,10,Sub,Manchester United,Middlesbrough,2,1,2016-12-31,3159,2016,130681,0,0,0,0,0,0.01721942238509655,0.01721942238509655,0.0,7.0,0.0,0.0,0.0,3.0,0.0,2.0,4.0,0.0,0.0,0.0,283.0,0.0,0.0,187.0,1.0,2.0,0.0,1.0,10889.0,10.4,0.0,2016-12-31T15:00:00Z,31 Dec 15:00,0.0,0.0,13.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,19.0,0.0,30197.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,4098.0,5186.0,1088.0,43.0,False,0.0,0.0
18,0,0,0,90,MC,Burnley,Middlesbrough,1,0,2016-12-26,3150,2016,129136,0,0,0,0,0,0,0,0.0,41.0,0.0,0.0,0.0,18.0,0.0,3.0,34.0,1.3,4.0,0.0,283.0,0.0,0.0,172.0,0.0,1.0,0.0,1.4,10271.0,12.6,0.0,2016-12-26T15:00:00Z,26 Dec 15:00,0.0,0.0,90.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,9.0,0.0,18.0,0.0,25889.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1193.0,2131.0,938.0,43.0,False,0.0,0.0
