,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,1,0.02973407506942749,7,Sub,Everton,Hull,4,0,2017-03-18,3427,2016,133298,0,0,0,0,0.02973407506942749,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,164.0,0.0,0.0,283.0,0.0,2.0,0.0,0.2,16720.0,0.0,0.0,2017-03-18T15:00:00Z,18 Mar 15:00,0.0,0.0,9.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,185918.0,1.0,0.0,1.0,0.0,4.0,4.0,1.0,-6268.0,1318.0,7586.0,45.0,False,0.0,0.0
1,0,0,0,11,Sub,Leicester,Hull,3,1,2017-03-04,3400,2016,132176,0,0,0,0,0,0.07869583368301392,0.07869583368301392,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.8,0.0,0.0,164.0,0.0,0.0,261.0,0.0,1.0,0.0,0.4,15750.0,0.0,0.0,2017-03-04T15:00:00Z,04 Mar 15:00,0.0,0.0,13.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,27.0,0.0,195454.0,2.0,0.0,0.0,1.0,3.0,4.0,1.0,-3021.0,5966.0,8987.0,45.0,False,0.0,0.0
2,0,1,0.1226540356874466,11,Sub,Arsenal,Hull,2,0,2017-02-11,3380,2016,130406,0,0,0,0,0.1226540356874466,0,0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.5,0.0,0.0,164.0,0.0,0.0,241.0,0.0,1.0,0.0,0.5,14573.0,0.0,0.0,2017-02-11T12:30:00Z,11 Feb 12:30,0.0,0.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,25.0,0.0,203173.0,1.0,0.0,1.0,0.0,2.0,6.0,1.0,-15143.0,2294.0,17437.0,45.0,False,0.0,0.0
3,0,0,0,6,Sub,Chelsea,Hull,2,0,2017-01-22,3359,2016,131482,0,0,0,0,0,0,0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,0.4,0.0,0.0,164.0,0.0,0.0,213.0,0.0,1.0,0.0,0.3,12647.0,0.2,0.0,2017-01-22T16:30:00Z,22 Jan 16:30,0.0,0.0,16.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,234956.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,-1497.0,12933.0,14430.0,45.0,False,0.0,0.0
4,0,0,0,90,DMR,Hull,Bournemouth,3,1,2017-01-14,3344,2016,130411,0.11600933223962784,0,2,0,0,0.11600933223962784,0,0.0,17.0,0.0,0.0,0.0,16.0,0.0,1.0,14.0,25.8,1.0,0.0,164.0,0.0,0.0,203.0,1.0,1.0,0.0,4.1,12016.0,11.0,2.0,2017-01-14T15:00:00Z,14 Jan 15:00,0.0,0.0,90.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,21.0,0.0,235839.0,3.0,5.0,0.0,1.0,3.0,4.0,2.0,9387.0,34194.0,24807.0,45.0,True,0.0,0.0
5,0,3,0.2095925211906433,90,FW,West Bromwich Albion,Hull,3,1,2017-01-02,3333,2016,129995,0.02060341276228428,0,1,0,0.2095925211906433,0.2599782645702362,0.02978232502937317,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,18.7,1.0,0.0,164.0,0.0,0.0,199.0,1.0,3.0,0.0,3.1,11392.0,0.0,1.0,2017-01-02T15:00:00Z,02 Jan 15:00,0.0,0.0,90.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,0.0,224812.0,4.0,0.0,3.0,1.0,3.0,18.0,2.0,2372.0,15909.0,13537.0,45.0,False,0.0,0.0
6,0,2,0.2592298090457916,87,FW,Hull,Everton,2,2,2016-12-31,3155,2016,130334,0,0,0,0,0.2592298090457916,0.13882073760032654,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,0,0,10,Sub,Hull,Manchester City,0,3,2016-12-26,3152,2016,129291,0,0,0,0,0,0,0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.3,0.0,0.0,164.0,0.0,0.0,174.0,0.0,1.0,0.0,0.2,10152.0,1.2,0.0,2016-12-26T17:15:00Z,26 Dec 17:15,0.0,0.0,13.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,217812.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0,4218.0,14224.0,10006.0,45.0,True,0.0,0.0
8,0,0,0,17,Sub,West Ham,Hull,1,0,2016-12-17,3137,2016,128975,0,0,0,0,0,0,0,0.0,6.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.8,0.0,0.0,164.0,0.0,0.0,170.0,0.0,1.0,0.0,0.5,9536.0,2.2,0.0,2016-12-17T15:00:00Z,17 Dec 15:00,0.0,0.0,21.0,1.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,212433.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,14996.0,20385.0,5389.0,45.0,False,0.0,0.0
9,0,1,0.10608591139316559,90,FW,Tottenham,Hull,3,0,2016-12-15,3134,2016,131508,0.17141014337539673,0,2,0,0.10608591139316559,0.2774960696697235,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
