,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,67,MC,Southampton,Everton,1,2,2022-10-01,18290,2022,552306,0,0,0,0,0,0.025744784623384476,0.025744784623384476,0.0,,,,0.0,1.0,0.0,,,0.9,,,21.0,,,89.0,,2.0,0.0,0.6,,5.0,,2022-10-01T14:00:00Z,,,,66.0,,,8.0,0.0,,0.0,0.0,,0.0,9.0,0.0,5524.0,,,,2.0,1.0,0.0,1.0,-234.0,191.0,425.0,48.0,True,,1.0
1,0,0,0,15,Sub,Wolverhampton Wanderers,Southampton,1,0,2022-09-03,18256,2022,547210,0,0,0,0,0,0,0,0.0,,,,0.0,4.0,0.0,,,0.5,,,21.0,,,60.0,,0.0,0.0,0.5,,2.6,,2022-09-03T14:00:00Z,,,,17.0,,,20.0,0.0,,0.0,0.0,,0.0,6.0,0.0,5485.0,,,,0.0,1.0,2.0,1.0,502.0,1161.0,659.0,48.0,False,,0.0
2,0,1,0.017064008861780167,49,MR,Roma,Venezia,1,1,2022-05-14,17123,2021,535602,0,0,0,0,0.017064008861780167,0.12411635369062424,0.12411635369062424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,0,0,58,DMR,Roma,Bologna,0,0,2022-05-01,17102,2021,531443,0.058850355446338654,0,1,0,0,0.0875324234366417,0.02868206612765789,0.0,,,,0.0,0.0,0.0,,,0.0,,,13.0,,,349.0,,0.0,0.0,0.0,,0.0,,2022-05-01T15:30:00Z,,,,0.0,,,19.0,0.0,,0.0,0.0,,0.0,35.0,0.0,4092.0,,,,2.0,1.0,0.0,0.0,-15.0,0.0,15.0,52.0,False,,0.0
4,0,0,0,80,MR,Roma,Verona,2,2,2022-02-19,17011,2021,514379,0.021053170785307884,0,1,0,0,0.021053170785307884,0,0.0,,,,0.0,0.0,0.0,,,0.0,,,13.0,,,251.0,,0.0,0.0,0.0,,0.0,,2022-02-19T15:00:00Z,,,,0.0,,,3.0,0.0,,0.0,0.0,,0.0,26.0,0.0,4319.0,,,,1.0,2.0,0.0,0.0,-44.0,0.0,44.0,52.0,True,,0.0
5,0,0,0,11,Sub,Sassuolo,Roma,2,2,2022-02-13,17003,2021,513572,0,0,0,0,0,0.07572595030069351,0.07572595030069351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,1,0.0928712859749794,59,ML,Roma,Genoa,0,0,2022-02-05,16991,2021,510969,0,0,0,0,0.0928712859749794,0.15588435530662537,0.06301307678222656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,1,0.15713553130626678,63,ML,Empoli,Roma,2,4,2022-01-23,16977,2021,510626,0.03098655864596367,0,1,0,0.15713553130626678,0.42113956809043884,0.2330174744129181,0.0,,,,0.0,0.0,0.0,,,0.0,,,13.0,,,221.0,,0.0,0.0,0.0,,0.0,,2022-01-23T14:00:00Z,,,,0.0,,,5.0,0.0,,0.0,0.0,,0.0,23.0,0.0,4526.0,,,,0.0,0.0,0.0,0.0,-179.0,0.0,179.0,52.0,True,,0.0
8,0,0,0,90,DR,Roma,Cagliari,1,0,2022-01-16,16971,2021,508703,0.15616515278816223,0,1,0,0,0.932476282119751,0.7763111591339111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,0,0,90,DR,Roma,Juventus,3,4,2022-01-09,16962,2021,507465,0.08387847244739532,0,1,0,0,0.1929214596748352,0.1929214596748352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
