,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,90,GK,Leicester,Southampton,4,1,2022-05-22,16752,2021,537869,0,0,0,0,0,0,0,0.0,,,,0.0,11.0,0.0,,,0.0,,,334.0,,,377.0,,4.0,0.0,0.0,,0.0,,2022-05-22T15:00:00Z,,,,90.0,,,9.0,0.0,,0.0,0.0,,0.0,38.0,2.0,105831.0,,,,1.0,4.0,0.0,0.0,695.0,1581.0,886.0,43.0,False,,0.0
1,0,0,0,90,GK,Southampton,Liverpool,1,2,2022-05-17,16740,2021,536746,0,0,0,0,0,0,0,0.0,,,,0.0,15.0,0.0,,,0.0,,,334.0,,,366.0,,2.0,0.0,1.4,,14.4,,2022-05-17T18:45:00Z,,,,90.0,,,11.0,0.0,,0.0,0.0,,0.0,37.0,3.0,104479.0,,,,2.0,1.0,0.0,2.0,-816.0,155.0,971.0,43.0,True,,0.0
2,0,0,0,90,GK,Southampton,Brighton,1,1,2021-12-04,16521,2021,499887,0,0,0,0,0,0,0,0.0,,,,0.0,14.0,0.0,,,0.0,,,334.0,,,146.0,,1.0,0.0,1.7,,17.0,,2021-12-04T15:00:00Z,,,,90.0,,,4.0,0.0,,0.0,0.0,,0.0,15.0,3.0,438635.0,,,,1.0,1.0,0.0,3.0,4585.0,19351.0,14766.0,46.0,True,,0.0
3,0,0,0,90,GK,Southampton,Leicester,2,2,2021-12-01,16514,2021,499088,0.023409102112054825,0,1,0,0,0.023409102112054825,0,0.0,,,,0.0,17.0,0.0,,,10.0,,,334.0,,,139.0,,2.0,0.0,4.2,,31.6,,2021-12-01T19:30:00Z,,,,90.0,,,9.0,0.0,,0.0,0.0,,0.0,14.0,4.0,431841.0,,,,2.0,2.0,0.0,2.0,-11846.0,9251.0,21097.0,46.0,True,,0.0
4,0,0,0,90,GK,Liverpool,Southampton,4,0,2021-11-27,16503,2021,497415,0,0,0,0,0,0.28424549102783203,0.28424549102783203,0.0,,,,0.0,11.0,0.0,,,0.0,,,334.0,,,128.0,,4.0,0.0,1.0,,10.4,,2021-11-27T15:00:00Z,,,,90.0,,,11.0,0.0,,0.0,0.0,,0.0,13.0,2.0,442082.0,,,,0.0,4.0,0.0,0.0,-22037.0,15168.0,37205.0,46.0,False,,0.0
5,0,0,0,90,GK,Norwich,Southampton,2,1,2021-11-20,16492,2021,495798,0,0,0,0,0,0.05825797840952873,0.05825797840952873,0.0,,,,0.0,12.0,0.0,,,0.0,,,334.0,,,117.0,,2.0,0.0,1.4,,14.0,,2021-11-20T15:00:00Z,,,,90.0,,,15.0,0.0,,0.0,0.0,,0.0,12.0,2.0,471755.0,,,,1.0,2.0,0.0,1.0,192168.0,203388.0,11220.0,46.0,False,,0.0
6,0,0,0,90,GK,Southampton,Aston Villa,1,0,2021-11-05,16484,2021,493604,0,0,0,0,0,0,0,0.0,,,,2.0,26.0,1.0,,,0.0,,,334.0,,,109.0,,0.0,0.0,2.1,,20.8,,2021-11-05T20:00:00Z,,,,90.0,,,2.0,0.0,,0.0,0.0,,0.0,11.0,3.0,262420.0,,,,0.0,1.0,0.0,9.0,23377.0,30181.0,6804.0,45.0,True,,0.0
7,0,0,0,90,GK,Watford,Southampton,0,1,2021-10-30,16474,2021,492196,0,0,0,0,0,0.7991949319839478,0.7991949319839478,0.0,,,,1.0,28.0,1.0,,,0.0,,,334.0,,,99.0,,0.0,0.0,2.0,,20.2,,2021-10-30T14:00:00Z,,,,90.0,,,18.0,0.0,,0.0,0.0,,0.0,10.0,3.0,235498.0,,,,1.0,0.0,0.0,8.0,13229.0,25351.0,12122.0,45.0,False,,0.0
8,0,0,0,90,GK,Southampton,Burnley,2,2,2021-10-23,16464,2021,489909,0,0,0,0,0,0.19117781519889832,0.19117781519889832,0.0,,,,0.0,15.0,0.0,,,0.0,,,334.0,,,89.0,,2.0,0.0,2.4,,23.8,,2021-10-23T14:00:00Z,,,,90.0,,,5.0,0.0,,0.0,0.0,,0.0,9.0,3.0,224080.0,,,,2.0,2.0,0.0,2.0,31812.0,37522.0,5710.0,45.0,True,,0.0
9,0,0,0,90,GK,Southampton,Leeds,1,0,2021-10-16,16454,2021,488183,0,0,0,0,0,0,0,0.0,,,,0.0,17.0,1.0,,,0.0,,,334.0,,,79.0,,0.0,0.0,0.6,,5.6,,2021-10-16T14:00:00Z,,,,90.0,,,10.0,0.0,,0.0,0.0,,0.0,8.0,0.0,186568.0,,,,0.0,1.0,0.0,5.0,16462.0,27086.0,10624.0,45.0,True,,1.0
