,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,4,0.42135196924209595,90,AMC,Lyon,Toulouse,1,1,2022-10-07,19743,2022,553794,0.18992550671100616,1,3,0,0.42135196924209595,0.7774996757507324,0.3687320053577423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,1,0.028051523491740227,75,FW,Lens,Lyon,1,0,2022-10-02,19734,2022,553501,0,0,0,0,0.028051523491740227,0.028051523491740227,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,3,0.35057201981544495,90,FW,Lyon,Paris Saint Germain,0,1,2022-09-18,19724,2022,551781,0.2519281506538391,0,4,0,0.35057201981544495,0.6025002002716064,0.06051670387387276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,6,0.7632464170455933,90,FW,Monaco,Lyon,2,1,2022-09-11,19709,2022,550077,0.5264679193496704,0,3,0,0.7632464170455933,1.3970472812652588,0.2525010406970978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,5,1.031111478805542,90,FW,Lorient,Lyon,3,1,2022-09-07,19661,2022,548599,0.4347507953643799,0,3,1,1.031111478805542,1.4537569284439087,0.0677076205611229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,3,0.16803303360939026,65,FW,Lyon,Angers,5,0,2022-09-03,19704,2022,547525,0,0,0,1,0.16803303360939026,0.12261147052049637,0.06831931322813034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,2,0.7617961764335632,85,FW,Lyon,Auxerre,2,1,2022-08-31,19692,2022,546137,0.26917484402656555,0,3,0,0.7617961764335632,0.350180983543396,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,3,0.4729464650154114,90,FW,Reims,Lyon,1,1,2022-08-28,19686,2022,545380,0,0,0,0,0.4729464650154114,0.4729464650154114,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1,3,0.6958266496658325,90,FW,Lyon,Troyes,4,1,2022-08-19,19673,2022,542036,0.01589026488363743,0,1,1,0.6958266496658325,0.8345502018928528,0.12283328920602798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,2,0.7785480618476868,90,FW,Lyon,Ajaccio,2,1,2022-08-05,19648,2022,539160,0.08436484634876251,1,1,0,0.01845293678343296,0.16826632618904114,0.06544855237007141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,2,0.17096175253391266,20,Sub,Arsenal,Everton,5,1,2022-05-22,16746,2021,537838,0,0,0,0,0.17096175253391266,0.17096175253391266,0,0.0,,,,0.0,-3.0,0.0,,,0.0,,,6.0,,,371.0,,0.0,0.0,0.0,,0.0,,2022-05-22T15:00:00Z,,,,23.0,,,8.0,0.0,,0.0,0.0,,0.0,38.0,0.0,279080.0,,,,1.0,5.0,0.0,1.0,-10409.0,3746.0,14155.0,81.0,True,,0.0
11,0,0,0,27,Sub,Newcastle United,Arsenal,2,0,2022-05-16,16741,2021,536743,0,0,0,0,0,0,0,0.0,,,,0.0,3.0,0.0,,,1.3,,,6.0,,,365.0,,1.0,0.0,0.2,,0.2,,2022-05-16T19:00:00Z,,,,28.0,,,14.0,0.0,,0.0,0.0,,0.0,37.0,0.0,286961.0,,,,0.0,2.0,0.0,1.0,-23168.0,1702.0,24870.0,81.0,False,,0.0
12,0,0,0,15,Sub,Tottenham,Arsenal,3,0,2022-05-12,16593,2021,535033,0,0,0,0,0,0,0,0.0,,,,0.0,2.0,0.0,,,0.3,,,6.0,,,218.0,,0.0,0.0,0.0,,0.0,,2022-05-12T18:45:00Z,,,,17.0,,,17.0,0.0,,0.0,0.0,,0.0,36.0,0.0,309347.0,,,,0.0,3.0,0.0,1.0,-47390.0,3742.0,51132.0,81.0,False,,0.0
13,0,0,0,1,Sub,Arsenal,Leeds,2,1,2022-05-08,16735,2021,533463,0,0,0,0,0,0,0,0.0,,,,0.0,2.0,0.0,,,0.0,,,6.0,,,351.0,,0.0,0.0,0.0,,0.0,,2022-05-08T13:00:00Z,,,,1.0,,,10.0,0.0,,0.0,0.0,,0.0,36.0,0.0,309347.0,,,,1.0,2.0,0.0,1.0,-47390.0,3742.0,51132.0,81.0,True,,0.0
14,0,0,0,1,Sub,Chelsea,Arsenal,2,4,2022-04-20,16618,2021,527939,0,0,0,0,0,0,0,0.0,,,,0.0,1.0,0.0,,,0.0,,,6.0,,,243.0,,0.0,0.0,0.0,,0.0,,2022-04-20T18:45:00Z,,,,1.0,,,6.0,0.0,,0.0,0.0,,0.0,33.0,0.0,607422.0,,,,4.0,2.0,0.0,1.0,-142099.0,22505.0,164604.0,84.0,False,,0.0
