,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists_x,key_passes,npg,npxG,xGChain,xGBuildup,assists_y,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,2,0.08364320546388626,90,MC,Brighton,Tottenham,0,1,2022-10-08,18294,2022,554375,0.06994655728340149,0,2,0,0.08364320546388626,0.31150636076927185,0.1579166054725647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,90,MC,Liverpool,Brighton,3,3,2022-10-01,18288,2022,552352,0,0,0,0,0,1.2193554639816284,1.2193554639816284,0.0,0.0,14.0,0.0,6.5,116.0,87.0,3.0,0.0,2.4,17.4,2022-10-01T14:00:00Z,90.0,12.0,0.0,0.0,0.0,0.0,9.0,0.0,771854.0,3.0,3.0,0.0,2.0,151163.0,217853.0,66690.0,57.0,False,0.0
2,2,4,0.906313419342041,90,MC,Brighton,Leicester,5,2,2022-09-04,18259,2022,547880,0,0,0,1,0.14514456689357758,0.6154765486717224,0.5507161617279053,0.0,3.0,46.0,0.0,3.3,116.0,53.0,2.0,2.0,12.0,77.6,2022-09-04T13:00:00Z,90.0,10.0,0.0,0.0,0.0,0.0,6.0,0.0,165483.0,2.0,5.0,39.0,14.0,111733.0,126082.0,14349.0,55.0,True,1.0
3,1,1,0.7611688375473022,90,MC,Fulham,Brighton,2,1,2022-08-30,18242,2022,545843,0,0,0,0,0,0,0,0.0,3.0,30.0,0.0,2.3,116.0,44.0,2.0,1.0,6.8,48.2,2022-08-30T18:30:00Z,90.0,9.0,0.0,0.0,0.0,0.0,5.0,0.0,39327.0,1.0,2.0,17.0,10.0,1666.0,8091.0,6425.0,55.0,False,0.0
4,0,0,0,90,MC,Brighton,Leeds,1,0,2022-08-27,18234,2022,544403,0.02478870376944542,0,1,0,0,0.17837360501289368,0.15358489751815796,0.0,0.0,4.0,1.0,11.8,116.0,34.0,0.0,0.0,2.2,10.4,2022-08-27T14:00:00Z,90.0,11.0,0.0,0.0,0.0,0.0,4.0,0.0,36568.0,0.0,1.0,0.0,2.0,15164.0,19470.0,4306.0,55.0,True,1.0
5,1,2,0.7788697481155396,90,MC,West Ham,Brighton,0,2,2022-08-21,18229,2022,542937,0,0,0,0,0.017700890079140663,0.8968154191970825,0.8791145086288452,0.0,3.0,36.0,1.0,6.6,116.0,30.0,0.0,1.0,6.9,44.2,2022-08-21T13:00:00Z,90.0,19.0,0.0,0.0,0.0,0.0,3.0,0.0,16833.0,2.0,0.0,18.0,11.0,-1164.0,1931.0,3095.0,55.0,False,0.0
6,0,2,0.027643997222185135,90,MC,Brighton,Newcastle United,0,0,2022-08-13,18213,2022,540679,0,0,0,0,0.027643997222185135,0.5570229887962341,0.5293789505958557,0.0,0.0,13.0,1.0,4.0,116.0,14.0,0.0,0.0,1.9,13.2,2022-08-13T14:00:00Z,90.0,15.0,0.0,0.0,0.0,0.0,2.0,0.0,16769.0,0.0,0.0,2.0,2.0,-548.0,2118.0,2666.0,55.0,True,1.0
7,0,2,0.036125797778367996,90,MC,Manchester United,Brighton,1,2,2022-08-07,18209,2022,539814,0,0,0,0,0.036125797778367996,0.036125797778367996,0,0.0,0.0,1.0,0.0,1.6,116.0,9.0,1.0,0.0,1.1,0.0,2022-08-07T13:00:00Z,90.0,14.0,1.0,0.0,0.0,0.0,1.0,0.0,14464.0,2.0,1.0,9.0,0.0,0.0,0.0,0.0,55.0,False,0.0
8,0,1,0.01043703407049179,90,AMC,Brighton,West Ham,3,1,2022-05-22,16748,2021,537723,0.15688973665237427,0,3,0,0.01043703407049179,0.8052052855491638,0.6378785371780396,0.0,0.0,21.0,0.0,0.0,74.0,373.0,1.0,0.0,0.0,0.0,2022-05-22T15:00:00Z,90.0,19.0,0.0,0.0,0.0,0.0,38.0,0.0,44856.0,1.0,3.0,0.0,2.0,-123.0,2071.0,2194.0,51.0,True,0.0
9,0,4,0.2452833354473114,90,AMC,Leeds,Brighton,1,1,2022-05-15,16743,2021,536102,0.525539219379425,0,3,0,0.2452833354473114,1.0957106351852417,0.33380767703056335,0.0,0.0,17.0,0.0,38.6,74.0,363.0,1.0,0.0,8.5,11.0,2022-05-15T13:00:00Z,90.0,10.0,0.0,0.0,0.0,0.0,37.0,0.0,45118.0,1.0,1.0,35.0,2.0,1633.0,3128.0,1495.0,51.0,False,0.0
10,0,1,0.5938321352005005,69,AMC,Brighton,Manchester United,4,0,2022-05-07,16733,2021,534180,0,0,0,0,0.5938321352005005,1.2133744955062866,1.2133744955062866,0.0,0.0,2.0,1.0,7.5,74.0,353.0,0.0,0.0,3.6,8.2,2022-05-07T16:30:00Z,66.0,13.0,0.0,0.0,0.0,0.0,36.0,0.0,42949.0,0.0,4.0,20.0,3.0,-1095.0,1467.0,2562.0,51.0,True,0.0
11,1,5,1.7447220087051392,90,AMC,Wolverhampton Wanderers,Brighton,0,3,2022-04-30,16716,2021,530494,0.05657896026968956,0,1,0,0.22238434851169586,0.4487149119377136,0.21627405285835266,0.0,0.0,24.0,1.0,13.3,74.0,350.0,0.0,1.0,11.2,43.4,2022-04-30T14:00:00Z,90.0,20.0,0.0,1.0,0.0,0.0,35.0,0.0,44318.0,3.0,0.0,55.0,6.0,-1316.0,664.0,1980.0,51.0,False,0.0
12,0,1,0.051124174147844315,90,MC,Brighton,Southampton,2,2,2022-04-24,16713,2021,529270,0.013474613428115845,0,1,0,0.051124174147844315,0.06651308387517929,0.015388908796012402,0.0,0.0,11.0,0.0,25.0,74.0,333.0,2.0,0.0,5.5,21.8,2022-04-24T13:00:00Z,90.0,16.0,0.0,0.0,0.0,0.0,34.0,0.0,45561.0,2.0,2.0,8.0,2.0,-1470.0,1346.0,2816.0,51.0,True,0.0
