,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,ea_index,errors_leading_to_goal,errors_leading_to_goal_attempt,fouls,id_y,key_passes_y,kickoff_time_formatted,loaned_in,loaned_out,offside,open_play_crosses,penalties_conceded,recoveries,tackled,tackles,target_missed,winning_goals
0,0,0,0,46,FWR,Arsenal,Brighton,2,0,2021-05-23,14805,2020,473525,0.10073334723711014,0,1,0,0,0.10073334723711014,0,0,0,6,0,12.0,71,369,0,0,2.0,4.4,2021-05-23T15:00:00Z,45,1,0,0,0,0,38,0,2816,0,2,4.0,1,50,121,71,54,False,0,,,,,,,,,,,,,,,,,,,,,,,
1,0,2,0.08411972224712372,54,DMR,Brighton,Manchester City,3,2,2021-05-18,14795,2020,472351,0,0,0,0,0.08411972224712372,0.08411972224712372,0,0,0,0,0,2.1,71,359,2,0,2.6,5.2,2021-05-18T18:00:00Z,48,12,0,0,0,0,37,0,2754,2,3,19.0,0,43,70,27,54,True,1,,,,,,,,,,,,,,,,,,,,,,,
2,0,2,0.34464430809020996,74,FWR,Brighton,West Ham,1,1,2021-05-15,14785,2020,471069,0.09645569324493408,0,1,0,0.34464430809020996,0.4912588596343994,0.21845833957195282,0,0,4,1,17.8,71,349,0,0,3.7,1.0,2021-05-15T19:00:00Z,72,19,0,0,0,0,36,0,2708,1,1,18.0,3,28,46,18,54,True,0,,,,,,,,,,,,,,,,,,,,,,,
3,0,0,0,59,MR,Wolverhampton Wanderers,Brighton,2,1,2021-05-09,14784,2020,469100,0,0,0,0,0,0.11009287089109421,0.11009287089109421,0,0,4,0,3.1,71,348,0,0,1.0,4.8,2021-05-09T11:00:00Z,57,20,0,0,0,0,35,0,2667,1,2,2.0,1,-1,25,26,54,False,0,,,,,,,,,,,,,,,,,,,,,,,
4,0,1,0.030619552358984947,8,Sub,Brighton,Leeds,2,0,2021-05-01,14765,2020,466955,0,0,0,0,0.030619552358984947,0.030619552358984947,0,0,0,4,0,1.2,71,329,0,0,1.2,1.2,2021-05-01T14:00:00Z,10,10,0,0,0,0,34,0,2655,0,2,10.0,1,7,29,22,54,True,0,,,,,,,,,,,,,,,,,,,,,,,
5,0,2,0.07099305093288422,22,Sub,Sheffield United,Brighton,1,0,2021-04-24,14762,2020,465677,1.218246579170227,0,2,0,0.07099305093288422,1.2680532932281494,0.872063398361206,0,0,10,0,30.0,71,326,0,0,4.1,4.0,2021-04-24T19:00:00Z,23,15,0,0,0,0,33,0,2644,0,1,7.0,1,12,34,22,54,False,0,,,,,,,,,,,,,,,,,,,,,,,
6,0,0,0,2,Sub,Brighton,Everton,0,0,2021-04-12,14735,2020,462482,0,0,0,0,0,0,0,0,0,3,0,0.0,71,299,0,0,0.0,0.0,2021-04-12T19:15:00Z,3,7,0,0,0,0,31,0,2613,0,0,0.0,1,-8,26,34,54,True,0,,,,,,,,,,,,,,,,,,,,,,,
7,0,0,0,1,Sub,Manchester United,Brighton,2,1,2021-04-04,14731,2020,460521,0,0,0,0,0,0,0,0,0,2,0,1.0,71,295,0,0,0.1,0.0,2021-04-04T18:30:00Z,3,13,0,0,0,0,30,0,2612,1,2,0.0,1,-32,21,53,54,False,0,,,,,,,,,,,,,,,,,,,,,,,
8,0,0,0,1,Sub,Brighton,Leicester,1,2,2021-03-06,14696,2020,454912,0,0,0,0,0,0,0,0,0,3,0,0.3,71,260,0,0,0.0,0.0,2021-03-06T20:00:00Z,1,9,0,0,0,0,27,0,2539,2,1,0.0,1,0,25,25,54,True,0,,,,,,,,,,,,,,,,,,,,,,,
9,0,1,0.09738336503505707,8,Sub,Brighton,Crystal Palace,1,2,2021-02-22,14677,2020,451698,0,0,0,0,0.09738336503505707,0.09738336503505707,0,0,0,4,0,0.8,71,241,1,0,2.0,1.2,2021-02-22T20:00:00Z,9,6,0,0,0,0,25,0,2509,2,1,18.0,1,-22,43,65,54,True,0,,,,,,,,,,,,,,,,,,,,,,,
