,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists_x,key_passes,npg,npxG,xGChain,xGBuildup,assists_y,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,1,0.035897817462682724,87,AMR,Wolverhampton Wanderers,Manchester United,1,2,2021-05-23,14814,2020,473496,0.36912643909454346,0,1,0,0.035897817462682724,0.8178793787956238,0.4128551185131073,0.0,0.0,17.0,0.0,17.0,640.0,378.0,1.0,0.0,3.8,12.2,2021-05-23T15:00:00Z,81.0,20.0,0.0,0.0,0.0,0.0,38.0,0.0,4068.0,2.0,1.0,9.0,2.0,2511.0,2712.0,201.0,54.0,False,0.0
1,0,0,0,6,Sub,Manchester United,Fulham,1,1,2021-05-18,14800,2020,472304,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.4,640.0,364.0,0.0,0.0,0.1,0.4,2021-05-18T17:00:00Z,7.0,8.0,0.0,0.0,0.0,0.0,37.0,0.0,1392.0,1.0,1.0,0.0,1.0,141.0,209.0,68.0,54.0,True,0.0
2,0,0,0,79,AMR,Manchester United,Leicester,1,2,2021-05-11,14788,2020,469902,0.054054588079452515,1,1,0,0,0.054054588079452515,0,1.0,0.0,17.0,0.0,13.8,640.0,352.0,2.0,0.0,3.9,25.4,2021-05-11T17:00:00Z,77.0,9.0,0.0,0.0,0.0,0.0,35.0,0.0,1227.0,2.0,1.0,0.0,5.0,-9.0,74.0,83.0,54.0,True,0.0
3,0,1,0.027704140171408653,12,Sub,Atalanta,Verona,0,2,2020-11-28,15506,2020,429980,0.049997713416814804,0,1,0,0.027704140171408653,0.09619216620922089,0.01849031075835228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,0,0,6,Sub,Atalanta,Parma Calcio 1913,5,0,2020-01-06,13259,2019,388320,0.07443949580192566,0,1,0,0,0.07443949580192566,0.07443949580192566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,0,0,3,Sub,Atalanta,Juventus,1,3,2019-11-23,13209,2019,364501,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,1,0.04496327415108681,8,Sub,Atalanta,Udinese,7,1,2019-10-27,13169,2019,360097,0,0,0,1,0.04496327415108681,0.08568617701530457,0.04072289913892746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,2021-12-02,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,636.0,134.0,0.0,0.0,0.0,0.0,2021-12-02T20:15:00Z,0.0,1.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,50.0,True,0.0
8,,,,,,,,,,2021-12-05,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,636.0,144.0,0.0,0.0,0.0,0.0,2021-12-05T14:00:00Z,0.0,7.0,0.0,0.0,0.0,0.0,15.0,0.0,44.0,0.0,1.0,0.0,0.0,30.0,46.0,16.0,50.0,True,0.0
9,,,,,,,,,,2021-12-11,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,636.0,160.0,0.0,0.0,0.0,0.0,2021-12-11T17:30:00Z,0.0,15.0,0.0,0.0,0.0,0.0,16.0,0.0,188.0,1.0,0.0,0.0,0.0,83.0,121.0,38.0,50.0,False,0.0
