,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists_x,key_passes,npg,npxG,xGChain,xGBuildup,assists_y,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,9,Sub,RasenBallsport Leipzig,Augsburg,4,0,2022-05-08,17811,2021,533992,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,1,0.043637119233608246,3,Sub,Augsburg,Hertha Berlin,0,1,2022-04-16,17778,2021,526350,0,0,0,0,0.043637119233608246,0.05627978593111038,0.012642664834856987,0.0,0.0,0.0,0.0,0.0,535.0,327.0,0.0,0.0,0.0,0.0,2022-04-16T11:30:00Z,0.0,17.0,0.0,0.0,0.0,0.0,33.0,0.0,22298.0,1.0,0.0,0.0,0.0,-76.0,0.0,76.0,45.0,False,0.0
2,0,1,0.03010852448642254,33,Sub,Bayern Munich,Augsburg,1,0,2022-04-09,17776,2021,524479,0,0,0,0,0.03010852448642254,0.03010852448642254,0,0.0,0.0,0.0,0.0,0.0,535.0,311.0,0.0,0.0,0.0,0.0,2022-04-09T14:00:00Z,0.0,1.0,0.0,0.0,0.0,0.0,32.0,0.0,22380.0,2.0,1.0,0.0,0.0,-50.0,0.0,50.0,45.0,False,0.0
3,0,1,0.035187624394893646,16,Sub,Augsburg,Wolfsburg,3,0,2022-04-03,17760,2021,523505,0,0,0,0,0.035187624394893646,0.035187624394893646,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,1,0.05356463044881821,15,Sub,VfB Stuttgart,Augsburg,3,2,2022-03-19,17755,2021,521166,0,0,0,0,0.05356463044881821,0.06615874171257019,0.012594111263751984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,2,0.1178395077586174,11,Sub,Borussia M.Gladbach,Augsburg,3,2,2022-02-12,17709,2021,512612,0,0,0,0,0.1178395077586174,0.3759119510650635,0.2580724358558655,0.0,0.0,0.0,0.0,0.0,535.0,250.0,0.0,0.0,0.0,0.0,2022-02-12T15:00:00Z,0.0,18.0,0.0,0.0,0.0,0.0,25.0,0.0,23332.0,2.0,0.0,0.0,0.0,-159.0,0.0,159.0,45.0,False,0.0
6,0,1,0.046240195631980896,16,Sub,Augsburg,Union Berlin,2,0,2022-02-05,17699,2021,511102,0,0,0,0,0.046240195631980896,0.046240195631980896,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,2,0.08802315592765808,44,Sub,Bayer Leverkusen,Augsburg,5,1,2022-01-22,17693,2021,509576,0.12959830462932587,0,2,0,0.08802315592765808,0.23705710470676422,0.019435640424489975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,0,0,49,ML,Augsburg,Eintracht Frankfurt,1,1,2022-01-16,17680,2021,508623,0,0,0,0,0,0.051720552146434784,0.051720552146434784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,2,0.04708670452237129,64,FW,Hoffenheim,Augsburg,3,1,2022-01-08,17672,2021,506802,0,0,0,0,0.04708670452237129,0.04708670452237129,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,1,0.09747806936502457,59,FW,Greuther Fuerth,Augsburg,0,0,2021-12-18,17660,2021,503713,0,0,0,0,0.09747806936502457,0.09747806936502457,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0,1,0.09959198534488678,40,FW,Augsburg,Bochum,2,3,2021-12-04,17634,2021,499865,0,0,0,0,0.09959198534488678,0.09959198534488678,0,0.0,0.0,0.0,0.0,0.0,535.0,146.0,0.0,0.0,0.0,0.0,2021-12-04T15:00:00Z,0.0,16.0,0.0,0.0,0.0,0.0,15.0,0.0,27217.0,1.0,1.0,0.0,0.0,-554.0,0.0,554.0,45.0,False,0.0
12,0,5,0.8385529518127441,78,FW,Hertha Berlin,Augsburg,1,1,2021-11-27,17627,2021,497305,0,0,0,0,0.8385529518127441,0.9006496071815491,0.08221946656703949,0.0,0.0,0.0,0.0,0.0,535.0,123.0,0.0,0.0,0.0,0.0,2021-11-27T17:30:00Z,0.0,10.0,0.0,0.0,0.0,0.0,13.0,0.0,28148.0,0.0,0.0,0.0,0.0,-721.0,0.0,721.0,45.0,True,0.0
13,0,0,0,83,FW,Augsburg,Bayern Munich,2,1,2021-11-19,17616,2021,495256,0,0,0,0,0,0.05332355946302414,0.05332355946302414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,2,0.5164768099784851,90,FW,Wolfsburg,Augsburg,1,0,2021-11-06,17612,2021,493866,0.04242474585771561,0,1,0,0.5164768099784851,0.6032270789146423,0.04432552307844162,0.0,0.0,0.0,0.0,0.0,535.0,103.0,0.0,0.0,0.0,0.0,2021-11-06T17:30:00Z,0.0,14.0,0.0,0.0,0.0,0.0,11.0,0.0,29677.0,1.0,1.0,0.0,0.0,-931.0,0.0,931.0,45.0,True,0.0
15,0,3,0.20306161046028137,90,FW,Augsburg,VfB Stuttgart,4,1,2021-10-31,17598,2021,493067,0.23220661282539368,1,4,0,0.20306161046028137,0.43526822328567505,0.05362270027399063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1,1,0.29759475588798523,42,Sub,Mainz 05,Augsburg,4,1,2021-10-22,17592,2021,489513,0,0,0,1,0.29759475588798523,0.29759475588798523,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0,2,0.0847434252500534,67,FW,Augsburg,Arminia Bielefeld,1,1,2021-10-17,17580,2021,489042,0.03725958243012428,0,1,0,0.0847434252500534,0.12200301140546799,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1,1,0.4342135488986969,78,FW,Borussia Dortmund,Augsburg,2,1,2021-10-02,17576,2021,486334,0,0,0,1,0.4342135488986969,0.4342135488986969,0,0.0,0.0,0.0,0.0,0.0,535.0,61.0,0.0,0.0,0.0,0.0,2021-10-02T16:30:00Z,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,36314.0,0.0,0.0,0.0,0.0,-3991.0,0.0,3991.0,45.0,True,0.0
19,0,1,0.00782222580164671,44,Sub,Freiburg,Augsburg,3,0,2021-09-26,17569,2021,485671,0,0,0,0,0.00782222580164671,0.022151514887809753,0.014329289086163044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0,0,0,67,FW,Augsburg,Borussia M.Gladbach,1,0,2021-09-18,17553,2021,482037,0.041965410113334656,0,1,0,0,0.041965410113334656,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0,2,0.0738295242190361,26,Sub,Union Berlin,Augsburg,0,0,2021-09-11,17546,2021,480203,0,0,0,0,0.0738295242190361,0.12892405688762665,0.07895606756210327,0.0,0.0,0.0,0.0,0.0,535.0,32.0,0.0,0.0,0.0,0.0,2021-09-11T14:00:00Z,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,53564.0,1.0,0.0,0.0,0.0,-19989.0,9307.0,29296.0,45.0,False,0.0
22,0,1,0.14055126905441284,20,Sub,Brighton,Manchester City,3,2,2021-05-18,14795,2020,472359,0.11249309778213501,0,1,0,0.14055126905441284,0.25304436683654785,0.11249309778213501,0.0,0.0,5.0,0.0,11.6,574.0,359.0,0.0,0.0,4.3,6.0,2021-05-18T18:00:00Z,25.0,12.0,0.0,0.0,0.0,0.0,37.0,0.0,7087.0,2.0,3.0,25.0,1.0,132.0,286.0,154.0,50.0,True,0.0
23,0,0,0,6,Sub,Brighton,West Ham,1,1,2021-05-15,14785,2020,471073,0,0,0,0,0,0,0,0.0,0.0,3.0,0.0,0.1,574.0,349.0,1.0,0.0,0.0,0.0,2021-05-15T19:00:00Z,7.0,19.0,0.0,0.0,0.0,0.0,36.0,0.0,6923.0,1.0,1.0,0.0,1.0,-18.0,156.0,174.0,50.0,True,0.0
24,0,0,0,11,Sub,Wolverhampton Wanderers,Brighton,2,1,2021-05-09,14784,2020,469108,0,0,0,0,0,0,0,0.0,0.0,3.0,0.0,0.1,574.0,348.0,1.0,0.0,0.0,0.2,2021-05-09T11:00:00Z,12.0,20.0,0.0,0.0,0.0,0.0,35.0,0.0,6901.0,1.0,2.0,0.0,1.0,-40.0,180.0,220.0,50.0,False,0.0
25,0,0,0,1,Sub,Manchester United,Brighton,2,1,2021-04-04,14731,2020,460522,0,0,0,0,0,0,0,0.0,0.0,3.0,0.0,0.3,574.0,295.0,0.0,0.0,0.3,0.2,2021-04-04T18:30:00Z,2.0,13.0,0.0,0.0,0.0,0.0,30.0,0.0,6843.0,1.0,2.0,2.0,1.0,-136.0,261.0,397.0,50.0,False,0.0
26,0,0,0,1,Sub,Brighton,Newcastle United,3,0,2021-03-20,14715,2020,458334,0,0,0,0,0,0,0,0.0,0.0,2.0,0.0,0.3,574.0,279.0,0.0,0.0,0.0,0.0,2021-03-20T20:00:00Z,7.0,14.0,0.0,0.0,0.0,0.0,29.0,0.0,6976.0,0.0,3.0,0.0,1.0,129.0,527.0,398.0,50.0,True,0.0
27,0,1,0.0705689862370491,42,Sub,Southampton,Brighton,1,2,2021-03-14,14713,2020,456767,0,0,0,0,0.0705689862370491,0.4433514475822449,0.372782438993454,0.0,0.0,3.0,0.0,1.3,574.0,277.0,0.0,0.0,2.8,9.2,2021-03-14T12:00:00Z,45.0,16.0,0.0,0.0,0.0,0.0,28.0,0.0,6704.0,2.0,1.0,17.0,1.0,-109.0,425.0,534.0,50.0,False,0.0
28,0,0,0,2,Sub,Liverpool,Brighton,0,1,2021-02-03,14654,2020,447211,0,0,0,0,0,0,0,0.0,0.0,3.0,0.0,0.0,574.0,216.0,0.0,0.0,0.0,0.0,2021-02-03T20:15:00Z,3.0,11.0,0.0,0.0,0.0,0.0,22.0,0.0,5512.0,1.0,0.0,0.0,1.0,12.0,532.0,520.0,50.0,False,0.0
29,0,3,0.761487603187561,40,Sub,Brighton,Wolverhampton Wanderers,3,3,2021-01-02,14601,2020,439235,0,0,0,0,0.761487603187561,0.11139049381017685,0,0.0,0.0,0.0,0.0,0.8,574.0,159.0,0.0,0.0,5.0,0.4,2021-01-02T17:30:00Z,45.0,20.0,0.0,0.0,0.0,0.0,17.0,0.0,3883.0,3.0,3.0,49.0,1.0,47.0,421.0,374.0,50.0,True,0.0
30,0,2,0.05333973094820976,15,Sub,Brighton,Sheffield United,1,1,2020-12-20,14565,2020,436428,0,0,0,0,0.05333973094820976,0.021991074085235596,0,0.0,0.0,3.0,0.0,4.3,574.0,129.0,0.0,0.0,1.8,0.0,2020-12-20T12:00:00Z,18.0,15.0,0.0,0.0,0.0,0.0,14.0,0.0,2996.0,1.0,1.0,14.0,1.0,-51.0,195.0,246.0,50.0,True,0.0
31,,,,,,,,,,2021-08-14,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,535.0,2.0,0.0,0.0,0.0,0.0,2021-08-14T14:00:00Z,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,45.0,False,0.0
32,,,,,,,,,,2021-08-21,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,535.0,12.0,0.0,0.0,0.0,0.0,2021-08-21T16:30:00Z,0.0,18.0,0.0,0.0,0.0,0.0,2.0,0.0,47702.0,0.0,2.0,0.0,0.0,25589.0,32292.0,6703.0,45.0,True,0.0
33,,,,,,,,,,2021-08-28,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,535.0,22.0,0.0,0.0,0.0,0.0,2021-08-28T14:00:00Z,0.0,8.0,0.0,0.0,0.0,0.0,3.0,0.0,75452.0,2.0,0.0,0.0,0.0,20273.0,35847.0,15574.0,45.0,True,0.0
34,,,,,,,,,,2021-09-19,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,535.0,42.0,0.0,0.0,0.0,0.0,2021-09-19T13:00:00Z,0.0,9.0,0.0,0.0,0.0,0.0,5.0,0.0,45327.0,1.0,2.0,0.0,0.0,-9477.0,0.0,9477.0,45.0,True,0.0
35,,,,,,,,,,2021-09-27,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,535.0,54.0,0.0,0.0,0.0,0.0,2021-09-27T19:00:00Z,0.0,7.0,0.0,0.0,0.0,0.0,6.0,0.0,40158.0,1.0,1.0,0.0,0.0,-5656.0,0.0,5656.0,45.0,False,0.0
36,,,,,,,,,,2021-10-16,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,535.0,78.0,0.0,0.0,0.0,0.0,2021-10-16T14:00:00Z,0.0,15.0,0.0,0.0,0.0,0.0,8.0,0.0,33810.0,0.0,0.0,0.0,0.0,-2655.0,0.0,2655.0,45.0,False,0.0
37,,,,,,,,,,2021-10-23,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,535.0,83.0,0.0,0.0,0.0,0.0,2021-10-23T16:30:00Z,0.0,12.0,0.0,0.0,0.0,0.0,9.0,0.0,32418.0,4.0,1.0,0.0,0.0,-1465.0,0.0,1465.0,45.0,True,0.0
38,,,,,,,,,,2021-10-30,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,535.0,94.0,0.0,0.0,0.0,0.0,2021-10-30T14:00:00Z,0.0,11.0,0.0,0.0,0.0,0.0,10.0,0.0,30540.0,2.0,2.0,0.0,0.0,-1871.0,0.0,1871.0,45.0,False,0.0
39,,,,,,,,,,2021-11-20,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,535.0,111.0,0.0,0.0,0.0,0.0,2021-11-20T15:00:00Z,0.0,2.0,0.0,0.0,0.0,0.0,12.0,0.0,28860.0,0.0,2.0,0.0,0.0,-849.0,0.0,849.0,45.0,False,0.0
40,,,,,,,,,,2021-12-01,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,535.0,136.0,0.0,0.0,0.0,0.0,2021-12-01T19:30:00Z,0.0,19.0,0.0,0.0,0.0,0.0,14.0,0.0,27773.0,1.0,1.0,0.0,0.0,-403.0,0.0,403.0,45.0,False,0.0
41,,,,,,,,,,2021-12-15,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,535.0,163.0,0.0,0.0,0.0,0.0,2021-12-15T19:30:00Z,0.0,20.0,0.0,0.0,0.0,0.0,17.0,0.0,26142.0,1.0,0.0,0.0,0.0,-468.0,0.0,468.0,45.0,True,0.0
42,,,,,,,,,,2021-12-26,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,535.0,182.0,0.0,0.0,0.0,0.0,2021-12-26T20:00:00Z,0.0,3.0,0.0,0.0,0.0,0.0,19.0,0.0,25375.0,0.0,2.0,0.0,0.0,-358.0,0.0,358.0,45.0,True,0.0
43,,,,,,,,,,2021-12-29,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,535.0,193.0,0.0,0.0,0.0,0.0,2021-12-29T19:30:00Z,0.0,6.0,0.0,0.0,0.0,0.0,20.0,0.0,25331.0,1.0,1.0,0.0,0.0,-135.0,0.0,135.0,45.0,False,0.0
44,,,,,,,,,,2022-01-02,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,535.0,205.0,0.0,0.0,0.0,0.0,2022-01-02T14:00:00Z,0.0,8.0,0.0,0.0,0.0,0.0,21.0,0.0,24805.0,3.0,2.0,0.0,0.0,-475.0,0.0,475.0,45.0,False,0.0
45,,,,,,,,,,2022-01-14,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,535.0,212.0,0.0,0.0,0.0,0.0,2022-01-14T20:00:00Z,0.0,7.0,0.0,0.0,0.0,0.0,22.0,0.0,23851.0,1.0,1.0,0.0,0.0,-845.0,0.0,845.0,45.0,True,0.0
46,,,,,,,,,,2022-01-18,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,535.0,232.0,0.0,0.0,0.0,0.0,2022-01-18T20:00:00Z,0.0,6.0,0.0,0.0,0.0,0.0,22.0,0.0,23851.0,1.0,1.0,0.0,0.0,-845.0,0.0,845.0,45.0,True,0.0
47,,,,,,,,,,2022-01-23,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,535.0,227.0,0.0,0.0,0.0,0.0,2022-01-23T14:00:00Z,0.0,9.0,0.0,0.0,0.0,0.0,23.0,0.0,23722.0,1.0,1.0,0.0,0.0,-383.0,0.0,383.0,45.0,False,0.0
48,,,,,,,,,,2022-02-15,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,535.0,174.0,0.0,0.0,0.0,0.0,2022-02-15T20:15:00Z,0.0,13.0,0.0,0.0,0.0,0.0,25.0,0.0,23332.0,0.0,2.0,0.0,0.0,-159.0,0.0,159.0,45.0,False,0.0
49,,,,,,,,,,2022-02-19,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,535.0,253.0,0.0,0.0,0.0,0.0,2022-02-19T15:00:00Z,0.0,5.0,0.0,0.0,0.0,0.0,26.0,0.0,23105.0,3.0,0.0,0.0,0.0,-198.0,0.0,198.0,45.0,True,0.0
50,,,,,,,,,,2022-02-26,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,535.0,263.0,0.0,0.0,0.0,0.0,2022-02-26T15:30:00Z,0.0,2.0,0.0,0.0,0.0,0.0,27.0,0.0,22896.0,2.0,0.0,0.0,0.0,-178.0,0.0,178.0,45.0,True,0.0
51,,,,,,,,,,2022-03-05,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,535.0,276.0,0.0,0.0,0.0,0.0,2022-03-05T15:00:00Z,0.0,14.0,0.0,0.0,0.0,0.0,28.0,0.0,22771.0,1.0,2.0,0.0,0.0,-182.0,0.0,182.0,45.0,False,0.0
52,,,,,,,,,,2022-03-12,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,535.0,283.0,0.0,0.0,0.0,0.0,2022-03-12T12:30:00Z,0.0,11.0,0.0,0.0,0.0,0.0,29.0,0.0,22601.0,2.0,0.0,0.0,0.0,-169.0,0.0,169.0,45.0,True,0.0
53,,,,,,,,,,2022-03-16,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,535.0,153.0,0.0,0.0,0.0,0.0,2022-03-16T19:30:00Z,0.0,17.0,0.0,0.0,0.0,0.0,29.0,0.0,22601.0,2.0,0.0,0.0,0.0,-169.0,0.0,169.0,45.0,True,0.0
54,,,,,,,,,,2022-04-02,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,535.0,301.0,0.0,0.0,0.0,0.0,2022-04-02T14:00:00Z,0.0,15.0,0.0,0.0,0.0,0.0,31.0,0.0,22426.0,0.0,0.0,0.0,0.0,-83.0,0.0,83.0,45.0,True,0.0
