,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,51,DC,Napoli,Monza,4,0,2022-08-21,18596,2022,543338,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,17,Sub,Inter,Sampdoria,3,0,2022-05-22,17129,2021,538015,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,1,0.5668177604675293,90,DC,Torino,Inter,1,1,2022-03-13,17044,2021,520531,0,0,0,0,0.5668177604675293,0.7254221439361572,0.7254221439361572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,0,0,27,Sub,Inter,Salernitana,5,0,2022-03-04,17030,2021,517173,0,0,0,0,0,0.5338199734687805,0.5338199734687805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,0,0,90,DC,Inter,Napoli,3,2,2021-11-21,16881,2021,496687,0,0,0,0,0,0.29163774847984314,0.29163774847984314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,1,0.31139853596687317,90,DC,Inter,Udinese,2,0,2021-10-31,16861,2021,492690,0,0,0,0,0.31139853596687317,0.24992623925209045,0.24992623925209045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,0,0,23,Sub,Inter,Bologna,6,1,2021-09-18,16789,2021,482245,0,0,0,0,0,0.5554513335227966,0.5554513335227966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,0,0,90,DC,Inter,Udinese,5,1,2021-05-23,15804,2020,473223,0,0,0,0,0,0.2557084560394287,0.2557084560394287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,0,0,90,DC,Inter,Roma,3,1,2021-05-12,15782,2020,470349,0.35667306184768677,0,1,0,0,0.17410695552825928,0.17410695552825928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,1,0.11200816929340363,90,DC,Inter,Sampdoria,5,1,2021-05-08,15773,2020,468777,0,0,0,0,0.11200816929340363,0.3332517445087433,0.3332517445087433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,2,0.3146233558654785,90,DC,Bologna,Inter,0,1,2021-04-03,15708,2020,459929,0,0,0,0,0.3146233558654785,0.31444644927978516,0.31444644927978516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0,0,0,90,DC,Inter,Benevento,4,0,2021-01-30,15624,2020,445882,0,0,0,0,0,0.6044939160346985,0.6044939160346985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,2,0.6235439777374268,76,DC,Inter,Torino,4,2,2020-11-22,15498,2020,428463,0,0,0,0,0.6235439777374268,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0,2,0.15085570514202118,90,DC,Inter,Parma Calcio 1913,2,2,2020-10-31,15478,2020,424611,0.01804661937057972,0,1,0,0.15085570514202118,1.3952834606170654,1.3772368431091309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,2,0.18321266770362854,90,DC,Genoa,Inter,0,2,2020-10-24,15470,2020,422985,0.6085758209228516,1,1,0,0.18321266770362854,0.2910957932472229,0.2910957932472229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0,1,0.05889865756034851,90,DC,Genoa,Inter,0,3,2020-07-25,13441,2019,411154,0,0,0,0,0.05889865756034851,0.02092367596924305,0.02092367596924305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0,2,0.16342055797576904,68,Sub,Inter,Fiorentina,0,0,2020-07-22,13430,2019,411000,0.05195518955588341,0,1,0,0.16342055797576904,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0,0,0,90,DC,SPAL 2013,Inter,0,4,2020-07-16,13412,2019,409558,0,0,0,0,0,1.175622820854187,1.175622820854187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,0,0,41,Sub,Inter,Brescia,6,0,2020-07-01,13378,2019,404483,0,0,0,0,0,0.6471630930900574,0.6471630930900574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0,0,0,55,DC,Inter,Sassuolo,3,3,2020-06-24,13353,2019,402486,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0,0,0,90,DC,Cagliari,Inter,1,2,2019-09-01,13105,2019,348470,0,0,0,0,0,0.09308671951293945,0.09308671951293945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0,1,0.01408750843256712,90,DC,Inter,Lecce,4,0,2019-08-26,13098,2019,345178,0,0,0,0,0.01408750843256712,0.661226749420166,0.6471391916275024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0,0,0,1,Sub,AC Milan,Inter,2,3,2019-03-17,9856,2018,317307,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0,0,0,39,Sub,Inter,SPAL 2013,2,0,2019-03-10,9841,2018,315160,0,0,0,0,0,0.02906012162566185,0.02906012162566185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
