,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,29,Sub,Everton,Liverpool,0,0,2022-09-03,18252,2022,546874,0.19660918414592743,0,3,0,0,0.33601808547973633,0.2564965784549713,0.0,,,,0.0,6.0,0.0,,,47.8,,,284.0,,,55.0,,0.0,0.0,5.9,,11.6,,2022-09-03T11:30:00Z,,,,31.0,,,8.0,0.0,,0.0,0.0,,0.0,6.0,0.0,713818.0,,,,0.0,0.0,0.0,1.0,-75513.0,39687.0,115200.0,68.0,False,,0.0
1,0,1,0.036768779158592224,75,DL,Liverpool,Newcastle United,2,1,2022-08-31,18250,2022,546436,0.14965492486953735,0,3,0,0.036768779158592224,0.18642370402812958,0.0635191798210144,0.0,,,,0.0,18.0,0.0,,,41.8,,,284.0,,,48.0,,1.0,0.0,7.6,,13.8,,2022-08-31T19:00:00Z,,,,70.0,,,15.0,0.0,,0.0,0.0,,0.0,5.0,0.0,773269.0,,,,1.0,2.0,20.0,2.0,-42785.0,40067.0,82852.0,69.0,True,,0.0
2,0,1,0.04375583678483963,71,DL,Liverpool,Bournemouth,9,0,2022-08-27,18236,2022,544462,0.04681680351495743,1,1,0,0.04375583678483963,0.15530842542648315,0.11155258864164352,1.0,,,,0.0,31.0,1.0,,,19.2,,,284.0,,,36.0,,0.0,0.0,4.4,,19.0,,2022-08-27T14:00:00Z,,,,68.0,,,3.0,0.0,,0.0,0.0,,0.0,4.0,0.0,798237.0,,,,0.0,9.0,6.0,9.0,-105823.0,38749.0,144572.0,69.0,True,,0.0
3,0,0,0,86,DL,Manchester United,Liverpool,2,1,2022-08-22,18231,2022,543836,0.18252362310886383,0,2,0,0,0.07041528820991516,0.07041528820991516,0.0,,,,0.0,12.0,0.0,,,32.3,,,284.0,,,27.0,,2.0,0.0,5.1,,9.0,,2022-08-22T19:00:00Z,,,,84.0,,,14.0,0.0,,0.0,0.0,,0.0,3.0,0.0,879995.0,,,,1.0,2.0,10.0,1.0,-182486.0,37647.0,220133.0,69.0,False,,0.0
4,0,1,0.08031938225030899,66,DL,Liverpool,Crystal Palace,1,1,2022-08-15,18221,2022,541876,0,0,0,0,0.08031938225030899,0.7980914115905762,0.7177720665931702,0.0,,,,0.0,11.0,0.0,,,7.8,,,284.0,,,16.0,,1.0,0.0,3.7,,7.0,,2022-08-15T19:00:00Z,,,,62.0,,,7.0,0.0,,0.0,0.0,,0.0,2.0,0.0,1040307.0,,,,1.0,1.0,22.0,2.0,-52378.0,37842.0,90220.0,70.0,True,,0.0
5,0,0,0,90,DL,Fulham,Liverpool,2,2,2022-08-06,18203,2022,539200,0,0,0,0,0,0.6676786541938782,0.6676786541938782,0.0,,,,0.0,4.0,0.0,,,7.8,,,284.0,,,4.0,,2.0,0.0,2.9,,13.2,,2022-08-06T11:30:00Z,,,,90.0,,,9.0,0.0,,0.0,0.0,,0.0,1.0,0.0,1027195.0,,,,2.0,2.0,8.0,1.0,0.0,0.0,0.0,70.0,False,,0.0
6,1,2,0.535528838634491,90,DL,Liverpool,Wolverhampton Wanderers,3,1,2022-05-22,16753,2021,537888,0,0,0,1,0.535528838634491,1.4529024362564087,1.3895021677017212,0.0,,,,1.0,25.0,0.0,,,0.0,,,234.0,,,378.0,,1.0,1.0,0.0,,0.0,,2022-05-22T15:00:00Z,,,,90.0,,,20.0,0.0,,0.0,0.0,,0.0,38.0,0.0,1063475.0,,,,1.0,3.0,0.0,9.0,21021.0,62325.0,41304.0,73.0,True,,0.0
7,0,0,0,65,DL,Liverpool,Tottenham,1,1,2022-05-07,16728,2021,533095,0.2049018144607544,0,3,0,0,0.08432208746671677,0.03520913049578667,0.0,,,,0.0,19.0,0.0,,,46.9,,,234.0,,,358.0,,1.0,0.0,6.6,,16.8,,2022-05-07T18:45:00Z,,,,63.0,,,17.0,0.0,,0.0,0.0,,0.0,36.0,0.0,1071129.0,,,,1.0,1.0,2.0,2.0,15271.0,52105.0,36834.0,73.0,True,,0.0
8,0,1,0.02196103148162365,90,DL,Newcastle United,Liverpool,0,1,2022-04-30,16721,2021,530125,0.03648705407977104,0,1,0,0.02196103148162365,0.35284140706062317,0.2943933308124542,0.0,,,,0.0,26.0,1.0,,,16.0,,,234.0,,,345.0,,0.0,0.0,5.1,,16.0,,2022-04-30T11:30:00Z,,,,90.0,,,14.0,0.0,,0.0,0.0,,0.0,35.0,0.0,1056068.0,,,,1.0,0.0,19.0,6.0,76617.0,92345.0,15728.0,73.0,False,,0.0
9,1,2,0.3565938174724579,90,DL,Liverpool,Everton,2,0,2022-04-24,16708,2021,529598,0.0900902971625328,0,1,1,0.3565938174724579,0.6162281632423401,0.1695440262556076,0.0,,,,3.0,42.0,1.0,,,26.1,,,234.0,,,338.0,,0.0,1.0,9.8,,44.8,,2022-04-24T15:30:00Z,,,,90.0,,,8.0,0.0,,0.0,0.0,,0.0,34.0,0.0,973680.0,,,,0.0,2.0,27.0,15.0,3508.0,51376.0,47868.0,73.0,True,,0.0
10,0,0,0,90,DL,Liverpool,Manchester United,4,0,2022-04-19,16669,2021,527529,0.07967643439769745,0,3,0,0,0.6596288084983826,0.6208482384681702,0.0,,,,0.0,28.0,1.0,,,44.1,,,234.0,,,294.0,,0.0,0.0,6.4,,17.6,,2022-04-19T19:00:00Z,,,,90.0,,,13.0,0.0,,0.0,0.0,,0.0,33.0,0.0,939469.0,,,,0.0,4.0,2.0,6.0,-36416.0,21301.0,57717.0,73.0,True,,0.0
11,0,0,0,90,DL,Manchester City,Liverpool,2,2,2022-04-10,16690,2021,525527,0,0,0,0,0,0.4858452081680298,0.4858452081680298,0.0,,,,0.0,6.0,0.0,,,9.6,,,234.0,,,316.0,,2.0,0.0,2.4,,10.4,,2022-04-10T15:30:00Z,,,,90.0,,,12.0,0.0,,0.0,0.0,,0.0,32.0,0.0,1002287.0,,,,2.0,2.0,4.0,0.0,-25486.0,22884.0,48370.0,73.0,False,,1.0
12,0,1,0.02976159006357193,90,DL,Liverpool,Watford,2,0,2022-04-02,16680,2021,522453,0.04803648591041565,0,1,0,0.02976159006357193,0.7499014139175415,0.7499014139175415,0.0,,,,0.0,26.0,1.0,,,25.1,,,234.0,,,306.0,,0.0,0.0,4.0,,11.6,,2022-04-02T11:30:00Z,,,,90.0,,,18.0,0.0,,0.0,0.0,,0.0,31.0,0.0,1035315.0,,,,0.0,2.0,3.0,6.0,261586.0,274299.0,12713.0,73.0,True,,0.0
13,0,1,0.01891533099114895,90,DL,Arsenal,Liverpool,0,2,2022-03-16,16636,2021,520769,0.8243902325630188,1,2,0,0.01891533099114895,0.8368505835533142,0.04671262949705124,1.0,,,,3.0,41.0,1.0,,,30.5,,,234.0,,,261.0,,0.0,0.0,8.2,,41.6,,2022-03-16T20:15:00Z,,,,90.0,,,1.0,0.0,,0.0,0.0,,0.0,29.0,0.0,796231.0,,,,2.0,0.0,10.0,12.0,145774.0,168599.0,22825.0,72.0,False,,0.0
14,0,1,0.04144255071878433,90,DL,Brighton,Liverpool,0,2,2022-03-12,16658,2021,519103,0.17750181257724762,0,1,0,0.04144255071878433,0.21894435584545135,0,0.0,,,,0.0,21.0,1.0,,,13.4,,,234.0,,,283.0,,0.0,0.0,3.1,,9.4,,2022-03-12T12:30:00Z,,,,90.0,,,4.0,0.0,,0.0,0.0,,0.0,29.0,0.0,796231.0,,,,2.0,0.0,8.0,6.0,145774.0,168599.0,22825.0,72.0,False,,0.0
15,0,0,0,90,DL,Liverpool,West Ham,1,0,2022-03-05,16649,2021,517759,0.20501743257045746,0,3,0,0,0.44478723406791687,0.2397698014974594,0.0,,,,0.0,28.0,1.0,,,41.3,,,234.0,,,274.0,,0.0,0.0,7.6,,26.2,,2022-03-05T17:30:00Z,,,,90.0,,,19.0,0.0,,0.0,0.0,,0.0,28.0,0.0,613500.0,,,,0.0,1.0,8.0,6.0,-3891.0,60583.0,64474.0,72.0,True,,0.0
16,0,1,0.12166967242956161,90,DL,Liverpool,Leeds,6,0,2022-02-23,16559,2021,515345,0.5239560604095459,1,5,0,0.12166967242956161,1.0971958637237549,0.7786740660667419,2.0,,,,1.0,48.0,1.0,,,53.0,,,234.0,,,184.0,,0.0,0.0,10.7,,33.2,,2022-02-23T19:45:00Z,,,,90.0,,,10.0,0.0,,0.0,0.0,,0.0,26.0,0.0,764967.0,,,,0.0,6.0,21.0,13.0,159774.0,192704.0,32930.0,72.0,True,,0.0
17,0,1,0.012485132552683353,90,DL,Burnley,Liverpool,0,1,2022-02-13,16617,2021,513142,0.11308073997497559,0,2,0,0.012485132552683353,0.13602031767368317,0.05158950015902519,0.0,,,,1.0,30.0,1.0,,,30.8,,,234.0,,,242.0,,0.0,0.0,5.9,,13.8,,2022-02-13T14:00:00Z,,,,90.0,,,5.0,0.0,,0.0,0.0,,0.0,25.0,0.0,535366.0,,,,1.0,0.0,14.0,7.0,45144.0,70559.0,25415.0,71.0,False,,0.0
18,0,0,0,90,DL,Liverpool,Leicester,2,0,2022-02-10,16614,2021,512284,0.04501527175307274,0,2,0,0,0.1372612714767456,0.1372612714767456,0.0,,,,0.0,28.0,1.0,,,37.4,,,234.0,,,237.0,,0.0,0.0,5.6,,14.8,,2022-02-10T19:45:00Z,,,,90.0,,,9.0,0.0,,0.0,0.0,,0.0,24.0,0.0,492691.0,,,,0.0,2.0,4.0,6.0,145164.0,165466.0,20302.0,71.0,True,,0.0
19,0,3,0.08602132648229599,90,DL,Crystal Palace,Liverpool,1,3,2022-01-23,16599,2021,510192,0.3059503436088562,2,3,0,0.08602132648229599,0.5174418687820435,0.257529079914093,2.0,,,,3.0,35.0,0.0,,,48.1,,,234.0,,,224.0,,1.0,0.0,11.0,,47.0,,2022-01-23T14:00:00Z,,,,90.0,,,7.0,0.0,,0.0,0.0,,0.0,23.0,0.0,343072.0,,,,3.0,1.0,15.0,11.0,91190.0,100716.0,9526.0,70.0,False,,0.0
20,0,1,0.05423480272293091,90,DL,Liverpool,Brentford,3,0,2022-01-16,16589,2021,508471,0.4075910151004791,1,3,0,0.05423480272293091,0.9010872840881348,0.7823099493980408,1.0,,,,3.0,45.0,1.0,,,42.4,,,234.0,,,214.0,,0.0,0.0,10.1,,34.4,,2022-01-16T14:00:00Z,,,,90.0,,,3.0,0.0,,0.0,0.0,,0.0,22.0,0.0,274254.0,,,,0.0,3.0,24.0,12.0,70357.0,91959.0,21602.0,70.0,True,,0.0
