,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,1,3,0.19584409892559052,60,MC,Swansea,Stoke,1,2,2018-05-13,7491,2017,240070,0.07707468420267105,0,1,1,0.19584409892559052,0.4269028902053833,0.23105879127979279,0.0,41.0,0.0,0.0,0.0,28.0,0.0,1.0,38.0,17.6,0.0,0.0,201.0,0.0,0.0,378.0,1.0,2.0,1.0,10.5,22022.0,43.2,1.0,2018-05-13T14:00:00Z,13 May 15:00,0.0,0.0,57.0,0.0,1.0,15.0,0.0,0.0,0.0,0.0,4.0,0.0,38.0,0.0,206208.0,1.0,0.0,0.0,2.0,1.0,44.0,6.0,-1929.0,3606.0,5535.0,42.0,True,0.0,0.0
1,0,1,0.021622050553560257,83,MC,Swansea,Southampton,0,1,2018-05-08,7426,2017,238628,0.09144449979066849,0,2,0,0.021622050553560257,0.12646269798278809,0.013396142050623894,0.0,37.0,0.0,0.0,0.0,13.0,0.0,2.0,29.0,25.8,0.0,0.0,201.0,0.0,0.0,308.0,0.0,1.0,0.0,4.7,21104.0,14.4,2.0,2018-05-08T18:45:00Z,08 May 19:45,0.0,0.0,81.0,0.0,1.0,14.0,0.0,0.0,0.0,0.0,5.0,0.0,37.0,0.0,209217.0,0.0,0.0,0.0,1.0,0.0,7.0,2.0,1869.0,6967.0,5098.0,42.0,True,0.0,0.0
2,0,0,0,17,Sub,Bournemouth,Swansea,1,0,2018-05-05,7488,2017,237622,0,0,0,0,0,0,0,0.0,14.0,0.0,0.0,0.0,3.0,0.0,1.0,10.0,1.8,0.0,0.0,201.0,0.0,0.0,362.0,1.0,0.0,0.0,0.8,21105.0,4.0,0.0,2018-05-05T14:00:00Z,05 May 15:00,0.0,0.0,18.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,37.0,0.0,209217.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,1869.0,6967.0,5098.0,42.0,False,0.0,1.0
3,0,1,0.02131679095327854,59,MC,Swansea,Chelsea,0,1,2018-04-28,7476,2017,235912,0,0,0,0,0.02131679095327854,0.1878012865781784,0.16648449003696442,0.0,43.0,0.0,0.0,0.0,9.0,0.0,0.0,40.0,3.1,0.0,0.0,201.0,0.0,0.0,358.0,0.0,1.0,0.0,1.0,20358.0,0.0,0.0,2018-04-28T16:30:00Z,28 Apr 17:30,0.0,0.0,57.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,36.0,0.0,205921.0,0.0,0.0,0.0,1.0,0.0,8.0,1.0,2349.0,7203.0,4854.0,42.0,True,0.0,0.0
4,0,0,0,90,MC,Manchester City,Swansea,5,0,2018-04-22,7465,2017,235062,0,0,0,0,0,0,0,0.0,16.0,0.0,0.0,0.0,8.0,0.0,3.0,11.0,0.4,0.0,0.0,201.0,0.0,0.0,347.0,0.0,5.0,0.0,1.1,19849.0,8.2,0.0,2018-04-22T15:30:00Z,22 Apr 16:30,0.0,0.0,90.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,3.0,0.0,35.0,0.0,202865.0,0.0,0.0,0.0,0.0,5.0,2.0,2.0,-3100.0,2629.0,5729.0,42.0,False,0.0,0.0
5,0,2,0.0840526819229126,90,MC,Swansea,Everton,1,1,2018-04-14,7456,2017,232099,0,0,0,0,0.0840526819229126,0.14263448119163513,0.12992709875106812,0.0,60.0,0.0,0.0,0.0,10.0,0.0,4.0,52.0,6.0,0.0,0.0,201.0,0.0,0.0,338.0,1.0,1.0,0.0,3.5,19172.0,9.6,0.0,2018-04-14T14:00:00Z,14 Apr 15:00,0.0,0.0,90.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,5.0,0.0,34.0,0.0,210446.0,1.0,0.0,1.0,1.0,1.0,19.0,2.0,500.0,7837.0,7337.0,42.0,True,0.0,0.0
6,0,0,0,64,MC,West Bromwich Albion,Swansea,1,1,2018-04-07,7448,2017,230505,0,0,0,0,0,0.35694488883018494,0.35694488883018494,0.0,35.0,0.0,0.0,0.0,17.0,0.0,3.0,28.0,2.5,1.0,0.0,201.0,0.0,0.0,330.0,0.0,1.0,0.0,1.4,18433.0,11.8,0.0,2018-04-07T14:00:00Z,07 Apr 15:00,0.0,0.0,60.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,2.0,0.0,33.0,0.0,205576.0,1.0,3.0,0.0,1.0,1.0,0.0,2.0,3744.0,10318.0,6574.0,42.0,False,0.0,0.0
7,0,0,0,90,MC,Manchester United,Swansea,2,0,2018-03-31,7435,2017,226882,0,0,0,0,0,0,0,0.0,42.0,0.0,0.0,0.0,11.0,0.0,2.0,33.0,2.4,0.0,0.0,201.0,0.0,0.0,316.0,0.0,2.0,0.0,1.6,17796.0,11.6,0.0,2018-03-31T14:00:00Z,31 Mar 15:00,0.0,0.0,90.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,6.0,0.0,32.0,0.0,201433.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1826.0,13482.0,11656.0,42.0,False,0.0,0.0
8,0,0,0,90,MC,Huddersfield,Swansea,0,0,2018-03-10,7413,2017,222394,0,0,0,0,0,0,0,0.0,12.0,0.0,0.0,0.0,9.0,1.0,3.0,9.0,1.4,0.0,0.0,201.0,0.0,0.0,295.0,1.0,0.0,0.0,1.0,16895.0,8.2,0.0,2018-03-10T15:00:00Z,10 Mar 15:00,0.0,0.0,90.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,4.0,0.0,30.0,0.0,207239.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,13423.0,18173.0,4750.0,42.0,False,0.0,0.0
9,1,1,0.5735371708869934,90,MC,Swansea,West Ham,4,1,2018-03-03,7406,2017,220974,0.026897605508565903,0,1,1,0.5735371708869934,0.026897605508565903,0,0.0,49.0,0.0,0.0,0.0,31.0,0.0,0.0,44.0,12.9,0.0,0.0,201.0,0.0,0.0,288.0,0.0,1.0,1.0,9.0,16262.0,43.6,1.0,2018-03-03T15:00:00Z,03 Mar 15:00,0.0,0.0,80.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,6.0,0.0,29.0,0.0,225064.0,0.0,0.0,0.0,1.0,4.0,33.0,7.0,1400.0,7521.0,6121.0,42.0,True,0.0,0.0
