,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,88,AMC,Lille,Lens,1,0,2022-10-09,19740,2022,555300,0.09737745672464371,0,3,0,0,0.04066438227891922,0.015771593898534775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,3,0.1419956237077713,70,AMC,Lorient,Lille,2,1,2022-10-02,19732,2022,552847,0,0,0,0,0.1419956237077713,0.053604066371917725,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,1,0.3953709602355957,63,AMC,Lille,Toulouse,2,1,2022-09-17,19721,2022,550985,0,0,0,0,0.3953709602355957,0.5832758545875549,0.18790486454963684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,0,0,68,MC,Marseille,Lille,2,1,2022-09-10,19712,2022,549358,0,0,0,0,0,0.17750239372253418,0.17750239372253418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,5,0.1156839057803154,90,DMC,Montpellier,Lille,1,3,2022-09-04,19702,2022,547718,0.13290758430957794,0,4,1,0.1156839057803154,0.4983084797859192,0.3826245665550232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,3,0.06677011400461197,90,DMC,Lille,Nice,1,2,2022-08-31,19690,2022,546466,0,0,0,0,0.06677011400461197,0.5501258969306946,0.4833557605743408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,0,0,90,DMC,Ajaccio,Lille,1,3,2022-08-26,19678,2022,544113,0,0,0,0,0,0.456815242767334,0.456815242767334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,1,0.019357725977897644,90,DMC,Lille,Paris Saint Germain,1,7,2022-08-21,19671,2022,543576,0.12544995546340942,0,1,0,0.019357725977897644,0.27289876341819763,0.27289876341819763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,1,0.07043666392564774,87,DMC,Nantes,Lille,1,1,2022-08-12,19658,2022,540329,0.17436712980270386,0,2,0,0.07043666392564774,1.085351586341858,0.9282286167144775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,3,0.05127133056521416,84,DMC,Lille,Auxerre,4,1,2022-08-07,19652,2022,539857,0.13488177955150604,0,1,0,0.05127133056521416,0.34122058749198914,0.16963492333889008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,1,0.0988025963306427,8,Sub,Lille,Rennes,2,2,2022-05-21,18193,2021,537419,0,0,0,0,0.0988025963306427,0.371015727519989,0.2722131311893463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0,0,0,79,MC,Nice,Lille,1,3,2022-05-14,18187,2021,535804,0,0,0,0,0,0.023709654808044434,0.023709654808044434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1,2,0.36986973881721497,34,Sub,Lille,Monaco,1,2,2022-05-06,18179,2021,531974,0.11616206169128418,0,3,1,0.36986973881721497,0.509233832359314,0.023202043026685715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0,0,0,30,Sub,Troyes,Lille,3,0,2022-05-01,18169,2021,530921,0.12794211506843567,0,1,0,0,0.07718594372272491,0.07718594372272491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,1,0.020266395062208176,26,Sub,Lille,Strasbourg,1,0,2022-04-24,18153,2021,529546,0,0,0,0,0.020266395062208176,0.020266395062208176,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0,2,0.1711920201778412,57,AMC,Reims,Lille,2,1,2022-04-20,18149,2021,527730,0.01852400414645672,1,1,0,0.1711920201778412,0.20833081007003784,0.04693739116191864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0,2,0.0968681201338768,63,AMC,Lille,Bordeaux,0,0,2022-04-02,18113,2021,523048,0,0,0,0,0.0968681201338768,0.12460684776306152,0.027738727629184723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0,1,0.051046259701251984,75,AMC,Nantes,Lille,0,1,2022-03-19,18111,2021,521531,0.2571030259132385,0,2,0,0.051046259701251984,0.3081492781639099,0.01886064000427723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,0,0,1,Sub,Lille,Clermont Foot,4,0,2022-03-06,18087,2021,518396,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
