,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists_x,key_passes,npg,npxG,xGChain,xGBuildup,assists_y,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,69,FWR,Everton,Manchester United,1,2,2022-10-09,18297,2022,555239,0,0,0,0,0,0.11020669341087341,0.11020669341087341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,16,Sub,Southampton,Everton,1,2,2022-10-01,18290,2022,552328,0,0,0,0,0,0,0,0.0,0.0,3.0,0.0,0.0,195.0,89.0,0.0,0.0,0.7,7.2,2022-10-01T14:00:00Z,16.0,17.0,0.0,0.0,0.0,0.0,9.0,0.0,503569.0,2.0,1.0,0.0,1.0,5764.0,76745.0,70981.0,56.0,False,0.0
2,0,0,0,76,FWL,Everton,West Ham,1,0,2022-09-18,18277,2022,551390,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,7.0,195.0,75.0,0.0,0.0,2.4,8.8,2022-09-18T13:15:00Z,74.0,19.0,0.0,0.0,0.0,0.0,8.0,0.0,583617.0,0.0,1.0,8.0,2.0,208890.0,252999.0,44109.0,55.0,True,1.0
3,0,2,0.07655559480190277,84,FWL,Everton,Liverpool,0,0,2022-09-03,18252,2022,546856,0.06680662930011749,0,1,0,0.07655559480190277,0.11751829087734222,0,0.0,0.0,2.0,1.0,13.1,195.0,55.0,0.0,0.0,4.5,3.2,2022-09-03T11:30:00Z,81.0,12.0,0.0,0.0,0.0,0.0,6.0,0.0,250754.0,0.0,0.0,29.0,3.0,88887.0,113113.0,24226.0,55.0,True,0.0
4,1,1,0.26557645201683044,90,FWL,Leeds,Everton,1,1,2022-08-30,18245,2022,546001,0.3452325463294983,0,2,1,0.26557645201683044,0.6108089685440063,0.32117760181427,0.0,2.0,24.0,0.0,25.7,195.0,45.0,1.0,1.0,9.2,41.6,2022-08-30T19:00:00Z,90.0,11.0,0.0,0.0,0.0,0.0,5.0,0.0,149468.0,1.0,1.0,25.0,8.0,7486.0,22989.0,15503.0,55.0,False,1.0
5,1,5,0.5204430818557739,90,FWR,Brentford,Everton,1,1,2022-08-27,18233,2022,544543,0,0,0,1,0.5204430818557739,0.5204430818557739,0,0.0,0.0,22.0,0.0,4.1,195.0,33.0,1.0,1.0,12.2,50.0,2022-08-27T14:00:00Z,90.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,136021.0,1.0,1.0,68.0,6.0,-36551.0,8057.0,44608.0,55.0,False,1.0
6,0,6,0.6592453718185425,90,FWR,Everton,Nottingham Forest,1,1,2022-08-20,18224,2022,542349,0.1681825816631317,0,3,0,0.6592453718185425,0.8274279832839966,0.10064060240983963,0.0,0.0,-8.0,0.0,36.3,195.0,23.0,1.0,0.0,16.2,25.0,2022-08-20T14:00:00Z,90.0,16.0,0.0,0.0,0.0,0.0,3.0,0.0,171582.0,1.0,1.0,101.0,1.0,40627.0,66468.0,25841.0,55.0,True,1.0
7,0,3,0.12167272716760635,90,FW,Aston Villa,Everton,2,1,2022-08-13,18212,2022,540363,0,0,0,0,0.12167272716760635,0.17548592388629913,0.053813204169273376,0.0,0.0,6.0,0.0,1.1,195.0,12.0,2.0,0.0,5.4,6.4,2022-08-13T11:30:00Z,90.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,123461.0,1.0,2.0,46.0,2.0,6843.0,18898.0,12055.0,55.0,False,0.0
8,0,1,0.04355604946613312,90,FW,Everton,Chelsea,0,1,2022-08-06,18208,2022,539617,0,0,0,0,0.04355604946613312,0.06991385668516159,0.026357807219028473,0.0,0.0,5.0,0.0,1.4,195.0,3.0,1.0,0.0,1.6,2.2,2022-08-06T16:30:00Z,90.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,104719.0,1.0,0.0,12.0,2.0,0.0,0.0,0.0,55.0,True,0.0
9,0,0,0,20,Sub,Arsenal,Everton,5,1,2022-05-22,16746,2021,537852,0.01588921621441841,0,1,0,0,0.2949996590614319,0.2949996590614319,0.0,0.0,4.0,0.0,0.0,503.0,371.0,1.0,0.0,0.0,0.0,2022-05-22T15:00:00Z,23.0,1.0,0.0,0.0,0.0,0.0,38.0,0.0,496688.0,1.0,5.0,0.0,1.0,-71701.0,8745.0,80446.0,47.0,False,0.0
10,0,0,0,65,AMC,Everton,Crystal Palace,3,2,2022-05-19,16704,2021,536783,0.06269465386867523,0,2,0,0,0.12655462324619293,0.0638599693775177,0.0,0.0,4.0,0.0,24.8,503.0,322.0,2.0,0.0,4.1,7.8,2022-05-19T18:45:00Z,60.0,7.0,0.0,0.0,0.0,0.0,37.0,0.0,582446.0,2.0,3.0,8.0,2.0,52372.0,70773.0,18401.0,47.0,True,0.0
11,0,1,0.3602771759033203,76,FWR,Everton,Brentford,2,3,2022-05-15,16744,2021,536232,0.09379615634679794,0,2,0,0.3602771759033203,0.3744449019432068,0,0.0,0.0,4.0,0.0,25.1,503.0,362.0,3.0,0.0,6.0,11.4,2022-05-15T15:30:00Z,71.0,3.0,0.0,0.0,0.0,0.0,37.0,0.0,582446.0,3.0,2.0,23.0,2.0,52372.0,70773.0,18401.0,47.0,True,0.0
12,0,2,0.10681872814893723,90,MR,Watford,Everton,0,0,2022-05-11,16674,2021,534821,0,0,0,0,0.10681872814893723,0.23433785140514374,0.1275191307067871,0.0,0.0,16.0,1.0,7.8,503.0,299.0,0.0,0.0,3.7,13.8,2022-05-11T18:45:00Z,90.0,18.0,0.0,0.0,0.0,0.0,36.0,0.0,568500.0,0.0,0.0,15.0,3.0,231209.0,242117.0,10908.0,46.0,False,0.0
13,0,1,0.12070954591035843,90,MR,Leicester,Everton,1,2,2022-05-08,16729,2021,533444,0.1712438315153122,0,2,0,0.12070954591035843,0.290248841047287,0.04566600173711777,0.0,0.0,6.0,0.0,24.7,503.0,357.0,1.0,0.0,5.3,6.0,2022-05-08T13:00:00Z,90.0,9.0,0.0,0.0,0.0,0.0,36.0,0.0,568500.0,2.0,1.0,22.0,2.0,231209.0,242117.0,10908.0,46.0,False,0.0
14,0,3,0.19381506741046906,90,MR,Everton,Chelsea,1,0,2022-05-01,16724,2021,531049,0,0,0,0,0.19381506741046906,0.10971140116453171,0,0.0,0.0,3.0,1.0,5.4,503.0,342.0,0.0,0.0,3.6,5.8,2022-05-01T13:00:00Z,90.0,6.0,0.0,0.0,0.0,0.0,35.0,0.0,309202.0,0.0,1.0,25.0,3.0,44430.0,59277.0,14847.0,46.0,True,0.0
15,0,1,0.04293506592512131,90,FWL,Liverpool,Everton,2,0,2022-04-24,16708,2021,529618,0,0,0,0,0.04293506592512131,0.06802298873662949,0.025087926536798477,0.0,0.0,1.0,0.0,3.6,503.0,338.0,2.0,0.0,1.6,2.2,2022-04-24T15:30:00Z,90.0,11.0,0.0,0.0,0.0,0.0,34.0,0.0,262496.0,0.0,2.0,10.0,1.0,10609.0,39619.0,29010.0,46.0,False,1.0
16,0,0,0,90,FWR,Everton,Leicester,1,1,2022-04-20,16547,2021,527866,1.1280304193496704,0,4,0,0,1.0741828680038452,0.5558323264122009,0.0,1.0,19.0,0.0,50.6,503.0,172.0,1.0,0.0,7.4,13.6,2022-04-20T18:45:00Z,90.0,9.0,0.0,0.0,0.0,0.0,33.0,0.0,245442.0,1.0,1.0,10.0,3.0,8003.0,27799.0,19796.0,46.0,True,0.0
17,1,2,0.1379743367433548,90,FWR,Everton,Manchester United,1,0,2022-04-09,16692,2021,524342,0.12071628123521805,0,2,1,0.1379743367433548,0.1379743367433548,0,0.0,3.0,29.0,1.0,28.8,503.0,314.0,0.0,1.0,10.1,43.2,2022-04-09T11:30:00Z,90.0,13.0,0.0,0.0,0.0,0.0,32.0,0.0,244347.0,0.0,1.0,29.0,10.0,-25807.0,7031.0,32838.0,46.0,True,1.0
18,0,3,0.18359951674938202,76,FWR,Burnley,Everton,3,2,2022-04-06,16558,2021,524150,0.11102248728275299,0,2,0,0.18359951674938202,0.27571290731430054,0,1.0,0.0,14.0,0.0,26.6,503.0,183.0,2.0,0.0,9.4,14.6,2022-04-06T18:30:00Z,72.0,5.0,0.0,0.0,0.0,0.0,31.0,0.0,271779.0,2.0,3.0,53.0,5.0,59394.0,71259.0,11865.0,46.0,False,0.0
19,0,0,0,10,Sub,West Ham,Everton,2,1,2022-04-03,16677,2021,523459,0,0,0,0,0,0,0,0.0,0.0,3.0,0.0,0.8,503.0,309.0,0.0,0.0,0.1,0.2,2022-04-03T13:00:00Z,12.0,19.0,0.0,0.0,0.0,0.0,31.0,0.0,271779.0,1.0,2.0,0.0,1.0,59394.0,71259.0,11865.0,46.0,False,0.0
20,0,2,0.11075380444526672,90,AMC,Everton,Newcastle United,1,0,2022-03-17,16571,2021,520787,0.03708436340093613,0,1,0,0.11075380444526672,0.033052802085876465,0,0.0,0.0,2.0,1.0,15.3,503.0,195.0,0.0,0.0,4.5,12.2,2022-03-17T19:45:00Z,90.0,14.0,0.0,0.0,0.0,0.0,29.0,0.0,267248.0,0.0,1.0,17.0,2.0,108137.0,121118.0,12981.0,45.0,True,1.0
21,0,0,0,90,FWR,Everton,Wolverhampton Wanderers,0,1,2022-03-13,16661,2021,519959,0.08593720197677612,0,2,0,0,0.25057536363601685,0.16463814675807953,0.0,0.0,15.0,0.0,14.3,503.0,286.0,1.0,0.0,3.0,11.2,2022-03-13T14:00:00Z,90.0,20.0,0.0,0.0,0.0,0.0,29.0,0.0,267248.0,1.0,0.0,4.0,2.0,108137.0,121118.0,12981.0,45.0,True,0.0
22,0,1,0.04467969387769699,90,DMR,Tottenham,Everton,5,0,2022-03-07,16653,2021,518757,0.06480824947357178,0,2,0,0.04467969387769699,0.15264934301376343,0.08784109354019165,0.0,0.0,17.0,0.0,33.4,503.0,278.0,5.0,0.0,6.1,18.0,2022-03-07T20:00:00Z,90.0,17.0,0.0,0.0,0.0,0.0,28.0,0.0,129515.0,0.0,5.0,10.0,2.0,15626.0,36192.0,20566.0,45.0,False,0.0
23,0,3,0.14814478158950806,79,AML,Everton,Manchester City,0,1,2022-02-26,16641,2021,516259,0,0,0,0,0.14814478158950806,0.09802600741386414,0,0.0,0.0,2.0,1.0,1.8,503.0,266.0,0.0,0.0,1.6,0.0,2022-02-26T17:30:00Z,76.0,12.0,0.0,0.0,0.0,0.0,27.0,0.0,120619.0,1.0,0.0,15.0,3.0,5659.0,15303.0,9644.0,45.0,True,0.0
