,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists_x,key_passes,npg,npxG,xGChain,xGBuildup,assists_y,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,1,1,0.13877734541893005,15,Sub,Chelsea,Wolverhampton Wanderers,3,0,2022-10-08,18295,2022,554160,0,0,0,1,0.13877734541893005,0.13877734541893005,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,9,Sub,Crystal Palace,Chelsea,1,2,2022-10-01,18284,2022,552296,0,0,0,0,0,0,0,0.0,0.0,3.0,0.0,0.0,150.0,83.0,0.0,0.0,0.0,0.0,2022-10-01T14:00:00Z,15.0,7.0,0.0,0.0,0.0,0.0,9.0,0.0,53060.0,2.0,1.0,0.0,1.0,-502.0,4453.0,4955.0,53.0,False,0.0
2,0,1,0.09613066911697388,28,Sub,Chelsea,West Ham,2,1,2022-09-03,18260,2022,547256,0,0,0,0,0.09613066911697388,0.09613066911697388,0,0.0,0.0,0.0,0.0,0.6,150.0,54.0,1.0,0.0,2.5,5.4,2022-09-03T14:00:00Z,30.0,19.0,0.0,0.0,0.0,0.0,6.0,0.0,60775.0,1.0,2.0,19.0,1.0,-8005.0,4520.0,12525.0,54.0,True,0.0
3,0,1,0.39603543281555176,21,Sub,Southampton,Chelsea,2,1,2022-08-30,18244,2022,545972,0,0,0,0,0.39603543281555176,0.39603543281555176,0,0.0,0.0,1.0,0.0,0.0,150.0,50.0,0.0,0.0,2.7,6.4,2022-08-30T18:45:00Z,24.0,17.0,0.0,0.0,0.0,0.0,5.0,0.0,67374.0,1.0,2.0,21.0,1.0,-9964.0,1964.0,11928.0,54.0,False,0.0
4,0,0,0,1,Sub,Chelsea,Tottenham,2,2,2022-08-14,18220,2022,541417,0,0,0,0,0,0,0,0.0,0.0,3.0,0.0,0.0,150.0,15.0,1.0,0.0,0.0,0.0,2022-08-14T15:30:00Z,1.0,18.0,0.0,0.0,0.0,0.0,2.0,0.0,118331.0,2.0,2.0,0.0,1.0,-13748.0,6822.0,20570.0,55.0,True,0.0
5,0,1,0.046084895730018616,6,Sub,Everton,Chelsea,0,1,2022-08-06,18208,2022,539632,0,0,0,0,0.046084895730018616,0,0,0.0,0.0,3.0,0.0,0.3,150.0,3.0,0.0,0.0,2.5,5.2,2022-08-06T16:30:00Z,15.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,124903.0,1.0,0.0,19.0,1.0,0.0,0.0,0.0,55.0,False,0.0
6,0,0,0,85,FW,Southampton,Liverpool,1,2,2022-05-17,16740,2021,536756,0,0,0,0,0,0,0,0.0,0.0,7.0,0.0,0.7,518.0,366.0,2.0,0.0,1.5,7.8,2022-05-17T18:45:00Z,81.0,11.0,0.0,0.0,0.0,0.0,37.0,0.0,689049.0,2.0,1.0,6.0,2.0,-51438.0,23201.0,74639.0,53.0,True,0.0
7,0,5,0.3499676585197449,90,FW,Brentford,Southampton,3,0,2022-05-07,16734,2021,534223,0,0,0,0,0.3499676585197449,0.30230915546417236,0,0.0,0.0,-3.0,0.0,2.8,518.0,352.0,3.0,0.0,5.2,0.0,2022-05-07T14:00:00Z,90.0,3.0,0.0,0.0,0.0,0.0,36.0,0.0,758395.0,0.0,3.0,51.0,2.0,-161267.0,17533.0,178800.0,54.0,False,0.0
8,0,0,0,22,Sub,Southampton,Crystal Palace,1,2,2022-04-30,16720,2021,530536,0,0,0,0,0,0,0,0.0,0.0,2.0,0.0,0.6,518.0,346.0,1.0,0.0,0.0,0.0,2022-04-30T14:00:00Z,25.0,7.0,0.0,0.0,0.0,0.0,35.0,0.0,949432.0,2.0,1.0,0.0,1.0,-82604.0,17711.0,100315.0,55.0,True,0.0
9,0,0,0,6,Sub,Brighton,Southampton,2,2,2022-04-24,16713,2021,529290,0,0,0,0,0,0.13262996077537537,0.13262996077537537,0.0,0.0,2.0,0.0,0.8,518.0,333.0,0.0,0.0,0.6,5.4,2022-04-24T13:00:00Z,11.0,4.0,0.0,0.0,0.0,0.0,34.0,0.0,1026852.0,2.0,2.0,0.0,1.0,-55033.0,35273.0,90306.0,55.0,False,0.0
10,0,1,0.06835735589265823,90,FW,Burnley,Southampton,2,0,2022-04-21,16667,2021,528270,0,0,0,0,0.06835735589265823,0.15273119509220123,0.0843738466501236,0.0,0.0,3.0,0.0,4.5,518.0,292.0,2.0,0.0,3.1,0.6,2022-04-21T18:45:00Z,90.0,5.0,0.0,0.0,0.0,0.0,33.0,0.0,1067242.0,0.0,2.0,26.0,2.0,16220.0,62841.0,46621.0,55.0,False,0.0
11,0,1,0.034768544137477875,76,FW,Southampton,Arsenal,1,0,2022-04-16,16700,2021,526405,0.738892674446106,0,2,0,0.034768544137477875,0.6537389755249023,0,0.0,0.0,3.0,1.0,20.3,518.0,326.0,0.0,0.0,4.9,3.0,2022-04-16T14:00:00Z,73.0,1.0,0.0,0.0,0.0,0.0,33.0,0.0,1067242.0,0.0,1.0,26.0,1.0,16220.0,62841.0,46621.0,55.0,True,1.0
12,0,1,0.14566896855831146,90,FW,Leeds,Southampton,1,1,2022-04-02,16681,2021,522826,0.08119907230138779,0,2,0,0.14566896855831146,0.9718221426010132,0.7449541091918945,0.0,0.0,3.0,0.0,22.8,518.0,305.0,1.0,0.0,3.8,0.2,2022-04-02T14:00:00Z,89.0,10.0,0.0,0.0,0.0,0.0,31.0,0.0,1260556.0,1.0,1.0,15.0,2.0,-5213.0,62341.0,67554.0,55.0,False,0.0
