,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,90,FW,Burnley,Newcastle United,1,2,2022-05-22,16749,2021,537752,0.5776641368865967,0,1,0,0,0.7489484548568726,0.17128436267375946,0.0,,,,0.0,14.0,0.0,,,0.0,,,105.0,,,374.0,,2.0,0.0,0.0,,0.0,,2022-05-22T15:00:00Z,,,,90.0,,,14.0,0.0,,0.0,0.0,,0.0,38.0,0.0,111743.0,,,,2.0,1.0,0.0,2.0,30504.0,33365.0,2861.0,52.0,True,,0.0
1,1,2,0.8081324696540833,72,FW,Aston Villa,Burnley,1,1,2022-05-19,16546,2021,536825,0,0,0,0,0.04696361720561981,0.04696361720561981,0,0.0,,,,2.0,29.0,0.0,,,0.7,,,105.0,,,171.0,,1.0,1.0,7.1,,33.6,,2022-05-19T19:00:00Z,,,,70.0,,,2.0,0.0,,0.0,0.0,,0.0,37.0,0.0,76062.0,,,,1.0,1.0,37.0,8.0,8020.0,9839.0,1819.0,52.0,False,,0.0
2,0,2,0.03189332038164139,86,FW,Tottenham,Burnley,1,0,2022-05-15,16739,2021,536021,0,0,0,0,0.03189332038164139,0.02150610275566578,0,0.0,,,,0.0,0.0,0.0,,,1.1,,,105.0,,,367.0,,1.0,0.0,0.0,,0.0,,2022-05-15T11:00:00Z,,,,77.0,,,17.0,0.0,,0.0,0.0,,0.0,37.0,0.0,76062.0,,,,0.0,1.0,5.0,2.0,8020.0,9839.0,1819.0,52.0,False,,0.0
3,0,2,0.08120623975992203,73,FW,Burnley,Aston Villa,1,3,2022-05-07,16732,2021,534237,0.02991485968232155,0,1,0,0.08120623975992203,0.11112110316753387,0,0.0,,,,0.0,2.0,0.0,,,11.3,,,105.0,,,354.0,,3.0,0.0,2.5,,3.4,,2022-05-07T14:00:00Z,,,,71.0,,,2.0,0.0,,0.0,0.0,,0.0,36.0,0.0,66035.0,,,,3.0,1.0,10.0,2.0,829.0,2441.0,1612.0,52.0,True,,0.0
4,0,2,0.10399308055639267,29,Sub,Watford,Burnley,1,2,2022-04-30,16718,2021,530524,0,0,0,0,0.10399308055639267,0.534885048866272,0.4959814250469208,0.0,,,,0.0,0.0,0.0,,,2.1,,,105.0,,,348.0,,0.0,0.0,3.6,,0.2,,2022-04-30T14:00:00Z,,,,30.0,,,18.0,0.0,,0.0,0.0,,0.0,35.0,0.0,65049.0,,,,2.0,1.0,34.0,1.0,276.0,1522.0,1246.0,52.0,False,,0.0
5,0,0,0,25,Sub,Burnley,Wolverhampton Wanderers,1,0,2022-04-24,16712,2021,529306,0,0,0,0,0,0.14658507704734802,0.14658507704734802,0.0,,,,0.0,-3.0,0.0,,,0.9,,,105.0,,,334.0,,0.0,0.0,0.0,,0.0,,2022-04-24T13:00:00Z,,,,26.0,,,20.0,0.0,,0.0,0.0,,0.0,34.0,0.0,64641.0,,,,0.0,1.0,0.0,0.0,-241.0,1351.0,1592.0,52.0,True,,1.0
6,0,0,0,4,Sub,Norwich,Burnley,2,0,2022-04-10,16688,2021,525266,0,0,0,0,0,0,0,0.0,,,,0.0,3.0,0.0,,,0.0,,,105.0,,,318.0,,1.0,0.0,0.4,,2.0,,2022-04-10T13:00:00Z,,,,6.0,,,15.0,0.0,,0.0,0.0,,0.0,32.0,0.0,63992.0,,,,0.0,2.0,2.0,1.0,406.0,1551.0,1145.0,52.0,False,,0.0
7,0,0,0,8,Sub,Burnley,Manchester City,0,2,2022-04-02,16684,2021,522759,0,0,0,0,0,0,0,0.0,,,,0.0,2.0,0.0,,,0.1,,,105.0,,,302.0,,0.0,0.0,0.0,,0.0,,2022-04-02T14:00:00Z,,,,9.0,,,12.0,0.0,,0.0,0.0,,0.0,31.0,0.0,63554.0,,,,2.0,0.0,0.0,1.0,1300.0,2357.0,1057.0,52.0,True,,0.0
8,0,0,0,11,Sub,Burnley,Chelsea,0,4,2022-03-05,16647,2021,517532,0,0,0,0,0,0,0,0.0,,,,0.0,-4.0,0.0,,,0.0,,,105.0,,,272.0,,0.0,0.0,0.4,,4.0,,2022-03-05T15:00:00Z,,,,12.0,,,6.0,0.0,,0.0,0.0,,0.0,28.0,0.0,61178.0,,,,4.0,0.0,0.0,0.0,-233.0,1594.0,1827.0,52.0,True,,1.0
9,0,0,0,1,Sub,Burnley,Leicester,0,2,2022-03-01,16588,2021,517078,0,0,0,0,0,0,0,0.0,,,,0.0,3.0,0.0,,,0.3,,,105.0,,,213.0,,1.0,0.0,0.3,,2.4,,2022-03-01T19:45:00Z,,,,2.0,,,9.0,0.0,,0.0,0.0,,0.0,27.0,0.0,61625.0,,,,2.0,0.0,0.0,1.0,1001.0,2490.0,1489.0,52.0,True,,0.0
