,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,2,Sub,Bournemouth,Leicester,2,1,2022-10-08,18293,2022,554084,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,1,0.10547251254320145,32,Sub,Chelsea,Leicester,2,1,2022-08-27,18235,2022,544518,0.436499685049057,0,2,0,0.10547251254320145,0.6158572435379028,0.09321317076683044,0.0,,,,0.0,7.0,0.0,,,24.9,,,260.0,,,35.0,,1.0,0.0,3.9,,4.0,,2022-08-27T14:00:00Z,,,,35.0,,,6.0,0.0,,0.0,0.0,,0.0,4.0,0.0,13392.0,,,,1.0,2.0,10.0,1.0,1098.0,2758.0,1660.0,49.0,False,,0.0
2,0,1,0.041036128997802734,66,MR,Leicester,Southampton,1,2,2022-08-20,18226,2022,542374,0.05545184388756752,0,1,0,0.041036128997802734,0.09648796916007996,0.05545184388756752,1.0,,,,0.0,10.0,1.0,,,13.8,,,260.0,,,26.0,,0.0,0.0,2.7,,5.0,,2022-08-20T14:00:00Z,,,,64.0,,,17.0,0.0,,0.0,0.0,,0.0,3.0,0.0,10867.0,,,,2.0,1.0,8.0,6.0,-1535.0,990.0,2525.0,49.0,True,,0.0
3,2,2,0.9752200841903687,27,Sub,Leicester,Southampton,4,1,2022-05-22,16752,2021,537867,0.07234903424978256,0,1,2,0.9752200841903687,1.0475691556930542,0,0.0,,,,2.0,40.0,0.0,,,0.0,,,211.0,,,377.0,,1.0,2.0,0.0,,0.0,,2022-05-22T15:00:00Z,,,,27.0,,,16.0,0.0,,0.0,0.0,,0.0,38.0,0.0,10554.0,,,,1.0,4.0,0.0,13.0,-113.0,75.0,188.0,57.0,True,,0.0
4,0,0,0,11,Sub,Chelsea,Leicester,1,1,2022-05-19,16639,2021,536855,0,0,0,0,0,0,0,0.0,,,,0.0,1.0,0.0,,,0.4,,,211.0,,,264.0,,0.0,0.0,0.1,,0.4,,2022-05-19T19:00:00Z,,,,12.0,,,6.0,0.0,,0.0,0.0,,0.0,37.0,0.0,10669.0,,,,1.0,1.0,0.0,1.0,84.0,263.0,179.0,57.0,False,,0.0
5,0,0,0,49,MC,Leicester,Everton,1,2,2022-05-08,16729,2021,533431,0.016289524734020233,0,1,0,0,0.10400918126106262,0.08771965652704239,0.0,,,,0.0,1.0,0.0,,,11.4,,,211.0,,,357.0,,2.0,0.0,1.3,,1.6,,2022-05-08T13:00:00Z,,,,45.0,,,8.0,0.0,,0.0,0.0,,0.0,36.0,0.0,10508.0,,,,2.0,1.0,0.0,1.0,220.0,330.0,110.0,57.0,True,,0.0
6,0,2,0.07034182548522949,77,MC,Tottenham,Leicester,3,1,2022-05-01,16719,2021,531037,0,0,0,0,0.07034182548522949,0.14119434356689453,0.07085251808166504,0.0,,,,0.0,4.0,0.0,,,6.8,,,211.0,,,347.0,,2.0,0.0,2.7,,6.6,,2022-05-01T13:00:00Z,,,,75.0,,,17.0,0.0,,0.0,0.0,,0.0,35.0,0.0,10200.0,,,,1.0,3.0,14.0,2.0,-18.0,67.0,85.0,57.0,False,,0.0
7,0,0,0,2,Sub,Leicester,Aston Villa,0,0,2022-04-23,16709,2021,528679,0,0,0,0,0,0,0,0.0,,,,0.0,4.0,0.0,,,0.3,,,211.0,,,337.0,,0.0,0.0,0.4,,3.6,,2022-04-23T14:00:00Z,,,,4.0,,,2.0,0.0,,0.0,0.0,,0.0,34.0,0.0,10167.0,,,,0.0,0.0,0.0,1.0,23.0,132.0,109.0,57.0,True,,0.0
8,0,1,0.05013485625386238,65,MR,Newcastle United,Leicester,2,1,2022-04-17,16701,2021,527019,0.1117410659790039,1,1,0,0.05013485625386238,0.1210208386182785,0.07088598608970642,1.0,,,,0.0,14.0,0.0,,,16.0,,,211.0,,,325.0,,1.0,0.0,5.8,,19.8,,2022-04-17T13:15:00Z,,,,59.0,,,14.0,0.0,,0.0,0.0,,0.0,33.0,0.0,10120.0,,,,1.0,2.0,22.0,4.0,-9.0,160.0,169.0,57.0,False,,0.0
9,0,0,0,1,Sub,Leicester,Brighton,1,1,2022-01-23,16602,2021,510214,0,0,0,0,0,0,0,0.0,,,,0.0,3.0,0.0,,,0.0,,,211.0,,,227.0,,0.0,0.0,0.0,,0.0,,2022-01-23T14:00:00Z,,,,1.0,,,4.0,0.0,,0.0,0.0,,0.0,23.0,0.0,9991.0,,,,1.0,1.0,0.0,1.0,-133.0,175.0,308.0,57.0,True,,0.0
10,0,1,0.07378431409597397,48,MR,Manchester City,Leicester,6,3,2021-12-26,16560,2021,505110,0,0,0,0,0.07378431409597397,0.12351227551698685,0.04972796514630318,0.0,,,,0.0,5.0,0.0,,,4.0,,,211.0,,,185.0,,4.0,0.0,2.8,,7.2,,2021-12-26T15:00:00Z,,,,45.0,,,12.0,0.0,,0.0,0.0,,0.0,19.0,0.0,9246.0,,,,3.0,6.0,17.0,1.0,-122.0,97.0,219.0,57.0,False,,0.0
11,0,1,0.02424439787864685,9,Sub,Aston Villa,Leicester,2,1,2021-12-05,16516,2021,500886,0,0,0,0,0.02424439787864685,0.02424439787864685,0,0.0,,,,0.0,2.0,0.0,,,0.6,,,211.0,,,141.0,,0.0,0.0,2.0,,1.2,,2021-12-05T16:30:00Z,,,,12.0,,,2.0,0.0,,0.0,0.0,,0.0,15.0,0.0,9790.0,,,,1.0,2.0,18.0,1.0,-109.0,252.0,361.0,57.0,False,,0.0
12,0,1,0.08086352795362473,28,Sub,Southampton,Leicester,2,2,2021-12-01,16514,2021,499113,0.05833406001329422,0,1,0,0.08086352795362473,0.16022714972496033,0.0793636292219162,0.0,,,,0.0,4.0,0.0,,,10.3,,,211.0,,,139.0,,0.0,0.0,2.4,,6.6,,2021-12-01T19:30:00Z,,,,29.0,,,16.0,0.0,,0.0,0.0,,0.0,14.0,0.0,9811.0,,,,2.0,2.0,7.0,1.0,-25.0,286.0,311.0,57.0,False,,0.0
13,0,1,0.15277647972106934,10,Sub,Brentford,Leicester,1,2,2021-10-24,16457,2021,490470,0,0,0,0,0.15277647972106934,0.15277647972106934,0,0.0,,,,0.0,0.0,0.0,,,0.2,,,211.0,,,82.0,,0.0,0.0,2.4,,7.2,,2021-10-24T13:00:00Z,,,,12.0,,,3.0,0.0,,0.0,0.0,,0.0,9.0,0.0,10269.0,,,,2.0,1.0,17.0,1.0,496.0,1259.0,763.0,58.0,False,,0.0
