,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,2,0.159310445189476,12,Sub,Rennes,Saint-Etienne,2,0,2022-04-30,18167,2021,530889,0,0,0,0,0.159310445189476,0.10473475605249405,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,2,0.06588007509708405,19,Sub,Lorient,Saint-Etienne,6,2,2022-04-08,18127,2021,524242,0,0,0,0,0.06588007509708405,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,0,0,7,Sub,Saint-Etienne,Marseille,2,4,2022-04-03,18119,2021,524044,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,0,0,17,Sub,Lille,Saint-Etienne,0,0,2022-03-11,18095,2021,519054,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,0,0,4,Sub,Saint-Etienne,Strasbourg,2,2,2022-02-20,18062,2021,514846,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,1,0.08895459026098251,38,FW,Angers,Saint-Etienne,0,1,2022-01-26,18015,2021,510807,0.013002859428524971,0,1,0,0.08895459026098251,0.10195744782686234,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,1,0.014681386761367321,41,Sub,Lyon,Saint-Etienne,1,0,2022-01-21,18037,2021,509393,0.01870681159198284,0,1,0,0.014681386761367321,0.014681386761367321,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,0,0,2,Sub,Crystal Palace,Bournemouth,5,3,2019-05-12,9574,2018,332268,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,0.0,0.0,373.0,1.0,0.0,0.0,0.1,21315.0,1.0,0.0,2019-05-12T14:00:00Z,12 May 15:00,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,38.0,0.0,1416.0,2.0,0.0,0.0,3.0,5.0,0.0,1.0,47.0,77.0,30.0,49.0,True,0.0,0.0
8,0,0,0,13,Sub,Cardiff,Crystal Palace,2,3,2019-05-04,9564,2018,330451,0,0,0,0,0,0,0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,0.4,0.0,0.0,148.0,0.0,0.0,363.0,0.0,1.0,0.0,0.2,20699.0,2.0,0.0,2019-05-04T16:30:00Z,04 May 17:30,0.0,0.0,17.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,1354.0,1.0,1.0,0.0,3.0,2.0,0.0,1.0,27.0,50.0,23.0,49.0,False,0.0,0.0
9,0,0,0,3,Sub,Crystal Palace,Manchester City,1,3,2019-04-14,9534,2018,324880,0,0,0,0,0,0,0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.1,0.0,0.0,148.0,0.0,0.0,333.0,0.0,1.0,0.0,0.0,18597.0,0.0,0.0,2019-04-14T13:05:00Z,14 Apr 14:05,0.0,0.0,5.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,1260.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,-19.0,44.0,63.0,49.0,True,0.0,0.0
10,0,0,0,1,Sub,Crystal Palace,Fulham,2,0,2019-02-02,9442,2018,304283,0,0,0,0,0,0,0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,148.0,0.0,0.0,245.0,0.0,0.0,0.0,0.0,13415.0,0.0,0.0,2019-02-02T15:00:00Z,02 Feb 15:00,0.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,3.0,0.0,25.0,0.0,922.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,102.0,130.0,28.0,49.0,True,0.0,0.0
11,0,0,0,40,ML,West Ham,Crystal Palace,1,1,2018-01-30,7360,2017,215400,0,0,0,0,0,0,0,0.0,9.0,0.0,0.0,0.0,-1.0,0.0,0.0,4.0,0.4,0.0,0.0,130.0,0.0,0.0,243.0,1.0,0.0,0.0,0.0,13696.0,0.0,0.0,2018-01-30T19:45:00Z,30 Jan 19:45,0.0,0.0,40.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,2.0,0.0,25.0,0.0,15528.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,4298.0,5715.0,1417.0,49.0,False,0.0,0.0
12,0,2,0.057754360139369965,90,FW,Arsenal,Crystal Palace,4,1,2018-01-20,7349,2017,209139,0.14967036247253418,0,1,0,0.057754360139369965,0.20742473006248474,0.14967036247253418,0.0,21.0,1.0,0.0,0.0,14.0,0.0,2.0,14.0,21.9,1.0,0.0,130.0,0.0,0.0,231.0,0.0,4.0,0.0,7.4,13093.0,17.0,1.0,2018-01-20T15:00:00Z,20 Jan 15:00,0.0,0.0,90.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,24.0,0.0,11094.0,5.0,2.0,0.0,1.0,4.0,35.0,2.0,6267.0,7159.0,892.0,49.0,False,0.0,0.0
13,1,6,0.3394901156425476,90,FW,Crystal Palace,Burnley,1,0,2018-01-13,7341,2017,207666,0.14855258166790009,0,2,1,0.3394901156425476,0.6005704998970032,0.2803528904914856,0.0,27.0,0.0,0.0,1.0,26.0,1.0,0.0,21.0,19.0,2.0,0.0,130.0,0.0,0.0,223.0,4.0,0.0,1.0,12.6,12495.0,31.8,2.0,2018-01-13T15:00:00Z,13 Jan 15:00,0.0,0.0,90.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,7.0,0.0,23.0,0.0,4655.0,3.0,1.0,3.0,0.0,1.0,75.0,9.0,177.0,755.0,578.0,49.0,True,1.0,0.0
14,0,1,0.01979140006005764,24,Sub,Southampton,Crystal Palace,1,2,2018-01-02,7336,2017,206571,0,0,0,0,0.01979140006005764,0.04365392029285431,0.02386252023279667,0.0,8.0,0.0,0.0,0.0,-1.0,0.0,0.0,5.0,2.1,0.0,0.0,130.0,0.0,0.0,217.0,1.0,0.0,0.0,1.3,11843.0,0.0,0.0,2018-01-02T19:45:00Z,02 Jan 19:45,0.0,0.0,26.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,4397.0,3.0,0.0,0.0,2.0,1.0,12.0,1.0,-334.0,167.0,501.0,49.0,False,0.0,0.0
