,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists_x,key_passes,npg,npxG,xGChain,xGBuildup,assists_y,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,17,DC,Everton,Chelsea,0,1,2022-08-06,18208,2022,539610,0,0,0,0,0,0,0,0,0,5,0,0.1,193,3,0,0,0.2,1.4,2022-08-06T16:30:00Z,17,6,0,0,0,0,1,0,12958,1,0,0.0,1,0,0,0,45,True,0
1,0,0,0,90,DC,Everton,Leicester,1,1,2022-04-20,16547,2021,527861,0,0,0,0,0,0,0,0,0,15,0,0.6,179,172,1,0,1.5,12.6,2022-04-20T18:45:00Z,90,9,0,0,0,0,33,0,38805,1,1,2.0,2,545,1102,557,47,True,0
2,0,1,0.07014872878789902,90,DC,Everton,Manchester United,1,0,2022-04-09,16692,2021,524337,0,0,0,0,0.07014872878789902,0.04112991690635681,0.04112991690635681,0,0,27,1,0.4,179,314,0,0,3.3,28.6,2022-04-09T11:30:00Z,90,13,0,0,0,0,32,0,38111,0,1,4.0,6,-268,360,628,47,True,0
3,0,0,0,90,DC,Burnley,Everton,3,2,2022-04-06,16558,2021,524145,0.08154908567667007,0,1,0,0,0.08154908567667007,0,0,0,6,0,10.7,179,183,3,0,3.0,19.0,2022-04-06T18:30:00Z,90,5,0,0,0,0,31,0,38374,2,3,0.0,0,1467,1731,264,47,False,1
4,0,0,0,90,DC,West Ham,Everton,2,1,2022-04-03,16677,2021,523451,0,0,0,0,0,0.23888517916202545,0.23888517916202545,0,0,15,0,1.3,179,309,2,0,1.3,11.2,2022-04-03T13:00:00Z,90,19,0,0,0,0,31,0,38374,1,2,0.0,1,1467,1731,264,47,False,0
5,0,1,0.017739364877343178,90,DL,Everton,Newcastle United,1,0,2022-03-17,16571,2021,520783,0,0,0,0,0.017739364877343178,0,0,0,0,22,1,1.3,179,195,0,0,3.6,16.0,2022-03-17T19:45:00Z,90,14,0,0,0,0,29,0,36870,0,1,19.0,6,-119,493,612,47,True,0
6,0,1,0.015939457342028618,90,DC,Everton,Wolverhampton Wanderers,0,1,2022-03-13,16661,2021,519953,0,0,0,0,0.015939457342028618,0.15573570132255554,0.15573570132255554,0,0,10,0,0.3,179,286,1,0,2.4,20.6,2022-03-13T14:00:00Z,90,20,0,0,0,0,29,0,36870,1,0,3.0,1,-119,493,612,47,True,1
7,0,2,0.1188821941614151,90,DL,Everton,Aston Villa,0,1,2022-01-22,16600,2021,509461,0,0,0,0,0.1188821941614151,0,0,0,0,4,0,1.0,179,225,1,0,4.8,7.4,2022-01-22T12:30:00Z,90,2,0,0,0,0,23,0,49137,1,0,40.0,1,-2183,1040,3223,48,True,1
8,0,1,0.02288679964840412,90,DC,Norwich,Everton,2,1,2022-01-15,16592,2021,508126,0.15363015234470367,0,2,0,0.02288679964840412,0.23592129349708557,0.17119650542736053,0,1,20,0,21.9,179,217,2,0,7.0,26.6,2022-01-15T15:00:00Z,90,15,0,0,0,0,22,0,51162,1,2,21.0,2,208,3929,3721,48,False,0
9,0,0,0,90,DC,Everton,Brighton,2,3,2022-01-02,16580,2021,505569,0.14867068827152252,0,2,0,0,0.28295469284057617,0.2064787894487381,0,0,20,0,26.6,179,205,3,0,4.9,22.6,2022-01-02T14:00:00Z,90,4,0,0,0,0,21,0,57475,3,2,0.0,1,8302,10169,1867,48,True,0
