,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,22,DMR,Aston Villa,West Ham,0,1,2022-08-28,18239,2022,545254,0,0,0,0,0,0,0,0,,,,0,6,0,,,0.1,,,471,,,32,,0,0,0.5,,4.4,,2022-08-28T13:00:00Z,,,,22,,,2,0,,0,0,,0,4,0,11623,,,,1,0,0.0,1,-1142,372,1514,45,False,,0
1,0,0,0,13,Sub,West Ham,Brighton,0,2,2022-08-21,18229,2022,542929,0.10237318277359009,0,1,0,0,0.1282348930835724,0.0258617103099823,0,,,,0,5,0,,,15.1,,,471,,,30,,0,0,2.5,,9.8,,2022-08-21T13:00:00Z,,,,15,,,5,0,,0,0,,0,3,0,11994,,,,2,0,0.0,1,-538,815,1353,45,True,,0
2,0,0,0,90,DC,Nottingham Forest,West Ham,1,0,2022-08-14,18219,2022,541270,0,0,0,0,0,0.21883995831012726,0.21883995831012726,0,,,,0,7,0,,,0.2,,,471,,,18,,1,0,1.4,,13.6,,2022-08-14T13:00:00Z,,,,90,,,16,0,,0,0,,0,2,0,11552,,,,0,1,0.0,2,514,1559,1045,45,False,,0
3,0,0,0,90,DC,West Ham,Manchester City,0,2,2022-08-07,18211,2022,540064,0,0,0,0,0,0,0,0,,,,0,13,0,,,0.3,,,471,,,10,,2,0,1.8,,17.8,,2022-08-07T15:30:00Z,,,,90,,,13,0,,0,0,,0,1,0,8532,,,,2,0,0.0,1,0,0,0,45,True,,0
4,0,0,0,7,Sub,Brighton,West Ham,3,1,2022-05-22,16748,2021,537741,0,0,0,0,0,0.020288465544581413,0.020288465544581413,0,,,,0,2,0,,,0.0,,,425,,,373,,1,0,0.0,,0.0,,2022-05-22T15:00:00Z,,,,9,,,4,0,,0,0,,0,38,0,338533,,,,1,3,0.0,1,4062,13986,9924,39,False,,0
5,0,0,0,1,Sub,West Ham,Manchester City,2,2,2022-05-15,16737,2021,536181,0,0,0,0,0,0,0,0,,,,0,3,0,,,0.0,,,425,,,369,,0,0,0.0,,0.0,,2022-05-15T13:00:00Z,,,,1,,,12,0,,0,0,,0,37,0,328223,,,,2,2,0.0,1,-4911,7098,12009,39,True,,0
6,0,0,0,90,DC,Chelsea,West Ham,1,0,2022-04-24,16711,2021,529367,0,0,0,0,0,0.08119413256645203,0.08119413256645203,0,,,,0,11,0,,,0.3,,,425,,,335,,1,0,1.9,,19.0,,2022-04-24T13:00:00Z,,,,90,,,6,0,,0,0,,0,34,0,321626,,,,0,1,0.0,2,7915,16385,8470,39,False,,0
7,0,2,0.04697393625974655,90,DR,West Ham,Burnley,1,1,2022-04-17,16697,2021,526973,0.08821871876716614,0,3,0,0.04697393625974655,0.18021702766418457,0.07592560350894928,0,,,,0,16,0,,,48.8,,,425,,,329,,1,0,7.7,,23.4,,2022-04-17T13:15:00Z,,,,90,,,5,0,,0,0,,0,33,0,313872,,,,1,1,5.0,2,3063,12428,9365,39,True,,0
8,0,0,0,90,DMR,Tottenham,West Ham,3,1,2022-03-20,16673,2021,522069,0,0,0,0,0,0.13680270314216614,0.13680270314216614,0,,,,0,12,0,,,4.0,,,425,,,298,,3,0,1.1,,7.0,,2022-03-20T16:30:00Z,,,,90,,,17,0,,0,0,,0,30,0,304235,,,,1,3,0.0,1,9318,14248,4930,39,False,,0
9,0,0,0,90,DR,West Ham,Aston Villa,2,1,2022-03-13,16665,2021,520066,0,0,0,0,0,0.06520237773656845,0.06520237773656845,0,,,,0,9,0,,,10.0,,,425,,,290,,1,0,3.0,,17.8,,2022-03-13T14:00:00Z,,,,90,,,2,0,,0,0,,0,29,0,293170,,,,1,2,2.0,2,19673,28070,8397,39,True,,0
10,0,0,0,90,DR,Liverpool,West Ham,1,0,2022-03-05,16649,2021,517770,0.29932862520217896,0,2,0,0,0.7020283341407776,0.7020283341407776,0,,,,0,15,0,,,24.2,,,425,,,274,,1,0,4.4,,18.2,,2022-03-05T17:30:00Z,,,,90,,,11,0,,0,0,,0,28,0,262762,,,,0,1,2.0,2,-3573,10684,14257,39,False,,0
11,0,0,0,90,DR,West Ham,Wolverhampton Wanderers,1,0,2022-02-27,16645,2021,516487,0,0,0,0,0,0.014799973927438259,0.014799973927438259,0,,,,0,18,1,,,1.3,,,425,,,270,,0,0,1.7,,11.8,,2022-02-27T14:00:00Z,,,,90,,,20,0,,0,0,,0,27,0,281301,,,,0,1,4.0,6,-6646,4882,11528,39,True,,0
12,0,0,0,42,Sub,West Ham,Newcastle United,1,1,2022-02-19,16634,2021,513948,0,0,0,0,0,0,0,0,,,,0,4,0,,,1.2,,,425,,,259,,0,0,0.7,,5.8,,2022-02-19T12:30:00Z,,,,45,,,14,0,,0,0,,0,26,0,270059,,,,1,1,0.0,1,-17044,3159,20203,39,True,,0
