,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists_x,key_passes,npg,npxG,xGChain,xGBuildup,assists_y,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,1,0.0241007748991251,86,AMC,Sheffield United,Burnley,1,0,2021-05-23,14812,2020,473429,0,0,0,0,0.0241007748991251,0.0241007748991251,0,0,0,8,1,2.2,356,376,0,0,1.6,6.8,2021-05-23T15:00:00Z,82,4,0,0,0,0,38,0,3311,0,1,7.0,3,-76,105,181,47,True,0
1,0,0,0,72,FWL,Newcastle United,Sheffield United,1,0,2021-05-19,14801,2020,472456,0,0,0,0,0,0.44981586933135986,0.44981586933135986,0,0,6,0,5.2,356,365,1,0,1.2,2.4,2021-05-19T17:00:00Z,66,14,0,0,0,0,37,0,3386,0,1,4.0,2,-18,111,129,47,False,0
2,0,1,0.015742424875497818,90,FWL,Everton,Sheffield United,0,1,2021-05-16,14787,2020,471897,0.15139324963092804,0,2,0,0.015742424875497818,0.9655917286872864,0.8141984939575195,0,0,8,1,25.8,356,351,0,0,4.0,7.0,2021-05-16T18:00:00Z,90,7,0,0,0,0,36,0,3395,1,0,7.0,3,-193,36,229,47,False,0
3,0,0,0,29,Sub,Sheffield United,Crystal Palace,0,2,2021-05-08,14782,2020,468700,0.35931459069252014,0,1,0,0,0.35931459069252014,0.35931459069252014,0,0,8,0,16.2,356,346,1,0,2.3,7.2,2021-05-08T14:00:00Z,31,6,0,0,0,0,35,0,3567,2,0,0.0,1,-78,217,295,47,True,0
4,0,2,0.2000579684972763,90,AMC,Tottenham,Sheffield United,4,0,2021-05-02,14773,2020,467839,0,0,0,0,0.2000579684972763,0.32473161816596985,0.12467364221811295,0,0,16,0,12.3,356,337,4,0,6.2,13.2,2021-05-02T18:15:00Z,90,17,0,0,0,0,34,0,3651,0,4,36.0,2,-170,172,342,47,False,0
5,0,0,0,82,AMC,Sheffield United,Brighton,1,0,2021-04-24,14762,2020,465660,0.06368554383516312,0,2,0,0,0.06368554383516312,0.02812282182276249,0,0,11,1,23.8,356,326,0,0,3.9,12.8,2021-04-24T19:00:00Z,80,3,0,0,0,0,33,0,3822,0,1,2.0,3,-23,419,442,47,True,0
6,0,1,0.015247231349349022,75,MC,Wolverhampton Wanderers,Sheffield United,1,0,2021-04-17,14754,2020,463120,0,0,0,0,0.015247231349349022,0.06248246505856514,0.04723523557186127,0,0,10,0,8.8,356,318,1,0,2.8,5.0,2021-04-17T19:15:00Z,74,20,0,0,0,0,32,0,3850,0,1,14.0,2,886,1221,335,47,False,0
7,0,0,0,90,DML,Sheffield United,Arsenal,0,3,2021-04-11,14741,2020,462208,0.09882646054029465,0,1,0,0,0.19396603107452393,0.09513957053422928,0,0,8,0,14.3,356,305,3,0,2.6,10.0,2021-04-11T18:00:00Z,90,1,0,0,0,0,31,0,2912,3,0,2.0,2,880,1001,121,47,True,0
8,1,1,0.6211845874786377,90,DML,Leeds,Sheffield United,2,1,2021-04-03,14729,2020,459663,0,0,0,1,0.6211845874786377,0.7391283512115479,0.11794378608465195,0,3,34,0,4.5,356,293,2,1,8.5,47.4,2021-04-03T14:00:00Z,90,10,0,0,0,0,30,0,1968,1,2,33.0,10,13,27,14,47,False,0
9,0,0,0,16,Sub,Sheffield United,Aston Villa,1,0,2021-03-03,14721,2020,453793,0,0,0,0,0,0,0,0,0,4,0,0.0,356,285,0,0,0.4,4.2,2021-03-03T18:00:00Z,17,2,0,0,0,0,26,0,1936,0,1,0.0,1,-50,14,64,47,True,0
10,0,0,0,34,Sub,Sheffield United,Liverpool,0,2,2021-02-28,14694,2020,453336,0,0,0,0,0,0,0,0,0,2,0,1.5,356,256,1,0,0.4,2.2,2021-02-28T19:15:00Z,34,11,0,0,0,0,26,0,1936,2,0,0.0,1,-50,14,64,47,True,0
11,0,1,0.02547001838684082,90,MC,West Ham,Sheffield United,3,0,2021-02-15,14674,2020,450041,0.6048190593719482,0,2,0,0.02547001838684082,0.7779263257980347,0.7125301361083984,0,0,19,0,41.6,356,238,3,0,6.6,17.6,2021-02-15T18:00:00Z,90,19,0,0,0,0,24,0,1931,0,3,7.0,2,-17,21,38,47,False,0
12,0,0,0,90,DML,Sheffield United,Newcastle United,1,0,2021-01-12,14610,2020,441793,0.09802290797233582,0,2,0,0,0.5148295760154724,0.4601858854293823,0,0,17,1,35.3,356,174,0,0,6.3,21.2,2021-01-12T18:00:00Z,90,14,0,0,0,0,18,0,3012,0,1,6.0,3,155,361,206,48,True,0
13,0,0,0,86,DML,Crystal Palace,Sheffield United,2,0,2021-01-02,14604,2020,439124,0,0,0,0,0,0.1507032811641693,0.1507032811641693,0,0,16,0,5.7,356,162,2,0,2.8,17.8,2021-01-02T15:00:00Z,79,6,0,0,0,0,17,0,2137,0,2,4.0,2,7,71,64,48,False,0
14,0,0,0,90,MC,Burnley,Sheffield United,1,0,2020-12-29,14587,2020,438422,0,0,0,0,0,0.24728649854660034,0.24728649854660034,0,0,14,0,6.3,356,150,1,0,2.1,12.8,2020-12-29T18:00:00Z,90,4,0,0,0,0,16,0,2105,0,1,2.0,2,20,64,44,48,False,0
15,0,0,0,90,MC,Sheffield United,Everton,0,1,2020-12-26,14582,2020,438162,0.06246653199195862,0,2,0,0,0.056301284581422806,0.056301284581422806,0,0,17,0,31.3,356,146,1,0,5.2,18.2,2020-12-26T20:00:00Z,90,7,0,0,0,0,15,0,2075,1,0,2.0,2,-36,39,75,48,True,0
16,0,0,0,17,Sub,Brighton,Sheffield United,1,1,2020-12-20,14565,2020,436441,0.4198864996433258,0,1,0,0,0.4198864996433258,0,0,0,3,0,10.3,356,129,1,0,1.3,2.2,2020-12-20T12:00:00Z,20,3,0,0,0,0,14,0,2073,1,1,0.0,0,-29,26,55,48,False,1
17,0,0,0,42,Sub,Sheffield United,Leicester,1,2,2020-12-06,14541,2020,432036,0,0,0,0,0,0,0,0,0,6,0,1.1,356,105,1,0,1.4,8.4,2020-12-06T14:15:00Z,45,9,0,0,0,0,11,0,2108,2,1,4.0,1,-103,18,121,48,True,0
