,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists_x,key_passes,npg,npxG,xGChain,xGBuildup,assists_y,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,90,FW,Leicester,Sheffield United,5,0,2021-03-14,14710,2020,456883,0,0,0,0,0,0,0,0,0,2,0,2.3,343,274,5,0,0.6,2.0,2021-03-14T14:00:00Z,90,9,0,0,0,0,28,0,14472,0,5,2.0,2,-1025,155,1180,55,False,0
1,0,0,0,20,Sub,Sheffield United,Southampton,0,2,2021-03-06,14701,2020,454645,0,0,0,0,0,0,0,0,0,4,0,0.3,343,265,0,0,0.4,3.2,2021-03-06T15:00:00Z,22,16,0,0,0,0,27,0,15452,2,0,0.0,1,-917,519,1436,55,True,0
2,0,0,0,10,Sub,Sheffield United,Liverpool,0,2,2021-02-28,14694,2020,453335,0,0,0,0,0,0,0,0,0,3,0,0.3,343,256,0,0,0.0,0.0,2021-02-28T19:15:00Z,10,11,0,0,0,0,26,0,16336,2,0,0.0,1,-403,1554,1957,55,True,0
3,0,0,0,90,FW,Fulham,Sheffield United,1,0,2021-02-20,14679,2020,450990,0.3746165633201599,0,1,0,0,0.3746165633201599,0,0,0,5,0,13.8,343,243,1,0,1.8,2.2,2021-02-20T20:00:00Z,90,8,0,0,0,0,25,0,16593,0,1,2.0,2,130,1756,1626,55,False,0
4,0,0,0,90,FW,West Ham,Sheffield United,3,0,2021-02-15,14674,2020,450044,0.12735038995742798,0,1,0,0,0.7177133560180664,0.5903629660606384,0,0,5,0,18.7,343,238,3,0,3.0,1.6,2021-02-15T18:00:00Z,90,19,0,0,0,0,24,0,16464,0,3,10.0,2,1511,3539,2028,55,False,0
5,0,1,0.08387259393930435,21,Sub,Sheffield United,Chelsea,1,2,2021-02-07,14662,2020,448537,0,0,0,0,0.08387259393930435,0.08387259393930435,0,0,0,2,0,0.8,343,226,0,0,2.6,4.4,2021-02-07T19:15:00Z,22,5,0,0,0,0,23,0,14685,2,1,21.0,1,3408,4435,1027,55,True,0
6,1,2,0.5482701063156128,88,FW,Sheffield United,West Bromwich Albion,2,1,2021-02-02,14649,2020,446721,0,0,0,1,0.5482701063156128,0.5098658204078674,0.01980903185904026,0,3,32,0,2.7,343,214,1,1,6.4,36.2,2021-02-02T18:00:00Z,85,18,0,0,0,0,22,0,10804,1,2,25.0,9,586,1035,449,55,True,0
7,0,0,0,11,Sub,Manchester City,Sheffield United,1,0,2021-01-30,14642,2020,445647,0.040355134755373,0,1,0,0,0.040355134755373,0,0,0,3,0,11.3,343,205,0,0,1.5,2.0,2021-01-30T15:00:00Z,12,12,0,0,0,0,21,0,10141,0,1,2.0,1,74,469,395,55,False,0
8,0,1,0.12690183520317078,73,FW,Manchester United,Sheffield United,1,2,2021-01-27,14628,2020,445225,0,0,0,0,0.12690183520317078,0.12690183520317078,0,0,0,-1,0,1.3,343,192,1,0,2.0,1.6,2021-01-27T20:15:00Z,69,13,0,0,0,0,20,0,10012,2,1,17.0,2,-116,499,615,55,False,0
9,0,1,0.01739278994500637,14,Sub,Sheffield United,Tottenham,1,3,2021-01-17,14622,2020,442755,0,0,0,0,0.01739278994500637,0.01739278994500637,0,0,0,0,0,0.0,343,186,0,0,0.0,0.0,2021-01-17T14:00:00Z,16,17,0,0,0,0,19,0,10199,3,1,1.0,1,947,1413,466,55,True,0
10,1,1,0.7611688375473022,30,Sub,Sheffield United,Newcastle United,1,0,2021-01-12,14610,2020,441800,0.040956124663352966,0,1,0,0,0.040956124663352966,0,0,1,22,0,10.4,343,174,0,1,6.1,31.4,2021-01-12T18:00:00Z,31,14,0,0,0,0,18,0,9179,0,1,19.0,5,-61,309,370,55,True,1
11,0,0,0,62,FW,Southampton,Sheffield United,3,0,2020-12-13,14551,2020,433454,0,0,0,0,0,0,0,0,0,-1,0,1.3,343,117,1,0,0.2,0.0,2020-12-13T12:00:00Z,59,16,0,0,0,0,12,0,9638,0,3,2.0,1,-287,98,385,56,False,0
