,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists_x,key_passes,npg,npxG,xGChain,xGBuildup,assists_y,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,4,Sub,Liverpool,Crystal Palace,4,0,2020-06-24,11951,2019,402547,0,0,0,0,0,0,0,0,0,2,0,0.0,580,304,0,0,0.2,2.0,2020-06-24T19:15:00Z,6,10,0,0,0,0,40,0,495,0,4,0.0,1,-13,22,35,45,False,0
1,0,0,0,6,Sub,Norwich,Crystal Palace,1,1,2020-01-01,11850,2019,385657,0.09551873803138733,0,2,0,0,0.09551873803138733,0,0,0,5,0,21.0,580,207,0,0,2.7,4.4,2020-01-01T17:30:00Z,7,14,0,0,0,0,21,0,115,1,1,2.0,1,11,31,20,45,False,0
2,,,,,,,,,,2019-12-21,,,,,,,,,,,0,0,0,0,0.0,580,176,0,0,0.0,0.0,2019-12-21T15:00:00Z,0,13,0,0,0,0,18,0,0,0,1,0.0,0,0,0,0,45,False,0
3,,,,,,,,,,2019-12-26,,,,,,,,,,,0,0,0,0,0.0,580,184,0,0,0.0,0.0,2019-12-26T15:00:00Z,0,19,0,0,0,0,19,0,49,1,2,0.0,0,22,29,7,45,True,0
4,,,,,,,,,,2019-12-28,,,,,,,,,,,0,0,0,0,0.0,580,198,0,0,0.0,0.0,2019-12-28T15:00:00Z,0,16,0,0,0,0,20,0,81,1,1,0.0,0,14,27,13,45,False,0
5,,,,,,,,,,2020-01-11,,,,,,,,,,,0,0,0,0,0.0,580,214,0,0,0.0,0.0,2020-01-11T12:30:00Z,0,1,0,0,0,0,22,0,170,1,1,0.0,0,16,47,31,45,True,0
6,,,,,,,,,,2020-01-18,,,,,,,,,,,0,0,0,0,0.0,580,225,0,0,0.0,0.0,2020-01-18T15:00:00Z,0,11,0,0,0,0,23,0,209,2,2,0.0,0,10,36,26,45,False,0
7,,,,,,,,,,2020-01-21,,,,,,,,,,,0,0,0,0,0.0,580,239,0,0,0.0,0.0,2020-01-21T19:30:00Z,0,16,0,0,0,0,24,0,222,2,0,0.0,0,3,21,18,45,True,0
8,,,,,,,,,,2020-02-01,,,,,,,,,,,0,0,0,0,0.0,580,243,0,0,0.0,0.0,2020-02-01T15:00:00Z,0,15,0,0,0,0,25,0,250,1,0,0.0,0,-1,19,20,45,True,0
9,,,,,,,,,,2020-02-08,,,,,,,,,,,0,0,0,0,0.0,580,255,0,0,0.0,0.0,2020-02-08T12:30:00Z,0,8,0,0,0,0,26,0,283,1,3,0.0,0,12,22,10,45,False,0
