,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists_x,key_passes,npg,npxG,xGChain,xGBuildup,assists_y,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,48,ML,Valencia,Celta Vigo,2,0,2022-05-21,17513,2021,537227,0,0,0,0,0,0.364999383687973,0.364999383687973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,2,0.6443065404891968,13,Sub,Espanyol,Valencia,1,1,2022-05-15,17503,2021,536556,0,0,0,0,0.6443065404891968,0.6443065404891968,0,0.0,0.0,0.0,0.0,0.0,487.0,367.0,0.0,0.0,0.0,0.0,2022-05-15T11:00:00Z,0.0,5.0,0.0,0.0,0.0,0.0,37.0,0.0,5032.0,0.0,1.0,0.0,0.0,-8.0,0.0,8.0,57.0,True,0.0
2,0,1,0.33201634883880615,64,FW,Valencia,Real Betis,0,3,2022-05-10,17493,2021,534535,0.02353852055966854,0,1,0,0.33201634883880615,0.37409651279449463,0.018541624769568443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,0,0,1,Sub,Valencia,Levante,1,1,2022-04-30,17473,2021,530747,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,1,0.05592269450426102,74,ML,Valencia,Osasuna,1,2,2022-04-16,17454,2021,526611,0.012446449138224125,0,1,0,0.05592269450426102,0.05592269450426102,0.05592269450426102,0.0,0.0,0.0,0.0,0.0,487.0,327.0,0.0,0.0,0.0,0.0,2022-04-16T11:30:00Z,0.0,4.0,0.0,0.0,0.0,0.0,33.0,0.0,5097.0,1.0,0.0,0.0,0.0,-21.0,0.0,21.0,57.0,True,0.0
5,0,0,0,78,AMC,Valencia,Cadiz,0,0,2022-04-03,17435,2021,523736,0,0,0,0,0,0.016515638679265976,0.016515638679265976,0.0,0.0,0.0,0.0,0.0,487.0,308.0,0.0,0.0,0.0,0.0,2022-04-03T15:30:00Z,0.0,14.0,0.0,0.0,0.0,0.0,31.0,0.0,5137.0,1.0,5.0,0.0,0.0,-38.0,0.0,38.0,57.0,True,0.0
6,0,0,0,79,MR,Elche,Valencia,0,1,2022-03-19,17425,2021,521279,0,0,0,0,0,0.4298720955848694,0.4298720955848694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,1,0.06336353719234467,78,AMC,Getafe,Valencia,0,0,2022-03-12,17410,2021,519647,0,0,0,0,0.06336353719234467,0.06336353719234467,0,0.0,0.0,0.0,0.0,0.0,487.0,288.0,0.0,0.0,0.0,0.0,2022-03-12T17:30:00Z,0.0,13.0,0.0,0.0,0.0,0.0,29.0,0.0,5202.0,2.0,3.0,0.0,0.0,-40.0,0.0,40.0,57.0,False,0.0
8,0,0,0,16,Sub,Valencia,Granada,3,1,2022-03-05,17404,2021,517796,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,1,0.20536866784095764,90,AMC,Mallorca,Valencia,0,1,2022-02-26,17388,2021,515770,0.21277770400047302,0,2,0,0.20536866784095764,0.3313499987125397,0.02853216789662838,0.0,0.0,0.0,0.0,0.0,487.0,267.0,0.0,0.0,0.0,0.0,2022-02-26T12:30:00Z,0.0,10.0,0.0,0.0,0.0,0.0,27.0,0.0,5283.0,4.0,0.0,0.0,0.0,-42.0,0.0,42.0,57.0,False,0.0
