,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,ea_index,errors_leading_to_goal,errors_leading_to_goal_attempt,fouls,id_y,key_passes_y,kickoff_time_formatted,loaned_in,loaned_out,offside,open_play_crosses,penalties_conceded,recoveries,tackled,tackles,target_missed,winning_goals
0,0,1,0.10085175186395645,90,MC,Burnley,Southampton,1,1,2019-02-02,9445,2018,304207,0,0,0,0,0.10085175186395645,0.26468604803085327,0.16383428871631622,0,0,6,0,2.0,570,242,1,0,3.5,8.8,2019-02-02T15:00:00Z,90,4,0,0,0,0,25,0,52,1,1,24.0,2,7,15,8,45,False,0,27.0,0.0,0.0,1.0,16.0,1.0,0.0,0.0,0.0,3.0,13894.0,0.0,02 Feb 15:00,0.0,0.0,0.0,0.0,0.0,7.0,4.0,2.0,0.0,0.0
1,0,0,0,5,Sub,Southampton,Crystal Palace,1,1,2019-01-30,9433,2018,304064,0,0,0,0,0,0,0,0,0,2,0,0.6,570,239,0,0,0.0,0.0,2019-01-30T19:45:00Z,6,7,0,0,0,0,24,0,40,1,1,0.0,1,-4,10,14,45,True,0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,13254.0,0.0,30 Jan 19:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0,0,12,Sub,Leicester,Southampton,1,2,2019-01-12,9410,2018,303479,0,0,0,0,0,0,0,0,0,4,0,0.0,570,217,0,0,0.7,7.0,2019-01-12T15:00:00Z,14,11,0,0,0,0,22,0,28,2,1,0.0,1,18,45,27,45,False,0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,12101.0,0.0,12 Jan 15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,,,,,,,,,,2019-08-10,,,,,,,,,,,0,0,0,0,0.0,327,3,0,0,0.0,0.0,2019-08-10T14:00:00Z,0,5,0,0,0,0,1,0,10048,0,3,0.0,0,0,0,0,45,False,0,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,2019-08-17,,,,,,,,,,,0,0,0,0,0.0,327,19,0,0,0.0,0.0,2019-08-17T14:00:00Z,0,10,0,0,0,0,2,0,12295,2,1,0.0,0,-211,1003,1214,45,True,0,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,2019-08-24,,,,,,,,,,,0,0,0,0,0.0,327,23,0,0,0.0,0.0,2019-08-24T14:00:00Z,0,4,0,0,0,0,3,0,11891,2,0,0.0,0,-869,527,1396,45,False,0,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,2019-08-31,,,,,,,,,,,0,0,0,0,0.0,327,39,0,0,0.0,0.0,2019-08-31T11:30:00Z,0,12,0,0,0,0,4,0,11396,1,1,0.0,0,-845,333,1178,45,True,0,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,2019-09-14,,,,,,,,,,,0,0,0,0,0.0,327,47,0,0,0.0,0.0,2019-09-14T14:00:00Z,0,15,0,0,0,0,5,0,11109,1,0,0.0,0,-627,308,935,45,False,0,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,2019-09-20,,,,,,,,,,,0,0,0,0,0.0,327,59,0,0,0.0,0.0,2019-09-20T19:00:00Z,0,3,0,0,0,0,6,0,16834,3,1,0.0,0,3533,4739,1206,44,True,0,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,2019-09-28,,,,,,,,,,,0,0,0,0,0.0,327,69,0,0,0.0,0.0,2019-09-28T14:00:00Z,0,17,0,0,0,0,7,0,26106,1,2,0.0,0,7133,10513,3380,44,False,0,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,2019-10-06,,,,,,,,,,,0,0,0,0,0.0,327,78,0,0,0.0,0.0,2019-10-06T13:00:00Z,0,6,0,0,0,0,8,0,26624,4,1,0.0,0,412,3062,2650,44,True,0,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,2019-10-19,,,,,,,,,,,0,0,0,0,0.0,327,90,0,0,0.0,0.0,2019-10-19T14:00:00Z,0,20,0,0,0,0,9,0,27283,1,1,0.0,0,262,2353,2091,44,False,0,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,2019-10-25,,,,,,,,,,,0,0,0,0,0.0,327,98,0,0,0.0,0.0,2019-10-25T19:00:00Z,0,9,0,0,0,0,10,0,27306,9,0,0.0,0,-168,1159,1327,44,True,0,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,2019-11-02,,,,,,,,,,,0,0,0,0,0.0,327,107,0,0,0.0,0.0,2019-11-02T15:00:00Z,0,11,0,0,0,0,11,0,27405,1,2,0.0,0,-356,1546,1902,44,False,0,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,2019-11-09,,,,,,,,,,,0,0,0,0,0.0,327,118,0,0,0.0,0.0,2019-11-09T15:00:00Z,0,8,0,0,0,0,12,0,28017,2,1,0.0,0,144,1422,1278,44,True,0,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,2019-11-23,,,,,,,,,,,0,0,0,0,0.0,327,121,0,0,0.0,0.0,2019-11-23T15:00:00Z,0,1,0,0,0,0,13,0,28564,2,2,0.0,0,61,1686,1625,44,False,0,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,2019-11-30,,,,,,,,,,,0,0,0,0,0.0,327,138,0,0,0.0,0.0,2019-11-30T17:30:00Z,0,18,0,0,0,0,14,0,28288,1,2,0.0,0,-309,953,1262,44,True,0,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,2019-12-04,,,,,,,,,,,0,0,0,0,0.0,327,150,0,0,0.0,0.0,2019-12-04T19:30:00Z,0,14,0,0,0,0,15,0,28006,1,2,0.0,0,-289,571,860,44,True,0,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,2019-12-08,,,,,,,,,,,0,0,0,0,0.0,327,156,0,0,0.0,0.0,2019-12-08T14:00:00Z,0,13,0,0,0,0,16,0,27473,1,2,0.0,0,-551,388,939,44,False,0,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,2019-12-14,,,,,,,,,,,0,0,0,0,0.0,327,169,0,0,0.0,0.0,2019-12-14T17:30:00Z,0,19,0,0,0,0,17,0,26997,1,0,0.0,0,-608,412,1020,44,True,0,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,2019-12-21,,,,,,,,,,,0,0,0,0,0.0,327,171,0,0,0.0,0.0,2019-12-21T15:00:00Z,0,2,0,0,0,0,18,0,26276,3,1,0.0,0,-724,213,937,44,False,0,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,2019-12-26,,,,,,,,,,,0,0,0,0,0.0,327,183,0,0,0.0,0.0,2019-12-26T15:00:00Z,0,6,0,0,0,0,19,0,25965,2,0,0.0,0,-419,175,594,44,False,0,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,2019-12-28,,,,,,,,,,,0,0,0,0,0.0,327,198,0,0,0.0,0.0,2019-12-28T15:00:00Z,0,7,0,0,0,0,20,0,25727,1,1,0.0,0,-303,143,446,44,True,0,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,2020-01-01,,,,,,,,,,,0,0,0,0,0.0,327,208,0,0,0.0,0.0,2020-01-01T15:00:00Z,0,17,0,0,0,0,21,0,25049,0,1,0.0,0,-721,132,853,44,True,0,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,2020-01-11,,,,,,,,,,,0,0,0,0,0.0,327,216,0,0,0.0,0.0,2020-01-11T15:00:00Z,0,9,0,0,0,0,22,0,24302,2,1,0.0,0,-782,99,881,44,False,0,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,2020-01-18,,,,,,,,,,,0,0,0,0,0.0,327,228,0,0,0.0,0.0,2020-01-18T15:00:00Z,0,20,0,0,0,0,23,0,23876,3,2,0.0,0,-481,144,625,44,True,0,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,2020-01-21,,,,,,,,,,,0,0,0,0,0.0,327,239,0,0,0.0,0.0,2020-01-21T19:30:00Z,0,7,0,0,0,0,24,0,23542,2,0,0.0,0,-370,101,471,44,False,0,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,2020-02-01,,,,,,,,,,,0,0,0,0,0.0,327,245,0,0,0.0,0.0,2020-02-01T15:00:00Z,0,10,0,0,0,0,25,0,22972,0,4,0.0,0,-600,112,712,44,False,0,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,2020-02-15,,,,,,,,,,,0,0,0,0,0.0,327,259,0,0,0.0,0.0,2020-02-15T12:30:00Z,0,5,0,0,0,0,26,0,22226,2,1,0.0,0,-741,26,767,44,True,0,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,2020-02-22,,,,,,,,,,,0,0,0,0,0.0,327,269,0,0,0.0,0.0,2020-02-22T15:00:00Z,0,2,0,0,0,0,27,0,21592,0,2,0.0,0,-648,22,670,44,True,0,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,2020-02-29,,,,,,,,,,,0,0,0,0,0.0,327,280,0,0,0.0,0.0,2020-02-29T15:00:00Z,0,19,0,0,0,0,28,0,21426,1,3,0.0,0,-165,299,464,44,False,0,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,2020-03-07,,,,,,,,,,,0,0,0,0,0.0,327,289,0,0,0.0,0.0,2020-03-07T15:00:00Z,0,13,0,0,0,0,29,0,20977,1,0,0.0,0,-480,45,525,44,True,0,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,2020-06-19,,,,,,,,,,,0,0,0,0,0.0,327,297,0,0,0.0,0.0,2020-06-19T17:00:00Z,0,14,0,0,0,0,39,0,20052,3,0,0.0,0,-726,55,781,44,False,0,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,2020-06-25,,,,,,,,,,,0,0,0,0,0.0,327,308,0,0,0.0,0.0,2020-06-25T17:00:00Z,0,1,0,0,0,0,40,0,19845,2,0,0.0,0,-219,12,231,44,True,0,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,2020-06-28,,,,,,,,,,,0,0,0,0,0.0,327,319,0,0,0.0,0.0,2020-06-28T15:30:00Z,0,18,0,0,0,0,41,0,19678,3,1,0.0,0,-164,11,175,44,False,0,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,2020-07-05,,,,,,,,,,,0,0,0,0,0.0,327,328,0,0,0.0,0.0,2020-07-05T18:00:00Z,0,11,0,0,0,0,42,0,19508,0,1,0.0,0,-175,11,186,44,True,0,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,2020-07-09,,,,,,,,,,,0,0,0,0,0.0,327,336,0,0,0.0,0.0,2020-07-09T17:00:00Z,0,8,0,0,0,0,43,0,19369,1,1,0.0,0,-137,11,148,44,False,0,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,2020-07-13,,,,,,,,,,,0,0,0,0,0.0,327,345,0,0,0.0,0.0,2020-07-13T19:00:00Z,0,12,0,0,0,0,44,0,19232,2,2,0.0,0,-138,5,143,44,False,0,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,2020-07-16,,,,,,,,,,,0,0,0,0,0.0,327,359,0,0,0.0,0.0,2020-07-16T19:15:00Z,0,4,0,0,0,0,45,0,19133,1,1,0.0,0,-103,8,111,44,True,0,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,2020-07-19,,,,,,,,,,,0,0,0,0,0.0,327,362,0,0,0.0,0.0,2020-07-19T13:00:00Z,0,3,0,0,0,0,46,0,19074,2,0,0.0,0,-53,9,62,44,False,0,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,2020-07-26,,,,,,,,,,,0,0,0,0,0.0,327,379,0,0,0.0,0.0,2020-07-26T15:00:00Z,0,15,0,0,0,0,47,0,18973,1,3,0.0,0,-111,26,137,44,True,0,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,2019-01-02,,,,,,,,,,,0,0,0,0,0.0,570,204,0,0,0.0,0.0,2019-01-02T19:45:00Z,0,6,0,0,0,0,21,0,0,0,0,0.0,0,0,0,0,45,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11531.0,0.0,02 Jan 19:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,,,,,,,,,,2019-01-19,,,,,,,,,,,0,0,0,0,0.0,570,228,0,0,0.0,0.0,2019-01-19T15:00:00Z,0,8,0,0,0,0,23,0,41,1,2,0.0,0,8,22,14,45,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12675.0,0.0,19 Jan 15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,,,,,,,,,,2019-02-09,,,,,,,,,,,0,0,0,0,0.0,570,257,0,0,0.0,0.0,2019-02-09T15:00:00Z,0,5,0,0,0,0,26,0,90,2,1,0.0,0,35,51,16,45,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14491.0,0.0,09 Feb 15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,,,,,,,,,,2019-02-24,,,,,,,,,,,0,0,0,0,0.0,570,261,0,0,0.0,0.0,2019-02-24T14:05:00Z,0,1,0,0,0,0,27,0,95,0,2,0.0,0,2,15,13,45,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14978.0,0.0,24 Feb 14:05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,,,,,,,,,,2019-02-27,,,,,,,,,,,0,0,0,0,0.0,570,280,0,0,0.0,0.0,2019-02-27T19:45:00Z,0,9,0,0,0,0,28,0,101,0,2,0.0,0,2,11,9,45,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15575.0,0.0,27 Feb 19:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,,,,,,,,,,2019-03-02,,,,,,,,,,,0,0,0,0,0.0,570,286,0,0,0.0,0.0,2019-03-02T15:00:00Z,0,14,0,0,0,0,29,0,112,2,3,0.0,0,11,24,13,45,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16180.0,0.0,02 Mar 15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,,,,,,,,,,2019-03-09,,,,,,,,,,,0,0,0,0,0.0,570,300,0,0,0.0,0.0,2019-03-09T15:00:00Z,0,17,0,0,0,0,30,0,124,1,2,0.0,0,7,14,7,45,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16786.0,0.0,09 Mar 15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,,,,,,,,,,2019-03-30,,,,,,,,,,,0,0,0,0,0.0,570,312,0,0,0.0,0.0,2019-03-30T15:00:00Z,0,3,0,0,0,0,32,0,153,1,0,0.0,0,15,22,7,45,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17977.0,0.0,30 Mar 15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,,,,,,,,,,2019-04-05,,,,,,,,,,,0,0,0,0,0.0,570,327,0,0,0.0,0.0,2019-04-05T19:00:00Z,0,12,0,0,0,0,33,0,150,3,1,0.0,0,-3,12,15,45,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18379.0,0.0,05 Apr 20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,,,,,,,,,,2019-04-13,,,,,,,,,,,0,0,0,0,0.0,570,338,0,0,0.0,0.0,2019-04-13T14:00:00Z,0,20,0,0,0,0,34,0,152,1,3,0.0,0,1,14,13,45,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19032.0,0.0,13 Apr 15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,,,,,,,,,,2019-04-20,,,,,,,,,,,0,0,0,0,0.0,570,348,0,0,0.0,0.0,2019-04-20T16:30:00Z,0,15,0,0,0,0,35,0,154,1,3,0.0,0,-1,4,5,45,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19878.0,0.0,20 Apr 17:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,,,,,,,,,,2019-04-23,,,,,,,,,,,0,0,0,0,0.0,570,308,0,0,0.0,0.0,2019-04-23T18:45:00Z,0,18,0,0,0,0,35,0,154,1,1,0.0,0,-1,4,5,45,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19877.0,0.0,23 Apr 19:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,,,,,,,,,,2019-04-27,,,,,,,,,,,0,0,0,0,0.0,570,358,0,0,0.0,0.0,2019-04-27T14:00:00Z,0,2,0,0,0,0,36,0,151,3,3,0.0,0,-2,9,11,45,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20506.0,0.0,27 Apr 15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,,,,,,,,,,2019-05-04,,,,,,,,,,,0,0,0,0,0.0,570,369,0,0,0.0,0.0,2019-05-04T14:00:00Z,0,19,0,0,0,0,37,0,152,0,3,0.0,0,-1,7,8,45,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21121.0,0.0,04 May 15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,,,,,,,,,,2019-05-12,,,,,,,,,,,0,0,0,0,0.0,570,378,0,0,0.0,0.0,2019-05-12T14:00:00Z,0,10,0,0,0,0,38,0,163,1,1,0.0,0,10,18,8,45,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21737.0,0.0,12 May 15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
