,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists_x,key_passes,npg,npxG,xGChain,xGBuildup,assists_y,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,90,GK,Chelsea,Liverpool,2,2,2022-01-02,16578,2021,505718,0,0,0,0,0,0.11612968146800995,0.11612968146800995,0,0,23,0,0.0,242,203,2,0,2.8,27.8,2022-01-02T16:30:00Z,90,6,0,0,0,0,21,4,9657,2,2,0.0,2,126,369,243,43,False,0
1,0,0,0,90,GK,Watford,Liverpool,0,5,2021-10-16,16455,2021,487846,0,0,0,0,0,0.21654973924160004,0.21654973924160004,0,0,29,1,0.0,242,80,0,0,1.8,18.4,2021-10-16T11:30:00Z,90,18,0,0,0,0,8,2,13827,5,0,0.0,6,4185,5064,879,44,False,0
2,0,0,0,90,GK,Liverpool,Brighton,0,1,2021-02-03,14654,2020,447185,0,0,0,0,0,0.44792696833610535,0.44792696833610535,0,0,15,0,0.0,560,216,1,0,3.0,29.6,2021-02-03T20:15:00Z,90,3,0,0,0,0,22,3,8307,1,0,0.0,3,-355,53,408,45,True,0
3,0,0,0,90,GK,Liverpool,Wolverhampton Wanderers,4,0,2020-12-06,14539,2020,432287,0,0,0,0,0,0,0,0,0,26,1,0.0,560,103,0,0,2.8,28.2,2020-12-06T19:15:00Z,90,20,0,0,0,0,11,3,8383,0,4,0.0,7,4993,5353,360,45,True,0
4,,,,,,,,,,2019-08-17,,,,,,,,,,,0,0,0,0,0.0,531,19,0,0,0.0,0.0,2019-08-17T14:00:00Z,0,16,0,0,0,0,2,0,466,2,1,0.0,0,245,308,63,45,False,0
5,,,,,,,,,,2019-08-24,,,,,,,,,,,0,0,0,0,0.0,531,24,0,0,0.0,0.0,2019-08-24T16:30:00Z,0,1,0,0,0,0,3,0,677,1,3,0.0,0,-100,87,187,45,True,0
6,,,,,,,,,,2019-08-31,,,,,,,,,,,0,0,0,0,0.0,531,32,0,0,0.0,0.0,2019-08-31T16:30:00Z,0,5,0,0,0,0,4,0,923,3,0,0.0,0,-77,62,139,45,False,0
7,,,,,,,,,,2019-09-14,,,,,,,,,,,0,0,0,0,0.0,531,44,0,0,0.0,0.0,2019-09-14T11:30:00Z,0,13,0,0,0,0,5,0,1156,1,3,0.0,0,-58,48,106,45,True,0
8,,,,,,,,,,2019-09-22,,,,,,,,,,,0,0,0,0,0.0,531,53,0,0,0.0,0.0,2019-09-22T15:30:00Z,0,6,0,0,0,0,6,0,1301,2,1,0.0,0,-14,48,62,45,False,0
9,,,,,,,,,,2019-09-28,,,,,,,,,,,0,0,0,0,0.0,531,68,0,0,0.0,0.0,2019-09-28T11:30:00Z,0,15,0,0,0,0,7,0,1457,1,0,0.0,0,-25,76,101,45,False,0
10,,,,,,,,,,2019-10-05,,,,,,,,,,,0,0,0,0,0.0,531,74,0,0,0.0,0.0,2019-10-05T14:00:00Z,0,9,0,0,0,0,8,0,1558,1,2,0.0,0,-35,40,75,45,True,0
11,,,,,,,,,,2019-10-20,,,,,,,,,,,0,0,0,0,0.0,531,87,0,0,0.0,0.0,2019-10-20T15:30:00Z,0,12,0,0,0,0,9,0,1728,1,1,0.0,0,-9,61,70,45,False,0
12,,,,,,,,,,2019-10-27,,,,,,,,,,,0,0,0,0,0.0,531,94,0,0,0.0,0.0,2019-10-27T16:30:00Z,0,17,0,0,0,0,10,0,1755,1,2,0.0,0,-44,18,62,45,True,0
13,,,,,,,,,,2019-11-02,,,,,,,,,,,0,0,0,0,0.0,531,102,0,0,0.0,0.0,2019-11-02T15:00:00Z,0,2,0,0,0,0,11,0,1868,2,1,0.0,0,-12,51,63,45,False,0
14,,,,,,,,,,2019-11-10,,,,,,,,,,,0,0,0,0,0.0,531,114,0,0,0.0,0.0,2019-11-10T16:30:00Z,0,11,0,0,0,0,12,0,1940,1,3,0.0,0,-27,40,67,45,True,0
15,,,,,,,,,,2019-11-23,,,,,,,,,,,0,0,0,0,0.0,531,125,0,0,0.0,0.0,2019-11-23T15:00:00Z,0,7,0,0,0,0,13,0,1946,2,1,0.0,0,-81,48,129,45,False,0
16,,,,,,,,,,2019-11-30,,,,,,,,,,,0,0,0,0,0.0,531,134,0,0,0.0,0.0,2019-11-30T15:00:00Z,0,4,0,0,0,0,14,0,1912,1,2,0.0,0,-43,16,59,45,True,0
17,,,,,,,,,,2019-12-04,,,,,,,,,,,0,0,0,0,0.0,531,149,0,0,0.0,0.0,2019-12-04T20:15:00Z,0,8,0,0,0,0,15,0,1898,2,5,0.0,0,-17,13,30,45,True,0
18,,,,,,,,,,2019-12-07,,,,,,,,,,,0,0,0,0,0.0,531,152,0,0,0.0,0.0,2019-12-07T15:00:00Z,0,3,0,0,0,0,16,0,1923,3,0,0.0,0,-2,15,17,44,False,0
19,,,,,,,,,,2019-12-14,,,,,,,,,,,0,0,0,0,0.0,531,166,0,0,0.0,0.0,2019-12-14T12:30:00Z,0,18,0,0,0,0,17,0,1966,0,2,0.0,0,-10,22,32,44,True,0
20,,,,,,,,,,2019-12-26,,,,,,,,,,,0,0,0,0,0.0,531,186,0,0,0.0,0.0,2019-12-26T20:00:00Z,0,9,0,0,0,0,19,0,2024,4,0,0.0,0,8,24,16,44,False,0
21,,,,,,,,,,2019-12-29,,,,,,,,,,,0,0,0,0,0.0,531,194,0,0,0.0,0.0,2019-12-29T16:30:00Z,0,20,0,0,0,0,20,0,2036,0,1,0.0,0,-8,19,27,44,True,0
22,,,,,,,,,,2020-01-02,,,,,,,,,,,0,0,0,0,0.0,531,204,0,0,0.0,0.0,2020-01-02T20:00:00Z,0,15,0,0,0,0,21,0,2051,0,2,0.0,0,-20,18,38,44,True,0
23,,,,,,,,,,2020-01-11,,,,,,,,,,,0,0,0,0,0.0,531,219,0,0,0.0,0.0,2020-01-11T17:30:00Z,0,17,0,0,0,0,22,0,2107,1,0,0.0,0,-12,31,43,44,False,0
24,,,,,,,,,,2020-01-19,,,,,,,,,,,0,0,0,0,0.0,531,224,0,0,0.0,0.0,2020-01-19T16:30:00Z,0,12,0,0,0,0,23,0,2115,0,2,0.0,0,-34,28,62,44,True,0
25,,,,,,,,,,2020-01-23,,,,,,,,,,,0,0,0,0,0.0,531,237,0,0,0.0,0.0,2020-01-23T20:00:00Z,0,20,0,0,0,0,24,0,2096,2,1,0.0,0,-40,9,49,44,False,0
26,,,,,,,,,,2020-01-29,,,,,,,,,,,0,0,0,0,0.0,531,180,0,0,0.0,0.0,2020-01-29T19:45:00Z,0,19,0,0,0,0,24,0,2096,2,0,0.0,0,-40,9,49,44,False,0
27,,,,,,,,,,2020-02-01,,,,,,,,,,,0,0,0,0,0.0,531,245,0,0,0.0,0.0,2020-02-01T15:00:00Z,0,16,0,0,0,0,25,0,2104,0,4,0.0,0,-27,15,42,44,True,0
28,,,,,,,,,,2020-02-15,,,,,,,,,,,0,0,0,0,0.0,531,257,0,0,0.0,0.0,2020-02-15T17:30:00Z,0,14,0,0,0,0,26,0,2110,1,0,0.0,0,-20,9,29,44,False,0
29,,,,,,,,,,2020-02-24,,,,,,,,,,,0,0,0,0,0.0,531,266,0,0,0.0,0.0,2020-02-24T20:00:00Z,0,19,0,0,0,0,27,0,2154,2,3,0.0,0,-2,11,13,44,True,0
30,,,,,,,,,,2020-02-29,,,,,,,,,,,0,0,0,0,0.0,531,279,0,0,0.0,0.0,2020-02-29T17:30:00Z,0,18,0,0,0,0,28,0,2164,0,3,0.0,0,-13,7,20,44,False,0
31,,,,,,,,,,2020-03-07,,,,,,,,,,,0,0,0,0,0.0,531,286,0,0,0.0,0.0,2020-03-07T12:30:00Z,0,3,0,0,0,0,29,0,2183,1,2,0.0,0,0,21,21,44,True,0
32,,,,,,,,,,2020-06-21,,,,,,,,,,,0,0,0,0,0.0,531,294,0,0,0.0,0.0,2020-06-21T18:00:00Z,0,8,0,0,0,0,39,0,2382,0,0,0.0,0,141,266,125,44,False,0
33,,,,,,,,,,2020-06-24,,,,,,,,,,,0,0,0,0,0.0,531,304,0,0,0.0,0.0,2020-06-24T19:15:00Z,0,7,0,0,0,0,40,0,2361,0,4,0.0,0,-43,25,68,44,True,0
34,,,,,,,,,,2020-07-02,,,,,,,,,,,0,0,0,0,0.0,531,317,0,0,0.0,0.0,2020-07-02T19:15:00Z,0,11,0,0,0,0,41,0,2381,0,4,0.0,0,-7,19,26,44,False,0
35,,,,,,,,,,2020-07-05,,,,,,,,,,,0,0,0,0,0.0,531,324,0,0,0.0,0.0,2020-07-05T15:30:00Z,0,2,0,0,0,0,42,0,2401,0,2,0.0,0,-2,24,26,44,True,0
36,,,,,,,,,,2020-07-08,,,,,,,,,,,0,0,0,0,0.0,531,334,0,0,0.0,0.0,2020-07-08T19:15:00Z,0,4,0,0,0,0,43,0,2414,3,1,0.0,0,-10,10,20,44,False,0
37,,,,,,,,,,2020-07-11,,,,,,,,,,,0,0,0,0,0.0,531,344,0,0,0.0,0.0,2020-07-11T14:00:00Z,0,5,0,0,0,0,44,0,2430,1,1,0.0,0,-4,19,23,44,True,0
38,,,,,,,,,,2020-07-15,,,,,,,,,,,0,0,0,0,0.0,531,351,0,0,0.0,0.0,2020-07-15T19:15:00Z,0,1,0,0,0,0,45,0,2447,1,2,0.0,0,-3,16,19,44,False,0
39,,,,,,,,,,2020-07-22,,,,,,,,,,,0,0,0,0,0.0,531,364,0,0,0.0,0.0,2020-07-22T19:15:00Z,0,6,0,0,0,0,46,0,2460,3,5,0.0,0,-1,18,19,44,True,0
40,,,,,,,,,,2020-07-26,,,,,,,,,,,0,0,0,0,0.0,531,378,0,0,0.0,0.0,2020-07-26T15:00:00Z,0,13,0,0,0,0,47,0,2485,3,1,0.0,0,3,32,29,44,False,0
41,,,,,,,,,,2021-08-14,,,,,,,,,,,0,0,0,0,0.0,242,7,0,0,0.0,0.0,2021-08-14T16:30:00Z,0,15,0,0,0,0,1,0,7681,3,0,0.0,0,0,0,0,45,False,0
42,,,,,,,,,,2021-08-21,,,,,,,,,,,0,0,0,0,0.0,242,15,0,0,0.0,0.0,2021-08-21T11:30:00Z,0,5,0,0,0,0,2,0,8455,0,2,0.0,0,-873,139,1012,45,True,0
43,,,,,,,,,,2021-08-28,,,,,,,,,,,0,0,0,0,0.0,242,23,0,0,0.0,0.0,2021-08-28T16:30:00Z,0,6,0,0,0,0,3,0,8282,1,1,0.0,0,-675,96,771,45,True,0
44,,,,,,,,,,2021-09-12,,,,,,,,,,,0,0,0,0,0.0,242,36,0,0,0.0,0.0,2021-09-12T15:30:00Z,0,10,0,0,0,0,4,0,9148,3,0,0.0,0,-39,1249,1288,45,False,0
45,,,,,,,,,,2021-09-18,,,,,,,,,,,0,0,0,0,0.0,242,44,0,0,0.0,0.0,2021-09-18T14:00:00Z,0,7,0,0,0,0,5,0,8806,0,3,0.0,0,-597,183,780,45,True,0
46,,,,,,,,,,2021-09-25,,,,,,,,,,,0,0,0,0,0.0,242,52,0,0,0.0,0.0,2021-09-25T16:30:00Z,0,3,0,0,0,0,6,0,8575,3,3,0.0,0,-432,178,610,44,False,0
