,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,90,DC,Marseille,Ajaccio,1,2,2022-10-08,19744,2022,554214,0,0,0,0,0,0.050990186631679535,0.050990186631679535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,90,DC,Angers,Marseille,0,3,2022-09-30,19731,2022,551943,0,0,0,0,0,0.5503305196762085,0.5503305196762085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,1,0.016414478421211243,90,DC,Marseille,Rennes,1,1,2022-09-18,19725,2022,551229,0.02229061722755432,0,1,0,0.016414478421211243,0.04430270567536354,0.02201208844780922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,0,0,49,DC,Marseille,Lille,2,1,2022-09-10,19712,2022,549337,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,1,0.04992043972015381,90,DC,Auxerre,Marseille,0,2,2022-09-03,19699,2022,547352,0,0,0,0,0.04992043972015381,0.1721135824918747,0.1721135824918747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,1,0.030992107465863228,90,DC,Marseille,Clermont Foot,1,0,2022-08-31,19693,2022,546488,0,0,0,0,0.030992107465863228,0.7242690324783325,0.7242690324783325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,1,0.05775437504053116,90,DC,Nice,Marseille,0,3,2022-08-28,19682,2022,545191,0,0,0,0,0.05775437504053116,0.08939060568809509,0.08939060568809509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,1,0.44989123940467834,90,DC,Marseille,Nantes,2,1,2022-08-20,19674,2022,542794,0,0,0,1,0.44989123940467834,0.060340285301208496,0.060340285301208496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,0,0,90,DC,Brest,Marseille,1,1,2022-08-14,19667,2022,541701,0,0,0,0,0,0.04191531613469124,0.04191531613469124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,0,0,90,DC,Marseille,Reims,4,1,2022-08-07,19657,2022,540188,0,0,0,0,0,0.07075545191764832,0.07075545191764832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,0,0,78,DC,Newcastle United,Manchester City,0,1,2017-12-27,7315,2017,205802,0,0,0,0,0,0,0,0.0,14.0,0.0,0.0,0.0,7.0,0.0,5.0,4.0,0.0,0.0,0.0,494.0,0.0,1.0,197.0,0.0,1.0,0.0,0.6,11095.0,3.8,0.0,2017-12-27T19:45:00Z,27 Dec 19:45,0.0,0.0,76.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,4.0,0.0,20.0,0.0,622534.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,15896.0,31703.0,15807.0,39.0,True,0.0,0.0
11,0,0,0,4,Sub,West Ham,Newcastle United,2,3,2017-12-23,7300,2017,205384,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,494.0,0.0,0.0,190.0,0.0,0.0,0.0,0.5,10510.0,5.2,0.0,2017-12-23T15:00:00Z,23 Dec 15:00,0.0,0.0,6.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0,19.0,0.0,602661.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,13008.0,39615.0,26607.0,39.0,False,0.0,0.0
12,0,0,0,90,DC,Chelsea,Newcastle United,3,1,2017-12-02,7259,2017,179713,0,0,0,0,0,0.020242536440491676,0.020242536440491676,0.0,38.0,0.0,0.0,0.0,16.0,0.0,10.0,36.0,1.2,0.0,0.0,494.0,0.0,0.0,144.0,1.0,3.0,0.0,2.2,8201.0,20.6,0.0,2017-12-02T12:30:00Z,02 Dec 12:30,0.0,0.0,90.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,15.0,0.0,615431.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,-4668.0,13400.0,18068.0,40.0,False,0.0,0.0
13,0,0,0,90,DL,West Bromwich Albion,Newcastle United,2,2,2017-11-28,7252,2017,179059,0.12789632380008698,0,1,0,0,0.17148104310035706,0.17148104310035706,0.0,43.0,0.0,0.0,0.0,26.0,0.0,5.0,32.0,22.8,0.0,0.0,494.0,0.0,0.0,134.0,1.0,2.0,0.0,5.3,7630.0,29.8,1.0,2017-11-28T20:00:00Z,28 Nov 20:00,0.0,0.0,90.0,0.0,3.0,19.0,0.0,0.0,0.0,0.0,10.0,0.0,14.0,0.0,618979.0,0.0,5.0,0.0,2.0,2.0,0.0,1.0,-23486.0,6090.0,29576.0,40.0,False,0.0,0.0
14,0,0,0,84,DL,Brighton,Newcastle United,1,0,2017-09-24,7177,2017,176857,0.10503518581390381,0,1,0,0,0.16178572177886963,0.05675053223967552,0.0,27.0,0.0,0.0,0.0,14.0,0.0,6.0,21.0,12.8,2.0,0.0,494.0,0.0,0.0,59.0,0.0,1.0,0.0,3.2,3142.0,15.6,1.0,2017-09-24T15:00:00Z,24 Sep 16:00,0.0,0.0,82.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,0.0,533537.0,1.0,1.0,0.0,0.0,1.0,4.0,2.0,127097.0,152719.0,25622.0,40.0,False,0.0,0.0
15,0,0,0,90,DL,Newcastle United,Stoke,2,1,2017-09-16,7163,2017,176514,0.34372222423553467,0,1,0,0,0.43532872200012207,0.43532872200012207,0.0,24.0,1.0,0.0,0.0,15.0,0.0,7.0,15.0,13.9,2.0,0.0,494.0,0.0,0.0,45.0,1.0,1.0,0.0,3.3,2596.0,19.2,1.0,2017-09-16T14:00:00Z,16 Sep 15:00,0.0,0.0,90.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,392404.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,10264.0,50442.0,40178.0,40.0,True,0.0,0.0
16,0,0,0,90,DL,Newcastle United,West Ham,3,0,2017-08-26,7142,2017,176486,0.02715144120156765,0,1,0,0,0.22619347274303436,0.19904203712940216,0.0,25.0,0.0,0.0,3.0,33.0,1.0,8.0,12.0,14.3,2.0,0.0,494.0,0.0,0.0,26.0,1.0,0.0,0.0,4.0,1521.0,25.4,1.0,2017-08-26T14:00:00Z,26 Aug 15:00,0.0,0.0,90.0,0.0,1.0,20.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,0.0,252167.0,2.0,4.0,0.0,0.0,3.0,0.0,9.0,93879.0,111457.0,17578.0,40.0,True,0.0,0.0
17,0,0,0,90,DL,Huddersfield,Newcastle United,1,0,2017-08-20,7136,2017,176140,0,0,0,0,0,0.019976787269115448,0.019976787269115448,0.0,29.0,0.0,0.0,0.0,10.0,0.0,8.0,20.0,1.7,2.0,0.0,494.0,0.0,0.0,18.0,1.0,1.0,0.0,1.9,1005.0,17.0,0.0,2017-08-20T12:30:00Z,20 Aug 13:30,0.0,0.0,90.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,137866.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,16153.0,24692.0,8539.0,40.0,False,0.0,0.0
18,0,0,0,57,Sub,Newcastle United,Tottenham,0,2,2017-08-13,7127,2017,175967,0,0,0,0,0,0.061678219586610794,0.061678219586610794,0.0,14.0,0.0,0.0,0.0,9.0,0.0,6.0,13.0,0.4,0.0,0.0,494.0,0.0,0.0,10.0,0.0,2.0,0.0,2.2,494.0,21.6,0.0,2017-08-13T12:30:00Z,13 Aug 13:30,0.0,0.0,56.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,98023.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,True,0.0,0.0
19,0,0,0,90,DC,Newcastle United,Tottenham,5,1,2016-05-15,454,2015,57746,0,0,0,0,0,0.07960906624794006,0.07960906624794006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0,0,0,90,DC,Aston Villa,Newcastle United,0,0,2016-05-07,440,2015,63643,0.13385061919689178,0,1,0,0,0.2544519901275635,0.12060137838125229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0,1,0.009817934595048428,90,DC,Newcastle United,Crystal Palace,1,0,2016-04-30,428,2015,63217,0.09872576594352722,0,1,0,0.009817934595048428,0.10854370146989822,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0,0,0,90,DC,Liverpool,Newcastle United,2,2,2016-04-23,423,2015,63424,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0,0,0,90,DC,Newcastle United,Manchester City,1,1,2016-04-19,415,2015,65893,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0,0,0,90,DC,Newcastle United,Swansea,3,0,2016-04-16,408,2015,62668,0,0,0,0,0,0.060546670109033585,0.060546670109033585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0,0,0,90,DC,Southampton,Newcastle United,3,1,2016-04-09,396,2015,67037,0,0,0,0,0,0.009918921627104282,0.009918921627104282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0,1,0.11056303232908249,90,DC,Norwich,Newcastle United,3,2,2016-04-02,387,2015,66156,0,0,0,0,0.11056303232908249,0.10273612290620804,0.10273612290620804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0,1,0.02461848594248295,90,DC,Newcastle United,Sunderland,1,1,2016-03-20,381,2015,66527,0,0,0,0,0.02461848594248295,0.2330975979566574,0.2084791213274002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0,0,0,43,DC,Everton,Newcastle United,3,0,2016-02-03,319,2015,61388,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0,1,0.03420469909906387,90,DC,Watford,Newcastle United,2,1,2016-01-23,307,2015,58145,0,0,0,0,0.03420469909906387,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0,0,0,90,DC,Newcastle United,West Ham,2,1,2016-01-16,293,2015,58022,0,0,0,0,0,0.7975598573684692,0.7975598573684692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0,0,0,90,DC,Newcastle United,Manchester United,3,3,2016-01-12,281,2015,60524,0,0,0,0,0,0.18707600235939026,0.18707600235939026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0,1,0.08419831842184067,90,DC,Arsenal,Newcastle United,1,0,2016-01-02,273,2015,60759,0.021595660597085953,0,1,0,0.08419831842184067,0.15395861864089966,0.15395861864089966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0,0,0,90,DC,West Bromwich Albion,Newcastle United,1,0,2015-12-28,261,2015,60209,0,0,0,0,0,0.07990512251853943,0.07990512251853943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0,0,0,90,DC,Newcastle United,Everton,0,1,2015-12-26,259,2015,60828,0,0,0,0,0,0.06996221095323563,0.06996221095323563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0,0,0,90,DC,Newcastle United,Aston Villa,1,1,2015-12-19,247,2015,57941,0,0,0,0,0,0.9279922246932983,0.9279922246932983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,0,1,0.13505230844020844,90,DC,Tottenham,Newcastle United,1,2,2015-12-13,239,2015,61006,0,0,0,0,0.13505230844020844,0.12261529266834259,0.12261529266834259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,0,1,0.07078906148672104,90,DC,Newcastle United,Liverpool,2,0,2015-12-06,229,2015,60358,0,0,0,0,0.07078906148672104,0.027039766311645508,0.027039766311645508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,0,0,0,90,DC,Crystal Palace,Newcastle United,5,1,2015-11-28,214,2015,61996,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,0,0,0,90,DC,Newcastle United,Leicester,0,3,2015-11-21,205,2015,60139,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,0,0,0,90,DC,Bournemouth,Newcastle United,0,1,2015-11-07,191,2015,60400,0,0,0,0,0,0.09229172021150589,0.09229172021150589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,0,2,0.2112562358379364,90,DC,Newcastle United,Stoke,0,0,2015-10-31,184,2015,58188,0,0,0,0,0.2112562358379364,0.10035620629787445,0.10035620629787445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,0,0,0,90,DC,Sunderland,Newcastle United,3,0,2015-10-25,177,2015,65463,0,0,0,0,0,0.19519196450710297,0.19519196450710297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,0,1,0.07986793667078018,90,DC,Newcastle United,Norwich,6,2,2015-10-18,169,2015,65040,0,0,0,0,0.07986793667078018,0.03710982948541641,0.03710982948541641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0,0,0,90,DC,Manchester City,Newcastle United,6,1,2015-10-03,154,2015,64833,0,0,0,0,0,0.02205231972038746,0.02205231972038746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,0,0,0,90,DC,Newcastle United,Chelsea,2,2,2015-09-26,148,2015,64459,0,0,0,0,0,0.04916303604841232,0.04916303604841232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0,1,0.009577435441315174,90,DC,Newcastle United,Watford,1,2,2015-09-19,132,2015,64240,0,0,0,0,0.009577435441315174,0.2006155103445053,0.1910380721092224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,0,1,0.006756204180419445,90,DC,West Ham,Newcastle United,2,0,2015-09-14,130,2015,64087,0,0,0,0,0.006756204180419445,0.34687817096710205,0.34012195467948914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,0,0,0,90,DC,Newcastle United,Arsenal,0,1,2015-08-29,111,2015,63658,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,0,0,0,90,DR,Manchester United,Newcastle United,0,0,2015-08-22,101,2015,62821,0.01413294393569231,0,1,0,0,0.12468848377466202,0.12468848377466202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,0,0,0,90,DC,Swansea,Newcastle United,2,0,2015-08-15,94,2015,57540,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,0,0,0,90,DC,Newcastle United,Southampton,2,2,2015-08-09,87,2015,57250,0,0,0,0,0,0.10221745073795319,0.10221745073795319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,2017-09-10,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,494.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,2052.0,0.0,0.0,2017-09-10T15:00:00Z,10 Sep 16:00,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,378655.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,103447.0,159827.0,56380.0,40.0,False,0.0,0.0
53,,,,,,,,,,2017-10-01,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,494.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,3692.0,0.0,0.0,2017-10-01T15:30:00Z,01 Oct 16:30,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,651598.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,106346.0,131374.0,25028.0,40.0,True,0.0,0.0
54,,,,,,,,,,2017-10-15,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,494.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,4246.0,0.0,0.0,2017-10-15T15:00:00Z,15 Oct 16:00,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,708230.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,48791.0,89249.0,40458.0,40.0,False,0.0,0.0
55,,,,,,,,,,2017-10-21,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,494.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,4803.0,0.0,0.0,2017-10-21T14:00:00Z,21 Oct 15:00,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,719938.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8526.0,39434.0,30908.0,40.0,True,0.0,0.0
56,,,,,,,,,,2017-10-30,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,494.0,0.0,0.0,94.0,0.0,0.0,0.0,0.0,5362.0,0.0,0.0,2017-10-30T20:00:00Z,30 Oct 20:00,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,701159.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-21976.0,31729.0,53705.0,40.0,False,0.0,0.0
57,,,,,,,,,,2017-11-04,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,494.0,0.0,0.0,104.0,0.0,0.0,0.0,0.0,5925.0,0.0,0.0,2017-11-04T15:00:00Z,04 Nov 15:00,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,685093.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-17782.0,18255.0,36037.0,40.0,True,0.0,0.0
58,,,,,,,,,,2017-11-18,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,494.0,0.0,0.0,118.0,0.0,0.0,0.0,0.0,6491.0,0.0,0.0,2017-11-18T17:30:00Z,18 Nov 17:30,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,658600.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,-28553.0,17845.0,46398.0,40.0,False,0.0,0.0
59,,,,,,,,,,2017-11-25,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,494.0,0.0,0.0,125.0,0.0,0.0,0.0,0.0,7060.0,0.0,0.0,2017-11-25T15:00:00Z,25 Nov 15:00,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,641854.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,-17896.0,12704.0,30600.0,40.0,True,0.0,0.0
60,,,,,,,,,,2017-12-09,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,494.0,0.0,0.0,156.0,0.0,0.0,0.0,0.0,8775.0,0.0,0.0,2017-12-09T17:30:00Z,09 Dec 17:30,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,622894.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,5224.0,21528.0,16304.0,40.0,True,0.0,0.0
61,,,,,,,,,,2017-12-13,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,494.0,0.0,0.0,167.0,0.0,0.0,0.0,0.0,9352.0,0.0,0.0,2017-12-13T19:45:00Z,13 Dec 19:45,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,609813.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-13822.0,7572.0,21394.0,40.0,True,0.0,0.0
62,,,,,,,,,,2017-12-16,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,494.0,0.0,0.0,171.0,0.0,0.0,0.0,0.0,9930.0,0.0,0.0,2017-12-16T15:00:00Z,16 Dec 15:00,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,585266.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-25106.0,4464.0,29570.0,40.0,False,0.0,0.0
63,,,,,,,,,,2017-12-30,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,494.0,0.0,0.0,207.0,0.0,0.0,0.0,0.0,11635.0,0.0,0.0,2017-12-30T15:00:00Z,30 Dec 15:00,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,657281.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30391.0,51288.0,20897.0,39.0,True,0.0,0.0
64,,,,,,,,,,2018-01-01,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,494.0,0.0,0.0,218.0,0.0,0.0,0.0,0.0,12253.0,0.0,0.0,2018-01-01T15:00:00Z,01 Jan 15:00,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,679105.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20390.0,53110.0,32720.0,39.0,False,0.0,0.0
65,,,,,,,,,,2018-01-13,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,494.0,0.0,0.0,227.0,0.0,0.0,0.0,0.0,12859.0,0.0,0.0,2018-01-13T15:00:00Z,13 Jan 15:00,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,689861.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,7079.0,62462.0,55383.0,39.0,True,0.0,0.0
