,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists_x,key_passes,npg,npxG,xGChain,xGBuildup,assists_y,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,1,0.06303486973047256,37,Sub,Wolverhampton Wanderers,Leeds,2,3,2022-03-18,16675,2021,520957,0,0,0,0,0.06303486973047256,0.2673850953578949,0.2673850953578949,0,0,2,0,0.2,563,300,1,0,1.3,9.2,2022-03-18T20:00:00Z,45,20,0,0,0,0,30,0,31491,3,2,4.0,0,131,535,404,40,False,1
1,0,0,0,1,Sub,Chelsea,Leeds,3,2,2021-12-11,16530,2021,501695,0,0,0,0,0,0,0,0,0,3,0,0.0,563,155,1,0,0.0,0.0,2021-12-11T15:00:00Z,3,6,0,0,0,0,16,0,37930,2,3,0.0,1,413,1810,1397,40,False,0
2,0,0,0,1,Sub,Leeds,Crystal Palace,1,0,2021-11-30,16508,2021,498742,0,0,0,0,0,0,0,0,0,3,0,0.0,563,133,0,0,0.0,0.0,2021-11-30T20:15:00Z,1,7,0,0,0,0,14,0,36769,0,1,0.0,1,-425,741,1166,40,True,0
3,0,0,0,1,Sub,Leeds,Leicester,1,1,2021-11-07,16482,2021,494625,0,0,0,0,0,0,0,0,0,3,0,0.0,563,107,0,0,0.2,2.2,2021-11-07T14:00:00Z,1,9,0,0,0,0,11,0,37289,1,1,0.0,1,-996,1158,2154,40,True,0
4,0,0,0,90,DC,Leeds,West Ham,1,2,2021-09-25,16429,2021,484730,0,0,0,0,0,0.023834163323044777,0.023834163323044777,0,0,8,0,0.4,563,56,2,0,1.8,17.8,2021-09-25T14:00:00Z,90,19,0,0,0,0,6,0,31726,2,1,0.0,1,1081,4666,3585,40,True,0
5,,,,,,,,,,2021-08-21,,,,,,,,,,,0,0,0,0,0.0,563,14,0,0,0.0,0.0,2021-08-21T14:00:00Z,0,8,0,0,0,0,2,0,0,2,2,0.0,0,0,0,0,40,True,0
6,,,,,,,,,,2021-08-29,,,,,,,,,,,0,0,0,0,0.0,563,29,0,0,0.0,0.0,2021-08-29T13:00:00Z,0,5,0,0,0,0,3,0,9172,1,1,0.0,0,5230,6034,804,40,False,0
7,,,,,,,,,,2021-09-12,,,,,,,,,,,0,0,0,0,0.0,563,36,0,0,0.0,0.0,2021-09-12T15:30:00Z,0,11,0,0,0,0,4,0,24833,3,0,0.0,0,10095,14095,4000,40,True,0
8,,,,,,,,,,2021-09-17,,,,,,,,,,,0,0,0,0,0.0,563,46,0,0,0.0,0.0,2021-09-17T19:00:00Z,0,14,0,0,0,0,5,0,29297,1,1,0.0,0,3268,6391,3123,40,False,0
9,,,,,,,,,,2021-10-02,,,,,,,,,,,0,0,0,0,0.0,563,65,0,0,0.0,0.0,2021-10-02T14:00:00Z,0,18,0,0,0,0,7,0,37756,0,1,0.0,0,4458,7770,3312,40,True,0
10,,,,,,,,,,2021-10-16,,,,,,,,,,,0,0,0,0,0.0,563,79,0,0,0.0,0.0,2021-10-16T14:00:00Z,0,16,0,0,0,0,8,0,37977,0,1,0.0,0,-436,3081,3517,40,False,0
11,,,,,,,,,,2021-10-23,,,,,,,,,,,0,0,0,0,0.0,563,87,0,0,0.0,0.0,2021-10-23T14:00:00Z,0,20,0,0,0,0,9,0,37882,1,1,0.0,0,-637,1873,2510,40,True,0
12,,,,,,,,,,2021-10-31,,,,,,,,,,,0,0,0,0,0.0,563,97,0,0,0.0,0.0,2021-10-31T14:00:00Z,0,15,0,0,0,0,10,0,37812,2,1,0.0,0,-794,2290,3084,40,False,0
13,,,,,,,,,,2021-11-21,,,,,,,,,,,0,0,0,0,0.0,563,118,0,0,0.0,0.0,2021-11-21T16:30:00Z,0,17,0,0,0,0,12,0,37472,1,2,0.0,0,-467,1483,1950,40,False,0
14,,,,,,,,,,2021-11-27,,,,,,,,,,,0,0,0,0,0.0,563,123,0,0,0.0,0.0,2021-11-27T17:30:00Z,0,4,0,0,0,0,13,0,36947,0,0,0.0,0,-760,1122,1882,40,False,0
15,,,,,,,,,,2021-12-05,,,,,,,,,,,0,0,0,0,0.0,563,143,0,0,0.0,0.0,2021-12-05T14:00:00Z,0,3,0,0,0,0,15,0,37126,2,2,0.0,0,140,1323,1183,40,True,0
16,,,,,,,,,,2021-12-14,,,,,,,,,,,0,0,0,0,0.0,563,170,0,0,0.0,0.0,2021-12-14T20:00:00Z,0,12,0,0,0,0,17,0,38595,0,7,0.0,0,308,1686,1378,40,False,0
17,,,,,,,,,,2021-12-18,,,,,,,,,,,0,0,0,0,0.0,563,173,0,0,0.0,0.0,2021-12-18T17:30:00Z,0,1,0,0,0,0,18,0,41337,4,1,0.0,0,280,1566,1286,40,True,0
18,,,,,,,,,,2022-01-02,,,,,,,,,,,0,0,0,0,0.0,563,206,0,0,0.0,0.0,2022-01-02T14:00:00Z,0,5,0,0,0,0,21,0,32206,1,3,0.0,0,-1606,63,1669,40,True,0
19,,,,,,,,,,2022-01-16,,,,,,,,,,,0,0,0,0,0.0,563,219,0,0,0.0,0.0,2022-01-16T14:00:00Z,0,19,0,0,0,0,22,0,30035,3,2,0.0,0,-2046,65,2111,40,False,0
20,,,,,,,,,,2022-01-22,,,,,,,,,,,0,0,0,0,0.0,563,226,0,0,0.0,0.0,2022-01-22T15:00:00Z,0,14,0,0,0,0,23,0,29466,1,0,0.0,0,-972,82,1054,40,True,0
