,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,5,Sub,Everton,Crystal Palace,3,2,2022-05-19,16704,2021,536799,0,0,0,0,0,0,0,0.0,,,,0.0,0.0,0.0,,,0.3,,,149.0,,,322.0,,1.0,0.0,0.3,,0.0,,2022-05-19T18:45:00Z,,,,9.0,,,8.0,0.0,,0.0,0.0,,0.0,37.0,0.0,108591.0,,,,2.0,3.0,4.0,1.0,705.0,2242.0,1537.0,59.0,False,,0.0
1,0,0,0,11,Sub,Aston Villa,Crystal Palace,1,1,2022-05-15,16745,2021,536133,0.01963767781853676,0,1,0,0,0.01963767781853676,0,0.0,,,,0.0,4.0,0.0,,,10.3,,,149.0,,,361.0,,0.0,0.0,1.4,,2.0,,2022-05-15T13:00:00Z,,,,12.0,,,2.0,0.0,,0.0,0.0,,0.0,37.0,0.0,108591.0,,,,1.0,1.0,2.0,1.0,705.0,2242.0,1537.0,59.0,False,,0.0
2,0,0,0,6,Sub,Crystal Palace,Leeds,0,0,2022-04-25,16710,2021,529876,0,0,0,0,0,0.09570273011922836,0.09570273011922836,0.0,,,,0.0,3.0,0.0,,,1.8,,,149.0,,,336.0,,0.0,0.0,0.4,,0.4,,2022-04-25T19:00:00Z,,,,6.0,,,10.0,0.0,,0.0,0.0,,0.0,34.0,0.0,109206.0,,,,0.0,0.0,2.0,1.0,-1025.0,846.0,1871.0,59.0,True,,0.0
3,0,0,0,17,Sub,Wolverhampton Wanderers,Crystal Palace,0,2,2022-03-05,16655,2021,517629,0,0,0,0,0,0,0,0.0,,,,0.0,0.0,0.0,,,0.6,,,149.0,,,280.0,,0.0,0.0,0.3,,0.2,,2022-03-05T15:00:00Z,,,,21.0,,,20.0,0.0,,0.0,0.0,,0.0,28.0,0.0,117934.0,,,,2.0,0.0,2.0,1.0,-6758.0,916.0,7674.0,60.0,False,,0.0
4,0,0,0,12,Sub,Crystal Palace,Liverpool,1,3,2022-01-23,16599,2021,510185,0,0,0,0,0,0,0,0.0,,,,0.0,2.0,0.0,,,0.0,,,149.0,,,224.0,,1.0,0.0,0.0,,0.0,,2022-01-23T14:00:00Z,,,,13.0,,,11.0,0.0,,0.0,0.0,,0.0,23.0,0.0,144888.0,,,,3.0,1.0,0.0,1.0,-15791.0,1288.0,17079.0,62.0,True,,0.0
5,0,0,0,6,Sub,Brighton,Crystal Palace,1,1,2022-01-14,16587,2021,507842,0,0,0,0,0,0,0,0.0,,,,0.0,1.0,0.0,,,0.0,,,149.0,,,212.0,,1.0,0.0,0.2,,2.0,,2022-01-14T20:00:00Z,,,,9.0,,,4.0,0.0,,0.0,0.0,,0.0,22.0,0.0,152219.0,,,,1.0,1.0,0.0,1.0,-25511.0,5978.0,31489.0,62.0,False,,0.0
6,0,4,0.30078768730163574,73,FW,Crystal Palace,West Ham,2,3,2022-01-01,16579,2021,505516,0,0,0,0,0.30078768730163574,0.3638452887535095,0.10982910543680191,0.0,,,,0.0,1.0,0.0,,,3.9,,,149.0,,,204.0,,3.0,0.0,7.1,,2.8,,2022-01-01T17:30:00Z,,,,67.0,,,19.0,0.0,,0.0,0.0,,0.0,21.0,0.0,175520.0,,,,3.0,2.0,64.0,2.0,-41584.0,3658.0,45242.0,63.0,True,,0.0
7,0,0,0,4,Sub,Crystal Palace,Norwich,3,0,2021-12-28,16570,2021,505268,0,0,0,0,0,0.0481099933385849,0.0481099933385849,0.0,,,,0.0,1.0,0.0,,,0.5,,,149.0,,,194.0,,0.0,0.0,0.2,,1.0,,2021-12-28T15:00:00Z,,,,9.0,,,15.0,0.0,,0.0,0.0,,0.0,20.0,0.0,233585.0,,,,0.0,3.0,0.0,1.0,5188.0,25304.0,20116.0,63.0,True,,0.0
8,0,0,0,24,Sub,Crystal Palace,Southampton,2,2,2021-12-15,16542,2021,503256,0,0,0,0,0,0,0,0.0,,,,0.0,2.0,0.0,,,0.0,,,149.0,,,165.0,,0.0,0.0,0.9,,5.0,,2021-12-15T19:30:00Z,,,,26.0,,,16.0,0.0,,0.0,0.0,,0.0,17.0,0.0,284444.0,,,,2.0,2.0,4.0,1.0,1622.0,36574.0,34952.0,64.0,True,,0.0
9,0,1,0.12233270704746246,14,Sub,Crystal Palace,Everton,3,1,2021-12-12,16531,2021,502618,0,0,0,0,0.12233270704746246,0,0,0.0,,,,0.0,4.0,0.0,,,0.3,,,149.0,,,156.0,,0.0,0.0,4.4,,3.4,,2021-12-12T16:30:00Z,,,,16.0,,,8.0,0.0,,0.0,0.0,,0.0,16.0,0.0,281618.0,,,,1.0,3.0,40.0,1.0,22435.0,52521.0,30086.0,64.0,True,,0.0
