,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists_x,key_passes,npg,npxG,xGChain,xGBuildup,assists_y,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,1,0.057460445910692215,17,Sub,Manchester City,Southampton,4,0,2022-10-08,18298,2022,554131,0,0,0,0,0.057460445910692215,0.057460445910692215,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,13,Sub,Manchester City,Manchester United,6,3,2022-10-02,18289,2022,552930,0.08242633193731308,0,1,0,0,0.08242633193731308,0,0.0,0.0,5.0,0.0,14.8,316.0,88.0,2.0,0.0,2.3,6.4,2022-10-02T13:00:00Z,15.0,14.0,0.0,0.0,0.0,0.0,9.0,0.0,10747.0,3.0,6.0,2.0,1.0,-363.0,549.0,912.0,44.0,True,0.0
2,0,1,0.07090321183204651,10,Sub,Wolverhampton Wanderers,Manchester City,0,3,2022-09-17,18274,2022,550457,0.013705062679946423,0,1,0,0.07090321183204651,0.07090321183204651,0,0.0,0.0,1.0,0.0,11.3,316.0,80.0,0.0,0.0,1.9,2.0,2022-09-17T11:30:00Z,13.0,20.0,0.0,0.0,0.0,0.0,8.0,0.0,10644.0,3.0,0.0,6.0,1.0,-625.0,184.0,809.0,44.0,False,0.0
3,0,0,0,34,Sub,Manchester City,Nottingham Forest,6,0,2022-08-31,18246,2022,546324,0,0,0,0,0,0.03393847122788429,0.03393847122788429,0.0,0.0,6.0,0.0,7.1,316.0,49.0,0.0,0.0,1.9,5.6,2022-08-31T18:30:00Z,35.0,16.0,0.0,0.0,0.0,0.0,5.0,0.0,11191.0,0.0,6.0,6.0,1.0,-779.0,641.0,1420.0,45.0,True,0.0
4,0,0,0,1,Sub,Manchester City,Crystal Palace,4,2,2022-08-27,18237,2022,544442,0,0,0,0,0,0.0988502949476242,0.0988502949476242,0.0,0.0,4.0,0.0,1.3,316.0,37.0,0.0,0.0,0.3,1.4,2022-08-27T14:00:00Z,1.0,7.0,0.0,0.0,0.0,0.0,4.0,0.0,11564.0,2.0,4.0,0.0,1.0,-1196.0,498.0,1694.0,45.0,True,0.0
5,0,0,0,1,Sub,West Ham,Manchester City,0,2,2022-08-07,18211,2022,540092,0,0,0,0,0,0,0,0.0,0.0,3.0,0.0,0.3,316.0,10.0,0.0,0.0,0.2,0.0,2022-08-07T15:30:00Z,2.0,19.0,0.0,0.0,0.0,0.0,1.0,0.0,13764.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,45.0,False,0.0
6,0,0,0,12,Sub,Newcastle United,Manchester City,0,4,2021-12-19,16550,2021,504077,0,0,0,0,0,0,0,0.0,0.0,2.0,0.0,0.3,507.0,175.0,0.0,0.0,0.3,0.4,2021-12-19T14:00:00Z,13.0,14.0,0.0,0.0,0.0,0.0,18.0,0.0,7668.0,4.0,0.0,2.0,1.0,-479.0,200.0,679.0,45.0,False,0.0
7,0,4,0.28072136640548706,90,FW,Manchester City,Everton,3,0,2021-11-21,16490,2021,496364,0.44644495844841003,0,2,0,0.28072136640548706,0.8121158480644226,0.10793747752904892,1.0,0.0,20.0,1.0,27.3,507.0,115.0,0.0,0.0,8.7,8.0,2021-11-21T14:00:00Z,86.0,8.0,0.0,0.0,0.0,0.0,12.0,0.0,6432.0,0.0,3.0,52.0,6.0,-357.0,204.0,561.0,45.0,True,0.0
8,0,0,0,1,Sub,Manchester City,Burnley,2,0,2021-10-16,16451,2021,488140,0,0,0,0,0,0,0,0.0,0.0,4.0,0.0,1.0,507.0,76.0,0.0,0.0,0.2,1.0,2021-10-16T14:00:00Z,1.0,5.0,0.0,0.0,0.0,0.0,8.0,0.0,5392.0,0.0,2.0,0.0,1.0,-184.0,239.0,423.0,45.0,True,0.0
9,0,0,0,20,Sub,Manchester City,Norwich,5,0,2021-08-21,16387,2021,476915,0,0,0,0,0,1.197511911392212,1.197511911392212,0.0,0.0,3.0,0.0,2.2,507.0,16.0,0.0,0.0,1.0,1.6,2021-08-21T14:00:00Z,21.0,15.0,0.0,0.0,0.0,0.0,2.0,0.0,3475.0,0.0,5.0,6.0,1.0,-58.0,425.0,483.0,45.0,True,0.0
10,,,,,,,,,,2020-06-25,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,643.0,302.0,0.0,0.0,0.0,0.0,2020-06-25T19:15:00Z,0.0,6.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,45.0,False,0.0
11,,,,,,,,,,2020-07-02,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,643.0,317.0,0.0,0.0,0.0,0.0,2020-07-02T19:15:00Z,0.0,10.0,0.0,0.0,0.0,0.0,41.0,0.0,22.0,0.0,4.0,0.0,0.0,12.0,14.0,2.0,45.0,True,0.0
12,,,,,,,,,,2020-07-05,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,643.0,328.0,0.0,0.0,0.0,0.0,2020-07-05T18:00:00Z,0.0,16.0,0.0,0.0,0.0,0.0,42.0,0.0,59.0,0.0,1.0,0.0,0.0,16.0,26.0,10.0,45.0,False,0.0
13,,,,,,,,,,2020-07-08,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,643.0,337.0,0.0,0.0,0.0,0.0,2020-07-08T17:00:00Z,0.0,13.0,0.0,0.0,0.0,0.0,43.0,0.0,80.0,0.0,5.0,0.0,0.0,11.0,21.0,10.0,45.0,True,0.0
14,,,,,,,,,,2020-07-11,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,643.0,343.0,0.0,0.0,0.0,0.0,2020-07-11T19:00:00Z,0.0,4.0,0.0,0.0,0.0,0.0,44.0,0.0,106.0,5.0,0.0,0.0,0.0,13.0,28.0,15.0,45.0,False,0.0
15,,,,,,,,,,2020-07-15,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,643.0,357.0,0.0,0.0,0.0,0.0,2020-07-15T17:00:00Z,0.0,3.0,0.0,0.0,0.0,0.0,45.0,0.0,113.0,1.0,2.0,0.0,0.0,-1.0,12.0,13.0,45.0,True,0.0
16,,,,,,,,,,2020-07-21,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,643.0,369.0,0.0,0.0,0.0,0.0,2020-07-21T17:00:00Z,0.0,18.0,0.0,0.0,0.0,0.0,46.0,0.0,121.0,4.0,0.0,0.0,0.0,-1.0,9.0,10.0,45.0,False,0.0
17,,,,,,,,,,2020-07-26,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,643.0,377.0,0.0,0.0,0.0,0.0,2020-07-26T15:00:00Z,0.0,14.0,0.0,0.0,0.0,0.0,47.0,0.0,165.0,0.0,5.0,0.0,0.0,13.0,30.0,17.0,45.0,True,0.0
18,,,,,,,,,,2021-08-15,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,507.0,10.0,0.0,0.0,0.0,0.0,2021-08-15T15:30:00Z,0.0,17.0,0.0,0.0,0.0,0.0,1.0,0.0,2450.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,45.0,False,0.0
19,,,,,,,,,,2021-08-28,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,507.0,24.0,0.0,0.0,0.0,0.0,2021-08-28T11:30:00Z,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,4000.0,0.0,5.0,0.0,0.0,65.0,643.0,578.0,45.0,True,0.0
20,,,,,,,,,,2021-09-11,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,507.0,37.0,0.0,0.0,0.0,0.0,2021-09-11T14:00:00Z,0.0,9.0,0.0,0.0,0.0,0.0,4.0,0.0,5342.0,1.0,0.0,0.0,0.0,468.0,1596.0,1128.0,45.0,False,0.0
21,,,,,,,,,,2021-09-18,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,507.0,45.0,0.0,0.0,0.0,0.0,2021-09-18T14:00:00Z,0.0,16.0,0.0,0.0,0.0,0.0,5.0,0.0,5505.0,0.0,0.0,0.0,0.0,-177.0,749.0,926.0,45.0,True,0.0
22,,,,,,,,,,2021-09-25,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,507.0,53.0,0.0,0.0,0.0,0.0,2021-09-25T11:30:00Z,0.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,5594.0,1.0,0.0,0.0,0.0,-169.0,519.0,688.0,45.0,False,0.0
23,,,,,,,,,,2021-10-03,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,507.0,66.0,0.0,0.0,0.0,0.0,2021-10-03T15:30:00Z,0.0,11.0,0.0,0.0,0.0,0.0,7.0,0.0,5449.0,2.0,2.0,0.0,0.0,-296.0,175.0,471.0,45.0,False,0.0
24,,,,,,,,,,2021-10-23,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,507.0,83.0,0.0,0.0,0.0,0.0,2021-10-23T16:30:00Z,0.0,4.0,0.0,0.0,0.0,0.0,9.0,0.0,6546.0,4.0,1.0,0.0,0.0,900.0,1276.0,376.0,45.0,False,0.0
25,,,,,,,,,,2021-10-30,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,507.0,95.0,0.0,0.0,0.0,0.0,2021-10-30T14:00:00Z,0.0,7.0,0.0,0.0,0.0,0.0,10.0,0.0,6732.0,2.0,0.0,0.0,0.0,54.0,850.0,796.0,45.0,True,0.0
26,,,,,,,,,,2021-11-06,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,507.0,108.0,0.0,0.0,0.0,0.0,2021-11-06T12:30:00Z,0.0,13.0,0.0,0.0,0.0,0.0,11.0,0.0,6720.0,2.0,0.0,0.0,0.0,-152.0,379.0,531.0,45.0,False,0.0
27,,,,,,,,,,2021-11-28,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,507.0,129.0,0.0,0.0,0.0,0.0,2021-11-28T14:00:00Z,0.0,19.0,0.0,0.0,0.0,0.0,13.0,0.0,9300.0,1.0,2.0,0.0,0.0,2571.0,3100.0,529.0,45.0,True,0.0
28,,,,,,,,,,2021-12-01,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,507.0,131.0,0.0,0.0,0.0,0.0,2021-12-01T20:15:00Z,0.0,2.0,0.0,0.0,0.0,0.0,14.0,0.0,9713.0,2.0,1.0,0.0,0.0,418.0,1029.0,611.0,45.0,False,0.0
29,,,,,,,,,,2021-12-04,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,507.0,148.0,0.0,0.0,0.0,0.0,2021-12-04T17:30:00Z,0.0,18.0,0.0,0.0,0.0,0.0,15.0,0.0,9329.0,3.0,1.0,0.0,0.0,-408.0,566.0,974.0,45.0,False,0.0
30,,,,,,,,,,2021-12-11,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,507.0,159.0,0.0,0.0,0.0,0.0,2021-12-11T12:30:00Z,0.0,20.0,0.0,0.0,0.0,0.0,16.0,0.0,8708.0,0.0,1.0,0.0,0.0,-696.0,360.0,1056.0,45.0,True,0.0
31,,,,,,,,,,2021-12-14,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,507.0,170.0,0.0,0.0,0.0,0.0,2021-12-14T20:00:00Z,0.0,10.0,0.0,0.0,0.0,0.0,17.0,0.0,8086.0,0.0,7.0,0.0,0.0,-646.0,167.0,813.0,45.0,True,0.0
32,,,,,,,,,,2021-12-26,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,507.0,185.0,0.0,0.0,0.0,0.0,2021-12-26T15:00:00Z,0.0,9.0,0.0,0.0,0.0,0.0,19.0,0.0,7392.0,3.0,6.0,0.0,0.0,-424.0,175.0,599.0,45.0,True,0.0
33,,,,,,,,,,2021-12-29,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,507.0,192.0,0.0,0.0,0.0,0.0,2021-12-29T20:15:00Z,0.0,3.0,0.0,0.0,0.0,0.0,20.0,0.0,7303.0,1.0,0.0,0.0,0.0,-122.0,111.0,233.0,45.0,False,0.0
