,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,90,DC,Watford,Leicester,1,5,2022-05-15,16738,2021,536056,0,0,0,0,0,0,0,0.0,,,,0.0,13.0,0.0,,,0.5,,,379.0,,,368.0,,5.0,0.0,0.8,,7.4,,2022-05-15T13:00:00Z,,,,90.0,,,9.0,0.0,,0.0,0.0,,0.0,37.0,0.0,18464.0,,,,5.0,1.0,0.0,0.0,-92.0,846.0,938.0,42.0,True,,0.0
1,0,0,0,4,Sub,Watford,Everton,0,0,2022-05-11,16674,2021,534814,0,0,0,0,0,0,0,0.0,,,,0.0,5.0,0.0,,,0.0,,,379.0,,,299.0,,0.0,0.0,0.2,,2.0,,2022-05-11T18:45:00Z,,,,4.0,,,8.0,0.0,,0.0,0.0,,0.0,36.0,0.0,18485.0,,,,0.0,0.0,0.0,1.0,-2344.0,373.0,2717.0,42.0,True,,0.0
2,0,1,0.042780667543411255,90,DC,Crystal Palace,Watford,1,0,2022-05-07,16730,2021,532544,0,0,0,0,0.042780667543411255,0,0,0.0,,,,0.0,8.0,0.0,,,0.0,,,379.0,,,356.0,,1.0,0.0,2.8,,22.4,,2022-05-07T14:00:00Z,,,,90.0,,,7.0,0.0,,0.0,0.0,,0.0,36.0,0.0,18485.0,,,,0.0,1.0,6.0,2.0,-2344.0,373.0,2717.0,42.0,False,,0.0
3,0,0,0,20,Sub,Manchester City,Watford,5,1,2022-04-23,16707,2021,528667,0,0,0,0,0,0,0,0.0,,,,0.0,2.0,0.0,,,0.0,,,379.0,,,339.0,,0.0,0.0,0.2,,1.8,,2022-04-23T14:00:00Z,,,,22.0,,,12.0,0.0,,0.0,0.0,,0.0,34.0,0.0,21066.0,,,,1.0,5.0,0.0,1.0,-1064.0,392.0,1456.0,42.0,False,,0.0
4,0,0,0,1,Sub,Watford,Brentford,1,2,2022-04-16,16698,2021,526436,0,0,0,0,0,0,0,0.0,,,,0.0,3.0,0.0,,,0.0,,,379.0,,,328.0,,1.0,0.0,0.0,,0.0,,2022-04-16T14:00:00Z,,,,3.0,,,3.0,0.0,,0.0,0.0,,0.0,33.0,0.0,21804.0,,,,2.0,1.0,0.0,1.0,-1146.0,504.0,1650.0,43.0,True,,0.0
5,0,0,0,1,Sub,Southampton,Watford,1,2,2022-03-13,16664,2021,520151,0,0,0,0,0,0,0,0.0,,,,0.0,3.0,0.0,,,0.1,,,379.0,,,289.0,,0.0,0.0,0.2,,2.2,,2022-03-13T14:00:00Z,,,,1.0,,,16.0,0.0,,0.0,0.0,,0.0,29.0,0.0,28110.0,,,,2.0,1.0,0.0,1.0,-3473.0,594.0,4067.0,43.0,False,,0.0
6,0,0,0,90,DC,Wolverhampton Wanderers,Watford,4,0,2022-03-10,16565,2021,518900,0,0,0,0,0,0,0,0.0,,,,0.0,16.0,0.0,,,0.4,,,379.0,,,190.0,,4.0,0.0,1.5,,15.0,,2022-03-10T19:30:00Z,,,,90.0,,,20.0,0.0,,0.0,0.0,,0.0,28.0,0.0,33266.0,,,,0.0,4.0,0.0,0.0,-18.0,2969.0,2987.0,43.0,False,,0.0
7,0,0,0,90,DC,Watford,Arsenal,2,3,2022-03-06,16654,2021,518298,0,0,0,0,0,0.3470849096775055,0.3470849096775055,0.0,,,,0.0,15.0,0.0,,,1.0,,,379.0,,,279.0,,3.0,0.0,2.8,,27.2,,2022-03-06T14:00:00Z,,,,90.0,,,1.0,0.0,,0.0,0.0,,0.0,28.0,0.0,33266.0,,,,3.0,2.0,0.0,1.0,-18.0,2969.0,2987.0,43.0,True,,0.0
8,0,0,0,90,DC,Manchester United,Watford,0,0,2022-02-26,16643,2021,516064,0,0,0,0,0,0,0,0.0,,,,0.0,25.0,1.0,,,0.4,,,379.0,,,268.0,,0.0,0.0,1.7,,17.0,,2022-02-26T15:00:00Z,,,,90.0,,,13.0,0.0,,0.0,0.0,,0.0,27.0,0.0,30905.0,,,,0.0,0.0,0.0,6.0,-2391.0,846.0,3237.0,43.0,False,,0.0
9,0,0,0,90,DC,Watford,Crystal Palace,1,4,2022-02-23,16553,2021,515372,0.6157599091529846,0,1,0,0,0.05608997121453285,0.05608997121453285,0.0,,,,0.0,22.0,0.0,,,10.8,,,379.0,,,178.0,,4.0,0.0,3.0,,17.4,,2022-02-23T19:30:00Z,,,,90.0,,,7.0,0.0,,0.0,0.0,,0.0,26.0,0.0,34263.0,,,,4.0,1.0,2.0,0.0,-1975.0,1476.0,3451.0,43.0,True,,0.0
10,0,0,0,90,DC,Aston Villa,Watford,0,1,2022-02-19,16627,2021,514305,0,0,0,0,0,0.020557589828968048,0.020557589828968048,0.0,,,,1.0,26.0,1.0,,,0.2,,,379.0,,,252.0,,0.0,0.0,2.7,,27.2,,2022-02-19T15:00:00Z,,,,90.0,,,2.0,0.0,,0.0,0.0,,0.0,26.0,0.0,34263.0,,,,1.0,0.0,0.0,7.0,-1975.0,1476.0,3451.0,43.0,False,,0.0
11,0,1,0.06319373846054077,90,DC,Watford,Brighton,0,2,2022-02-12,16625,2021,512675,0,0,0,0,0.06319373846054077,0,0,0.0,,,,0.0,15.0,0.0,,,0.3,,,379.0,,,250.0,,2.0,0.0,3.4,,16.0,,2022-02-12T15:00:00Z,,,,90.0,,,4.0,0.0,,0.0,0.0,,0.0,25.0,0.0,36132.0,,,,2.0,0.0,18.0,1.0,-2326.0,1467.0,3793.0,43.0,True,,0.0
12,0,0,0,90,DC,West Ham,Watford,1,0,2022-02-08,16610,2021,512105,0,0,0,0,0,0,0,0.0,,,,0.0,13.0,0.0,,,0.2,,,379.0,,,235.0,,1.0,0.0,1.7,,14.8,,2022-02-08T19:45:00Z,,,,90.0,,,19.0,0.0,,0.0,0.0,,0.0,24.0,0.0,38089.0,,,,0.0,1.0,2.0,2.0,-7055.0,586.0,7641.0,43.0,False,,0.0
13,0,0,0,90,DC,Burnley,Watford,0,0,2022-02-05,16539,2021,511317,0,0,0,0,0,0.20106063783168793,0.20106063783168793,0.0,,,,0.0,22.0,1.0,,,0.8,,,379.0,,,164.0,,0.0,0.0,2.0,,18.8,,2022-02-05T18:00:00Z,,,,90.0,,,5.0,0.0,,0.0,0.0,,0.0,23.0,0.0,46385.0,,,,0.0,0.0,0.0,6.0,17814.0,20861.0,3047.0,43.0,False,,0.0
14,0,0,0,90,DC,Newcastle United,Watford,1,1,2022-01-15,16591,2021,508098,0.017659228295087814,0,1,0,0,0.05958547070622444,0.05958547070622444,0.0,,,,0.0,18.0,0.0,,,10.4,,,379.0,,,216.0,,1.0,0.0,3.9,,24.2,,2022-01-15T15:00:00Z,,,,90.0,,,14.0,0.0,,0.0,0.0,,0.0,22.0,0.0,65181.0,,,,1.0,1.0,4.0,2.0,17466.0,22104.0,4638.0,43.0,False,,0.0
15,0,0,0,90,DR,Watford,Tottenham,0,1,2022-01-01,16585,2021,505480,0,0,0,0,0,0,0,0.0,,,,0.0,8.0,0.0,,,0.3,,,379.0,,,210.0,,1.0,0.0,2.6,,25.4,,2022-01-01T15:00:00Z,,,,90.0,,,17.0,0.0,,0.0,0.0,,0.0,21.0,0.0,10040.0,,,,1.0,0.0,0.0,2.0,177.0,1228.0,1051.0,43.0,True,,0.0
16,0,0,0,90,DC,Watford,West Ham,1,4,2021-12-28,16569,2021,505288,0,0,0,0,0,0,0,0.0,,,,0.0,12.0,0.0,,,0.7,,,379.0,,,200.0,,4.0,0.0,2.1,,20.4,,2021-12-28T15:00:00Z,,,,90.0,,,19.0,0.0,,0.0,0.0,,0.0,20.0,0.0,10332.0,,,,4.0,1.0,0.0,0.0,700.0,985.0,285.0,43.0,True,,0.0
17,0,0,0,90,DC,Brentford,Watford,2,1,2021-12-10,16527,2021,501330,0,0,0,0,0,0,0,0.0,,,,0.0,10.0,0.0,,,0.4,,,379.0,,,152.0,,2.0,0.0,2.2,,22.0,,2021-12-10T20:00:00Z,,,,90.0,,,3.0,0.0,,0.0,0.0,,0.0,16.0,0.0,10980.0,,,,1.0,2.0,0.0,1.0,2275.0,3046.0,771.0,43.0,False,,0.0
18,0,0,0,90,DC,Watford,Manchester City,1,3,2021-12-04,16523,2021,500149,0,0,0,0,0,0,0,0.0,,,,0.0,9.0,0.0,,,0.1,,,379.0,,,148.0,,3.0,0.0,2.4,,23.8,,2021-12-04T17:30:00Z,,,,90.0,,,12.0,0.0,,0.0,0.0,,0.0,15.0,0.0,8330.0,,,,3.0,1.0,0.0,0.0,-447.0,227.0,674.0,44.0,True,,1.0
19,0,0,0,90,DC,Watford,Chelsea,1,2,2021-12-01,16509,2021,499295,0,0,0,0,0,0,0,0.0,,,,0.0,8.0,0.0,,,0.2,,,379.0,,,135.0,,2.0,0.0,0.5,,4.8,,2021-12-01T19:30:00Z,,,,90.0,,,6.0,0.0,,0.0,0.0,,0.0,14.0,0.0,8739.0,,,,2.0,1.0,0.0,1.0,213.0,610.0,397.0,44.0,True,,0.0
