,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,12,Sub,West Bromwich Albion,Swansea,3,1,2016-12-15,3131,2016,131135,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,1,0.024639826267957687,5,Sub,West Bromwich Albion,Burnley,4,0,2016-11-22,2706,2016,128933,0.07047397643327713,0,2,0,0.024639826267957687,0.024639826267957687,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,0,0,6,Sub,Leicester,West Bromwich Albion,1,2,2016-11-06,2696,2016,128561,0,0,0,0,0,0,0,0.0,2.0,0.0,0.0,0.0,-1.0,0.0,1.0,1.0,0.0,0.0,0.0,440.0,0.0,0.0,106.0,1.0,0.0,0.0,0.0,6179.0,0.0,0.0,2016-11-06T16:30:00Z,06 Nov 16:30,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,11.0,0.0,3482.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,-171.0,12.0,183.0,53.0,False,0.0,1.0
3,0,0,0,1,Sub,West Bromwich Albion,Tottenham,1,1,2016-10-15,536,2016,126951,0,0,0,0,0,0,0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,440.0,0.0,0.0,80.0,0.0,1.0,0.0,0.1,4395.0,1.0,0.0,2016-10-15T14:00:00Z,15 Oct 15:00,0.0,0.0,3.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,4032.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,-361.0,16.0,377.0,54.0,True,0.0,0.0
4,0,0,0,15,Sub,Sunderland,West Bromwich Albion,1,1,2016-10-01,523,2016,127290,0.015481261536478996,0,1,0,0,0,0,0.0,7.0,0.0,0.0,0.0,4.0,0.0,0.0,6.0,10.7,0.0,0.0,440.0,0.0,0.0,66.0,0.0,1.0,0.0,1.3,3806.0,2.4,1.0,2016-10-01T14:00:00Z,01 Oct 15:00,0.0,0.0,18.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,4373.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,-493.0,19.0,512.0,55.0,False,0.0,0.0
5,0,0,0,16,Sub,Bournemouth,West Bromwich Albion,1,0,2016-09-10,495,2016,126021,0,0,0,0,0,0,0,0.0,7.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,440.0,0.0,0.0,32.0,1.0,1.0,0.0,0.1,2055.0,1.0,0.0,2016-09-10T14:00:00Z,10 Sep 15:00,0.0,0.0,19.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,6802.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,-1025.0,541.0,1566.0,55.0,False,0.0,0.0
6,0,0,0,13,Sub,West Bromwich Albion,Middlesbrough,0,0,2016-08-28,489,2016,125951,0,0,0,0,0,0,0,0.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,1.8,0.0,0.0,440.0,0.0,0.0,30.0,0.0,0.0,0.0,0.2,1505.0,0.4,0.0,2016-08-28T12:30:00Z,28 Aug 13:30,0.0,0.0,15.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,7588.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3031.0,3899.0,868.0,55.0,True,0.0,0.0
7,0,1,0.08445435017347336,67,ML,West Bromwich Albion,Everton,1,2,2016-08-20,477,2016,125641,1.077056884765625,1,2,0,0.08445435017347336,0.31197065114974976,0.31197065114974976,1.0,17.0,2.0,0.0,0.0,23.0,0.0,0.0,9.0,24.8,1.0,0.0,440.0,0.0,0.0,18.0,2.0,2.0,0.0,4.2,965.0,16.2,2.0,2016-08-20T14:00:00Z,20 Aug 15:00,0.0,0.0,63.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,3296.0,0.0,1.0,1.0,2.0,1.0,1.0,5.0,63.0,289.0,226.0,55.0,True,0.0,0.0
8,0,0,0,72,ML,Crystal Palace,West Bromwich Albion,0,1,2016-08-13,462,2016,124999,0.37804916501045227,0,5,0,0,0.11257962137460709,0,0.0,12.0,0.0,0.0,0.0,11.0,1.0,2.0,5.0,74.8,0.0,0.0,440.0,0.0,0.0,2.0,3.0,0.0,0.0,8.8,440.0,11.4,5.0,2016-08-13T14:00:00Z,13 Aug 15:00,0.0,0.0,70.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,2616.0,2.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,55.0,False,0.0,0.0
9,0,0,0,90,AMC,West Bromwich Albion,Liverpool,1,1,2016-05-15,459,2015,57890,0.02269461750984192,0,1,0,0,0.04452607408165932,0.04452607408165932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
