,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,24,Sub,Atletico Madrid,Girona,2,1,2022-10-08,19032,2022,554210,0,0,0,0,0,0.01633737049996853,0.01633737049996853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,1,0.07414479553699493,90,FW,Girona,Celta Vigo,0,1,2022-08-26,18982,2022,544007,0.05398969352245331,0,1,0,0.07414479553699493,0.07414479553699493,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,2,0.5986015200614929,74,FW,Girona,Getafe,3,1,2022-08-22,18981,2022,543915,0,0,0,1,0.5986015200614929,0.5986015200614929,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,0,0,24,Sub,Valencia,Girona,1,0,2022-08-14,18967,2022,541621,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,5,0.9714668393135071,90,FW,Girona,Levante,1,2,2019-05-12,10322,2018,332713,0.06989098340272903,0,1,1,0.9714668393135071,0.9721357226371765,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,3,0.12428276240825653,90,FW,Girona,Sevilla,1,0,2019-04-28,10303,2018,328694,0,0,0,0,0.12428276240825653,0.573871910572052,0.48001864552497864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,1,0.033918268978595734,90,FW,Real Valladolid,Girona,1,0,2019-04-23,10288,2018,327301,0,0,0,0,0.033918268978595734,0.033918268978595734,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,3,0.1817149668931961,90,FW,Celta Vigo,Girona,2,1,2019-04-20,10283,2018,325639,0,0,0,0,0.1817149668931961,0.1817149668931961,0.05135388299822807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,2,0.10785636305809021,90,FW,Girona,Villarreal,0,1,2019-04-14,10274,2018,325129,0.050778597593307495,0,1,0,0.10785636305809021,0.45426732301712036,0.42871376872062683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,3,0.9277344942092896,90,FW,Girona,Espanyol,1,2,2019-04-06,10259,2018,322389,0.0930485799908638,0,2,0,0.18445686995983124,0.20571304857730865,0.019949814304709435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
