,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists_x,key_passes,npg,npxG,xGChain,xGBuildup,assists_y,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,1,0.051572926342487335,23,Sub,Crystal Palace,Leeds,2,1,2022-10-09,18296,2022,554734,0,0,0,0,0.051572926342487335,0.051572926342487335,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,6,Sub,Leeds,Aston Villa,0,0,2022-10-02,18286,2022,553302,0,0,0,0,0,0,0,0.0,0.0,3.0,0.0,0.0,240.0,85.0,0.0,0.0,0.5,5.0,2022-10-02T15:30:00Z,11.0,2.0,0.0,0.0,0.0,0.0,9.0,0.0,24278.0,0.0,0.0,0.0,1.0,-883.0,542.0,1425.0,44.0,True,0.0
2,0,0,0,28,Sub,Brentford,Leeds,5,2,2022-09-03,18257,2022,547240,0,0,0,0,0,0.07180891931056976,0.07180891931056976,0.0,0.0,4.0,0.0,1.3,240.0,52.0,2.0,0.0,0.8,4.6,2022-09-03T14:00:00Z,31.0,4.0,0.0,0.0,0.0,0.0,6.0,0.0,24476.0,2.0,5.0,2.0,1.0,2789.0,5211.0,2422.0,44.0,False,0.0
3,0,0,0,3,Sub,Leeds,Wolverhampton Wanderers,2,1,2022-08-06,18205,2022,539436,0,0,0,0,0,0,0,0.0,0.0,2.0,0.0,0.3,240.0,5.0,0.0,0.0,0.1,0.0,2022-08-06T14:00:00Z,5.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0,17111.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,45.0,True,0.0
4,0,0,0,5,Sub,Watford,Leeds,0,3,2022-04-09,16686,2021,524656,0.03482683375477791,0,1,0,0,0.03482683375477791,0,0.0,0.0,7.0,0.0,10.2,551.0,320.0,0.0,0.0,1.5,5.2,2022-04-09T14:00:00Z,7.0,18.0,0.0,0.0,0.0,0.0,32.0,0.0,4263.0,3.0,0.0,0.0,1.0,-12.0,14.0,26.0,45.0,False,0.0
5,0,1,0.28623709082603455,54,Sub,Leeds,Arsenal,1,4,2021-12-18,16548,2021,503855,0.013727394863963127,0,1,0,0.28623709082603455,0.2999644875526428,0,0.0,0.0,2.0,0.0,14.8,551.0,173.0,1.0,0.0,2.5,4.0,2021-12-18T17:30:00Z,50.0,1.0,0.0,0.0,0.0,0.0,18.0,0.0,4721.0,4.0,1.0,6.0,1.0,-20.0,97.0,117.0,45.0,True,0.0
6,0,1,0.0361541323363781,35,Sub,Leeds,Wolverhampton Wanderers,1,1,2021-10-23,16462,2021,490003,0,0,0,0,0.0361541323363781,0.060604628175497055,0.060604628175497055,0.0,0.0,3.0,0.0,3.3,551.0,87.0,0.0,0.0,3.6,6.8,2021-10-23T14:00:00Z,36.0,20.0,0.0,0.0,0.0,0.0,9.0,0.0,5241.0,1.0,1.0,26.0,1.0,-69.0,196.0,265.0,45.0,True,0.0
7,0,0,0,9,Sub,Southampton,Leeds,1,0,2021-10-16,16454,2021,488208,0,0,0,0,0,0,0,0.0,0.0,2.0,0.0,0.6,551.0,79.0,0.0,0.0,0.1,0.2,2021-10-16T14:00:00Z,9.0,16.0,0.0,0.0,0.0,0.0,8.0,0.0,5223.0,0.0,1.0,0.0,1.0,-606.0,148.0,754.0,45.0,False,0.0
8,0,0,0,1,Sub,Leeds,West Ham,1,2,2021-09-25,16429,2021,484738,0,0,0,0,0,0,0,0.0,0.0,2.0,0.0,0.3,551.0,56.0,0.0,0.0,0.0,0.0,2021-09-25T14:00:00Z,1.0,19.0,0.0,0.0,0.0,0.0,6.0,0.0,5986.0,2.0,1.0,0.0,1.0,810.0,1637.0,827.0,45.0,True,0.0
9,0,0,0,20,Sub,Newcastle United,Leeds,1,1,2021-09-17,16416,2021,481720,0,0,0,0,0,0.01912512630224228,0.01912512630224228,0.0,0.0,4.0,0.0,2.8,551.0,46.0,0.0,0.0,0.9,2.4,2021-09-17T19:00:00Z,23.0,14.0,0.0,0.0,0.0,0.0,5.0,0.0,4753.0,1.0,1.0,4.0,1.0,365.0,1056.0,691.0,45.0,False,0.0
