,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,48,DC,Hull,Tottenham,1,7,2017-05-21,3513,2016,125223,0,0,0,0,0,0,0,0.0,16.0,0.0,0.0,0.0,7.0,0.0,9.0,12.0,0.2,0.0,0.0,149.0,0.0,0.0,374.0,0.0,3.0,0.0,1.3,23154.0,13.2,0.0,2017-05-21T14:00:00Z,21 May 15:00,0.0,0.0,45.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,59728.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,-96.0,61.0,157.0,49.0,True,0.0,0.0
1,0,0,0,37,Sub,Crystal Palace,Hull,4,0,2017-05-14,3501,2016,135254,0,0,0,0,0,0,0,0.0,36.0,0.0,0.0,0.0,6.0,0.0,3.0,32.0,2.3,0.0,0.0,149.0,1.0,0.0,362.0,1.0,2.0,0.0,0.5,22203.0,2.6,0.0,2017-05-14T11:00:00Z,14 May 12:00,0.0,0.0,41.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,37.0,0.0,59815.0,0.0,2.0,0.0,0.0,4.0,0.0,-1.0,-164.0,33.0,197.0,49.0,False,0.0,1.0
2,0,0,0,49,DC,Hull,West Ham,2,1,2017-04-01,3433,2016,132593,0,0,0,0,0,0,0,0.0,30.0,0.0,0.0,0.0,5.0,0.0,2.0,25.0,0.3,0.0,0.0,149.0,1.0,0.0,294.0,0.0,1.0,0.0,0.0,17359.0,0.0,0.0,2017-04-01T14:00:00Z,01 Apr 15:00,0.0,0.0,45.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,2.0,0.0,30.0,0.0,60445.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,-123.0,112.0,235.0,49.0,True,0.0,0.0
3,0,0,0,65,DC,Everton,Hull,4,0,2017-03-18,3427,2016,133289,0,0,0,0,0,0.01494236383587122,0.01494236383587122,0.0,34.0,0.0,0.0,0.0,9.0,0.0,4.0,21.0,2.0,0.0,0.0,149.0,0.0,0.0,283.0,0.0,1.0,0.0,1.1,16705.0,6.6,0.0,2017-03-18T15:00:00Z,18 Mar 15:00,0.0,0.0,63.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,5.0,0.0,29.0,0.0,60510.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,-186.0,65.0,251.0,49.0,False,0.0,0.0
4,0,0,0,68,DC,Chelsea,Hull,2,0,2017-01-22,3359,2016,131472,0,0,0,0,0,0,0,0.0,30.0,0.0,0.0,0.0,6.0,0.0,8.0,25.0,0.3,0.0,0.0,149.0,0.0,0.0,213.0,2.0,1.0,0.0,1.7,12632.0,14.6,0.0,2017-01-22T16:30:00Z,22 Jan 16:30,0.0,0.0,58.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,22.0,0.0,70615.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,-1547.0,128.0,1675.0,49.0,False,0.0,1.0
5,0,2,0.19271644949913025,90,DC,Hull,Bournemouth,3,1,2017-01-14,3344,2016,130409,0,0,0,0,0.19271644949913025,0,0,0.0,32.0,0.0,0.0,0.0,12.0,0.0,16.0,21.0,0.3,0.0,0.0,149.0,0.0,0.0,203.0,1.0,1.0,0.0,2.8,12001.0,17.4,0.0,2017-01-14T15:00:00Z,14 Jan 15:00,0.0,0.0,90.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,21.0,0.0,72074.0,0.0,0.0,2.0,1.0,3.0,10.0,2.0,-3608.0,211.0,3819.0,49.0,True,0.0,0.0
6,0,0,0,86,DC,West Bromwich Albion,Hull,3,1,2017-01-02,3333,2016,129987,0,0,0,0,0,0.01292494498193264,0.01292494498193264,0.0,42.0,0.0,0.0,0.0,14.0,0.0,12.0,31.0,0.8,0.0,0.0,149.0,0.0,0.0,199.0,0.0,3.0,0.0,2.4,11377.0,21.6,0.0,2017-01-02T15:00:00Z,02 Jan 15:00,0.0,0.0,83.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,2.0,0.0,20.0,0.0,75579.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,-1215.0,192.0,1407.0,49.0,False,0.0,0.0
7,0,0,0,90,DC,Hull,Everton,2,2,2016-12-31,3155,2016,130327,0.07357393950223923,1,1,0,0,0.26688605546951294,0.26688605546951294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,0,0,90,DC,Hull,Manchester City,0,3,2016-12-26,3152,2016,129280,0,0,0,0,0,0,0,0.0,26.0,0.0,0.0,0.0,5.0,0.0,9.0,23.0,0.7,0.0,0.0,149.0,0.0,0.0,174.0,0.0,3.0,0.0,1.4,10137.0,11.4,0.0,2016-12-26T17:15:00Z,26 Dec 17:15,0.0,0.0,90.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,5.0,0.0,18.0,0.0,78606.0,0.0,0.0,0.0,3.0,0.0,2.0,-1.0,-2144.0,119.0,2263.0,49.0,True,0.0,0.0
9,0,0,0,90,DC,West Ham,Hull,1,0,2016-12-17,3137,2016,128965,0,0,0,0,0,0.015823256224393845,0.015823256224393845,0.0,17.0,0.0,0.0,0.0,14.0,0.0,12.0,12.0,0.4,0.0,0.0,149.0,0.0,0.0,170.0,0.0,1.0,0.0,2.8,9521.0,25.8,0.0,2016-12-17T15:00:00Z,17 Dec 15:00,0.0,0.0,90.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0,17.0,0.0,80643.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,-2400.0,86.0,2486.0,49.0,False,0.0,0.0
