,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,1,Sub,Watford,Burnley,1,2,2022-04-30,16718,2021,530523,0,0,0,0,0,0,0,0,,,,0,3,0,,,0.0,,,102,,,348,,0,0,0.0,,0.0,,2022-04-30T14:00:00Z,,,,1,,,18,0,,0,0,,0,35,0,1852,,,,2,1,0.0,1,8,53,45,44,False,,0
1,0,1,0.044614389538764954,90,MC,Burnley,Watford,0,0,2022-02-05,16539,2021,511308,0.01727251149713993,0,1,0,0.044614389538764954,0.061886902898550034,0,0,,,,0,6,1,,,12.0,,,102,,,164,,0,0,2.2,,9.0,,2022-02-05T18:00:00Z,,,,90,,,18,0,,0,0,,0,23,0,1691,,,,0,0,1.0,2,-7,78,85,44,True,,1
2,0,0,0,30,Sub,Manchester United,Burnley,3,1,2021-12-30,16574,2021,505421,0,0,0,0,0,0,0,0,,,,0,2,0,,,0.4,,,102,,,198,,0,0,0.4,,3.8,,2021-12-30T20:15:00Z,,,,32,,,13,0,,0,0,,0,20,0,1555,,,,1,3,0.0,1,13,45,32,44,False,,0
3,0,0,0,7,Sub,Tottenham,Burnley,4,0,2021-02-28,14693,2020,452990,0,0,0,0,0,0,0,0,,,,0,4,0,,,0.1,,,55,,,257,,0,0,0.2,,2.2,,2021-02-28T14:00:00Z,,,,9,,,17,0,,0,0,,0,26,0,268724,,,,0,4,0.0,1,-8902,3402,12304,42,False,,0
4,0,0,0,18,Sub,Burnley,Manchester City,0,2,2021-02-03,14646,2020,446990,0,0,0,0,0,0,0,0,,,,0,-2,0,,,0.3,,,55,,,210,,0,0,0.0,,0.0,,2021-02-03T18:00:00Z,,,,19,,,12,0,,0,0,,0,22,0,300035,,,,2,0,0.0,0,-14479,813,15292,43,True,,1
5,0,0,0,9,Sub,Burnley,Sheffield United,1,0,2020-12-29,14587,2020,438414,0,0,0,0,0,0,0,0,,,,0,2,0,,,0.0,,,55,,,150,,0,0,0.0,,0.2,,2020-12-29T18:00:00Z,,,,11,,,15,0,,0,0,,0,16,0,373178,,,,0,1,0.0,1,-697,11517,12214,43,True,,0
6,0,1,0.02883651852607727,15,Sub,Leeds,Burnley,1,0,2020-12-27,14578,2020,438237,0,0,0,0,0.02883651852607727,0.08621090650558472,0.057374387979507446,0,,,,0,2,0,,,0.6,,,55,,,142,,0,0,2.5,,4.8,,2020-12-27T12:00:00Z,,,,16,,,10,0,,0,0,,0,15,0,373786,,,,0,1,20.0,1,-1051,13117,14168,43,False,,0
7,0,0,0,47,MC,Burnley,Chelsea,0,3,2020-10-31,14496,2020,424499,0,0,0,0,0,0,0,0,,,,0,5,0,,,0.7,,,55,,,60,,1,0,0.5,,4.0,,2020-10-31T15:00:00Z,,,,45,,,5,0,,0,0,,0,7,0,553855,,,,3,0,0.0,1,-27812,9334,37146,44,True,,0
8,0,1,0.033842820674180984,72,MC,Newcastle United,Burnley,3,1,2020-10-03,14472,2020,419798,0,0,0,0,0.033842820674180984,0.07356542348861694,0.03972260281443596,0,,,,0,13,0,,,2.5,,,55,,,36,,2,0,1.7,,6.0,,2020-10-03T19:00:00Z,,,,67,,,14,0,,0,0,,0,4,0,660276,,,,1,3,8.0,2,18947,82706,63759,44,False,,0
9,0,1,0.019589899107813835,90,MC,Burnley,Southampton,0,1,2020-09-26,14109,2020,417679,0,0,0,0,0.019589899107813835,0.08147256821393967,0.06188266724348068,0,,,,0,9,0,,,4.1,,,55,,,20,,1,0,3.1,,13.8,,2020-09-26T19:00:00Z,,,,90,,,16,0,,0,0,,0,3,0,612961,,,,1,0,13.0,2,-22133,4637,26770,45,True,,0
