,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,79,MC,Manchester United,Watford,1,0,2018-05-13,7496,2017,240263,0.021331023424863815,0,1,0,0,0.021331023424863815,0.021331023424863815,0.0,54.0,0.0,0.0,1.0,28.0,1.0,0.0,49.0,12.3,0.0,0.0,270.0,0.0,0.0,375.0,0.0,0.0,0.0,2.1,22091.0,8.8,1.0,2018-05-13T14:00:00Z,13 May 15:00,0.0,0.0,76.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,6.0,0.0,38.0,0.0,53832.0,1.0,1.0,0.0,0.0,1.0,0.0,7.0,2728.0,2887.0,159.0,51.0,True,0.0,0.0
1,0,0,0,9,Sub,Bournemouth,Manchester United,0,2,2018-04-18,7463,2017,233538,0,0,0,0,0,0,0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.1,0.0,0.0,270.0,0.0,0.0,342.0,0.0,0.0,0.0,0.1,19262.0,1.2,0.0,2018-04-18T18:45:00Z,18 Apr 19:45,0.0,0.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,50671.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,22.0,108.0,86.0,51.0,False,0.0,0.0
2,0,0,0,2,Sub,Everton,Manchester United,0,2,2018-01-01,7333,2017,206515,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,2.0,1.0,0.1,0.0,0.0,270.0,0.0,0.0,214.0,0.0,0.0,0.0,0.3,11983.0,3.2,0.0,2018-01-01T17:30:00Z,01 Jan 17:30,0.0,0.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,54938.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,-515.0,312.0,827.0,52.0,False,0.0,0.0
3,0,0,0,1,Sub,Southampton,Manchester United,0,1,2017-09-23,7172,2017,177608,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,2918.0,0.0,0.0,2017-09-23T14:00:00Z,23 Sep 15:00,0.0,0.0,1.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,122350.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-35043.0,2430.0,37473.0,55.0,False,0.0,0.0
4,0,0,0,90,DL,Manchester United,Leicester,2,0,2017-08-26,7145,2017,176430,0.06712131202220917,0,1,0,0,0.645593523979187,0.5784721970558167,0.0,64.0,0.0,0.0,0.0,29.0,1.0,3.0,55.0,31.4,0.0,0.0,270.0,0.0,0.0,25.0,2.0,0.0,0.0,5.2,1297.0,18.4,1.0,2017-08-26T16:30:00Z,26 Aug 17:30,0.0,0.0,90.0,0.0,3.0,9.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,0.0,140674.0,0.0,1.0,0.0,0.0,2.0,2.0,6.0,28426.0,40615.0,12189.0,55.0,True,0.0,0.0
5,0,0,0,90,DL,Swansea,Manchester United,0,4,2017-08-19,7129,2017,176693,0.28765204548835754,0,1,0,0,0.38385388255119324,0.38385388255119324,0.0,67.0,1.0,0.0,0.0,29.0,1.0,6.0,59.0,24.0,0.0,0.0,270.0,0.0,0.0,17.0,0.0,0.0,0.0,4.3,781.0,19.2,1.0,2017-08-19T11:30:00Z,19 Aug 12:30,0.0,0.0,90.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,103681.0,2.0,0.0,0.0,4.0,0.0,0.0,6.0,28013.0,33726.0,5713.0,55.0,False,0.0,0.0
6,0,3,0.11676054447889328,90,DL,Manchester United,West Ham,4,0,2017-08-13,7128,2017,175932,0.029923709109425545,0,1,0,0.11676054447889328,0.4246690273284912,0.3272894620895386,0.0,36.0,0.0,0.0,0.0,23.0,1.0,6.0,26.0,25.1,1.0,0.0,270.0,0.0,0.0,9.0,2.0,0.0,0.0,5.3,270.0,15.0,1.0,2017-08-13T15:00:00Z,13 Aug 16:00,0.0,0.0,90.0,0.0,1.0,20.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,53799.0,0.0,0.0,2.0,0.0,4.0,13.0,6.0,0.0,0.0,0.0,55.0,True,0.0,0.0
7,0,0,0,90,DL,Tottenham,Manchester United,2,1,2017-05-14,3507,2016,133893,0.25606024265289307,0,2,0,0,0.7820764780044556,0.5705858469009399,0.0,46.0,0.0,0.0,0.0,16.0,0.0,7.0,33.0,35.0,0.0,0.0,254.0,0.0,0.0,368.0,0.0,2.0,0.0,6.1,22367.0,24.0,2.0,2017-05-14T15:30:00Z,14 May 16:30,0.0,0.0,90.0,0.0,2.0,17.0,0.0,0.0,0.0,0.0,1.0,0.0,37.0,0.0,212804.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,-5623.0,5728.0,11351.0,52.0,False,0.0,0.0
8,0,0,0,90,DC,Manchester United,Swansea,1,1,2017-04-30,3482,2016,134403,0,0,0,0,0,0.5756477117538452,0.5756477117538452,0.0,65.0,0.0,0.0,0.0,16.0,0.0,9.0,55.0,0.4,0.0,0.0,254.0,0.0,0.0,343.0,0.0,1.0,0.0,2.1,20847.0,20.6,0.0,2017-04-30T11:00:00Z,30 Apr 12:00,0.0,0.0,90.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,8.0,0.0,35.0,0.0,217055.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,20898.0,22780.0,1882.0,52.0,True,0.0,0.0
9,0,0,0,90,DC,Manchester City,Manchester United,0,0,2017-04-27,3398,2016,131863,0,0,0,0,0,0,0,0.0,20.0,0.0,0.0,0.0,25.0,1.0,13.0,16.0,3.2,0.0,0.0,254.0,0.0,0.0,256.0,0.0,0.0,0.0,2.9,20143.0,26.0,0.0,2017-04-27T19:00:00Z,27 Apr 20:00,0.0,0.0,90.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,5.0,0.0,34.0,0.0,195678.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7982.0,12632.0,4650.0,52.0,False,0.0,0.0
10,0,0,0,90,DC,Burnley,Manchester United,0,2,2017-04-23,3472,2016,134087,0,0,0,0,0,0.07653753459453583,0.07653753459453583,0.0,34.0,0.0,0.0,2.0,36.0,1.0,12.0,29.0,0.2,0.0,0.0,254.0,0.0,0.0,333.0,0.0,0.0,0.0,2.9,20144.0,28.4,0.0,2017-04-23T13:15:00Z,23 Apr 14:15,0.0,0.0,90.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,12.0,0.0,34.0,0.0,195678.0,0.0,2.0,0.0,2.0,0.0,0.0,8.0,7982.0,12632.0,4650.0,52.0,False,0.0,0.0
11,0,0,0,26,Sub,Sunderland,Manchester United,0,3,2017-04-09,3452,2016,133710,0.07735894620418549,0,1,0,0,0.4491654634475708,0.4491654634475708,0.0,24.0,0.0,0.0,0.0,7.0,0.0,2.0,23.0,12.9,1.0,0.0,254.0,0.0,0.0,317.0,1.0,0.0,0.0,2.5,18782.0,12.2,1.0,2017-04-09T12:30:00Z,09 Apr 13:30,0.0,0.0,30.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,2.0,0.0,32.0,0.0,190490.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,-894.0,1909.0,2803.0,52.0,False,0.0,0.0
12,0,1,0.0725301206111908,48,DL,Manchester United,Everton,1,1,2017-04-04,3446,2016,132623,0,0,0,0,0.0725301206111908,0.06464789807796478,0.06464789807796478,0.0,39.0,0.0,0.0,0.0,8.0,0.0,1.0,35.0,3.8,0.0,0.0,254.0,0.0,0.0,305.0,0.0,1.0,0.0,1.8,18121.0,7.4,0.0,2017-04-04T19:00:00Z,04 Apr 20:00,0.0,0.0,45.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,31.0,0.0,191256.0,1.0,1.0,0.0,1.0,1.0,7.0,1.0,-3292.0,577.0,3869.0,52.0,True,0.0,0.0
13,0,0,0,90,DL,Manchester United,Watford,2,0,2017-02-11,3381,2016,130822,0.02797667123377323,0,1,0,0,0.745673656463623,0.7176969647407532,0.0,44.0,0.0,0.0,0.0,33.0,1.0,6.0,39.0,12.8,1.0,0.0,254.0,0.0,0.0,245.0,0.0,0.0,0.0,3.4,14663.0,19.4,1.0,2017-02-11T15:00:00Z,11 Feb 15:00,0.0,0.0,90.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,4.0,0.0,25.0,0.0,221250.0,1.0,3.0,0.0,0.0,2.0,2.0,6.0,-2153.0,8619.0,10772.0,52.0,True,0.0,0.0
