,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,ea_index,errors_leading_to_goal,errors_leading_to_goal_attempt,fouls,id_y,key_passes_y,kickoff_time_formatted,loaned_in,loaned_out,offside,open_play_crosses,penalties_conceded,recoveries,tackled,tackles,target_missed,winning_goals
0,0,0,0,90,DL,Newcastle United,Brentford,5,1,2022-10-08,18299,2022,554090,0,0,0,0,0,0.11392063647508621,0.11392063647508621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,1,0.058340251445770264,87,DL,Fulham,Newcastle United,1,4,2022-10-01,18285,2022,552379,0,0,0,0,0.058340251445770264,1.9344269037246704,1.9344269037246704,0.0,0.0,28.0,1.0,3.5,358.0,84.0,0.0,0.0,3.6,15.4,2022-10-01T14:00:00Z,82.0,9.0,0.0,0.0,0.0,0.0,9.0,0.0,151979.0,4.0,1.0,17.0,6.0,-6400.0,4939.0,11339.0,45.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,
2,0,0,0,90,DC,Newcastle United,Bournemouth,1,1,2022-09-17,18275,2022,550677,0.01304677128791809,0,1,0,0,0.08225502073764801,0.08225502073764801,0.0,0.0,13.0,0.0,12.8,358.0,77.0,1.0,0.0,3.5,22.2,2022-09-17T14:00:00Z,90.0,3.0,0.0,0.0,0.0,0.0,8.0,0.0,161488.0,1.0,1.0,0.0,1.0,5689.0,12177.0,6488.0,45.0,True,1.0,,,,,,,,,,,,,,,,,,,,,,,
3,0,1,0.018335068598389626,9,Sub,Newcastle United,Crystal Palace,0,0,2022-09-03,18253,2022,547287,0,0,0,0,0.018335068598389626,0,0,0.0,0.0,4.0,0.0,0.3,358.0,57.0,0.0,0.0,0.7,2.2,2022-09-03T14:00:00Z,11.0,7.0,0.0,0.0,0.0,0.0,6.0,0.0,159088.0,0.0,0.0,4.0,1.0,9169.0,20806.0,11637.0,45.0,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
4,0,0,0,90,DC,Liverpool,Newcastle United,2,1,2022-08-31,18250,2022,546448,0,0,0,0,0,0.11363201588392258,0.11363201588392258,0.0,0.0,11.0,0.0,0.2,358.0,48.0,2.0,0.0,2.8,28.0,2022-08-31T19:00:00Z,90.0,12.0,0.0,0.0,0.0,0.0,5.0,0.0,145346.0,1.0,2.0,0.0,1.0,-6238.0,8354.0,14592.0,45.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,
5,0,0,0,67,DL,Wolverhampton Wanderers,Newcastle United,1,1,2022-08-28,18240,2022,545096,0,0,0,0,0,0.03171299025416374,0.03171299025416374,0.0,0.0,7.0,0.0,4.6,358.0,40.0,1.0,0.0,1.6,9.2,2022-08-28T13:00:00Z,64.0,20.0,0.0,0.0,0.0,0.0,4.0,0.0,149764.0,1.0,1.0,2.0,2.0,6218.0,20204.0,13986.0,45.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,
6,0,0,0,90,DL,Newcastle United,Manchester City,3,3,2022-08-21,18230,2022,543265,0.05489320307970047,0,1,0,0,0.6281505823135376,0.6281505823135376,0.0,0.0,10.0,0.0,10.7,358.0,28.0,3.0,0.0,2.3,10.0,2022-08-21T15:30:00Z,90.0,13.0,0.0,0.0,0.0,0.0,3.0,0.0,139000.0,3.0,3.0,2.0,1.0,17312.0,33015.0,15703.0,45.0,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
7,0,1,0.06217024847865105,90,DL,Brighton,Newcastle United,0,0,2022-08-13,18213,2022,540691,0,0,0,0,0.06217024847865105,0,0,0.0,1.0,28.0,1.0,1.7,358.0,14.0,0.0,0.0,2.8,21.8,2022-08-13T14:00:00Z,90.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,110863.0,0.0,0.0,4.0,7.0,8464.0,14468.0,6004.0,45.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,
8,0,4,0.1758076548576355,90,DC,Newcastle United,Nottingham Forest,2,0,2022-08-06,18206,2022,539455,0.022218165919184685,0,1,0,0.1758076548576355,0.6198669075965881,0.5880640149116516,0.0,0.0,23.0,1.0,10.2,358.0,7.0,0.0,0.0,5.6,10.2,2022-08-06T14:00:00Z,90.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,89476.0,0.0,2.0,36.0,6.0,0.0,0.0,0.0,45.0,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
9,0,0,0,90,DC,Burnley,Newcastle United,1,2,2022-05-22,16749,2021,537758,0,0,0,0,0,0,0,0.0,0.0,14.0,0.0,0.0,58.0,374.0,1.0,0.0,0.0,0.0,2022-05-22T15:00:00Z,90.0,5.0,0.0,0.0,0.0,0.0,38.0,0.0,106558.0,2.0,1.0,0.0,2.0,12806.0,16180.0,3374.0,44.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,
