,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists_x,key_passes,npg,npxG,xGChain,xGBuildup,assists_y,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,2,Sub,Leeds,Tottenham,0,4,2022-02-26,16642,2021,515745,0,0,0,0,0,0,0,0,0,4,0,0.0,520,267,0,0,0.1,1.0,2022-02-26T12:30:00Z,3,10,0,0,0,0,27,0,201761,4,0,0.0,1,-3416,4342,7758,45,False,0
1,0,0,0,1,Sub,Tottenham,West Bromwich Albion,2,0,2021-02-07,14663,2020,448056,0,0,0,0,0,0,0,0,0,3,0,0.0,666,227,0,0,0.0,0.0,2021-02-07T12:00:00Z,1,18,0,0,0,0,23,0,0,0,2,0.0,1,0,0,0,45,True,0
2,,,,,,,,,,2021-08-15,,,,,,,,,,,0,0,0,0,0.0,520,10,0,0,0.0,0.0,2021-08-15T15:30:00Z,0,12,0,0,0,0,1,0,112697,0,1,0.0,0,0,0,0,45,True,0
3,,,,,,,,,,2021-08-22,,,,,,,,,,,0,0,0,0,0.0,520,17,0,0,0.0,0.0,2021-08-22T13:00:00Z,0,20,0,0,0,0,2,0,163397,1,0,0.0,0,17406,34134,16728,45,False,0
4,,,,,,,,,,2021-08-29,,,,,,,,,,,0,0,0,0,0.0,520,27,0,0,0.0,0.0,2021-08-29T13:00:00Z,0,18,0,0,0,0,3,0,171611,0,1,0.0,0,1679,27952,26273,45,True,0
5,,,,,,,,,,2021-09-11,,,,,,,,,,,0,0,0,0,0.0,520,34,0,0,0.0,0.0,2021-09-11T11:30:00Z,0,7,0,0,0,0,4,0,225327,0,3,0.0,0,36084,107656,71572,45,False,0
6,,,,,,,,,,2021-09-19,,,,,,,,,,,0,0,0,0,0.0,520,48,0,0,0.0,0.0,2021-09-19T15:30:00Z,0,6,0,0,0,0,5,0,304229,3,0,0.0,0,67569,107567,39998,45,True,0
7,,,,,,,,,,2021-09-26,,,,,,,,,,,0,0,0,0,0.0,520,51,0,0,0.0,0.0,2021-09-26T15:30:00Z,0,1,0,0,0,0,6,0,307377,1,3,0.0,0,3770,33490,29720,45,False,0
8,,,,,,,,,,2021-10-03,,,,,,,,,,,0,0,0,0,0.0,520,68,0,0,0.0,0.0,2021-10-03T13:00:00Z,0,2,0,0,0,0,7,0,279508,1,2,0.0,0,-27461,10802,38263,45,True,0
9,,,,,,,,,,2021-10-17,,,,,,,,,,,0,0,0,0,0.0,520,77,0,0,0.0,0.0,2021-10-17T15:30:00Z,0,14,0,0,0,0,8,0,267497,3,2,0.0,0,-15949,10220,26169,45,False,0
10,,,,,,,,,,2021-10-24,,,,,,,,,,,0,0,0,0,0.0,520,90,0,0,0.0,0.0,2021-10-24T13:00:00Z,0,19,0,0,0,0,9,0,262105,0,1,0.0,0,-6893,8338,15231,45,False,0
11,,,,,,,,,,2021-10-30,,,,,,,,,,,0,0,0,0,0.0,520,98,0,0,0.0,0.0,2021-10-30T16:30:00Z,0,13,0,0,0,0,10,0,254647,3,0,0.0,0,-9740,8821,18561,45,True,0
12,,,,,,,,,,2021-11-07,,,,,,,,,,,0,0,0,0,0.0,520,106,0,0,0.0,0.0,2021-11-07T14:00:00Z,0,8,0,0,0,0,11,0,249034,0,0,0.0,0,-7107,4012,11119,45,False,0
13,,,,,,,,,,2021-11-21,,,,,,,,,,,0,0,0,0,0.0,520,118,0,0,0.0,0.0,2021-11-21T16:30:00Z,0,10,0,0,0,0,12,0,243308,1,2,0.0,0,-6707,2962,9669,45,True,0
14,,,,,,,,,,2021-12-02,,,,,,,,,,,0,0,0,0,0.0,520,140,0,0,0.0,0.0,2021-12-02T19:30:00Z,0,3,0,0,0,0,14,0,226926,0,2,0.0,0,-7037,362,7399,45,True,0
15,,,,,,,,,,2021-12-05,,,,,,,,,,,0,0,0,0,0.0,520,147,0,0,0.0,0.0,2021-12-05T14:00:00Z,0,15,0,0,0,0,15,0,218383,0,3,0.0,0,-8613,553,9166,45,True,0
16,,,,,,,,,,2021-12-19,,,,,,,,,,,0,0,0,0,0.0,520,177,0,0,0.0,0.0,2021-12-19T16:30:00Z,0,11,0,0,0,0,18,0,262999,2,2,0.0,0,11249,16862,5613,45,True,0
17,,,,,,,,,,2021-12-26,,,,,,,,,,,0,0,0,0,0.0,520,188,0,0,0.0,0.0,2021-12-26T15:00:00Z,0,7,0,0,0,0,19,0,229130,0,3,0.0,0,-3398,9288,12686,45,True,0
18,,,,,,,,,,2021-12-28,,,,,,,,,,,0,0,0,0,0.0,520,199,0,0,0.0,0.0,2021-12-28T15:00:00Z,0,16,0,0,0,0,20,0,226454,1,1,0.0,0,-270,5392,5662,45,False,0
19,,,,,,,,,,2022-01-01,,,,,,,,,,,0,0,0,0,0.0,520,210,0,0,0.0,0.0,2022-01-01T15:00:00Z,0,18,0,0,0,0,21,0,213076,1,0,0.0,0,-6470,5759,12229,45,False,0
20,,,,,,,,,,2022-01-19,,,,,,,,,,,0,0,0,0,0.0,520,166,0,0,0.0,0.0,2022-01-19T19:30:00Z,0,9,0,0,0,0,22,0,196887,3,2,0.0,0,-13658,5255,18913,45,False,0
