,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,63,MC,Aston Villa,Tottenham,2,3,2020-02-16,11894,2019,387021,0.040286142379045486,0,1,0,0,0.640453577041626,0.640453577041626,0.0,,,,0.0,7.0,0.0,,,13.4,,,120.0,,,252.0,,2.0,0.0,2.2,,8.8,,2020-02-16T14:00:00Z,,,,59.0,,,17.0,0.0,,0.0,0.0,,0.0,26.0,0.0,45002.0,,,,3.0,2.0,0.0,1.0,-736.0,120.0,856.0,44.0,True,,0.0
1,0,0,0,58,MC,Aston Villa,Watford,2,1,2020-01-21,11873,2019,386397,0,0,0,0,0,0.057217858731746674,0.057217858731746674,0.0,,,,0.0,3.0,0.0,,,3.6,,,120.0,,,231.0,,1.0,0.0,0.6,,2.2,,2020-01-21T19:30:00Z,,,,55.0,,,18.0,0.0,,0.0,0.0,,0.0,24.0,0.0,46032.0,,,,1.0,2.0,0.0,1.0,2.0,741.0,739.0,44.0,True,,0.0
2,0,2,0.09826851636171341,70,MC,Brighton,Aston Villa,1,1,2020-01-18,11867,2019,386191,0,0,0,0,0.09826851636171341,0.09826851636171341,0,0.0,,,,0.0,9.0,0.0,,,1.8,,,120.0,,,222.0,,1.0,0.0,1.1,,1.4,,2020-01-18T15:00:00Z,,,,67.0,,,4.0,0.0,,0.0,0.0,,0.0,23.0,0.0,45941.0,,,,1.0,1.0,8.0,1.0,533.0,1418.0,885.0,44.0,False,,1.0
3,0,0,0,79,MC,Aston Villa,Manchester City,1,6,2020-01-12,11856,2019,385990,0,0,0,0,0,0.0401177816092968,0.0401177816092968,0.0,,,,0.0,9.0,0.0,,,1.5,,,120.0,,,211.0,,5.0,0.0,0.4,,2.8,,2020-01-12T16:30:00Z,,,,78.0,,,11.0,0.0,,0.0,0.0,,0.0,22.0,0.0,45238.0,,,,6.0,1.0,0.0,2.0,279.0,764.0,485.0,44.0,True,,0.0
4,0,0,0,61,MC,Burnley,Manchester City,1,4,2019-12-03,11784,2019,367476,0,0,0,0,0,0,0,0.0,,,,0.0,4.0,0.0,,,0.9,,,120.0,,,142.0,,2.0,0.0,0.4,,3.4,,2019-12-03T20:15:00Z,,,,58.0,,,11.0,0.0,,0.0,0.0,,0.0,15.0,0.0,47540.0,,,,4.0,1.0,0.0,1.0,-272.0,351.0,623.0,44.0,True,,0.0
5,0,0,0,90,MC,Manchester City,Chelsea,1,0,2018-03-04,7404,2017,221677,0.047218210995197296,0,1,0,0,0.1183013767004013,0.07108316570520401,0.0,41.0,0.0,0.0,0.0,13.0,0.0,2.0,37.0,11.3,1.0,0.0,202.0,0.0,0.0,286.0,2.0,1.0,0.0,2.4,16263.0,10.8,1.0,2018-03-04T16:00:00Z,04 Mar 16:00,0.0,0.0,90.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,3.0,0.0,29.0,0.0,10324.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,66.0,256.0,190.0,48.0,False,0.0,0.0
6,0,1,0.017402799800038338,83,MC,Manchester United,Chelsea,2,1,2018-02-25,7393,2017,219696,0,0,0,0,0.017402799800038338,0.17358706891536713,0.15618427097797394,0.0,59.0,0.0,0.0,0.0,19.0,0.0,4.0,48.0,4.1,1.0,0.0,202.0,0.0,0.0,278.0,2.0,2.0,0.0,2.7,15633.0,16.2,0.0,2018-02-25T14:05:00Z,25 Feb 14:05,0.0,0.0,80.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,8.0,0.0,28.0,0.0,10180.0,0.0,3.0,0.0,1.0,2.0,7.0,2.0,-172.0,240.0,412.0,48.0,False,0.0,0.0
7,0,0,0,18,Sub,Arsenal,Chelsea,2,2,2018-01-03,7330,2017,206682,0,0,0,0,0,0.3868132531642914,0.3868132531642914,0.0,11.0,0.0,0.0,0.0,3.0,0.0,1.0,10.0,0.4,0.0,0.0,202.0,0.0,0.0,211.0,0.0,1.0,0.0,0.5,11915.0,4.8,0.0,2018-01-03T19:45:00Z,03 Jan 19:45,0.0,0.0,19.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,22.0,0.0,10607.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1776.0,2289.0,513.0,48.0,False,0.0,0.0
8,1,2,0.07385049015283585,90,MC,Chelsea,Stoke,5,0,2017-12-30,7320,2017,206222,0,0,0,1,0.07385049015283585,1.055868148803711,1.0211983919143677,0.0,105.0,0.0,0.0,1.0,33.0,1.0,2.0,93.0,12.1,0.0,0.0,202.0,0.0,0.0,202.0,0.0,0.0,1.0,6.9,11389.0,48.4,0.0,2017-12-30T15:00:00Z,30 Dec 15:00,0.0,0.0,90.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,5.0,0.0,21.0,0.0,8757.0,0.0,2.0,1.0,0.0,5.0,8.0,9.0,-135.0,138.0,273.0,48.0,True,0.0,0.0
9,0,0,0,4,Sub,Chelsea,Brighton,2,0,2017-12-26,7310,2017,205620,0,0,0,0,0,0.07826272398233414,0.07826272398233414,0.0,11.0,0.0,0.0,0.0,3.0,0.0,0.0,8.0,0.3,0.0,0.0,202.0,0.0,0.0,192.0,0.0,0.0,0.0,0.1,10803.0,0.6,0.0,2017-12-26T15:00:00Z,26 Dec 15:00,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,8844.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,-147.0,109.0,256.0,48.0,True,0.0,0.0
