,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,3,0.219991534948349,80,AMR,West Ham,Fulham,3,1,2022-10-09,18301,2022,554759,0,0,0,0,0.219991534948349,0.219991534948349,0.03086698055267334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,74,AMR,Fulham,Newcastle United,1,4,2022-10-01,18285,2022,552367,0,0,0,0,0,0,0,0.0,,,,0.0,9.0,0.0,,,0.8,,,231.0,,,84.0,,4.0,0.0,1.2,,10.8,,2022-10-01T14:00:00Z,,,,69.0,,,15.0,0.0,,0.0,0.0,,0.0,9.0,0.0,17077.0,,,,4.0,1.0,0.0,2.0,-1245.0,1660.0,2905.0,60.0,True,,0.0
2,0,1,0.11915816366672516,19,Sub,Nottingham Forest,Fulham,2,3,2022-09-16,18273,2022,550270,0.5085735321044922,0,2,0,0.11915816366672516,0.6277316808700562,0.4717508554458618,0.0,,,,0.0,8.0,0.0,,,26.5,,,231.0,,,78.0,,1.0,0.0,3.7,,4.4,,2022-09-16T19:00:00Z,,,,20.0,,,16.0,0.0,,0.0,0.0,,0.0,8.0,0.0,20357.0,,,,3.0,2.0,6.0,1.0,3638.0,4756.0,1118.0,60.0,False,,0.0
3,0,0,0,23,Sub,Tottenham,Fulham,2,1,2022-09-03,18255,2022,547182,0.054292868822813034,0,1,0,0,0.054292868822813034,0.054292868822813034,0.0,,,,0.0,4.0,0.0,,,11.4,,,231.0,,,59.0,,1.0,0.0,1.4,,2.4,,2022-09-03T14:00:00Z,,,,30.0,,,18.0,0.0,,0.0,0.0,,0.0,6.0,0.0,13351.0,,,,1.0,2.0,0.0,1.0,674.0,3144.0,2470.0,60.0,False,,0.0
4,0,1,0.055610157549381256,10,Sub,Leeds,Everton,1,1,2022-08-30,18245,2022,545990,0,0,0,0,0.055610157549381256,0.055610157549381256,0,0.0,,,,0.0,2.0,0.0,,,0.3,,,231.0,,,45.0,,0.0,0.0,0.6,,0.0,,2022-08-30T19:00:00Z,,,,14.0,,,8.0,0.0,,0.0,0.0,,0.0,5.0,0.0,11060.0,,,,1.0,1.0,6.0,1.0,272.0,1906.0,1634.0,60.0,True,,0.0
5,0,0,0,62,AMR,Brighton,Leeds,1,0,2022-08-27,18234,2022,544420,0,0,0,0,0,0,0,0.0,,,,0.0,4.0,0.0,,,0.9,,,231.0,,,34.0,,0.0,0.0,0.9,,6.4,,2022-08-27T14:00:00Z,,,,58.0,,,5.0,0.0,,0.0,0.0,,0.0,4.0,0.0,9290.0,,,,0.0,1.0,2.0,1.0,476.0,1899.0,1423.0,60.0,False,,0.0
6,0,1,0.015707485377788544,72,AMR,Leeds,Chelsea,3,0,2022-08-21,18228,2022,543077,0.4716019332408905,0,1,0,0.015707485377788544,0.6510273218154907,0.16371792554855347,0.0,,,,0.0,10.0,1.0,,,15.1,,,231.0,,,25.0,,0.0,0.0,2.4,,5.4,,2022-08-21T13:00:00Z,,,,69.0,,,6.0,0.0,,0.0,0.0,,0.0,3.0,0.0,6733.0,,,,0.0,3.0,3.0,3.0,164.0,1348.0,1184.0,60.0,True,,0.0
7,0,1,0.05866110324859619,61,Sub,Southampton,Leeds,2,2,2022-08-13,18215,2022,540614,0,0,0,0,0.05866110324859619,0.05866110324859619,0,0.0,,,,0.0,5.0,0.0,,,1.0,,,231.0,,,19.0,,2.0,0.0,2.6,,5.6,,2022-08-13T14:00:00Z,,,,56.0,,,17.0,0.0,,0.0,0.0,,0.0,2.0,0.0,4741.0,,,,2.0,2.0,19.0,1.0,432.0,860.0,428.0,60.0,False,,0.0
8,0,0,0,23,AMC,Leeds,Chelsea,0,3,2022-05-11,16703,2021,534750,0,0,0,0,0,0,0,0.0,,,,0.0,-9.0,0.0,,,3.0,,,287.0,,,323.0,,3.0,0.0,0.4,,0.0,,2022-05-11T18:30:00Z,,,,23.0,,,6.0,0.0,,0.0,0.0,,1.0,36.0,0.0,53457.0,,,,3.0,0.0,4.0,-2.0,-1817.0,1048.0,2865.0,60.0,True,,0.0
9,0,0,0,90,AMC,Arsenal,Leeds,2,1,2022-05-08,16735,2021,533474,0,0,0,0,0,0,0,0.0,,,,0.0,7.0,0.0,,,1.9,,,287.0,,,351.0,,2.0,0.0,1.4,,10.0,,2022-05-08T13:00:00Z,,,,90.0,,,1.0,0.0,,0.0,0.0,,0.0,36.0,0.0,53457.0,,,,1.0,2.0,2.0,2.0,-1817.0,1048.0,2865.0,60.0,False,,0.0
