,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists_x,key_passes,npg,npxG,xGChain,xGBuildup,assists_y,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,1,Sub,Southampton,Leicester,1,1,2021-04-30,14772,2020,466690,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,1,Sub,Southampton,Brighton,1,2,2021-03-14,14713,2020,456753,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,0,0,11,Sub,Everton,Southampton,1,0,2021-03-01,14686,2020,453463,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,0,0,1,Sub,Southampton,Chelsea,1,1,2021-02-20,14682,2020,450502,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,560.0,244.0,0.0,0.0,0.0,0.0,2021-02-20T17:30:00Z,0.0,7.0,0.0,0.0,0.0,0.0,25.0,0.0,8626.0,2.0,0.0,0.0,0.0,-343.0,137.0,480.0,45.0,True,0.0
4,0,0,0,5,Sub,Newcastle United,Southampton,3,2,2021-02-06,14661,2020,447687,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,0,0,14,Sub,Southampton,Arsenal,1,3,2021-01-26,14632,2020,445018,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,1,0.026467276737093925,27,Sub,Leicester,Southampton,2,0,2021-01-16,14619,2020,442503,0.03030879609286785,0,1,0,0.026467276737093925,0.05677607282996178,0.026467276737093925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,0,0,9,Sub,Southampton,Liverpool,1,0,2021-01-04,14598,2020,439922,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,560.0,166.0,0.0,0.0,0.0,0.0,2021-01-04T20:00:00Z,0.0,16.0,0.0,0.0,0.0,0.0,17.0,0.0,10818.0,0.0,1.0,0.0,0.0,-1330.0,164.0,1494.0,45.0,False,0.0
8,0,0,0,1,Sub,Fulham,Southampton,0,0,2020-12-26,14577,2020,438099,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,0,0,6,Sub,Southampton,Manchester City,0,1,2020-12-19,14572,2020,435986,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,560.0,132.0,0.0,0.0,0.0,0.0,2020-12-19T12:30:00Z,0.0,6.0,0.0,0.0,0.0,0.0,14.0,0.0,15667.0,7.0,0.0,0.0,0.0,-4233.0,437.0,4670.0,45.0,False,0.0
