,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,23,Sub,Nottingham Forest,Aston Villa,1,1,2022-10-10,18300,2022,555441,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,2,Sub,Leeds,Aston Villa,0,0,2022-10-02,18286,2022,553320,0.0331646092236042,0,1,0,0,0.0331646092236042,0,0.0,,,,0.0,4.0,0.0,,,10.3,,,30.0,,,85.0,,0.0,0.0,1.2,,2.0,,2022-10-02T15:30:00Z,,,,7.0,,,11.0,0.0,,0.0,0.0,,0.0,9.0,0.0,104695.0,,,,0.0,0.0,0.0,1.0,-8106.0,3204.0,11310.0,67.0,False,,0.0
2,0,1,0.1007394790649414,3,Sub,Aston Villa,Southampton,1,0,2022-09-16,18272,2022,550347,0,0,0,0,0.1007394790649414,0.1007394790649414,0,0.0,,,,0.0,-2.0,0.0,,,1.6,,,30.0,,,71.0,,0.0,0.0,0.1,,0.0,,2022-09-16T19:00:00Z,,,,6.0,,,17.0,0.0,,0.0,0.0,,0.0,8.0,0.0,112626.0,,,,0.0,1.0,2.0,1.0,1884.0,6853.0,4969.0,67.0,True,,0.0
3,0,0,0,5,Sub,Arsenal,Aston Villa,2,1,2022-08-31,18247,2022,546281,0,0,0,0,0,0,0,0.0,,,,0.0,3.0,0.0,,,0.1,,,30.0,,,41.0,,0.0,0.0,0.2,,0.2,,2022-08-31T18:30:00Z,,,,7.0,,,1.0,0.0,,0.0,0.0,,0.0,5.0,0.0,150158.0,,,,1.0,2.0,2.0,1.0,-31233.0,4285.0,35518.0,69.0,False,,0.0
4,0,1,0.051051728427410126,79,FW,Aston Villa,West Ham,0,1,2022-08-28,18239,2022,545245,0,0,0,0,0.051051728427410126,0.051051728427410126,0,0.0,,,,0.0,2.0,0.0,,,1.8,,,30.0,,,32.0,,1.0,0.0,0.6,,0.0,,2022-08-28T13:00:00Z,,,,77.0,,,19.0,0.0,,0.0,0.0,,0.0,4.0,0.0,177396.0,,,,1.0,0.0,6.0,2.0,-35545.0,10944.0,46489.0,69.0,True,,0.0
5,0,2,0.0804591253399849,22,Sub,Crystal Palace,Aston Villa,3,1,2022-08-20,18223,2022,542454,0,0,0,0,0.0804591253399849,0.10990700125694275,0.029447872191667557,0.0,,,,0.0,1.0,0.0,,,0.0,,,30.0,,,22.0,,1.0,0.0,1.8,,1.0,,2022-08-20T14:00:00Z,,,,24.0,,,7.0,0.0,,0.0,0.0,,0.0,3.0,0.0,208449.0,,,,1.0,3.0,17.0,1.0,19882.0,45537.0,25655.0,70.0,False,,0.0
6,1,2,0.26323994994163513,81,FW,Aston Villa,Everton,2,1,2022-08-13,18212,2022,540347,0,0,0,1,0.26323994994163513,0.26323994994163513,0,0.0,,,,1.0,23.0,1.0,,,10.0,,,30.0,,,12.0,,0.0,1.0,8.9,,31.8,,2022-08-13T11:30:00Z,,,,77.0,,,8.0,0.0,,0.0,0.0,,0.0,2.0,0.0,168411.0,,,,1.0,2.0,47.0,6.0,-31634.0,12338.0,43972.0,70.0,True,,1.0
7,0,3,0.17820660769939423,69,FW,Bournemouth,Aston Villa,2,0,2022-08-06,18204,2022,539419,0.015351141802966595,0,1,0,0.17820660769939423,0.27026960253715515,0.07671184092760086,0.0,,,,0.0,0.0,0.0,,,12.5,,,30.0,,,2.0,,1.0,0.0,4.7,,1.0,,2022-08-06T14:00:00Z,,,,65.0,,,3.0,0.0,,0.0,0.0,,0.0,1.0,0.0,180366.0,,,,0.0,2.0,33.0,1.0,0.0,0.0,0.0,70.0,False,,1.0
8,0,0,0,4,Sub,Manchester City,Aston Villa,3,2,2022-05-22,16754,2021,537938,0,0,0,0,0,0,0,0.0,,,,0.0,3.0,0.0,,,0.0,,,337.0,,,379.0,,0.0,0.0,0.0,,0.0,,2022-05-22T15:00:00Z,,,,7.0,,,12.0,0.0,,0.0,0.0,,0.0,38.0,0.0,834977.0,,,,2.0,3.0,0.0,1.0,-131359.0,12748.0,144107.0,77.0,False,,0.0
9,0,2,0.17601586878299713,11,Sub,Aston Villa,Burnley,1,1,2022-05-19,16546,2021,536815,0,0,0,0,0.17601586878299713,0.17601586878299713,0,0.0,,,,0.0,2.0,0.0,,,0.3,,,337.0,,,171.0,,0.0,0.0,2.1,,1.0,,2022-05-19T19:00:00Z,,,,12.0,,,5.0,0.0,,0.0,0.0,,0.0,37.0,0.0,1196456.0,,,,1.0,1.0,20.0,1.0,298145.0,305948.0,7803.0,77.0,True,,0.0
10,0,3,0.21370115876197815,72,FW,Aston Villa,Crystal Palace,1,1,2022-05-15,16745,2021,536117,0,0,0,0,0.21370115876197815,0.21370115876197815,0,0.0,,,,0.0,4.0,1.0,,,0.7,,,337.0,,,361.0,,0.0,0.0,1.4,,1.2,,2022-05-15T13:00:00Z,,,,70.0,,,7.0,0.0,,0.0,0.0,,0.0,37.0,0.0,1196456.0,,,,1.0,1.0,12.0,2.0,298145.0,305948.0,7803.0,77.0,True,,0.0
11,0,2,0.2886700928211212,90,FW,Aston Villa,Liverpool,1,2,2022-05-10,16705,2021,534597,0,0,0,0,0.2886700928211212,0.1529298573732376,0.11337878555059433,0.0,,,,0.0,-3.0,0.0,,,6.8,,,337.0,,,321.0,,2.0,0.0,4.3,,3.6,,2022-05-10T19:00:00Z,,,,90.0,,,11.0,0.0,,0.0,0.0,,0.0,36.0,0.0,688943.0,,,,2.0,1.0,33.0,2.0,12674.0,19545.0,6871.0,77.0,True,,0.0
