,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,1,Sub,Tottenham,Huddersfield,4,0,2019-04-13,9528,2018,324036,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0,0,204,0,0,339,0,0,0,0.0,18655,0.0,0,2019-04-13T11:30:00Z,13 Apr 12:30,0,0,1,0,0,17,0,0,0,0,0,0,34,0,862,0,0,0,0,4,0.0,1,3,18,15,45,False,0,0
1,0,0,0,10,Sub,Crystal Palace,Huddersfield,2,0,2019-03-30,9513,2018,317940,0.031034724786877632,0,1,0,0,0.031034724786877632,0.031034724786877632,0,4,0,0,0,3,0,1,4,10.3,0,0,204,0,0,315,0,1,0,1.4,17434,3.6,1,2019-03-30T15:00:00Z,30 Mar 15:00,0,0,10,0,0,7,0,0,0,0,1,0,32,0,833,1,0,0,0,2,0.0,1,10,34,24,45,False,0,0
2,0,0,0,73,DMC,Arsenal,Huddersfield,1,0,2018-12-08,9356,2018,278326,0,0,0,0,0,0.03739817067980766,0.03739817067980766,0,13,0,0,0,1,1,3,8,0.4,0,0,204,0,0,151,2,0,0,0.4,8343,3.4,0,2018-12-08T15:00:00Z,08 Dec 15:00,0,0,69,0,0,1,0,0,0,0,5,0,16,0,957,2,0,0,0,1,0.0,2,4,44,40,45,False,0,1
3,0,0,0,9,Sub,Huddersfield,Brighton,1,2,2018-12-01,9332,2018,277763,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,6,0.4,1,0,204,0,0,135,0,0,0,0.2,7229,1.6,0,2018-12-01T15:00:00Z,01 Dec 15:00,0,0,13,0,0,3,0,0,0,0,1,0,14,0,914,1,0,0,2,1,0.0,1,23,51,28,45,True,0,0
4,0,1,0.015552564524114132,1,Sub,Wolverhampton Wanderers,Huddersfield,0,2,2018-11-25,9325,2018,277613,0,0,0,0,0.015552564524114132,0.015552564524114132,0,0,1,0,0,0,2,0,0,1,0.3,0,0,204,0,0,130,0,0,0,0.0,6676,0.0,0,2018-11-25T16:00:00Z,25 Nov 16:00,0,0,1,0,0,20,0,0,0,0,0,0,13,0,876,0,0,1,2,0,1.0,1,22,43,21,45,False,0,0
5,0,0,0,18,Sub,Huddersfield,Swansea,0,0,2018-03-10,7413,2017,222386,0,0,0,0,0,0.0888533890247345,0.0888533890247345,0,14,0,0,0,2,0,0,12,2.7,0,0,184,0,0,295,0,0,0,0.9,16878,4.0,0,2018-03-10T15:00:00Z,10 Mar 15:00,0,0,21,0,0,16,0,0,0,0,0,0,30,0,2415,1,0,0,0,0,2.0,1,38,62,24,48,True,0,0
6,0,1,0.009293459355831146,90,DMC,Tottenham,Huddersfield,2,0,2018-03-03,7407,2017,221013,0,0,0,0,0.009293459355831146,0.009293459355831146,0,0,20,0,0,0,11,0,5,15,5.4,2,0,184,0,0,289,0,2,0,3.4,16245,19.6,0,2018-03-03T15:00:00Z,03 Mar 15:00,0,0,90,0,0,17,0,0,0,0,8,0,29,0,2175,1,0,0,0,2,9.0,2,-11,13,24,48,False,0,0
7,0,4,0.07496968656778336,90,DMC,West Bromwich Albion,Huddersfield,1,2,2018-02-24,7394,2017,219197,0.054363150149583817,0,1,0,0.07496968656778336,0.1852753609418869,0.14568449556827545,0,31,0,0,0,5,0,2,21,12.6,0,0,184,0,0,280,2,1,0,2.4,15615,1.8,1,2018-02-24T15:00:00Z,24 Feb 15:00,0,0,90,0,0,19,0,0,0,0,6,0,28,0,2175,0,0,3,2,1,10.0,2,15,44,29,48,False,0,0
8,0,1,0.03506818041205406,90,DMC,Leicester,Huddersfield,3,0,2018-01-01,7334,2017,206455,0,0,0,0,0.03506818041205406,0.04877202957868576,0.013703850097954273,0,47,0,0,0,22,0,6,45,1.7,1,0,184,0,0,215,0,3,0,1.6,11897,12.8,0,2018-01-01T15:00:00Z,01 Jan 15:00,0,0,90,0,0,9,0,0,0,0,5,0,22,0,2246,0,3,1,0,3,1.0,2,-17,25,42,49,False,0,0
9,0,0,0,7,Sub,Huddersfield,Burnley,0,0,2017-12-30,7322,2017,206089,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,1,0.1,0,0,184,0,0,204,0,0,0,0.0,11371,0.0,0,2017-12-30T15:00:00Z,30 Dec 15:00,0,0,8,0,0,4,0,0,0,0,1,0,21,0,2251,0,0,0,0,0,0.0,1,-39,37,76,49,True,0,0
