,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists_x,key_passes,npg,npxG,xGChain,xGBuildup,assists_y,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,61,DC,Leeds,West Bromwich Albion,3,1,2021-05-23,14808,2020,473324,0,0,0,0,0,0.0634407177567482,0.0634407177567482,0.0,0.0,0.0,0.0,0.0,209.0,372.0,0.0,0.0,0.0,0.0,2021-05-23T15:00:00Z,0.0,18.0,0.0,0.0,0.0,0.0,38.0,0.0,22702.0,1.0,3.0,0.0,0.0,-37.0,733.0,770.0,42.0,True,0.0
1,0,0,0,32,DC,West Bromwich Albion,Wolverhampton Wanderers,1,1,2021-05-03,14774,2020,467966,0,0,0,0,0,0.019637456163764,0.019637456163764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,0,0,2,Sub,Aston Villa,West Bromwich Albion,2,2,2021-04-25,14756,2020,466365,0,0,0,0,0,0,0,0.0,0.0,2.0,0.0,0.7,209.0,322.0,0.0,0.0,0.2,1.4,2021-04-25T13:00:00Z,22.0,13.0,0.0,0.0,0.0,0.0,33.0,0.0,21898.0,0.0,0.0,0.0,1.0,-145.0,324.0,469.0,42.0,True,0.0
3,0,0,0,90,DC,Leicester,West Bromwich Albion,3,0,2021-04-22,14750,2020,464869,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,0,0,90,DC,West Bromwich Albion,Southampton,3,0,2021-04-12,14743,2020,462354,0,0,0,0,0,0.4764830470085144,0.4764830470085144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,0,0,23,DC,Chelsea,West Bromwich Albion,2,5,2021-04-03,14727,2020,459172,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,209.0,293.0,0.0,0.0,0.0,0.0,2021-04-03T14:00:00Z,0.0,15.0,0.0,0.0,0.0,0.0,30.0,0.0,21863.0,1.0,2.0,0.0,0.0,-57.0,526.0,583.0,42.0,True,0.0
6,0,1,0.013143062591552734,90,DC,Crystal Palace,West Bromwich Albion,1,0,2021-03-13,14706,2020,456349,0,0,0,0,0.013143062591552734,0.047224774956703186,0.047224774956703186,0.0,0.0,0.0,0.0,0.0,209.0,273.0,0.0,0.0,0.0,0.0,2021-03-13T12:30:00Z,0.0,5.0,0.0,0.0,0.0,0.0,28.0,0.0,22212.0,0.0,0.0,0.0,0.0,736.0,1602.0,866.0,42.0,True,0.0
7,0,0,0,90,DC,West Bromwich Albion,Newcastle United,0,0,2021-03-07,14703,2020,454989,0,0,0,0,0,0.022883623838424683,0.022883623838424683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,0,0,90,DC,West Bromwich Albion,Everton,0,1,2021-03-04,14723,2020,454194,0.015654180198907852,0,1,0,0,0.015654180198907852,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,0,0,90,DC,West Bromwich Albion,Brighton,1,0,2021-02-27,14692,2020,452258,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,209.0,252.0,0.0,0.0,0.0,0.0,2021-02-27T17:30:00Z,0.0,2.0,0.0,0.0,0.0,0.0,26.0,0.0,22111.0,1.0,0.0,0.0,0.0,14.0,1472.0,1458.0,42.0,True,0.0
10,0,0,0,59,Sub,Burnley,West Bromwich Albion,0,0,2021-02-20,14678,2020,450725,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0,0,0,90,DR,Sheffield United,West Bromwich Albion,2,1,2021-02-02,14649,2020,446726,0,0,0,0,0,0.4467107951641083,0.4467107951641083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,0,0,23,DC,West Bromwich Albion,Fulham,2,2,2021-01-30,14640,2020,445650,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0,0,0,90,DC,West Bromwich Albion,Manchester City,0,5,2021-01-26,14629,2020,445036,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,209.0,196.0,0.0,0.0,0.0,0.0,2021-01-26T18:00:00Z,0.0,14.0,0.0,0.0,0.0,0.0,20.0,0.0,32761.0,2.0,1.0,0.0,0.0,557.0,4737.0,4180.0,43.0,False,0.0
14,0,0,0,90,DR,West Ham,West Bromwich Albion,2,1,2021-01-19,14611,2020,443170,0,0,0,0,0,0.05041240528225899,0.05041240528225899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0,0,0,90,DR,Wolverhampton Wanderers,West Bromwich Albion,2,3,2021-01-16,14624,2020,442087,0,0,0,0,0,0.11002879589796066,0.11002879589796066,0.0,0.0,3.0,0.0,1.9,209.0,182.0,0.0,0.0,0.3,1.4,2021-01-16T15:00:00Z,15.0,3.0,0.0,0.0,0.0,0.0,19.0,0.0,33442.0,1.0,0.0,0.0,1.0,1647.0,4466.0,2819.0,43.0,True,0.0
