,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,90,GK,West Bromwich Albion,West Ham,1,3,2021-05-19,14804,2020,472582,0,0,0,0,0,0.10234081745147705,0.10234081745147705,0.0,,,,0.0,13.0,0.0,,,0.0,,,430.0,,,368.0,,1.0,0.0,2.6,,25.8,,2021-05-19T19:15:00Z,,,,90.0,,,18.0,0.0,,0.0,0.0,,0.0,37.0,3.0,14771.0,,,,3.0,1.0,0.0,3.0,-37.0,99.0,136.0,43.0,False,,0.0
1,0,0,0,90,GK,Manchester City,West Ham,2,1,2021-02-27,14689,2020,452023,0,0,0,0,0,0.06985665112733841,0.06985665112733841,0.0,,,,0.0,10.0,0.0,,,0.0,,,430.0,,,254.0,,2.0,0.0,0.7,,6.8,,2021-02-27T12:30:00Z,,,,90.0,,,12.0,0.0,,0.0,0.0,,0.0,26.0,1.0,16464.0,,,,1.0,2.0,0.0,1.0,-489.0,286.0,775.0,43.0,False,,0.0
2,0,0,0,90,GK,Everton,West Ham,0,1,2021-01-01,14595,2020,438855,0,0,0,0,0,0.10296445339918137,0.10296445339918137,0.0,,,,0.0,23.0,1.0,,,0.0,,,430.0,,,163.0,,0.0,0.0,1.4,,13.6,,2021-01-01T17:30:00Z,,,,90.0,,,7.0,0.0,,0.0,0.0,,0.0,17.0,2.0,14570.0,,,,1.0,0.0,0.0,6.0,-219.0,61.0,280.0,44.0,False,,0.0
3,0,0,0,90,GK,Leicester,West Ham,4,1,2020-01-22,11876,2019,386459,0,0,0,0,0,0,0,0.0,,,,0.0,15.0,0.0,,,0.0,,,606.0,,,234.0,,4.0,0.0,3.0,,30.4,,2020-01-22T19:30:00Z,,,,90.0,,,9.0,0.0,,0.0,0.0,,0.0,24.0,4.0,20818.0,,,,1.0,4.0,0.0,1.0,13149.0,14255.0,1106.0,45.0,False,,0.0
4,0,0,0,90,GK,West Ham,Everton,1,1,2020-01-18,11872,2019,386063,0,0,0,0,0,0,0,0.0,,,,0.0,12.0,0.0,,,0.0,,,606.0,,,230.0,,1.0,0.0,1.9,,19.2,,2020-01-18T15:00:00Z,,,,90.0,,,8.0,0.0,,0.0,0.0,,0.0,23.0,2.0,2428.0,,,,1.0,1.0,0.0,2.0,2358.0,2535.0,177.0,45.0,True,,0.0
5,0,0,0,90,GK,Sunderland,West Ham,2,2,2017-04-15,3464,2016,134884,0,0,0,0,0,0.028464650735259056,0.028464650735259056,0.0,33.0,0.0,0.0,0.0,10.0,0.0,1.0,17.0,0.0,0.0,0.0,451.0,1.0,0.0,327.0,0.0,2.0,0.0,1.9,19641.0,18.6,0.0,2017-04-15T14:00:00Z,15 Apr 15:00,0.0,0.0,90.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,10.0,0.0,33.0,2.0,78360.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,228.0,1629.0,1401.0,44.0,False,0.0,0.0
6,0,0,0,90,GK,West Ham,Swansea,1,0,2017-04-08,3455,2016,134015,0,0,0,0,0,0,0,0.0,26.0,0.0,0.0,0.0,18.0,1.0,0.0,14.0,0.0,0.0,0.0,451.0,0.0,0.0,320.0,0.0,0.0,0.0,0.4,18979.0,3.8,0.0,2017-04-08T14:00:00Z,08 Apr 15:00,0.0,0.0,90.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,5.0,0.0,32.0,1.0,77980.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,-80.0,1251.0,1331.0,44.0,True,0.0,1.0
7,0,0,0,90,GK,Arsenal,West Ham,3,0,2017-04-05,3440,2016,133314,0,0,0,0,0,0,0,0.0,31.0,0.0,0.0,0.0,17.0,0.0,0.0,14.0,0.0,0.0,0.0,451.0,1.0,0.0,301.0,0.0,3.0,0.0,3.3,18318.0,33.0,0.0,2017-04-05T18:45:00Z,05 Apr 19:45,0.0,0.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,0.0,31.0,5.0,77953.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,-1515.0,149.0,1664.0,44.0,False,0.0,0.0
8,0,0,0,90,GK,Hull,West Ham,2,1,2017-04-01,3433,2016,132605,0,0,0,0,0,0,0,0.0,19.0,0.0,0.0,0.0,11.0,0.0,2.0,10.0,0.0,0.0,0.0,451.0,0.0,0.0,294.0,0.0,2.0,0.0,0.7,17661.0,6.6,0.0,2017-04-01T14:00:00Z,01 Apr 15:00,0.0,0.0,90.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,6.0,0.0,30.0,1.0,79432.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,-550.0,1217.0,1767.0,44.0,False,0.0,0.0
9,0,0,0,90,GK,West Ham,Leicester,2,3,2017-03-18,3421,2016,134043,0,0,0,0,0,0,0,0.0,26.0,0.0,0.0,0.0,14.0,0.0,0.0,16.0,0.0,0.0,0.0,451.0,0.0,0.0,290.0,0.0,3.0,0.0,1.0,17007.0,10.2,0.0,2017-03-18T15:00:00Z,18 Mar 15:00,0.0,0.0,90.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,12.0,0.0,29.0,2.0,79764.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,911.0,2454.0,1543.0,44.0,True,0.0,0.0
