,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,88,MC,Burnley,Swansea,0,1,2016-08-13,464,2016,124929,0,0,0,0,0,0,0,0.0,32.0,0.0,0.0,0.0,8.0,0.0,2.0,26.0,11.7,0.0,0.0,61.0,0.0,0.0,1.0,1.0,1.0,0.0,1.3,61.0,0.0,0.0,2016-08-13T14:00:00Z,13 Aug 15:00,0.0,0.0,86.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,3209.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,50.0,True,0.0,1.0
1,0,0,0,90,MC,Aston Villa,Burnley,0,1,2015-05-24,4430,2014,25117,0,0,0,0,0,0.10335930436849594,0.10335930436849594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,1,0.1333862543106079,89,MC,Burnley,Stoke,0,0,2015-05-16,4424,2014,25157,0.07041426002979279,0,2,0,0.1333862543106079,0.07041426002979279,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,0,0,90,MC,Hull,Burnley,0,1,2015-05-09,4410,2014,24073,0.08191985636949539,0,1,0,0,0.32883739471435547,0.32883739471435547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,0,0,90,MC,West Ham,Burnley,1,0,2015-05-02,4404,2014,25444,0,0,0,0,0,0.4095485210418701,0.4095485210418701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,0,0,90,MC,Burnley,Leicester,0,1,2015-04-25,4473,2014,24966,0,0,0,0,0,0.019044701009988785,0.019044701009988785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,1,0.306087464094162,86,MC,Everton,Burnley,1,0,2015-04-18,4461,2014,23440,0.029203984886407852,0,1,0,0.306087464094162,0.4272611141204834,0.12117365002632141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,1,0.116314597427845,90,MC,Burnley,Arsenal,0,1,2015-04-11,4457,2014,25817,0.2842096984386444,0,1,0,0.116314597427845,0.30463138222694397,0.020421696826815605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,0,0,90,MC,Burnley,Tottenham,0,0,2015-04-05,4447,2014,23977,0.03971736878156662,0,1,0,0,0.08132035285234451,0.04160298779606819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,1,0.02958233281970024,90,MC,Southampton,Burnley,2,0,2015-03-21,4506,2014,25471,0.09233935177326202,0,1,0,0.02958233281970024,0.3514968752861023,0.22957520186901093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,0,0,90,MC,Burnley,Manchester City,1,0,2015-03-14,4498,2014,25130,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0,1,0.02212623320519924,90,MC,Liverpool,Burnley,2,0,2015-03-04,4491,2014,23825,0,0,0,0,0.02212623320519924,0.01777339167892933,0.01777339167892933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,0,0,90,MC,Burnley,Swansea,0,1,2015-02-28,4549,2014,26142,0,0,0,0,0,0.0985315591096878,0.0985315591096878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0,0,0,90,MC,Chelsea,Burnley,1,1,2015-02-21,4536,2014,26762,0.02246754616498947,0,1,0,0,0.04517986252903938,0.02271231636404991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,0,0,90,MC,Manchester United,Burnley,3,1,2015-02-11,4531,2014,27117,0,0,0,0,0,0.08807983249425888,0.08807983249425888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0,3,0.09702607989311218,90,MC,Burnley,West Bromwich Albion,2,2,2015-02-08,4522,2014,27157,0.044649139046669006,0,1,0,0.09702607989311218,0.7903632521629333,0.7384991645812988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0,1,0.03600175306200981,90,MC,Sunderland,Burnley,2,0,2015-01-31,4585,2014,26840,0.15157455205917358,0,2,0,0.03600175306200981,0.08687446266412735,0.044062189757823944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0,0,0,90,MC,Burnley,Crystal Palace,2,3,2015-01-17,4572,2014,21381,0,0,0,0,0,0.053231239318847656,0.053231239318847656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
