,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists_x,key_passes,npg,npxG,xGChain,xGBuildup,assists_y,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,90,GK,Newcastle United,Brentford,5,1,2022-10-08,18299,2022,554102,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,90,GK,Bournemouth,Brentford,0,0,2022-10-01,18283,2022,552403,0,0,0,0,0,0.017681172117590904,0.017681172117590904,0.0,0.0,25.0,1.0,0.0,81.0,82.0,0.0,0.0,0.7,6.6,2022-10-01T14:00:00Z,90.0,3.0,0.0,0.0,0.0,0.0,9.0,0.0,729000.0,0.0,0.0,0.0,6.0,47918.0,92078.0,44160.0,45.0,False,0.0
2,0,0,0,90,GK,Brentford,Arsenal,0,3,2022-09-18,18280,2022,551037,0,0,0,0,0,0.39997079968452454,0.39997079968452454,0.0,0.0,17.0,0.0,0.0,81.0,72.0,3.0,0.0,3.7,36.8,2022-09-18T11:00:00Z,90.0,1.0,0.0,0.0,0.0,0.0,8.0,4.0,655913.0,3.0,0.0,0.0,2.0,-17529.0,38469.0,55998.0,45.0,True,0.0
3,0,0,0,90,GK,Brentford,Leeds,5,2,2022-09-03,18257,2022,547213,0.13694986701011658,0,1,0,0,0.46371570229530334,0.32676586508750916,0.0,0.0,17.0,0.0,10.0,81.0,52.0,2.0,0.0,4.2,32.4,2022-09-03T14:00:00Z,90.0,11.0,0.0,0.0,0.0,0.0,6.0,4.0,676343.0,2.0,5.0,0.0,2.0,30697.0,64150.0,33453.0,45.0,True,0.0
4,0,0,0,90,GK,Crystal Palace,Brentford,1,1,2022-08-30,18243,2022,545867,0,0,0,0,0,0.02706773206591606,0.02706773206591606,0.0,0.0,16.0,0.0,0.0,81.0,43.0,1.0,0.0,2.0,20.0,2022-08-30T18:30:00Z,90.0,7.0,0.0,0.0,0.0,0.0,5.0,3.0,634308.0,1.0,1.0,0.0,3.0,13586.0,49912.0,36326.0,45.0,False,0.0
5,0,0,0,90,GK,Brentford,Everton,1,1,2022-08-27,18233,2022,544519,0,0,0,0,0,0.14042343199253082,0.14042343199253082,0.0,2.0,25.0,0.0,0.0,81.0,33.0,1.0,0.0,4.1,41.0,2022-08-27T14:00:00Z,90.0,8.0,0.0,0.0,0.0,0.0,4.0,6.0,611992.0,1.0,1.0,0.0,6.0,21445.0,64060.0,42615.0,45.0,True,0.0
6,0,0,0,90,GK,Fulham,Brentford,3,2,2022-08-20,18225,2022,542410,0,0,0,0,0,0.051589805632829666,0.051589805632829666,0.0,0.0,20.0,0.0,0.0,81.0,24.0,3.0,0.0,4.4,43.8,2022-08-20T14:00:00Z,90.0,9.0,0.0,0.0,0.0,0.0,3.0,6.0,579074.0,2.0,3.0,0.0,3.0,61062.0,105847.0,44785.0,45.0,False,0.0
7,0,0,0,90,GK,Brentford,Manchester United,4,0,2022-08-13,18218,2022,540793,0,0,0,0,0,0,0,0.0,0.0,30.0,1.0,0.0,81.0,13.0,0.0,0.0,2.8,27.6,2022-08-13T16:30:00Z,90.0,14.0,0.0,0.0,0.0,0.0,2.0,4.0,493521.0,0.0,4.0,0.0,7.0,-18230.0,11190.0,29420.0,45.0,True,0.0
8,0,0,0,90,GK,Leicester,Brentford,2,2,2022-08-07,18210,2022,539835,0,0,0,0,0,0.015537380240857601,0.015537380240857601,0.0,0.0,15.0,0.0,0.0,81.0,6.0,2.0,0.0,2.0,19.8,2022-08-07T13:00:00Z,90.0,10.0,0.0,0.0,0.0,0.0,1.0,3.0,495719.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,45.0,False,0.0
9,0,0,0,90,GK,Brentford,Leeds,1,2,2022-05-22,16747,2021,537688,0,0,0,0,0,0.07679907232522964,0.07679907232522964,0.0,0.0,12.0,0.0,0.0,80.0,372.0,2.0,0.0,0.0,0.0,2022-05-22T15:00:00Z,90.0,10.0,0.0,0.0,0.0,0.0,38.0,4.0,437649.0,2.0,1.0,0.0,1.0,29157.0,34934.0,5777.0,44.0,True,1.0
