,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,76,MC,Werder Bremen,Arminia Bielefeld,1,0,2020-10-03,15160,2020,419434,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,2,0.09326405823230743,89,MC,Schalke 04,Werder Bremen,1,3,2020-09-26,14188,2020,417574,0.026190990582108498,0,1,0,0.09326405823230743,0.1564645767211914,0.05091295391321182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,2,0.04251871258020401,65,DMC,Werder Bremen,Hertha Berlin,1,4,2020-09-19,14177,2020,415666,0,0,0,0,0.04251871258020401,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,1,0.6818991303443909,76,MC,Werder Bremen,FC Cologne,6,1,2020-06-27,12705,2019,403129,0.05468359962105751,0,2,1,0.6818991303443909,1.0366220474243164,0.3000393211841583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,1,0.05672529339790344,90,MC,Mainz 05,Werder Bremen,3,1,2020-06-20,12696,2019,401136,0.14422059059143066,1,2,0,0.05672529339790344,0.24567972123622894,0.1889544278383255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,1,0.05464379861950874,86,MC,Werder Bremen,Bayern Munich,0,1,2020-06-16,12687,2019,400179,0,0,0,0,0.05464379861950874,0.08068392425775528,0.026040123775601387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2,2,0.12717802822589874,88,MC,Paderborn,Werder Bremen,1,5,2020-06-13,12681,2019,399724,0.5850956439971924,0,2,2,0.12717802822589874,1.4366705417633057,1.2709790468215942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,1,0.07363524287939072,86,AMC,Werder Bremen,Wolfsburg,0,1,2020-06-07,12668,2019,399344,0.03882206231355667,0,2,0,0.07363524287939072,0.23131388425827026,0.15767864882946014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,3,0.08824680000543594,90,MC,Werder Bremen,Eintracht Frankfurt,0,3,2020-06-03,12612,2019,399125,0,0,0,0,0.08824680000543594,0.07323303818702698,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,1,0.020974352955818176,90,MC,Schalke 04,Werder Bremen,0,1,2020-05-30,12661,2019,398984,0.05929795280098915,0,1,0,0.020974352955818176,0.12629927694797516,0.10532491654157639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,2,0.12693892419338226,90,MC,Werder Bremen,Borussia M.Gladbach,0,0,2020-05-26,12647,2019,398604,0.30790531635284424,0,1,0,0.12693892419338226,0.46422848105430603,0.029384244233369827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0,3,0.1739996075630188,90,MC,Freiburg,Werder Bremen,0,1,2020-05-23,12643,2019,398433,0.025840701535344124,1,1,0,0.1739996075630188,0.2710740268230438,0.07123371213674545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1,2,0.6574702262878418,90,MC,Hertha Berlin,Werder Bremen,2,2,2020-03-07,12623,2019,396761,0.008441719226539135,0,1,1,0.6574702262878418,1.1336899995803833,0.4677780866622925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0,0,0,90,MC,Werder Bremen,Borussia Dortmund,0,2,2020-02-22,12606,2019,394673,0.022790808230638504,0,1,0,0,0.03080597333610058,0.0080151641741395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
