,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,85,DR,Sheffield United,Newcastle United,1,0,2021-01-12,14610,2020,441803,0,0,0,0,0,0.1008661612868309,0.1008661612868309,0.0,,,,0.0,13.0,0.0,,,0.6,,,335.0,,,174.0,,1.0,0.0,1.3,,10.2,,2021-01-12T18:00:00Z,,,,83.0,,,15.0,0.0,,0.0,0.0,,0.0,18.0,0.0,111869.0,,,,0.0,1.0,2.0,2.0,13991.0,19100.0,5109.0,43.0,False,,0.0
1,0,0,0,84,DR,Newcastle United,Leicester,1,2,2021-01-03,14597,2020,439612,0,0,0,0,0,0.056584835052490234,0.056584835052490234,0.0,,,,0.0,7.0,0.0,,,1.1,,,335.0,,,165.0,,2.0,0.0,0.7,,4.0,,2021-01-03T14:15:00Z,,,,78.0,,,9.0,0.0,,0.0,0.0,,0.0,17.0,0.0,19851.0,,,,2.0,1.0,2.0,1.0,2830.0,3655.0,825.0,43.0,True,,0.0
2,0,1,0.08463174849748611,90,DR,Newcastle United,Liverpool,0,0,2020-12-30,14591,2020,438724,0.035670626908540726,0,1,0,0.08463174849748611,0.12030237168073654,0,0.0,,,,0.0,23.0,1.0,,,11.3,,,335.0,,,155.0,,0.0,0.0,3.2,,16.8,,2020-12-30T20:00:00Z,,,,90.0,,,11.0,0.0,,0.0,0.0,,0.0,16.0,0.0,16845.0,,,,0.0,0.0,4.0,6.0,254.0,588.0,334.0,43.0,True,,0.0
3,0,1,0.015217537060379982,90,DR,Manchester City,Newcastle United,2,0,2020-12-26,14581,2020,438199,0.021482307463884354,0,1,0,0.015217537060379982,0.05736028775572777,0.035877980291843414,0.0,,,,0.0,7.0,0.0,,,11.8,,,335.0,,,145.0,,2.0,0.0,3.3,,11.6,,2020-12-26T20:00:00Z,,,,90.0,,,12.0,0.0,,0.0,0.0,,0.0,15.0,0.0,16553.0,,,,0.0,2.0,10.0,1.0,285.0,792.0,507.0,43.0,False,,0.0
4,0,0,0,90,DR,Newcastle United,Fulham,1,1,2020-12-19,14571,2020,436270,0.027280041947960854,0,1,0,0,0.19059032201766968,0.16331028938293457,0.0,,,,0.0,15.0,0.0,,,17.0,,,335.0,,,135.0,,1.0,0.0,3.3,,14.0,,2020-12-19T20:00:00Z,,,,90.0,,,8.0,0.0,,0.0,0.0,,0.0,14.0,0.0,16099.0,,,,1.0,1.0,2.0,2.0,-166.0,212.0,378.0,43.0,True,,0.0
5,0,0,0,3,Sub,Newcastle United,West Bromwich Albion,2,1,2020-12-12,14550,2020,433032,0,0,0,0,0,0,0,0.0,,,,0.0,3.0,0.0,,,0.0,,,335.0,,,116.0,,0.0,0.0,0.2,,2.0,,2020-12-12T15:00:00Z,,,,4.0,,,18.0,0.0,,0.0,0.0,,0.0,12.0,0.0,16198.0,,,,1.0,2.0,0.0,1.0,-171.0,277.0,448.0,43.0,True,,0.0
6,0,0,0,58,DR,Newcastle United,Tottenham,1,3,2020-07-15,12000,2019,408686,0.03338164836168289,0,2,0,0,0.06703103333711624,0.03364938125014305,0.0,,,,0.0,6.0,0.0,,,21.2,,,253.0,,,358.0,,1.0,0.0,3.1,,9.6,,2020-07-15T17:00:00Z,,,,54.0,,,17.0,0.0,,0.0,0.0,,0.0,45.0,0.0,7151.0,,,,3.0,1.0,0.0,1.0,-135.0,118.0,253.0,44.0,True,,0.0
7,0,0,0,90,DR,Manchester City,Newcastle United,5,0,2020-07-08,11979,2019,406582,0,0,0,0,0,0.06025576591491699,0.06025576591491699,0.0,,,,0.0,9.0,0.0,,,0.8,,,253.0,,,337.0,,5.0,0.0,1.3,,10.0,,2020-07-08T17:00:00Z,,,,90.0,,,11.0,0.0,,0.0,0.0,,0.0,43.0,0.0,7106.0,,,,0.0,5.0,2.0,0.0,-49.0,182.0,231.0,44.0,False,,0.0
8,0,0,0,15,Sub,Bournemouth,Newcastle United,1,4,2020-07-01,11955,2019,404402,0,0,0,0,0,0,0,0.0,,,,0.0,8.0,0.0,,,1.0,,,253.0,,,313.0,,1.0,0.0,1.7,,15.6,,2020-07-01T17:00:00Z,,,,17.0,,,3.0,0.0,,0.0,0.0,,0.0,41.0,0.0,6928.0,,,,4.0,1.0,0.0,1.0,-43.0,194.0,237.0,44.0,False,,0.0
9,0,0,0,1,Sub,Newcastle United,Sheffield United,3,0,2020-06-21,11938,2019,401615,0,0,0,0,0,0,0,0.0,,,,0.0,3.0,0.0,,,0.0,,,253.0,,,296.0,,0.0,0.0,0.0,,0.0,,2020-06-21T13:00:00Z,,,,1.0,,,15.0,0.0,,0.0,0.0,,0.0,39.0,0.0,6767.0,,,,0.0,3.0,0.0,1.0,688.0,1467.0,779.0,44.0,True,,0.0
