,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists_x,key_passes,npg,npxG,xGChain,xGBuildup,assists_y,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,9,Sub,Leicester,Nottingham Forest,4,0,2022-10-03,18287,2022,553610,0,0,0,0,0,0,0,0.0,0.0,3.0,0.0,0.1,549.0,86.0,0.0,0.0,0.0,0.0,2022-10-03T19:00:00Z,10.0,16.0,0.0,0.0,0.0,0.0,9.0,0.0,2069.0,0.0,4.0,0.0,1.0,-48.0,50.0,98.0,49.0,True,0.0
1,0,0,0,58,MR,Chelsea,Leicester,2,1,2022-08-27,18235,2022,544511,0,0,0,0,0,0.2981398105621338,0.2981398105621338,0.0,0.0,-1.0,0.0,0.4,549.0,35.0,1.0,0.0,0.8,7.6,2022-08-27T14:00:00Z,54.0,6.0,0.0,0.0,0.0,0.0,4.0,0.0,1942.0,1.0,2.0,0.0,0.0,-255.0,46.0,301.0,50.0,False,1.0
2,0,0,0,23,Sub,Arsenal,Leicester,4,2,2022-08-13,18217,2022,540670,0,0,0,0,0,0.06324876099824905,0.06324876099824905,0.0,0.0,2.0,0.0,1.2,549.0,11.0,1.0,0.0,0.1,0.0,2022-08-13T14:00:00Z,27.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1666.0,2.0,4.0,0.0,1.0,-162.0,94.0,256.0,50.0,False,0.0
3,0,0,0,90,AMC,Torino,Roma,0,3,2022-05-20,17134,2021,536865,0.07604110985994339,0,1,0,0,0.1660488098859787,0.09000770002603531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,3,0.31261536478996277,90,AMC,Verona,Torino,0,1,2022-05-14,17119,2021,535559,0.37737831473350525,0,2,0,0.31261536478996277,0.619236946105957,0.022707652300596237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,2,0.2029806524515152,90,AMC,Torino,Napoli,0,1,2022-05-07,17114,2021,532147,0,0,0,0,0.2029806524515152,0.2769896984100342,0.07400903850793839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,0,0,90,FWR,Empoli,Torino,1,3,2022-05-01,17098,2021,531093,0.08810868114233017,0,1,0,0,0.23936139047145844,0.15125271677970886,0.0,0.0,0.0,0.0,0.0,206.0,347.0,0.0,0.0,0.0,0.0,2022-05-01T13:00:00Z,0.0,17.0,0.0,0.0,0.0,0.0,35.0,0.0,1531.0,1.0,3.0,0.0,0.0,-2.0,0.0,2.0,49.0,False,0.0
7,0,1,0.04258805513381958,86,AMC,Atalanta,Torino,4,4,2022-04-27,16946,2021,529979,0.8493056893348694,1,1,0,0.04258805513381958,0.891893744468689,0.8493056893348694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,0,0,28,Sub,Torino,Spezia,2,1,2022-04-23,17094,2021,528409,0.07249390333890915,0,1,0,0,0.16229262948036194,0.08979871869087219,0.0,0.0,0.0,0.0,0.0,206.0,337.0,0.0,0.0,0.0,0.0,2022-04-23T14:00:00Z,0.0,2.0,0.0,0.0,0.0,0.0,34.0,0.0,1533.0,0.0,0.0,0.0,0.0,-3.0,0.0,3.0,49.0,True,0.0
9,0,0,0,90,AMC,Udinese,Torino,2,0,2022-02-06,16994,2021,511873,0.08500141650438309,0,1,0,0,0.08500141650438309,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
