,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists_x,key_passes,npg,npxG,xGChain,xGBuildup,assists_y,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,3,0.7216262221336365,90,DC,Aston Villa,Everton,2,1,2022-08-13,18212,2022,540340,0,0,0,0,0.7216262221336365,0.2095227986574173,0.2095227986574173,0.0,0.0,9.0,0.0,1.3,50.0,12.0,1.0,0.0,4.4,13.8,2022-08-13T11:30:00Z,90.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,97578.0,1.0,2.0,29.0,2.0,-11162.0,4695.0,15857.0,50.0,True,0.0
1,0,1,0.01755376346409321,90,DC,Bournemouth,Aston Villa,2,0,2022-08-06,18204,2022,539412,0,0,0,0,0.01755376346409321,0.02855110727250576,0.010997343808412552,0.0,0.0,8.0,0.0,1.5,50.0,2.0,2.0,0.0,1.4,9.2,2022-08-06T14:00:00Z,90.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,92038.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,50.0,False,0.0
2,0,0,0,50,DC,Sevilla,Athletic Club,1,0,2022-05-22,17512,2021,538286,0,0,0,0,0,0.3659447729587555,0.3659447729587555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,1,0.013937180861830711,90,DC,Atletico Madrid,Sevilla,1,1,2022-05-15,17497,2021,536361,0,0,0,0,0.013937180861830711,0.2606489360332489,0.2606489360332489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,2,0.10240636765956879,90,DC,Sevilla,Mallorca,0,0,2022-05-11,17492,2021,534772,0,0,0,0,0.10240636765956879,0.38029128313064575,0.38029128313064575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,1,0.016338421031832695,90,DC,Villarreal,Sevilla,1,1,2022-05-08,17485,2021,533619,0,0,0,0,0.016338421031832695,0.06990020722150803,0.06990020722150803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,2,0.040963176637887955,90,DC,Sevilla,Cadiz,1,1,2022-04-29,17472,2021,530078,0,0,0,0,0.040963176637887955,0.0652676597237587,0.0652676597237587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,0,0,90,DC,Levante,Sevilla,2,3,2022-04-21,17462,2021,528201,0,0,0,0,0,0.021299166604876518,0.021299166604876518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,0,0,90,DC,Sevilla,Real Madrid,2,3,2022-04-17,17453,2021,527369,0,0,0,0,0,0.9453309178352356,0.9453309178352356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,2,0.2801608741283417,83,DC,Sevilla,Granada,4,2,2022-04-08,17442,2021,524246,0,0,0,1,0.2801608741283417,1.049486756324768,1.049486756324768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,0,0,90,DC,Barcelona,Sevilla,1,0,2022-04-03,17428,2021,523868,0,0,0,0,0,0.06957703828811646,0.06957703828811646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0,1,0.025477083399891853,50,DC,Sevilla,Real Betis,2,1,2022-02-27,17393,2021,516697,0.05048420652747154,0,1,0,0.025477083399891853,0.05748501047492027,0.05748501047492027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,0,0,90,DC,Espanyol,Sevilla,1,1,2022-02-20,17381,2021,514665,0.015747014433145523,0,1,0,0,0.634577751159668,0.634577751159668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0,2,0.09620686620473862,90,DC,Sevilla,Elche,2,0,2022-02-11,17373,2021,512372,0,0,0,0,0.09620686620473862,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,1,0.012832140550017357,90,DC,Osasuna,Sevilla,0,0,2022-02-05,17362,2021,511406,0,0,0,0,0.012832140550017357,0.026635151356458664,0.013803010806441307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0,0,0,90,DC,Sevilla,Celta Vigo,2,2,2022-01-22,17353,2021,509876,0,0,0,0,0,0.10325046628713608,0.10325046628713608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0,3,0.06808879971504211,90,DC,Valencia,Sevilla,1,1,2022-01-19,17344,2021,509230,0.2625401020050049,0,1,0,0.06808879971504211,0.45517677068710327,0.45517677068710327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0,1,0.0179120022803545,90,DC,Sevilla,Getafe,1,0,2022-01-09,17333,2021,507260,0,0,0,0,0.0179120022803545,0.18125823140144348,0.18125823140144348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,0,0,90,DC,Cadiz,Sevilla,0,1,2022-01-03,17324,2021,506126,0,0,0,0,0,0.027569858357310295,0.027569858357310295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
