,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,60,FW,Chelsea,Wolverhampton Wanderers,3,0,2022-10-08,18295,2022,554175,0,0,0,0,0,0.1431545615196228,0.1431545615196228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,1,0.05618968605995178,28,Sub,West Ham,Wolverhampton Wanderers,2,0,2022-10-01,18291,2022,552635,0,0,0,0,0.05618968605995178,0.13242633640766144,0.13242633640766144,0.0,,,,0.0,0.0,0.0,,,2.2,,,625.0,,,90.0,,0.0,0.0,1.1,,0.0,,2022-10-01T16:30:00Z,,,,32.0,,,19.0,0.0,,0.0,0.0,,0.0,9.0,0.0,30746.0,,,,0.0,2.0,10.0,1.0,5237.0,12717.0,7480.0,55.0,False,,0.0
2,0,0,0,3,Sub,Real Sociedad,Atletico Madrid,0,2,2020-12-22,14926,2020,437254,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,1,0.7432776093482971,14,Sub,Atletico Madrid,Elche,3,1,2020-12-19,14908,2020,435778,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,0,0,14,Sub,Atletico Madrid,Barcelona,1,0,2020-11-21,14867,2020,428249,0.02299458719789982,0,1,0,0,0.02299458719789982,0.02299458719789982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,1,0.10191702842712402,51,FW,Celta Vigo,Atletico Madrid,0,2,2020-10-17,14828,2020,421175,0.344406396150589,0,1,0,0.10191702842712402,0.7578808665275574,0.41347450017929077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,1,0.13661526143550873,20,Sub,Atletico Madrid,Villarreal,0,0,2020-10-03,14816,2020,419557,0,0,0,0,0.13661526143550873,0.152340829372406,0.015725569799542427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,0,0,28,Sub,SD Huesca,Atletico Madrid,0,0,2020-09-30,14168,2020,418908,0.07421485334634781,0,1,0,0,0.07421485334634781,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1,2,0.5142611861228943,73,FW,Atletico Madrid,Granada,6,1,2020-09-27,14155,2020,418193,0.06902779638767242,0,1,1,0.5142611861228943,0.933330774307251,0.35004180669784546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,2,0.21079248189926147,59,FW,Atletico Madrid,Real Sociedad,1,1,2020-07-19,12394,2019,410217,0,0,0,0,0.21079248189926147,0.7728026509284973,0.6635464429855347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,5,0.88707035779953,88,FW,Getafe,Atletico Madrid,0,2,2020-07-16,12392,2019,409225,0,0,0,0,0.88707035779953,0.9542917013168335,0.08627891540527344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1,2,0.32835960388183594,29,Sub,Atletico Madrid,Real Betis,1,0,2020-07-11,12378,2019,407667,0,0,0,1,0.32835960388183594,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,1,0.07079852372407913,23,Sub,Atletico Madrid,Mallorca,3,0,2020-07-03,12354,2019,405041,0,0,0,0,0.07079852372407913,0.054160743951797485,0.054160743951797485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0,1,0.05894727259874344,80,FW,Barcelona,Atletico Madrid,2,2,2020-06-30,12344,2019,404216,0.024597009643912315,0,1,0,0.05894727259874344,0.0835442841053009,0.0835442841053009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
