,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,1,2,0.7820452451705933,59,AMC,Marseille,Ajaccio,1,2,2022-10-08,19744,2022,554221,0.07081287354230881,0,1,0,0.02195013128221035,0.0927630066871643,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,67,AMC,Angers,Marseille,0,3,2022-09-30,19731,2022,551950,0.22847199440002441,0,4,0,0,0.2435673028230667,0.061398398131132126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,1,0.010303517803549767,16,Sub,Marseille,Rennes,1,1,2022-09-18,19725,2022,551238,0.016414478421211243,0,1,0,0.010303517803549767,0.028504779562354088,0.028504779562354088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,6,0.37439456582069397,62,AMC,Marseille,Clermont Foot,1,0,2022-08-31,19693,2022,546496,0.46859732270240784,1,4,0,0.37439456582069397,0.6833130121231079,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,3,0.21843048930168152,70,AMC,Nice,Marseille,0,3,2022-08-28,19682,2022,545197,0.13527561724185944,0,1,0,0.21843048930168152,0.475297212600708,0.17858032882213593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,1,0.03816434368491173,24,Sub,Marseille,Nantes,2,1,2022-08-20,19674,2022,542806,0.05619854852557182,0,1,0,0.03816434368491173,0.09436289221048355,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,0,0,20,Sub,Brest,Marseille,1,1,2022-08-14,19667,2022,541714,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,0,0,11,Sub,Marseille,Reims,4,1,2022-08-07,19657,2022,540200,0.039383985102176666,0,2,0,0,0.019637271761894226,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,1,0.07384209334850311,90,FWL,Marseille,Lyon,0,3,2022-05-01,18164,2021,531481,0.36729633808135986,0,2,0,0.07384209334850311,1.1009544134140015,0.7848807573318481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,3,0.12567715346813202,43,Sub,Reims,Marseille,0,1,2022-04-24,18159,2021,529710,0.06023276969790459,1,1,0,0.12567715346813202,0.04444507509469986,0.015390056185424328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2,4,1.5864284038543701,90,FWL,Marseille,Nantes,3,2,2022-04-20,18147,2021,528042,0.6007468104362488,0,4,0,0.06623809039592743,0.9320222735404968,0.42562738060951233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0,0,0,90,FW,Paris Saint Germain,Marseille,2,1,2022-04-17,18138,2021,527361,0.09060775488615036,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,2,0.15700840950012207,29,Sub,Marseille,Montpellier,2,0,2022-04-10,18128,2021,525796,0,0,0,0,0.15700840950012207,0.43358752131462097,0.43358752131462097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1,4,1.5959322452545166,83,AML,Saint-Etienne,Marseille,2,4,2022-04-03,18119,2021,524058,0.18215574324131012,0,3,0,0.8358371257781982,1.8743559122085571,1.0365427732467651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,2,0.1016044095158577,90,AMC,Marseille,Nice,2,1,2022-03-20,18106,2021,522273,0.4603409469127655,0,3,0,0.1016044095158577,0.14464013278484344,0.04303572326898575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0,1,0.023090073838829994,90,AMC,Marseille,Monaco,0,1,2022-03-06,18089,2021,518535,0.49415159225463867,0,6,0,0.023090073838829994,0.38619479537010193,0.07820446789264679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1,2,0.8340510129928589,80,FW,Troyes,Marseille,1,1,2022-02-27,18072,2021,516782,0,0,0,0,0.07395585626363754,0.0405489057302475,0.0405489057302475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0,3,0.16978208720684052,90,FWL,Marseille,Clermont Foot,0,2,2022-02-20,18071,2021,515145,0.035672664642333984,0,1,0,0.16978208720684052,0.408052533864975,0.23827044665813446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,0,0,90,FW,Metz,Marseille,1,2,2022-02-13,18061,2021,513628,0.3755395710468292,0,3,0,0,0.829257607460022,0.4963277280330658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0,1,0.06921888142824173,82,AMC,Marseille,Angers,5,2,2022-02-04,18046,2021,510909,0.12426944822072983,0,3,0,0.06921888142824173,0.7609899640083313,0.7609899640083313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0,1,0.006633644457906485,90,FW,Lyon,Marseille,2,1,2022-02-02,17955,2021,510835,0.4345366656780243,1,1,0,0.006633644457906485,0.039892975240945816,0.03325933218002319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1,3,0.9213101863861084,90,FW,Lens,Marseille,0,2,2022-01-22,18036,2021,510018,0.026370013132691383,0,1,0,0.16121505200862885,0.24919389188289642,0.12776784598827362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0,2,0.12253330647945404,90,FWL,Marseille,Lille,1,1,2022-01-16,18023,2021,508741,0.1471487134695053,1,6,0,0.12253330647945404,0.14746347069740295,0.12353461980819702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0,3,0.14203131198883057,90,FW,Bordeaux,Marseille,0,1,2022-01-07,18016,2021,506510,0.6069229245185852,0,7,0,0.14203131198883057,0.9107383489608765,0.4348255395889282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1,4,0.8832163214683533,90,FWL,Marseille,Reims,1,1,2021-12-22,18006,2021,504899,0.5845165252685547,0,3,0,0.12312117218971252,0.6782484650611877,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0,0,0,90,FW,Strasbourg,Marseille,0,2,2021-12-12,17992,2021,502512,0.46430325508117676,1,3,0,0,0.5114226937294006,0.15885712206363678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0,1,0.07640426605939865,90,FW,Marseille,Brest,1,2,2021-12-04,17987,2021,500009,0.48488306999206543,1,4,0,0.07640426605939865,0.974135160446167,0.8187410235404968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0,4,0.295463502407074,90,FW,Nantes,Marseille,0,1,2021-12-01,17977,2021,499229,0.11541786789894104,1,1,0,0.295463502407074,0.8973446488380432,0.6073868870735168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0,4,0.23777346312999725,90,MC,Marseille,Troyes,1,0,2021-11-28,17968,2021,498402,0.8174388408660889,1,8,0,0.23777346312999725,0.895418643951416,0.1888750195503235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0,1,0.020528804510831833,90,AMC,Marseille,Metz,0,0,2021-11-07,17946,2021,494416,0.5007845163345337,0,3,0,0.020528804510831833,0.7283846139907837,0.2601158320903778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0,0,0,32,Sub,Clermont Foot,Marseille,0,1,2021-10-31,17935,2021,493323,0.17885836958885193,0,2,0,0,0.36026909947395325,0.21475468575954437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1,2,0.17443785071372986,90,AMC,Nice,Marseille,1,1,2021-10-27,17851,2021,491628,0.059851571917533875,0,2,1,0.17443785071372986,0.2093406319618225,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0,2,0.15802447497844696,90,AMC,Marseille,Paris Saint Germain,0,0,2021-10-24,17925,2021,491023,0.5568313598632812,0,5,0,0.15802447497844696,0.7790045738220215,0.4232402741909027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0,3,0.20507332682609558,90,AMC,Marseille,Lorient,4,1,2021-10-17,17916,2021,489214,1.068091869354248,3,7,0,0.20507332682609558,0.9351296424865723,0.11867818236351013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,2,2,0.8627867698669434,90,FW,Marseille,Lens,2,3,2021-09-26,17896,2021,485805,0.16027270257472992,0,3,1,0.1026916429400444,0.3223270773887634,0.28468525409698486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0,2,0.6270052790641785,90,AMC,Marseille,Rennes,2,0,2021-09-19,17877,2021,482891,0.837284505367279,0,7,0,0.6270052790641785,1.3765079975128174,0.5808250904083252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,0,2,0.1760604828596115,90,FW,Marseille,Saint-Etienne,3,1,2021-08-28,17854,2021,479310,0.5746536254882812,1,6,0,0.1760604828596115,1.2352231740951538,0.5250613689422607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1,3,0.1678995043039322,90,FW,Marseille,Bordeaux,2,2,2021-08-15,17841,2021,476423,0.09168898314237595,0,1,1,0.1678995043039322,0.15867701172828674,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,2,6,0.4106318950653076,90,FW,Montpellier,Marseille,2,3,2021-08-08,17831,2021,475106,0.09354755282402039,0,2,2,0.4106318950653076,0.4771985709667206,0.21349425613880157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,0,0,0,90,AMC,Metz,Marseille,1,1,2021-05-23,16130,2020,473922,0.155471533536911,0,3,0,0,0.06606429815292358,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,0,3,0.1622101217508316,90,FW,Marseille,Angers,3,2,2021-05-16,16120,2020,472058,0.5922285914421082,1,5,0,0.1622101217508316,1.6011571884155273,0.8865078091621399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,0,4,0.1813596934080124,90,FW,Saint-Etienne,Marseille,1,0,2021-05-09,16114,2020,469076,0.2262788563966751,0,2,0,0.1813596934080124,0.5636186003684998,0.5288305878639221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
