,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,1,2,0.7971782684326172,90,FWR,Hertha Berlin,Freiburg,2,2,2022-10-09,19422,2022,555361,0.05781983584165573,0,1,0,0.039401598274707794,0.1358475238084793,0.038626085966825485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,4,0.6024567484855652,84,FWR,Hertha Berlin,Hoffenheim,1,1,2022-10-02,19411,2022,553174,0,0,0,1,0.6024567484855652,0.6248579025268555,0.022401118651032448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,1,0.041928958147764206,74,FWR,Mainz 05,Hertha Berlin,1,1,2022-09-16,19396,2022,550200,0,0,0,0,0.041928958147764206,0.041928958147764206,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,4,0.7099600434303284,82,FWR,Hertha Berlin,Bayer Leverkusen,2,2,2022-09-10,19392,2022,549064,0.3981539309024811,0,1,0,0.7099600434303284,0.7099600434303284,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,2,0.433635413646698,84,FWR,Augsburg,Hertha Berlin,0,2,2022-09-04,19385,2022,547990,0,0,0,1,0.433635413646698,0.6037755608558655,0.17014016211032867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,1,0.0205214973539114,75,FWR,Hertha Berlin,Borussia Dortmund,0,1,2022-08-27,19373,2022,544252,0,0,0,0,0.0205214973539114,0.0205214973539114,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,4,0.2551352381706238,90,FWR,Borussia M.Gladbach,Hertha Berlin,1,0,2022-08-19,19360,2022,542019,0,0,0,0,0.2551352381706238,0.32904475927352905,0.07390951365232468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,3,0.16805146634578705,90,FWR,Hertha Berlin,Eintracht Frankfurt,1,1,2022-08-13,19356,2022,540405,0.7454087138175964,1,3,0,0.16805146634578705,1.4247992038726807,0.5113389492034912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1,2,0.11416652053594589,90,FWR,Union Berlin,Hertha Berlin,3,1,2022-08-06,19343,2022,539267,0,0,0,1,0.11416652053594589,0.15971368551254272,0.045547161251306534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,0,0,1,Sub,FC Cologne,Wolfsburg,0,1,2022-05-07,17806,2021,532350,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,2,0.16415537893772125,23,Sub,Augsburg,Wolfsburg,3,0,2022-04-03,17760,2021,523518,0.057151105254888535,0,1,0,0.16415537893772125,0.07402194291353226,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0,0,0,23,Sub,Wolfsburg,Hoffenheim,1,2,2022-02-19,17720,2021,514036,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1,2,0.43572095036506653,26,Sub,Eintracht Frankfurt,Wolfsburg,0,2,2022-02-12,17712,2021,512578,0,0,0,1,0.43572095036506653,0.43572095036506653,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0,0,0,9,Sub,RasenBallsport Leipzig,Wolfsburg,2,0,2022-01-23,17695,2021,510486,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
