,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,1,0.07444040477275848,90,FW,Bournemouth,Leicester,2,1,2022-10-08,18293,2022,554067,0.5706241130828857,1,1,0,0.07444040477275848,0.7039312720298767,0.058866772800683975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,1,0.09898138046264648,90,FW,Bournemouth,Brentford,0,0,2022-10-01,18283,2022,552400,0.15618164837360382,0,2,0,0.09898138046264648,0.2551630139350891,0,0.0,,,,0.0,5.0,1.0,,,21.7,,,66.0,,,82.0,,0.0,0.0,3.6,,6.2,,2022-10-01T14:00:00Z,,,,90.0,,,4.0,0.0,,0.0,0.0,,0.0,9.0,0.0,127893.0,,,,0.0,0.0,8.0,2.0,74179.0,94385.0,20206.0,57.0,True,,0.0
2,0,2,0.08401890099048615,90,FW,Newcastle United,Bournemouth,1,1,2022-09-17,18275,2022,550698,0,0,0,0,0.08401890099048615,0.10247977823019028,0.018460877239704132,0.0,,,,0.0,7.0,0.0,,,0.3,,,66.0,,,77.0,,1.0,0.0,2.0,,9.2,,2022-09-17T14:00:00Z,,,,90.0,,,15.0,0.0,,0.0,0.0,,0.0,8.0,0.0,50048.0,,,,1.0,1.0,10.0,2.0,2274.0,8845.0,6571.0,57.0,False,,0.0
3,1,1,0.11892558634281158,90,FW,Nottingham Forest,Bournemouth,2,3,2022-09-03,18254,2022,547149,0.34600549936294556,1,1,1,0.11892558634281158,0.34600549936294556,0,1.0,,,,3.0,42.0,0.0,,,13.7,,,66.0,,,58.0,,2.0,1.0,8.8,,51.2,,2022-09-03T14:00:00Z,,,,90.0,,,16.0,0.0,,0.0,0.0,,0.0,6.0,0.0,37831.0,,,,3.0,2.0,23.0,12.0,-4965.0,2095.0,7060.0,57.0,False,,0.0
4,0,2,0.21927191317081451,90,FW,Bournemouth,Wolverhampton Wanderers,0,0,2022-08-31,18248,2022,546292,0,0,0,0,0.21927191317081451,0.21927191317081451,0,0.0,,,,0.0,3.0,1.0,,,1.9,,,66.0,,,42.0,,0.0,0.0,6.2,,18.2,,2022-08-31T18:30:00Z,,,,90.0,,,20.0,0.0,,0.0,0.0,,0.0,5.0,0.0,42279.0,,,,0.0,0.0,42.0,2.0,-5593.0,1646.0,7239.0,58.0,True,,0.0
5,0,0,0,42,Sub,Liverpool,Bournemouth,9,0,2022-08-27,18236,2022,544488,0,0,0,0,0,0,0,0.0,,,,0.0,1.0,0.0,,,1.4,,,66.0,,,36.0,,4.0,0.0,0.3,,0.0,,2022-08-27T14:00:00Z,,,,45.0,,,12.0,0.0,,0.0,0.0,,0.0,4.0,0.0,47145.0,,,,0.0,9.0,2.0,1.0,-16512.0,382.0,16894.0,58.0,False,,0.0
6,0,3,0.18629740178585052,90,FW,Bournemouth,Aston Villa,2,0,2022-08-06,18204,2022,539405,0,0,0,0,0.18629740178585052,0.44857853651046753,0.2622811496257782,0.0,,,,0.0,2.0,1.0,,,0.6,,,66.0,,,2.0,,0.0,0.0,4.8,,4.4,,2022-08-06T14:00:00Z,,,,90.0,,,2.0,0.0,,0.0,0.0,,0.0,1.0,0.0,102656.0,,,,0.0,2.0,43.0,2.0,0.0,0.0,0.0,60.0,True,,0.0
7,1,2,0.07621509581804276,67,FW,Everton,Bournemouth,1,3,2020-07-26,12019,2019,411346,0,0,0,1,0.07621509581804276,0.06379146128892899,0,0.0,,,,0.0,29.0,0.0,,,0.8,,,69.0,,,375.0,,1.0,1.0,6.5,,35.4,,2020-07-26T15:00:00Z,,,,63.0,,,8.0,0.0,,0.0,0.0,,0.0,47.0,0.0,29498.0,,,,3.0,1.0,29.0,6.0,-190.0,1688.0,1878.0,51.0,False,,0.0
8,0,1,0.06571190804243088,18,Sub,Bournemouth,Southampton,0,2,2020-07-19,12004,2019,409767,0,0,0,0,0.06571190804243088,0.06571190804243088,0,0.0,,,,0.0,1.0,0.0,,,0.3,,,69.0,,,362.0,,1.0,0.0,2.2,,0.0,,2020-07-19T13:00:00Z,,,,20.0,,,16.0,0.0,,0.0,0.0,,0.0,46.0,0.0,30130.0,,,,2.0,0.0,22.0,1.0,2830.0,3671.0,841.0,51.0,True,,0.0
9,0,2,0.5748326182365417,71,FW,Manchester City,Bournemouth,2,1,2020-07-15,11999,2019,408679,0.032008420675992966,0,1,0,0.5748326182365417,0.6068410277366638,0,0.0,,,,0.0,4.0,0.0,,,10.9,,,69.0,,,357.0,,2.0,0.0,5.7,,3.6,,2020-07-15T17:00:00Z,,,,68.0,,,11.0,0.0,,0.0,0.0,,0.0,45.0,0.0,27013.0,,,,1.0,2.0,42.0,2.0,2060.0,2453.0,393.0,51.0,False,,0.0
