,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,5,0.35071468353271484,89,FWR,Sunderland,Leicester,2,1,2016-12-03,3108,2016,128818,0.28430458903312683,0,3,0,0.35071468353271484,0.9024040699005127,0.267384797334671,1.0,18.0,0.0,0.0,1.0,23.0,0.0,1.0,8.0,42.3,6.0,0.0,353.0,0.0,0.0,137.0,0.0,1.0,0.0,11.1,7896.0,10.6,3.0,2016-12-03T15:00:00Z,03 Dec 15:00,0.0,0.0,84.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,5.0,0.0,14.0,0.0,9907.0,2.0,0.0,2.0,1.0,2.0,58.0,6.0,1904.0,2419.0,515.0,49.0,True,0.0,0.0
1,0,1,0.023098494857549667,83,FWR,Liverpool,Sunderland,2,0,2016-11-26,2710,2016,128091,0.007852879352867603,0,1,0,0.023098494857549667,0.007852879352867603,0,0.0,8.0,0.0,0.0,0.0,7.0,0.0,2.0,5.0,11.0,0.0,0.0,353.0,0.0,0.0,126.0,0.0,1.0,0.0,3.0,7292.0,7.2,1.0,2016-11-26T15:00:00Z,26 Nov 15:00,0.0,0.0,78.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,3.0,0.0,13.0,0.0,7870.0,4.0,1.0,0.0,0.0,2.0,12.0,2.0,1162.0,1658.0,496.0,49.0,False,0.0,0.0
2,0,2,0.13716630637645721,90,AMR,Sunderland,Hull,3,0,2016-11-19,2700,2016,128679,0.17481952905654907,1,1,0,0.13716630637645721,0.3778758645057678,0.06589002907276154,1.0,16.0,0.0,0.0,0.0,15.0,1.0,2.0,10.0,12.1,1.0,0.0,353.0,0.0,0.0,117.0,2.0,0.0,0.0,6.6,6691.0,21.2,1.0,2016-11-19T15:00:00Z,19 Nov 15:00,0.0,0.0,90.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,3.0,0.0,12.0,0.0,6572.0,2.0,0.0,0.0,0.0,3.0,33.0,6.0,1058.0,1471.0,413.0,49.0,True,0.0,0.0
3,0,2,0.06045396998524666,90,MR,Bournemouth,Sunderland,1,2,2016-11-05,2687,2016,127949,0,0,0,0,0.06045396998524666,0.06045396998524666,0,0.0,12.0,0.0,0.0,0.0,3.0,0.0,3.0,8.0,2.5,1.0,0.0,353.0,0.0,0.0,102.0,1.0,1.0,0.0,3.7,6092.0,5.4,0.0,2016-11-05T15:00:00Z,05 Nov 15:00,0.0,0.0,90.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,11.0,0.0,5360.0,6.0,1.0,0.0,2.0,1.0,29.0,2.0,595.0,980.0,385.0,49.0,False,0.0,0.0
4,0,0,0,86,ML,Sunderland,Arsenal,1,4,2016-10-29,2677,2016,127801,0,0,0,0,0,0,0,1.0,14.0,0.0,0.0,0.0,15.0,0.0,0.0,10.0,2.5,0.0,0.0,353.0,0.0,0.0,97.0,0.0,4.0,0.0,0.6,5494.0,0.0,0.0,2016-10-29T11:30:00Z,29 Oct 12:30,0.0,0.0,83.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,10.0,0.0,4620.0,2.0,1.0,0.0,4.0,1.0,4.0,5.0,-232.0,152.0,384.0,49.0,True,0.0,0.0
5,0,0,0,77,MR,West Ham,Sunderland,1,0,2016-10-22,542,2016,127476,0.06799805909395218,0,1,0,0,0.09919362515211105,0.09919362515211105,0.0,18.0,0.0,0.0,0.0,11.0,1.0,2.0,14.0,16.1,1.0,0.0,353.0,0.0,0.0,90.0,0.0,0.0,0.0,3.9,4900.0,16.4,1.0,2016-10-22T14:00:00Z,22 Oct 15:00,0.0,0.0,74.0,0.0,1.0,20.0,0.0,0.0,0.0,0.0,3.0,0.0,9.0,0.0,4809.0,2.0,1.0,0.0,0.0,1.0,6.0,3.0,-422.0,79.0,501.0,50.0,False,0.0,0.0
6,0,1,0.008853720501065254,90,MR,Stoke,Sunderland,2,0,2016-10-15,535,2016,126931,0.12273120880126953,0,1,0,0.008853720501065254,0.17701594531536102,0.16816222667694092,0.0,15.0,0.0,0.0,0.0,4.0,0.0,0.0,11.0,13.8,4.0,0.0,353.0,0.0,0.0,79.0,0.0,2.0,0.0,2.9,4308.0,6.4,1.0,2016-10-15T14:00:00Z,15 Oct 15:00,0.0,0.0,90.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,5.0,0.0,8.0,0.0,5198.0,9.0,1.0,1.0,0.0,2.0,9.0,2.0,115.0,476.0,361.0,50.0,False,0.0,0.0
7,0,0,0,90,MR,Sunderland,West Bromwich Albion,1,1,2016-10-01,523,2016,127271,0.8852697014808655,1,2,0,0,0.8852697014808655,0.4147408902645111,1.0,18.0,2.0,0.0,0.0,19.0,0.0,1.0,14.0,25.3,2.0,0.0,353.0,0.0,0.0,66.0,1.0,1.0,0.0,5.4,3719.0,22.6,2.0,2016-10-01T14:00:00Z,01 Oct 15:00,0.0,0.0,90.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,4995.0,5.0,0.0,0.0,1.0,1.0,6.0,5.0,-303.0,196.0,499.0,50.0,True,0.0,0.0
8,0,1,0.11767786741256714,76,Sub,Sunderland,Crystal Palace,2,3,2016-09-24,514,2016,126729,0,0,0,0,0.11767786741256714,0.19572892785072327,0.07805106788873672,0.0,18.0,0.0,0.0,0.0,1.0,0.0,3.0,14.0,4.0,0.0,0.0,353.0,0.0,0.0,57.0,1.0,3.0,0.0,3.3,3133.0,4.6,0.0,2016-09-24T14:00:00Z,24 Sep 15:00,0.0,0.0,76.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,6.0,0.0,5265.0,6.0,0.0,0.0,3.0,2.0,24.0,2.0,-871.0,210.0,1081.0,50.0,True,0.0,0.0
9,0,1,0.03614325076341629,26,Sub,Tottenham,Sunderland,1,0,2016-09-18,510,2016,126464,0,0,0,0,0.03614325076341629,0.03614325076341629,0,0.0,5.0,0.0,0.0,0.0,6.0,0.0,0.0,3.0,0.1,2.0,0.0,353.0,0.0,0.0,49.0,0.0,0.0,0.0,1.1,2549.0,3.0,0.0,2016-09-18T15:30:00Z,18 Sep 16:30,0.0,0.0,28.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,6086.0,0.0,1.0,1.0,0.0,1.0,8.0,1.0,-782.0,150.0,932.0,50.0,False,0.0,0.0
10,0,1,0.06593142449855804,74,MR,Sunderland,Everton,0,3,2016-09-12,500,2016,126167,0,0,0,0,0.06593142449855804,0.06593142449855804,0,0.0,11.0,0.0,0.0,0.0,-1.0,0.0,0.0,6.0,0.9,2.0,0.0,353.0,0.0,0.0,40.0,3.0,3.0,0.0,2.3,1968.0,0.0,0.0,2016-09-12T19:00:00Z,12 Sep 20:00,0.0,0.0,72.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,6826.0,4.0,0.0,0.0,3.0,0.0,24.0,1.0,-832.0,710.0,1542.0,50.0,True,0.0,1.0
11,0,0,0,25,Sub,Southampton,Sunderland,1,1,2016-08-27,484,2016,125882,0.09860014170408249,0,1,0,0,0.09860014170408249,0,0.0,5.0,0.0,0.0,0.0,7.0,0.0,1.0,3.0,10.6,2.0,0.0,353.0,0.0,0.0,26.0,0.0,1.0,0.0,2.6,1418.0,7.2,1.0,2016-08-27T14:00:00Z,27 Aug 15:00,0.0,0.0,27.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,7452.0,2.0,1.0,0.0,1.0,1.0,8.0,1.0,2212.0,2982.0,770.0,50.0,False,0.0,0.0
12,0,1,0.04732880741357803,83,AML,Sunderland,Middlesbrough,1,2,2016-08-21,479,2016,125532,0.03562808409333229,0,1,0,0.04732880741357803,0.8351253867149353,0.7877965569496155,1.0,24.0,0.0,0.0,0.0,15.0,0.0,0.0,15.0,16.7,5.0,0.0,353.0,0.0,0.0,19.0,0.0,2.0,0.0,4.4,878.0,14.0,1.0,2016-08-21T12:30:00Z,21 Aug 13:30,0.0,0.0,80.0,1.0,1.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,4541.0,8.0,1.0,0.0,2.0,1.0,13.0,5.0,146.0,431.0,285.0,50.0,True,0.0,0.0
13,0,1,0.1080598309636116,65,AMR,Manchester City,Sunderland,2,1,2016-08-13,467,2016,125077,0,0,0,0,0.1080598309636116,0,0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.8,0.0,0.0,353.0,0.0,0.0,5.0,2.0,1.0,0.0,0.5,353.0,0.0,0.0,2016-08-13T16:30:00Z,13 Aug 17:30,0.0,0.0,63.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,4055.0,4.0,0.0,1.0,1.0,2.0,7.0,2.0,0.0,0.0,0.0,50.0,False,0.0,0.0
14,0,1,0.06804434955120087,90,MR,Watford,Sunderland,2,2,2016-05-15,458,2015,57874,0.14180727303028107,1,1,0,0.06804434955120087,0.20985163748264313,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0,0,0,2,Sub,Sunderland,Everton,3,0,2016-05-11,449,2015,65877,0,0,0,0,0,0.19138650596141815,0.19138650596141815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0,0,0,23,Sub,Sunderland,Chelsea,3,2,2016-05-07,442,2015,62763,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0,0,0,29,Sub,Stoke,Sunderland,1,1,2016-04-30,427,2015,63407,0.0850188285112381,0,2,0,0,0.040497731417417526,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,0,0,15,Sub,Sunderland,Arsenal,0,0,2016-04-24,424,2015,62515,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1,1,0.4988774359226227,42,Sub,Norwich,Sunderland,0,3,2016-04-16,405,2015,62805,0,0,0,1,0.4988774359226227,0.4988774359226227,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0,0,0,25,MR,Liverpool,Sunderland,2,2,2016-02-06,327,2015,58121,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0,1,0.06789878010749817,23,Sub,Sunderland,Bournemouth,1,1,2016-01-23,306,2015,57975,0,0,0,0,0.06789878010749817,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0,0,0,12,Sub,Tottenham,Sunderland,4,1,2016-01-16,291,2015,59142,0.035928644239902496,0,1,0,0,0.035928644239902496,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0,0,0,1,Sub,Swansea,Sunderland,2,4,2016-01-13,286,2015,59447,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0,2,0.0973823294043541,59,AMR,Sunderland,Aston Villa,3,1,2016-01-02,277,2015,62040,0,0,0,0,0.0973823294043541,0.0973823294043541,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0,1,0.10222671926021576,61,Sub,Sunderland,Liverpool,0,1,2015-12-30,270,2015,59655,0,0,0,0,0.10222671926021576,0.015232420526444912,0.015232420526444912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0,0,0,17,Sub,Manchester City,Sunderland,4,1,2015-12-26,258,2015,60574,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
