,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,1,0.04449053481221199,63,FW,Real Madrid,Mallorca,4,1,2022-09-11,19011,2022,549499,0.03270801156759262,0,2,0,0.04449053481221199,0.31340035796165466,0.23620180785655975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,1,0.7432776093482971,5,Sub,Celta Vigo,Real Madrid,1,4,2022-08-20,18976,2022,542848,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,0,0,28,Sub,Almeria,Real Madrid,1,2,2022-08-14,18968,2022,541743,0.09478134661912918,0,1,0,0,0.19008232653141022,0.09530097991228104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,0,0,23,Sub,Cadiz,Real Madrid,1,1,2022-05-15,17502,2021,536523,0.07053593546152115,0,1,0,0,0.07053593546152115,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,0,0,5,Sub,Real Madrid,Alaves,3,0,2022-02-19,17383,2021,514566,0,0,0,0,0,0.03041842021048069,0.03041842021048069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,0,0,3,Sub,Villarreal,Real Madrid,0,0,2022-02-12,17375,2021,512755,0.3135508596897125,0,1,0,0,0.3135508596897125,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,0,0,24,Sub,Real Madrid,Granada,1,0,2022-02-06,17363,2021,511979,0.20552422106266022,0,2,0,0,0.22862236201763153,0.11409183591604233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,0,0,83,FWR,Real Madrid,Elche,2,2,2022-01-23,17351,2021,510497,0.079531230032444,0,2,0,0,0.8794384002685547,0.7999072074890137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,0,0,42,Sub,Getafe,Real Madrid,1,0,2022-01-02,17323,2021,505561,0,0,0,0,0,0.15098993480205536,0.15098993480205536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,1,0.09865598380565643,87,FWR,Athletic Club,Real Madrid,1,2,2021-12-22,17336,2021,505031,0.0630420446395874,0,2,0,0.09865598380565643,0.21272914111614227,0.05103110894560814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,3,0.6518971920013428,90,FWR,Real Madrid,Cadiz,0,0,2021-12-19,17313,2021,504300,0.5858562588691711,0,5,0,0.6518971920013428,1.3289159536361694,0.23063309490680695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0,1,0.11266890168190002,6,Sub,Real Madrid,Rayo Vallecano,2,1,2021-11-06,17263,2021,494298,0,0,0,0,0.11266890168190002,0.22852715849876404,0.11585826426744461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,0,0,4,Sub,Elche,Real Madrid,1,2,2021-10-30,17246,2021,491963,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0,0,0,20,Sub,Real Madrid,Osasuna,0,0,2021-10-27,17237,2021,491644,0,0,0,0,0,0.0634266659617424,0.0634266659617424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,0,0,18,Sub,Espanyol,Real Madrid,2,1,2021-10-03,17207,2021,487342,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0,0,0,17,Sub,Real Madrid,Villarreal,0,0,2021-09-25,17202,2021,485128,0.100144162774086,0,2,0,0,0.100144162774086,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0,1,0.1110965684056282,83,AMC,Valencia,Real Madrid,1,2,2021-09-19,17183,2021,483153,0.28084254264831543,0,6,0,0.1110965684056282,0.5417861342430115,0.20802338421344757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0,2,0.1182127594947815,67,FW,Real Madrid,Celta Vigo,5,2,2021-09-12,17173,2021,481427,0,0,0,0,0.1182127594947815,0.23606418073177338,0.11785142123699188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,1,0.07038991898298264,9,Sub,Real Betis,Real Madrid,0,1,2021-08-28,17161,2021,479356,0.025128638371825218,0,1,0,0.07038991898298264,0.0955185517668724,0.07038991898298264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0,1,0.01864435337483883,61,FWL,Levante,Real Madrid,3,3,2021-08-22,17153,2021,478097,0.04187384620308876,0,2,0,0.01864435337483883,0.450192928314209,0.409298300743103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0,2,0.09202998131513596,67,FWL,Alaves,Real Madrid,1,4,2021-08-14,17140,2021,475948,0.29332640767097473,1,3,0,0.09202998131513596,0.3853563666343689,0.10055214166641235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0,0,0,13,Sub,Athletic Club,Real Madrid,0,1,2021-05-16,15139,2020,471621,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0,0,0,26,Sub,Granada,Real Madrid,1,4,2021-05-13,15131,2020,470636,0.14567887783050537,1,1,0,0,0.2581329643726349,0.2581329643726349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
