,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists_x,key_passes,npg,npxG,xGChain,xGBuildup,assists_y,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,63,FW,Chelsea,Everton,1,1,2021-12-16,16543,2021,503352,0,0,0,0,0,0,0,0,0,6,1,0.4,602,168,0,0,0.7,6.4,2021-12-16T19:45:00Z,61,6,0,0,0,0,17,0,15785,1,1,0.0,2,-119,672,791,45,False,0
1,,,,,,,,,,2020-07-20,,,,,,,,,,,0,0,0,0,0.0,667,367,0,0,0.0,0.0,2020-07-20T17:00:00Z,0,15,0,0,0,0,46,0,0,1,0,0.0,0,0,0,0,45,False,0
2,,,,,,,,,,2020-07-26,,,,,,,,,,,0,0,0,0,0.0,667,375,0,0,0.0,0.0,2020-07-26T15:00:00Z,0,3,0,0,0,0,47,0,92,3,1,0.0,0,53,74,21,45,True,0
3,,,,,,,,,,2021-09-18,,,,,,,,,,,0,0,0,0,0.0,602,41,0,0,0.0,0.0,2021-09-18T16:30:00Z,0,2,0,0,0,0,5,0,0,0,3,0.0,0,0,0,0,45,False,0
4,,,,,,,,,,2021-09-25,,,,,,,,,,,0,0,0,0,0.0,602,55,0,0,0.0,0.0,2021-09-25T14:00:00Z,0,15,0,0,0,0,6,0,8553,0,2,0.0,0,6274,7721,1447,45,True,0
5,,,,,,,,,,2021-10-02,,,,,,,,,,,0,0,0,0,0.0,602,67,0,0,0.0,0.0,2021-10-02T11:30:00Z,0,13,0,0,0,0,7,0,9432,1,1,0.0,0,607,2590,1983,45,False,0
6,,,,,,,,,,2021-10-17,,,,,,,,,,,0,0,0,0,0.0,602,74,0,0,0.0,0.0,2021-10-17T13:00:00Z,0,19,0,0,0,0,8,0,11185,1,0,0.0,0,680,2491,1811,45,True,0
7,,,,,,,,,,2021-10-23,,,,,,,,,,,0,0,0,0,0.0,602,86,0,0,0.0,0.0,2021-10-23T14:00:00Z,0,18,0,0,0,0,9,0,12628,5,2,0.0,0,826,2279,1453,45,True,0
8,,,,,,,,,,2021-11-01,,,,,,,,,,,0,0,0,0,0.0,602,100,0,0,0.0,0.0,2021-11-01T20:00:00Z,0,20,0,0,0,0,10,0,14433,1,2,0.0,0,692,2629,1937,45,False,0
9,,,,,,,,,,2021-11-07,,,,,,,,,,,0,0,0,0,0.0,602,106,0,0,0.0,0.0,2021-11-07T14:00:00Z,0,17,0,0,0,0,11,0,14799,0,0,0.0,0,-36,1242,1278,45,True,0
10,,,,,,,,,,2021-11-21,,,,,,,,,,,0,0,0,0,0.0,602,115,0,0,0.0,0.0,2021-11-21T14:00:00Z,0,12,0,0,0,0,12,0,14835,0,3,0.0,0,-318,838,1156,45,False,0
11,,,,,,,,,,2021-11-28,,,,,,,,,,,0,0,0,0,0.0,602,122,0,0,0.0,0.0,2021-11-28T14:00:00Z,0,3,0,0,0,0,13,0,14769,0,1,0.0,0,-343,623,966,45,False,0
12,,,,,,,,,,2021-12-01,,,,,,,,,,,0,0,0,0,0.0,602,132,0,0,0.0,0.0,2021-12-01T20:15:00Z,0,11,0,0,0,0,14,0,14969,4,1,0.0,0,22,621,599,45,True,0
13,,,,,,,,,,2021-12-06,,,,,,,,,,,0,0,0,0,0.0,602,142,0,0,0.0,0.0,2021-12-06T20:00:00Z,0,1,0,0,0,0,15,0,15421,1,2,0.0,0,201,957,756,45,True,0
14,,,,,,,,,,2021-12-12,,,,,,,,,,,0,0,0,0,0.0,602,156,0,0,0.0,0.0,2021-12-12T16:30:00Z,0,7,0,0,0,0,16,0,15770,1,3,0.0,0,34,955,921,45,False,0
15,,,,,,,,,,2022-01-02,,,,,,,,,,,0,0,0,0,0.0,602,205,0,0,0.0,0.0,2022-01-02T14:00:00Z,0,4,0,0,0,0,21,0,38738,3,2,0.0,0,869,7433,6564,45,True,0
16,,,,,,,,,,2022-01-15,,,,,,,,,,,0,0,0,0,0.0,602,217,0,0,0.0,0.0,2022-01-15T15:00:00Z,0,15,0,0,0,0,22,0,36642,1,2,0.0,0,-1952,6996,8948,45,False,0
17,,,,,,,,,,2022-01-22,,,,,,,,,,,0,0,0,0,0.0,602,225,0,0,0.0,0.0,2022-01-22T12:30:00Z,0,2,0,0,0,0,23,0,34852,1,0,0.0,0,-1712,2025,3737,45,True,0
18,,,,,,,,,,2022-02-08,,,,,,,,,,,0,0,0,0,0.0,602,239,0,0,0.0,0.0,2022-02-08T19:45:00Z,0,14,0,0,0,0,24,0,32041,1,3,0.0,0,-2818,955,3773,45,False,0
19,,,,,,,,,,2022-02-12,,,,,,,,,,,0,0,0,0,0.0,602,244,0,0,0.0,0.0,2022-02-12T15:00:00Z,0,10,0,0,0,0,25,0,30098,0,3,0.0,0,-1973,0,1973,45,True,0
20,,,,,,,,,,2022-02-19,,,,,,,,,,,0,0,0,0,0.0,602,258,0,0,0.0,0.0,2022-02-19T15:00:00Z,0,16,0,0,0,0,26,0,27584,0,2,0.0,0,-2106,0,2106,45,False,0
21,,,,,,,,,,2022-02-26,,,,,,,,,,,0,0,0,0,0.0,602,266,0,0,0.0,0.0,2022-02-26T17:30:00Z,0,12,0,0,0,0,27,0,25263,1,0,0.0,0,-2003,0,2003,45,True,0
22,,,,,,,,,,2022-03-07,,,,,,,,,,,0,0,0,0,0.0,602,278,0,0,0.0,0.0,2022-03-07T20:00:00Z,0,17,0,0,0,0,28,0,24667,0,5,0.0,0,-1357,0,1357,45,False,0
23,,,,,,,,,,2022-03-13,,,,,,,,,,,0,0,0,0,0.0,602,286,0,0,0.0,0.0,2022-03-13T14:00:00Z,0,20,0,0,0,0,29,0,23816,1,0,0.0,0,-911,0,911,45,True,0
24,,,,,,,,,,2022-03-17,,,,,,,,,,,0,0,0,0,0.0,602,195,0,0,0.0,0.0,2022-03-17T19:45:00Z,0,14,0,0,0,0,29,0,23816,0,1,0.0,0,-911,0,911,45,True,0
25,,,,,,,,,,2022-04-03,,,,,,,,,,,0,0,0,0,0.0,602,309,0,0,0.0,0.0,2022-04-03T13:00:00Z,0,19,0,0,0,0,31,0,22820,1,2,0.0,0,-610,0,610,45,False,0
26,,,,,,,,,,2022-04-06,,,,,,,,,,,0,0,0,0,0.0,602,183,0,0,0.0,0.0,2022-04-06T18:30:00Z,0,5,0,0,0,0,31,0,22820,2,3,0.0,0,-610,0,610,45,False,0
27,,,,,,,,,,2022-04-09,,,,,,,,,,,0,0,0,0,0.0,602,314,0,0,0.0,0.0,2022-04-09T11:30:00Z,0,13,0,0,0,0,32,0,22519,0,1,0.0,0,-305,0,305,45,True,0
28,,,,,,,,,,2022-04-20,,,,,,,,,,,0,0,0,0,0.0,602,172,0,0,0.0,0.0,2022-04-20T18:45:00Z,0,9,0,0,0,0,33,0,22007,1,1,0.0,0,-457,0,457,45,True,0
29,,,,,,,,,,2022-04-24,,,,,,,,,,,0,0,0,0,0.0,602,338,0,0,0.0,0.0,2022-04-24T15:30:00Z,0,11,0,0,0,0,34,0,21720,0,2,0.0,0,-345,0,345,45,False,0
30,,,,,,,,,,2022-05-01,,,,,,,,,,,0,0,0,0,0.0,602,342,0,0,0.0,0.0,2022-05-01T13:00:00Z,0,6,0,0,0,0,35,0,21372,0,1,0.0,0,-341,0,341,45,True,0
31,,,,,,,,,,2022-05-08,,,,,,,,,,,0,0,0,0,0.0,602,357,0,0,0.0,0.0,2022-05-08T13:00:00Z,0,9,0,0,0,0,36,0,20789,2,1,0.0,0,-533,0,533,45,False,0
32,,,,,,,,,,2022-05-11,,,,,,,,,,,0,0,0,0,0.0,602,299,0,0,0.0,0.0,2022-05-11T18:45:00Z,0,18,0,0,0,0,36,0,20789,0,0,0.0,0,-533,0,533,45,False,0
33,,,,,,,,,,2022-05-15,,,,,,,,,,,0,0,0,0,0.0,602,362,0,0,0.0,0.0,2022-05-15T15:30:00Z,0,3,0,0,0,0,37,0,20335,3,2,0.0,0,-432,0,432,45,True,0
34,,,,,,,,,,2022-05-19,,,,,,,,,,,0,0,0,0,0.0,602,322,0,0,0.0,0.0,2022-05-19T18:45:00Z,0,7,0,0,0,0,37,0,20335,2,3,0.0,0,-432,0,432,45,True,0
35,,,,,,,,,,2022-05-22,,,,,,,,,,,0,0,0,0,0.0,602,371,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,1,0,0,0,0,38,0,19988,1,5,0.0,0,-356,0,356,45,False,0
36,,,,,,,,,,2020-11-01,,,,,,,,,,,0,0,0,0,0.0,596,65,0,0,0.0,0.0,2020-11-01T14:00:00Z,0,14,0,0,0,0,7,0,0,1,2,0.0,0,0,0,0,45,False,0
37,,,,,,,,,,2020-11-07,,,,,,,,,,,0,0,0,0,0.0,596,73,0,0,0.0,0.0,2020-11-07T12:30:00Z,0,13,0,0,0,0,8,0,711,3,1,0.0,0,376,458,82,45,True,0
38,,,,,,,,,,2020-11-22,,,,,,,,,,,0,0,0,0,0.0,596,81,0,0,0.0,0.0,2020-11-22T12:00:00Z,0,8,0,0,0,0,9,0,1821,3,2,0.0,0,486,899,413,45,False,0
39,,,,,,,,,,2020-11-28,,,,,,,,,,,0,0,0,0,0.0,596,93,0,0,0.0,0.0,2020-11-28T17:30:00Z,0,10,0,0,0,0,10,0,2501,1,0,0.0,0,413,804,391,45,True,0
40,,,,,,,,,,2020-12-05,,,,,,,,,,,0,0,0,0,0.0,596,101,0,0,0.0,0.0,2020-12-05T12:30:00Z,0,4,0,0,0,0,11,0,3584,1,1,0.0,0,586,1322,736,45,False,0
41,,,,,,,,,,2020-12-12,,,,,,,,,,,0,0,0,0,0.0,596,111,0,0,0.0,0.0,2020-12-12T20:00:00Z,0,5,0,0,0,0,12,0,4459,0,1,0.0,0,496,1334,838,45,True,0
42,,,,,,,,,,2020-12-16,,,,,,,,,,,0,0,0,0,0.0,596,123,0,0,0.0,0.0,2020-12-16T18:00:00Z,0,9,0,0,0,0,13,0,4748,2,0,0.0,0,-34,722,756,45,False,0
43,,,,,,,,,,2020-12-19,,,,,,,,,,,0,0,0,0,0.0,596,133,0,0,0.0,0.0,2020-12-19T17:30:00Z,0,1,0,0,0,0,14,0,5044,1,2,0.0,0,125,745,620,45,True,0
44,,,,,,,,,,2020-12-26,,,,,,,,,,,0,0,0,0,0.0,596,146,0,0,0.0,0.0,2020-12-26T20:00:00Z,0,15,0,0,0,0,15,0,5643,1,0,0.0,0,112,1045,933,45,False,0
