,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,1,0.055475667119026184,90,MC,Borussia Dortmund,Bayern Munich,2,2,2022-10-08,19414,2022,554312,0,0,0,0,0.055475667119026184,0.5704519748687744,0.5704519748687744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,1,0.023465745151042938,11,Sub,FC Cologne,Borussia Dortmund,3,2,2022-10-01,19408,2022,552113,0,0,0,0,0.023465745151042938,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,0,0,3,Sub,Borussia Dortmund,Schalke 04,1,0,2022-09-17,19397,2022,550657,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,0,0,2,Sub,RasenBallsport Leipzig,Borussia Dortmund,3,0,2022-09-10,19389,2022,548993,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,0,0,73,Sub,Borussia Dortmund,Werder Bremen,2,3,2022-08-20,19364,2022,542228,0,0,0,0,0,0.09414775669574738,0.09414775669574738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,0,0,3,Sub,Borussia Dortmund,Bayer Leverkusen,1,0,2022-08-06,19348,2022,539588,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,0,0,51,DC,Borussia Dortmund,Hertha Berlin,2,1,2022-05-14,17821,2021,535191,0,0,0,0,0,0.07550639659166336,0.07550639659166336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,0,0,90,DC,Greuther Fuerth,Borussia Dortmund,1,3,2022-05-07,17804,2021,534390,0,0,0,0,0,0.16703127324581146,0.16703127324581146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1,1,0.75777667760849,90,DMC,Bayern Munich,Borussia Dortmund,3,1,2022-04-23,17794,2021,528865,0,0,0,0,0,0.18034164607524872,0.18034164607524872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,1,0.01265071053057909,90,DC,Borussia Dortmund,Wolfsburg,6,1,2022-04-16,17785,2021,526248,0,0,0,1,0.01265071053057909,0.4485507309436798,0.4359000325202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
