,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists_x,key_passes,npg,npxG,xGChain,xGBuildup,assists_y,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,3,Sub,Barcelona,Celta Vigo,1,0,2022-10-09,19033,2022,555336,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,64,DC,Barcelona,Elche,3,0,2022-09-17,19013,2022,550705,0,0,0,0,0,1.0281648635864258,1.0281648635864258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,1,0.555981457233429,57,DC,Sevilla,Barcelona,0,3,2022-09-03,18995,2022,547628,0,0,0,1,0.555981457233429,0.8258354663848877,0.8258354663848877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,1,0.1188281923532486,90,DC,Barcelona,Real Valladolid,4,0,2022-08-28,18988,2022,545576,0,0,0,0,0.1188281923532486,0.8595356345176697,0.8595356345176697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,1,0.07491833716630936,90,DC,Real Sociedad,Barcelona,1,4,2022-08-21,18979,2022,543647,0,0,0,0,0.07491833716630936,0.20706111192703247,0.20706111192703247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,0,0,90,DC,Barcelona,Rayo Vallecano,0,0,2022-08-13,18965,2022,541072,0,0,0,0,0,0.3182356059551239,0.3182356059551239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,0,0,90,DC,Barcelona,Celta Vigo,3,1,2022-05-10,17487,2021,534618,0,0,0,0,0,0.7010301351547241,0.7010301351547241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,0,0,90,DC,Real Betis,Barcelona,1,2,2022-05-07,17478,2021,533164,0,0,0,0,0,0.040823690593242645,0.040823690593242645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,0,0,63,Sub,Barcelona,Mallorca,2,1,2022-05-01,17468,2021,531516,0.01960219256579876,0,1,0,0,0.32166367769241333,0.3020614683628082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,0,0,72,DC,Barcelona,Rayo Vallecano,0,1,2022-04-24,17338,2021,529746,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
